Urdu_Idiom,Idiomatic_Sent,Translation_Instruction,Urdu_Sentence_3.5,Urdu_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
انگور کھٹے ہیں,"After losing the competition, John dismissed the winner's talent as overrated, but it was clear his comments were just sour grapes.","Translate this sentence to Urdu: 'After losing the competition, John dismissed the winner's talent as overrated, but it was clear his comments were just sour grapes.'",'مقابلہ ہارنے کے بعد، جان نے جیتنے والے کی صلاحیت کو زیادہ قدرتی بنایا، مگر واضح تھا کہ اس کی تبصرے صرف خوراک انگور تھے۔',مقابلہ ہارنے کے بعد، جان نے فاتح کی صلاحیت کو ضرورت سے زیادہ اہم قرار دیا، لیکن یہ واضح تھا کہ اس کے تبصرے صرف کھسیانی بلی کھمبا نوچے کے مترادف تھے۔,1.0,3.0,1.0,3.0
بندر کیا جانے ادرک کا سواد,"Sharing my detailed analysis with them felt like casting pearls before swine, as they couldn't appreciate the depth of my insights.","Translate this sentence to Urdu: 'Sharing my detailed analysis with them felt like casting pearls before swine, as they couldn't appreciate the depth of my insights.'",میرا تفصیلی تجزیہ ان کے ساتھ بانٹنا سوئن کے سامنے موتی پھینکنے جیسا تھا، کیونکہ وہ میری تجزیہ اور توجہ کی گہرائی کو قدر نہیں کر سکے۔,'ان کے ساتھ اپنی تفصیلی تجزیہ شیئر کرنا ایسا ہی تھا جیسے سوروں کے آگے موتی ڈالنا، کیونکہ وہ میری بصیرت کی گہرائی کو سمجھ نہیں سکے۔',3.0,3.0,3.0,3.0
ناچ نہ جانے آنگھن ٹیڑھا,"Despite the project's failure, Mark refused to take responsibility, proving that it is a poor workman who blames his tools.","Translate this sentence to Urdu: 'Despite the project's failure, Mark refused to take responsibility, proving that it is a poor workman who blames his tools.'",مرک کے نام پر معاملے کی ناکامی کے باوجود، اس نے ذمہ داری قبول نہیں کی، جو ثابت کرتا ہے کہ وہ کاریگر جو اپنے اوزار کو مالامال کرتا ہے، اس پر بھاری ہوتا ہے۔,پروجیکٹ کی ناکامی کے باوجود، مارک نے ذمہ داری قبول کرنے سے انکار کر دیا، ثابت کرتے ہوئے کہ برا کام کرنے والا اپنے اوزاروں کو مورد الزام ٹھہراتا ہے۔,1.0,3.0,1.0,2.0
آگے کنواں پیچھے کھائی,"Faced with either betraying his best friend or losing his job, Jack felt like he was between the devil and the deep blue sea.","Translate this sentence to Urdu: 'Faced with either betraying his best friend or losing his job, Jack felt like he was between the devil and the deep blue sea.'",جیک نے اپنے بہترین دوست کو دھوکہ دینے یا اپنی نوکری کھو دینے کے امکان کے سامنے ہونے پر محسوس کیا کہ وہ دو ہاتھوں میں کھڑا ہے۔,جیک نے محسوس کیا کہ وہ شیطان اور گہرے سمندر کے درمیان پھنس گیا ہے، جب اسے اپنے بہترین دوست سے دھوکہ کرنے یا اپنی نوکری کھونے کا سامنا کرنا پڑا۔,2.0,3.0,1.0,3.0
جتنی چادر ہو اتنا پیر پھیلاو,"Given our limited budget, we must cut our coat according to our cloth and avoid unnecessary expenses.","Translate this sentence to Urdu: 'Given our limited budget, we must cut our coat according to our cloth and avoid unnecessary expenses.'",ہمارے محدود بجٹ کو دیکھتے ہوئے، ہمیں اپنی چادر کے مطابق کٹنا ہوگا اور بے ضروری اخراجات سے بچنا ہوگا۔,ہمارے محدود بجٹ کو مدنظر رکھتے ہوئے، ہمیں اپنے کپڑے کے مطابق کوٹ کاٹنا ہوگا اور غیر ضروری اخراجات سے بچنا ہوگا۔,3.0,3.0,3.0,3.0
اب پچھتائے کیا، جب چڑیاں چگ گئیں کھیت,"Sure, we missed the deadline, but there's no use crying over spilt milk; let's focus on the next steps.","Translate this sentence to Urdu: 'Sure, we missed the deadline, but there's no use crying over spilt milk; let's focus on the next steps.'","""ٹھیک ہے، ہم نے مقررہ وقت سے پیچھے رہ گئے، لیکن پھٹی ہوئی دودھ کو بہا کر کیا فائدہ؟ ہم اگلے قدموں پر توجہ دیں۔""",ضرور، ہم ڈیڈ لائن سے چوک گئے، لیکن اب پچھتانے کا کیا فائدہ؛ آئندہ کے اقدامات پر توجہ دیتے ہیں۔,3.0,3.0,3.0,3.0
دودھ کا جلا چھاچھ بھی پھونک کر پیتا ہے,"He expects everyone to do the work on his behalf , once bitten twice shy .","Translate this sentence to Urdu: 'He expects everyone to do the work on his behalf , once bitten twice shy .'",وہ ہر کسی سے اپنی جانب سے کام کروانے کی توقع کرتا ہے، ایک بار جوٹا کھانے کے بعد دو بار سوچے گا۔,وہ توقع کرتا ہے کہ ہر کوئی اس کے لئے کام کرے، ایک بار ڈسا تو دوبارہ محتاط ہو گیا۔,3.0,3.0,1.0,1.0
جیسا دیس ویسا بھیس,"My mother always told us that when in Rome , do as the Romans .","Translate this sentence to Urdu: 'My mother always told us that when in Rome , do as the Romans .'",میری ماں ہمیشہ ہمیں کہتی تھی کہ جب روم میں ہو تو جیسے رومنس کرو۔,میری ماں ہمیشہ ہمیں کہتی تھیں کہ جب روم میں ہو تو رومیوں کی طرح کرو۔,3.0,3.0,3.0,3.0
چور چور مسیرے بھائی,The team is divided into people of the same region batting against the others and birds of a feather flock together .,Translate this sentence to Urdu: 'The team is divided into people of the same region batting against the others and birds of a feather flock together .',ٹیم وہاں بنی ہے جہاں ایک ہی علاقے کے لوگ ایک دوسرے کے خلاف بیٹنگ کر رہے ہیں اور جنور اکٹھے ہوتے ہیں۔,ٹیم کو ایک ہی علاقے کے لوگوں میں تقسیم کیا گیا ہے جو دوسروں کے خلاف بیٹنگ کر رہے ہیں اور ایک ہی قسم کے پرندے ایک ساتھ جمع ہوتے ہیں۔,2.0,2.0,1.0,1.0
لوہے کے چنے چبانا,"Using a sledgehammer to crack a nut, he installed a state-of-the-art security system just to protect a few old books.","Translate this sentence to Urdu: 'Using a sledgehammer to crack a nut, he installed a state-of-the-art security system just to protect a few old books.'",وہ ایک بندوق کو ایک اخروٹ پھوڑنے کے لیے استعمال کرتے ہوئے بس کچھ پرانی کتبوں کی حفاظت کے لیے ایک نئے امنیتی نظام کو منصب کرتا ہے۔,'توپ سے مکھی مارنے کے مترادف، اُس نے چند پرانی کتابوں کی حفاظت کے لیے جدید ترین سیکیورٹی نظام نصب کر دیا۔',1.0,3.0,1.0,3.0
اونٹ کے منہ میں زیرا,"Donating a few dollars might seem like a drop in the bucket, but every bit helps when it comes to charity.","Translate this sentence to Urdu: 'Donating a few dollars might seem like a drop in the bucket, but every bit helps when it comes to charity.'",چند ڈالر دینا ایک بوند پانی مانا جا سکتا ہے، لیکن انصاف کے معاملے میں ہر کچھ مدد کرتا ہے۔,چند ڈالر چندہ دینا ایک سمندر میں قطرے کے برابر لگ سکتا ہے، لیکن جب خیرات کی بات آتی ہے تو ہر چھوٹا سا حصہ مددگار ثابت ہوتا ہے۔,1.0,3.0,1.0,3.0
بھینس کے آگے بین بجانا,The tales are interesting if you are into that kind of thing but for me it is like listening to a voice crying in the wilderness .,Translate this sentence to Urdu: 'The tales are interesting if you are into that kind of thing but for me it is like listening to a voice crying in the wilderness .',کہانیاں دلچسپ ہوتی ہیں اگر آپ اس قسم کی چیزوں میں دلچسپی رکھتے ہیں مگر میرے لیے یہ بہت سونا بندر کی ترحلہ میں آواز سننے کی طرح ہے۔,کہانیاں دلچسپ ہیں اگر آپ اس قسم کی چیزوں میں دلچسپی رکھتے ہیں لیکن میرے لیے یہ ایسا ہے جیسے جنگل میں کسی کی آواز سننا۔,1.0,3.0,1.0,2.0
نیم حکیم خطرہ جان,"John thought he could fix the electrical wiring himself, but he quickly realized that a little learning is a dangerous thing.","Translate this sentence to Urdu: 'John thought he could fix the electrical wiring himself, but he quickly realized that a little learning is a dangerous thing.'",جان نے سوچا کہ وہ بجلی کی تاریں خود ٹھیک کر سکتا ہے، لیکن جلد ہی اس نے احساس کیا کہ تھوڑی سی تعلیم خطرے سے بھری ہوتی ہے۔,جان نے سوچا کہ وہ خود ہی بجلی کی تاریں ٹھیک کر سکتا ہے، لیکن جلد ہی اسے احساس ہوا کہ ادھوری معلومات خطرناک ہوتی ہیں۔,3.0,3.0,2.0,3.0
بخل میں چھری منہ پے رام رام,"The charming new manager turned out to be a wolf in sheep's clothing, manipulating the team for his own gain.","Translate this sentence to Urdu: 'The charming new manager turned out to be a wolf in sheep's clothing, manipulating the team for his own gain.'",پرانے دلکش مینیجر نکلا بھیڑوں کے بھی دھماکے، ٹیم کو اپنے فائدے کے لیے متاثر کرنے والا۔,نیا دلکش مینیجر بھیڑ کی کھال میں بھیڑیا نکلا، جو اپنی ذاتی فائدے کے لئے ٹیم کے ساتھ چالبازی کر رہا تھا۔,1.0,3.0,1.0,3.0
ضرورت ایجاد کی ماں ہے,"When the power went out during the storm, Sarah rigged up a makeshift heater using candles and a clay pot, proving that necessity is the mother of invention.","Translate this sentence to Urdu: 'When the power went out during the storm, Sarah rigged up a makeshift heater using candles and a clay pot, proving that necessity is the mother of invention.'",جب طوفان کے دوران بجلی چلی گئی تو سارہ نے موم بتیوں اور مٹی کے برتن کا استعمال کرتے ہوئے ایک جگہی ہیٹر بنایا، جو ضرورت اختراع کی ماں ہے۔,جب طوفان کے دوران بجلی چلی گئی، سارہ نے موم بتیوں اور مٹی کے برتن سے ایک عارضی ہیٹر بنایا، جس سے ثابت ہوا کہ ضرورت ایجادات کی ماں ہے۔,3.0,3.0,3.0,3.0
جہاں کا پیئے پانی وہاں کی بولے بانی,"My mother always told us that when in Rome , do as the Romans .","Translate this sentence to Urdu: 'My mother always told us that when in Rome , do as the Romans .'",میری ماں ہمیشہ ہمیں یہ کہتی تھی کہ جب روم جاؤ تو رومیوں کی طرح کرنا ہوتا ہے۔,میری ماں ہمیشہ ہمیں کہتی تھیں کہ جب روم میں ہو تو رومیوں کی طرح کرو۔,3.0,3.0,3.0,3.0
کایا کو دکھ دیئے بغیر کوئی کام نہیں ہوتا,"If you want to succeed in your fitness goals, remember that no pain, no gain.","Translate this sentence to Urdu: 'If you want to succeed in your fitness goals, remember that no pain, no gain.'",اگر آپ اپنے فٹنس گولز میں کامیاب ہونا چاہتے ہیں، تو یاد رکھیں کہ بغیر درد کے کوئی فائدہ نہیں۔,اگر آپ اپنی فٹنس کے مقاصد میں کامیاب ہونا چاہتے ہیں، تو یاد رکھیں کہ بغیر محنت کے کچھ حاصل نہیں ہوتا۔,3.0,3.0,2.0,3.0
ایک تھیلی کے چٹے بٹے,The team is divided into people of the same region batting against the others and birds of a feather flock together .,Translate this sentence to Urdu: 'The team is divided into people of the same region batting against the others and birds of a feather flock together .',ٹیم ایک ہی علاقے کے لوگوں میں تقسیم ہوئی ہے جو دوسروں کے خلاف بیٹنگ کر رہے ہیں اور جنور ایک ہی قسم کے ساتھ جم کر رہتے ہیں۔,ٹیم کو ایک ہی علاقے کے لوگوں میں تقسیم کیا گیا ہے جو دوسروں کے خلاف کھیل رہے ہیں اور ایک ہی پر کے پرندے اکٹھے اڑتے ہیں۔,2.0,3.0,1.0,1.0
آگے دوڑ پیچھے چھوڑ,"When assembling the model, John quickly realized that more haste, less speed, as his rushed efforts led to several mistakes.","Translate this sentence to Urdu: 'When assembling the model, John quickly realized that more haste, less speed, as his rushed efforts led to several mistakes.'",جب ماڈل جمع کرتے وقت، جان جلدی سمجھ گیا کہ جلدی میں کندی ہوتی ہے، کیونکہ اس کی جلدی کی کوششوں سے کئی غلطیاں ہو گئیں۔,ماڈل کو جوڑتے وقت، جان نے جلدی سے محسوس کیا کہ جتنی جلدی، اتنی غلطیاں، کیونکہ اس کی جلد بازی میں کئی غلطیاں ہو گئیں۔,3.0,2.0,3.0,2.0
دودھ کس جلا چھاچھ کو بھی پھونک مار کر پیتا ہے,"After his first accident , Sam is quite careful in driving now because a burnt child dreads a fire .","Translate this sentence to Urdu: 'After his first accident , Sam is quite careful in driving now because a burnt child dreads a fire .'",اس کے پہلے حادثے کے بعد، اب سام ہنر مند ہے کیونکہ جلے بچے کو آگ سے خوف ہوتا ہے۔,پہلے حادثے کے بعد، سام اب گاڑی چلاتے وقت کافی محتاط ہے کیونکہ دودھ کا جلا چھاچھ بھی پھونک پھونک کر پیتا ہے۔,3.0,3.0,2.0,3.0
نیم حکیم خطرہ جان,"When it comes to complex medical procedures, a little learning is a dangerous thing, as it might lead you to make harmful decisions without proper expertise.","Translate this sentence to Urdu: 'When it comes to complex medical procedures, a little learning is a dangerous thing, as it might lead you to make harmful decisions without proper expertise.'",جب بات پیچیدہ طبی عمل کروانے کی آتی ہے، تو تھوڑی سی تعلیم خطرناک ہو سکتی ہے، کیونکہ یہ آپ کو بغیر صحیح مہارت کے نقصان دہ فیصلے کرنے پر مجبور کر سکتی ہے۔,جب پیچیدہ طبی طریقہ کار کی بات آتی ہے تو تھوڑی سی معلومات خطرناک چیز ہے، کیونکہ یہ آپ کو مناسب مہارت کے بغیر نقصان دہ فیصلے کرنے پر مجبور کر سکتی ہے۔,3.0,3.0,3.0,3.0
کپڑے کو دیکھ کر عزت ملتی ہے,"Despite his humble beginnings, he always believed that clothes make the man, so he dressed impeccably for every opportunity.","Translate this sentence to Urdu: 'Despite his humble beginnings, he always believed that clothes make the man, so he dressed impeccably for every opportunity.'","""اپنی معمولی شروعات کے باوجود، وہ ہمیشہ یقین رکھتا تھا کہ لباس آدمی کو بناتا ہے، اس لئے وہ ہر موقع پر بے عیب پوشاک پہنتا تھا۔""",'اپنی معمولی شروعات کے باوجود، وہ ہمیشہ یقین رکھتا تھا کہ کپڑے آدمی کی پہچان ہوتے ہیں، اس لیے وہ ہر موقع کے لیے بہترین لباس پہنتا تھا۔',3.0,3.0,3.0,3.0
دور کے ڈھول سُہانے,"Even though she loved her job, she couldn't shake the feeling that the grass was greener on the other side when she saw her friends traveling the world.","Translate this sentence to Urdu: 'Even though she loved her job, she couldn't shake the feeling that the grass was greener on the other side when she saw her friends traveling the world.'",اگرچہ اسے اپنی نوکری سے محبت تھی، لیکن جب اس نے دیکھا کہ اس کے دوست دنیا بھر میں سیر کر رہے ہیں تو اسے یہ محسوس ہوا کہ دوسری طرف ہریالی زیادہ ہے۔,اگرچہ وہ اپنی نوکری سے محبت کرتی تھی، جب وہ اپنے دوستوں کو دنیا بھر میں سفر کرتے ہوئے دیکھتی تھی تو اسے لگتا تھا کہ دوسری طرف کی گھاس زیادہ سبز ہے۔,3.0,3.0,3.0,3.0
بہتی گنگا میں ہاتھ دھونا,"With the market booming, now is the perfect time to invest and make hay while the sun shines.","Translate this sentence to Urdu: 'With the market booming, now is the perfect time to invest and make hay while the sun shines.'",بازار کی بڑھتی ہوئی حالت میں، اب سرمایہ کاری کرنے اور موسم کے روشنی میں چندی لوٹنے کا مواقع ہے۔,بازار عروج پر ہے، اب سرمایہ کاری کرنے اور جب تک وقت سازگار ہے فائدہ اٹھانے کا بہترین موقع ہے۔,2.0,2.0,1.0,3.0
انگور کھٹے ہیں,"After losing the competition, Jake dismissed the winner's talent as mere luck, but his friends could tell it was just sour grapes.","Translate this sentence to Urdu: 'After losing the competition, Jake dismissed the winner's talent as mere luck, but his friends could tell it was just sour grapes.'","جیک نے مقابلہ ہارنے کے بعد, جیتنے والے کی صلاحیت کو بس قسمت ہونے کی نظر سے خارج کیا, مگر اس کے دوست بتا سکتے تھے کہ یہ صرف خود کو شکریہ کہنا تھا۔",مقابلہ ہارنے کے بعد، جیک نے فاتح کی صلاحیت کو محض قسمت کہہ کر ٹال دیا، لیکن اس کے دوست سمجھ گئے کہ یہ صرف کھٹے انگور ہیں۔,1.0,3.0,1.0,3.0
بندر کیا جانے ادرک کا سواد,Sharing your intricate poetry with them is like casting pearls before swine.,Translate this sentence to Urdu: 'Sharing your intricate poetry with them is like casting pearls before swine.',ان کے ساتھ اپنی پیچیدہ شاعری بانٹنا گندے سور کے سامنے موتی پھینکنے جیسا ہے۔,ان کے ساتھ اپنی پیچیدہ شاعری بانٹنا گویا بھینس کے آگے بین بجانا ہے۔,3.0,2.0,3.0,3.0
آگے کنواں پیچھے کھائی,"Facing the decision to either betray his friend's trust or lose his job, John felt like he was caught between the devil and the deep blue sea.","Translate this sentence to Urdu: 'Facing the decision to either betray his friend's trust or lose his job, John felt like he was caught between the devil and the deep blue sea.'",جان کو اپنے دوست کے اعتبار کو دھوکا دینے یا اپنی نوکری کھونے کے فیصلے کا سامنا کرنا پڑا، اس نے محسوس کیا کہ وہ شیطان اور گہری نیلا سمندر کے بیچ پھنس گیا تھا۔,جان کو ایسا لگ رہا تھا جیسے وہ شیطان اور گہرے سمندر کے درمیان پھنس گیا ہو، کیونکہ اسے اپنے دوست کے اعتماد کو دھوکہ دینے یا اپنی نوکری کھونے کا فیصلہ کرنا تھا۔,3.0,3.0,1.0,3.0
ناچ نہ جانے آنگھن ٹیڑھا,"Despite his constant complaints about the outdated software, his colleagues reminded him that it is a poor workman who blames his tools.","Translate this sentence to Urdu: 'Despite his constant complaints about the outdated software, his colleagues reminded him that it is a poor workman who blames his tools.'",اس کے ہمیشہ کلام کرنے پر بھی کہ پرانے سافٹ ویئر کے بارے میں، اس کے ساتھیوں نے اسے یاد دلایا کہ وہی بدکار کاریگر ہوتا ہے جو اپنے آلات کو ملامت کرتا ہے۔,اس کے مسلسل پرانے سافٹ ویئر کی شکایات کے باوجود، اس کے ساتھیوں نے اسے یاد دلایا کہ کمزور کاریگر ہی اپنے اوزاروں کو الزام دیتا ہے۔,3.0,3.0,3.0,3.0
اب پچھتائے کیا، جب چڑیاں چگ گئیں کھیت,"Even though the project didn't turn out as planned, there's no use crying over spilt milk; let's focus on how to fix it.","Translate this sentence to Urdu: 'Even though the project didn't turn out as planned, there's no use crying over spilt milk; let's focus on how to fix it.'",جب کہ منصوبہ منصوبہ کے مطابق نہیں نکلا، تو اس پر رونا بازاروں میں نہیں لیتا؛ ہمیں صرف یہ دیکھنا چاہیے کہ اس کو کیسے درست کیا جا سکتا ہے۔,اگرچہ منصوبہ توقع کے مطابق نہیں ہوا، پر روتے رہنے کا کوئی فائدہ نہیں؛ آئیے اس کو ٹھیک کرنے پر توجہ دیں۔,2.0,3.0,1.0,3.0
جتنی چادر ہو اتنا پیر پھیلاو,"Given the tight budget this month, we'll have to cut our coat according to our cloth and limit our expenses.","Translate this sentence to Urdu: 'Given the tight budget this month, we'll have to cut our coat according to our cloth and limit our expenses.'",اس مہینے کی تنگ بجٹ کے موازنے میں، ہمیں اپنی چادر کے موافق کپڑے کاٹنے پڑیں گے اور اپنے اخراجات محدود کرنے پڑیں گے۔,'اس مہینے کے تنگ بجٹ کو دیکھتے ہوئے ہمیں اپنے اخراجات کو محدود کرنا پڑے گا۔',2.0,1.0,3.0,1.0
دودھ کا جلا چھاچھ بھی پھونک کر پیتا ہے,"He expects everyone to do the work on his behalf , once bitten twice shy .","Translate this sentence to Urdu: 'He expects everyone to do the work on his behalf , once bitten twice shy .'",وہ ہر کسی سے امید کرتا ہے کہ کام اپنی جانب سے کرے، ایک بار کٹا دو بار چاوٹ کھاتا ہے۔,وہ توقع کرتا ہے کہ ہر کوئی اس کی طرف سے کام کرے، ایک بار ڈسا گیا تو دوبارہ محتاط ہو جاتا ہے۔,3.0,3.0,1.0,1.0
جیسا دیس ویسا بھیس,"My mother always told us that when in Rome , do as the Romans .","Translate this sentence to Urdu: 'My mother always told us that when in Rome , do as the Romans .'",میری ماں ہمیشہ ہمیں بتاتی تھی کہ جب روم میں ہو تو روم والوں کی طرح ہوجاؤ۔,میری ماں ہمیشہ ہمیں کہتی تھیں کہ جب روم میں ہو، تو رومیوں کی طرح کرو۔,3.0,3.0,3.0,3.0
چور چور مسیرے بھائی,The team is divided into people of the same region batting against the others and birds of a feather flock together .,Translate this sentence to Urdu: 'The team is divided into people of the same region batting against the others and birds of a feather flock together .',ٹیم مختلف علاقوں کے لوگوں میں تقسیم ہے جو دوسروں کے خلاف بیٹنگ کر رہے ہیں اور جو ایک ہی قسم کے لوگ ہوں وہ اکٹھے ہوتے ہیں۔,ٹیم کو ایک ہی علاقے کے لوگوں میں تقسیم کیا گیا ہے جو دوسروں کے خلاف کھیل رہے ہیں اور ایک ہی پر کے پرندے اکٹھے اڑتے ہیں۔,3.0,3.0,1.0,1.0
لوہے کے چنے چبانا,"Using a sledgehammer to crack a nut, the company implemented an overly complex system to solve a simple problem.","Translate this sentence to Urdu: 'Using a sledgehammer to crack a nut, the company implemented an overly complex system to solve a simple problem.'",شہرت پانے کے لیے ایک کنکرا نوٹ کو توڑنے کے لیے، کمپنی نے ایک زیادہ پیچیدہ نظام لگایا تھا تاکہ ایک آسان مسئلہ حل ہو سکے۔,ایک چھوٹے مسئلے کو حل کرنے کے لیے کمپنی نے ایک بہت پیچیدہ نظام نافذ کیا، جیسے کہ ایک معمولی سی چیز کو توڑنے کے لیے بھاری ہتھوڑے کا استعمال کرنا۔,1.0,3.0,1.0,3.0
بھینس کے آگے بین بجانا,The tales are interesting if you are into that kind of thing but for me it is like listening to a voice crying in the wilderness .,Translate this sentence to Urdu: 'The tales are interesting if you are into that kind of thing but for me it is like listening to a voice crying in the wilderness .',کہانیاں دلچسپ ہوتی ہیں اگر آپ اس قسم کے چیزوں میں دلچسپی رکھتے ہیں مگر میرے لیے یہ کسی پرہیزگار میں آواز سننے کی طرح ہے۔,کہانیاں دلچسپ ہیں اگر آپ کو ایسی چیزوں میں دلچسپی ہو، لیکن میرے لیے یہ جنگل میں کسی کی آواز سننے جیسا ہے۔,2.0,3.0,1.0,2.0
اونٹ کے منہ میں زیرا,"Donating a few dollars to the cause felt like a drop in the bucket, but every little bit helps.","Translate this sentence to Urdu: 'Donating a few dollars to the cause felt like a drop in the bucket, but every little bit helps.'",قربانی کرنا تھوڑے ہی ڈالر کی بناوٹ محسوس ہوتی تھی، مگر ہر چھوٹی مدد کام آتی ہے۔,اس مقصد کے لئے چند ڈالر عطیہ کرنا سمندر میں قطرے کے برابر لگا، لیکن ہر چھوٹی مدد بھی اہم ہوتی ہے۔,2.0,3.0,2.0,3.0
بخل میں چھری منہ پے رام رام,"Despite his friendly demeanor, many suspected he was a wolf in sheep's clothing, hiding his true intentions.","Translate this sentence to Urdu: 'Despite his friendly demeanor, many suspected he was a wolf in sheep's clothing, hiding his true intentions.'",اپنے دوستانہ مزاج کے باوجود، بہت سے لوگوں نے شک کیا کہ وہ بھیڑوں کے جلے ہوئے لباس میں بھیڑے کا چھپا ہوا ہے اور اپنی اصل مقاصد چھپا رہا ہے۔,اگرچہ اس کا دوستانہ رویہ تھا، بہت سے لوگ شک کرتے تھے کہ وہ بھیڑ کی کھال میں بھیڑیا ہے، اپنی اصلی نیت چھپا رہا ہے۔,3.0,3.0,1.0,3.0
نیم حکیم خطرہ جان,"When John tried to fix the electrical wiring in his house after watching a few online tutorials, he quickly discovered that a little learning is a dangerous thing.","Translate this sentence to Urdu: 'When John tried to fix the electrical wiring in his house after watching a few online tutorials, he quickly discovered that a little learning is a dangerous thing.'",جب جان نے اپنے گھر کی بجلی کی تاروں کو درست کرنے کی کوشش کی، اور کچھ آن لائن ٹیوٹوریل دیکھنے کے بعد، انہوں نے جلد ہی معلوم کیا کہ تھوڑی سی تعلیم خطرناک ہوتی ہے۔,جب جان نے چند آن لائن ٹیوٹوریلز دیکھنے کے بعد اپنے گھر کی برقی وائرنگ کو ٹھیک کرنے کی کوشش کی، تو اسے جلد ہی پتہ چلا کہ تھوڑا علم خطرناک ہوتا ہے۔,3.0,3.0,1.0,3.0
ضرورت ایجاد کی ماں ہے,"When the power went out, we cooked our dinner on a makeshift grill, proving once again that necessity is the mother of invention.","Translate this sentence to Urdu: 'When the power went out, we cooked our dinner on a makeshift grill, proving once again that necessity is the mother of invention.'",جب بجلی گئی تو ہم نے اپنے رات کا کھانا فرضی گرل پر پکایا، ایک بار پھر ثابت ہوا کہ ضرورت ایجاد کی ماں ہوتی ہے۔,جب بجلی چلی گئی تو ہم نے اپنی رات کا کھانا ایک عارضی گرِل پر پکایا، ایک بار پھر ثابت ہوا کہ ضرورت ایجاد کی ماں ہے۔,3.0,3.0,3.0,3.0
سیوا بن میوا کہاں,"If you want to build muscle, remember that no pain, no gain.","Translate this sentence to Urdu: 'If you want to build muscle, remember that no pain, no gain.'",اگر آپ عضلہ بنانا چاہتے ہیں، تو یاد رکھیں کہ بغیر درد کوئی فائدہ نہیں۔,اگر آپ پٹھے بنانا چاہتے ہیں تو یاد رکھیں کہ محنت کے بغیر کچھ حاصل نہیں ہوتا۔,3.0,3.0,3.0,3.0
سارے انڈے ایک ہی ٹوکری میں مت رکھو,It would be better if you applied to several companies instead of just one ; do n't put all your eggs in one basket .,Translate this sentence to Urdu: 'It would be better if you applied to several companies instead of just one ; do n't put all your eggs in one basket .',"""اگر آپ صرف ایک کمپنی کے لئے نہیں بلکہ کئی کمپنیوں کے لئے درخواست دیں تو بہتر ہوگا؛ اپنے تمام انڈے ایک ہی ٹوکری میں نہ ڈالیں۔""",یہ بہتر ہوگا کہ آپ صرف ایک کے بجائے کئی کمپنیوں میں درخواست دیں؛ اپنا سب کچھ ایک جگہ نہ رکھیں۔,3.0,2.0,3.0,2.0
آسمان سے گرا کھجور میں اٹکا,"In a bid to gain independence , she agreed to get married early , not knowing she was jumping out of the frying pan into the fire .","Translate this sentence to Urdu: 'In a bid to gain independence , she agreed to get married early , not knowing she was jumping out of the frying pan into the fire .'",استقلال حاصل کرنے کی کوشش میں، اس نے جلدی شادی کرنے کو منظور کر لیا، جانتے ہوئے بھی نہیں کہ وہ کھانے میں سے باہر کود جا رہی ہے۔,آزادی حاصل کرنے کی کوشش میں، اس نے جلدی شادی کرنے پر رضامندی دی، یہ جانے بغیر کہ وہ خود کو ایک مصیبت سے نکال کر دوسری میں ڈال رہی ہے۔,1.0,3.0,1.0,3.0
اپنے منہ میاں مٹھو,The crew tried to blow their own trumpet but the manager did not buy their story .,Translate this sentence to Urdu: 'The crew tried to blow their own trumpet but the manager did not buy their story .',طیارہ والوں نے اپنی تاریف کی کوشش کی لیکن مینیجر نے ان کی کہانی پر یقین نہیں کیا۔,عملے نے اپنی تعریفوں کے پل باندھنے کی کوشش کی لیکن مینیجر نے ان کی کہانی کو تسلیم نہیں کیا۔,3.0,3.0,2.0,3.0
بغل میں چھری منہ میں رام رام,"Despite his friendly demeanor, many soon realized he was a wolf in sheep's clothing, manipulating everyone for his own gain.","Translate this sentence to Urdu: 'Despite his friendly demeanor, many soon realized he was a wolf in sheep's clothing, manipulating everyone for his own gain.'",ان کے دوستانہ انداز میں بھی بہت سے لوگ جلد ہی اس بات کا احساس کر گئے کہ وہ بھیڑوں کی کھال میں بھیڑیا ہے، سب کو اپنے فائدے کے لئے متاثر کرنے والا۔,"""دوستانہ رویے کے باوجود، بہت سے لوگوں نے جلد ہی محسوس کیا کہ وہ بھیڑ کی کھال میں بھیڑیا ہے، جو سب کو اپنے فائدے کے لئے دھوکہ دے رہا ہے۔""",3.0,3.0,3.0,3.0
آدمی اپنے دوستو سے پہچناجاتاہے,"Despite the long hours and the lack of recognition, Mark continued to be a company man, always putting the firm's interests above his own.","Translate this sentence to Urdu: 'Despite the long hours and the lack of recognition, Mark continued to be a company man, always putting the firm's interests above his own.'",مارک نے لمبی گھنٹوں اور شناخت کی کمی کے باوجود کمپنی کا آدمی بنا رہا، ہمیشہ اپنے مفاد کے بجائے فرم کے مفاد کو پہلے رکھتا۔,طویل اوقات کار اور عدم شناخت کے باوجود، مارک نے ہمیشہ کمپنی کے مفادات کو اپنے ذاتی مفادات پر ترجیح دی اور کمپنی کے آدمی بنے رہے۔,3.0,3.0,1.0,3.0
