Urdu_Idiom,English_Meaning,Best_Match,Similarity,ai_sentence,Idiomatic_Sent,Translation_Instruction,Urdu_Sentence_3.5,Urdu_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
دودھ کا جلا چھاچھ بھی پھونک کر پیتا ہے,Once bitten twice shy.,"once bitten, twice shy",0.9777610301971436,no,"He expects everyone to do the work on his behalf , once bitten twice shy .","'دودھ کا جلا چھاچھ بھی پھونک کر پیتا ہے' means 'once bitten, twice shy'. Given the above knowledge translate the following sentence to Urdu: 'He expects everyone to do the work on his behalf , once bitten twice shy .'",وہ ہر کسی سے اپنی جانب سے کام کرانے کی توقع رکھتا ہے، دودھ کا جلا چھاچھ بھی پھونک کر پیتا ہے۔,وہ توقع کرتا ہے کہ ہر کوئی اس کی طرف سے کام کرے، دودھ کا جلا چھاچھ بھی پھونک کر پیتا ہے۔,3.0,3.0,3.0,3.0
جیسا دیس ویسا بھیس,In Rome do as the Romans do.,"when in Rome, do as the Romans",0.9076337814331056,no,"My mother always told us that when in Rome , do as the Romans .","'جیسا دیس ویسا بھیس' means 'when in Rome, do as the Romans'. Given the above knowledge translate the following sentence to Urdu: 'My mother always told us that when in Rome , do as the Romans .'",میری ماں ہمیشہ ہمیں یہ بتاتی تھی کہ جیسا دیس ویسا بھیس کرنا چاہئے۔,میری ماں ہمیشہ ہمیں کہتی تھیں کہ جیسا دیس ویسا بھیس۔,3.0,3.0,3.0,3.0
چور چور مسیرے بھائی,Birds of same feather flock together.,birds of a feather flock together,0.9669638872146606,no,The team is divided into people of the same region batting against the others and birds of a feather flock together .,'چور چور مسیرے بھائی' means 'birds of a feather flock together'. Given the above knowledge translate the following sentence to Urdu: 'The team is divided into people of the same region batting against the others and birds of a feather flock together .',ٹیم میں وہ لوگ ہیں جو ایک ہی علاقے کے ہیں جو دوسروں کے خلاف بیٹنگ کر رہے ہیں اور چور چور مسیرے بھائی۔,ٹیم ان لوگوں میں تقسیم ہے جو ایک ہی علاقے سے ہیں اور دوسروں کے خلاف کھیل رہے ہیں اور چور چور مسیرے بھائی۔,2.0,2.0,1.0,1.0
لوہے کے چنے چبانا,Hard nut to crack.,a sledgehammer to crack a nut,0.7545557022094727,yes,"Using a sledgehammer to crack a nut, he installed a state-of-the-art security system just to protect a few old books.","'لوہے کے چنے چبانا' means 'a sledgehammer to crack a nut'. Given the above knowledge translate the following sentence to Urdu: 'Using a sledgehammer to crack a nut, he installed a state-of-the-art security system just to protect a few old books.'",لوہے کے چنے چبانے کے لئے، اس نے صرف کچھ پرانی کتابوں کو محفوظ رکھنے کیلئے ایک حالت کے مطابقت سے سیکیورٹی سسٹم انسٹال کیا۔,لوہے کے چنے چبا کر، اس نے چند پرانی کتابوں کی حفاظت کے لئے جدید ترین سیکورٹی نظام نصب کر دیا۔,1.0,1.0,1.0,1.0
اونٹ کے منہ میں زیرا,A drop in the Ocean,a drop in the bucket (or ocean),0.7384982109069824,yes,"Donating a few dollars might seem like a drop in the bucket, but every bit helps when it comes to charity.","'اونٹ کے منہ میں زیرا' means 'a drop in the bucket (or ocean)'. Given the above knowledge translate the following sentence to Urdu: 'Donating a few dollars might seem like a drop in the bucket, but every bit helps when it comes to charity.'",چند ڈالر دینا اونٹ کے منہ میں زیرا لگنے کی طرح لگتا ہو، مگر خیرات میں ہر قدم کی بڑی بڑی مدد ہوتی ہے۔,چند ڈالر عطیہ کرنا اونٹ کے منہ میں زیرا لگ سکتا ہے، لیکن جب بات خیرات کی ہو تو ہر تھوڑی مدد کام آتی ہے۔,2.0,2.0,2.0,3.0
بھینس کے آگے بین بجانا,Crying in wilderness.,a voice crying in the wilderness,0.8562923669815063,no,The tales are interesting if you are into that kind of thing but for me it is like listening to a voice crying in the wilderness .,'بھینس کے آگے بین بجانا' means 'a voice crying in the wilderness'. Given the above knowledge translate the following sentence to Urdu: 'The tales are interesting if you are into that kind of thing but for me it is like listening to a voice crying in the wilderness .',کہانیاں دلچسپ ہوتی ہیں اگر آپ اس قسم کے چیزوں میں دلچسپی رکھتے ہیں مگر میرے لیے یہ بھینس کے آگے بین بجانا سننے جیسا ہے۔,کہانیاں دلچسپ ہیں اگر آپ کو اس قسم کی چیزوں میں دلچسپی ہے لیکن میرے لئے یہ بھینس کے آگے بین بجانے جیسا ہے۔,3.0,2.0,1.0,1.0
نیم حکیم خطرہ جان,A little Knowledge is a dangerous thing.,a little learning is a dangerous thing,0.7674859166145325,yes,"John thought he could fix the electrical wiring himself, but he quickly realized that a little learning is a dangerous thing.","'نیم حکیم خطرہ جان' means 'a little learning is a dangerous thing'. Given the above knowledge translate the following sentence to Urdu: 'John thought he could fix the electrical wiring himself, but he quickly realized that a little learning is a dangerous thing.'",جان نے سوچا کہ وہ بجلی کی تاریں خود ٹھیک کرسکتا ہے، لیکن جلد ہی اسے معلوم ہوا کہ نیم حکیم خطرہ جان۔,جان نے سوچا کہ وہ خود بجلی کی تاریں ٹھیک کر سکتا ہے، لیکن جلد ہی اسے احساس ہوا کہ نیم حکیم خطرہ جان ہے۔,3.0,3.0,3.0,3.0
بخل میں چھری منہ پے رام رام,A wolf in lamb's clothing.,a wolf in sheep's clothing,0.9790096879005432,yes,"The charming new manager turned out to be a wolf in sheep's clothing, manipulating the team for his own gain.","'بخل میں چھری منہ پے رام رام' means 'a wolf in sheep's clothing'. Given the above knowledge translate the following sentence to Urdu: 'The charming new manager turned out to be a wolf in sheep's clothing, manipulating the team for his own gain.'",خوبصورت نیا منیجر نکلا بخل میں چھری منہ پے رام رام، ٹیم کو اپنے فائدے کے لئے متاثر کرتا ہوا۔,نیا دلکش مینیجر آخرکار بخل میں چھری منہ پے رام رام نکلا، جو اپنی ذاتی فائدے کے لئے ٹیم کو چلا رہا تھا۔,1.0,1.0,1.0,1.0
ضرورت ایجاد کی ماں ہے,Necessity is a mother of invention,necessity is the mother of invention,0.9837034940719604,yes,"When the power went out during the storm, Sarah rigged up a makeshift heater using candles and a clay pot, proving that necessity is the mother of invention.","'ضرورت ایجاد کی ماں ہے' means 'necessity is the mother of invention'. Given the above knowledge translate the following sentence to Urdu: 'When the power went out during the storm, Sarah rigged up a makeshift heater using candles and a clay pot, proving that necessity is the mother of invention.'",جب طوفان میں بجلی گئی تو سارہ نے موم بتیوں اور مٹی کے برتن کا استعمال کرکے ایک بناوٹی ہوئی ہیٹر تعمیر کی، جس نے ثابت کیا کہ ضرورت ایجاد کی ماں ہے۔,جب طوفان کے دوران بجلی چلی گئی، تو سارہ نے موم بتیوں اور مٹی کے برتن کا استعمال کر کے عارضی ہیٹر بنا لیا، ثابت کر دیا کہ ضرورت ایجاد کی ماں ہے۔,3.0,3.0,3.0,3.0
جہاں کا پیئے پانی وہاں کی بولے بانی,While in Rome do as Romans do,"when in Rome, do as the Romans",0.923353374004364,no,"My mother always told us that when in Rome , do as the Romans .","'جہاں کا پیئے پانی وہاں کی بولے بانی' means 'when in Rome, do as the Romans'. Given the above knowledge translate the following sentence to Urdu: 'My mother always told us that when in Rome , do as the Romans .'",میری ماں ہمیشہ ہمیں یہ بتاتی تھی کہ جب روم میں ہو، تو روم والوں کی طرح بن جاؤ۔,میری ماں ہمیشہ ہمیں کہتی تھیں کہ جہاں کا پیئے پانی وہاں کی بولے بانی۔,3.0,3.0,3.0,3.0
کایا کو دکھ دیئے بغیر کوئی کام نہیں ہوتا,"No pain, no gain","no pain, no gain",1.0,yes,"If you want to succeed in your fitness goals, remember that no pain, no gain.","'کایا کو دکھ دیئے بغیر کوئی کام نہیں ہوتا' means 'no pain, no gain'. Given the above knowledge translate the following sentence to Urdu: 'If you want to succeed in your fitness goals, remember that no pain, no gain.'",اگر آپ اپنے فٹنس گولز میں کامیاب ہونا چاہتے ہیں، تو یاد رکھیں کہ بغیر دکھ کے کام نہیں ہو سکتا۔,اگر آپ اپنی فٹنس کے مقاصد میں کامیاب ہونا چاہتے ہیں، تو یاد رکھیں کہ کایا کو دکھ دیئے بغیر کوئی کام نہیں ہوتا۔,3.0,3.0,2.0,1.0
ایک تھیلی کے چٹے بٹے,Birds of a feather flock together,birds of a feather flock together,1.0000001192092896,no,The team is divided into people of the same region batting against the others and birds of a feather flock together .,'ایک تھیلی کے چٹے بٹے' means 'birds of a feather flock together'. Given the above knowledge translate the following sentence to Urdu: 'The team is divided into people of the same region batting against the others and birds of a feather flock together .',ٹیم ایک ہی علاقے کے لوگوں میں تقسیم ہے جو دوسروں کے خلاف بیٹنگ کر رہے ہیں اور ایک تھیلی کے چٹے بٹے۔,ٹیم ان لوگوں میں تقسیم ہو گئی ہے جو ایک ہی علاقے کے ہیں اور باقیوں کے خلاف بیٹنگ کر رہے ہیں اور ایک تھیلی کے چٹے بٹے ہیں۔,1.0,2.0,1.0,3.0
آگے دوڑ پیچھے چھوڑ,"To more haste, the worse speed","more haste, less speed",0.8520088195800781,yes,"When assembling the model, John quickly realized that more haste, less speed, as his rushed efforts led to several mistakes.","'آگے دوڑ پیچھے چھوڑ' means 'more haste, less speed'. Given the above knowledge translate the following sentence to Urdu: 'When assembling the model, John quickly realized that more haste, less speed, as his rushed efforts led to several mistakes.'",جب ماڈل جوڑنے لگا، جان نے جلد ہی محسوس کیا کہ زیادہ تیزی، کم ترقی ہوتی ہے، کیونکہ اس کی جلدبازی نے کئی غلطیاں کیں۔,ماڈل کو جوڑتے ہوئے، جان نے جلدی سے یہ احساس کیا کہ آگے دوڑ پیچھے چھوڑ، کیونکہ اس کی جلد بازی کی وجہ سے کئی غلطیاں ہوئیں۔,2.0,2.0,2.0,3.0
دودھ کس جلا چھاچھ کو بھی پھونک مار کر پیتا ہے,A burnt child dreads the fire,a burnt child dreads the fire,1.0000001192092896,no,"After his first accident , Sam is quite careful in driving now because a burnt child dreads a fire .","'دودھ کس جلا چھاچھ کو بھی پھونک مار کر پیتا ہے' means 'a burnt child dreads the fire'. Given the above knowledge translate the following sentence to Urdu: 'After his first accident , Sam is quite careful in driving now because a burnt child dreads a fire .'",'پہلے حادثے کے بعد، سیم اب گاڑی چلانے میں بہت ہوشیار ہے کیونکہ دودھ کس جلا چھاچھ کو بھی پھونک مار کر پیتا ہے',پہلے حادثے کے بعد، سام اب گاڑی چلانے میں بہت محتاط ہے کیونکہ دودھ کا جلا چھاچھ کو بھی پھونک مار کر پیتا ہے۔,3.0,3.0,3.0,3.0
نیم حکیم خطرہ جان,A little knowledge is a dangerous thing,a little learning is a dangerous thing,0.7769099473953247,yes,"When it comes to complex medical procedures, a little learning is a dangerous thing, as it might lead you to make harmful decisions without proper expertise.","'نیم حکیم خطرہ جان' means 'a little learning is a dangerous thing'. Given the above knowledge translate the following sentence to Urdu: 'When it comes to complex medical procedures, a little learning is a dangerous thing, as it might lead you to make harmful decisions without proper expertise.'",جب بات پیچیدہ طبی عمل کرنے کی آتی ہے، تو کم علم بھی خطرناک ہو سکتا ہے، کیونکہ یہ آپ کو بغیر صحیح مہارت کے نقصان دہ فیصلے کرنے پر لے جا سکتا ہے۔,جب پیچیدہ طبی طریقہ کار کی بات آتی ہے تو نیم حکیم خطرہ جان ہوتا ہے، کیونکہ اس سے آپ مناسب مہارت کے بغیر نقصان دہ فیصلے کر سکتے ہیں۔,3.0,3.0,3.0,3.0
کپڑے کو دیکھ کر عزت ملتی ہے,Style makes the man,clothes make the man,0.7436975240707397,yes,"Despite his humble beginnings, he always believed that clothes make the man, so he dressed impeccably for every opportunity.","'کپڑے کو دیکھ کر عزت ملتی ہے' means 'clothes make the man'. Given the above knowledge translate the following sentence to Urdu: 'Despite his humble beginnings, he always believed that clothes make the man, so he dressed impeccably for every opportunity.'",اس کے متواضع آغاز کے باوجود، اس نے ہمیشہ یقین رکھا کہ کپڑے آدمی کو بناتے ہیں، اس لئے وہ ہر موقع پر بے نقص لباس پہنتا تھا۔,اپنے معمولی آغاز کے باوجود، وہ ہمیشہ یقین رکھتا تھا کہ کپڑے کو دیکھ کر عزت ملتی ہے، اس لئے وہ ہر موقعے کے لئے بے حد شاندار لباس پہنتا تھا۔,3.0,3.0,3.0,2.0
دور کے ڈھول سُہانے,The grass is always greener on the other side,grass is greener on the other side,0.9177795648574828,yes,"Even though she loved her job, she couldn't shake the feeling that the grass was greener on the other side when she saw her friends traveling the world.","'دور کے ڈھول سُہانے' means 'grass is greener on the other side'. Given the above knowledge translate the following sentence to Urdu: 'Even though she loved her job, she couldn't shake the feeling that the grass was greener on the other side when she saw her friends traveling the world.'",اگرچہ اس نے اپنے کام سے محبت کی تھی، مگر جب اس نے دوستوں کو دنیا گھومتے ہوئے دیکھا تو اسے یہ محسوس ہوا کہ دور کے ڈھول سُہانے ہیں۔,اگرچہ وہ اپنی ملازمت سے محبت کرتی تھی، لیکن جب وہ اپنے دوستوں کو دنیا بھر میں سفر کرتے ہوئے دیکھتی تو اسے یہ احساس نہیں جاتا تھا کہ دور کے ڈھول سُہانے ہیں۔,3.0,3.0,3.0,3.0
بہتی گنگا میں ہاتھ دھونا,To use the available opportunity,make hay while the sun shines,0.7795696258544922,yes,"With the market booming, now is the perfect time to invest and make hay while the sun shines.","'بہتی گنگا میں ہاتھ دھونا' means 'make hay while the sun shines'. Given the above knowledge translate the following sentence to Urdu: 'With the market booming, now is the perfect time to invest and make hay while the sun shines.'",بازار کی تیزی سے، اب سہی وقت ہے کہ آپ سرمایہ کاری کریں اور جب دن روشن ہے تو ہی گھاس ۈوندیں۔,مارکیٹ عروج پر ہے، اس لیے سرمایہ کاری کرنے اور بہتی گنگا میں ہاتھ دھونے کا بہترین وقت ہے۔,2.0,2.0,1.0,3.0
انگور کھٹے ہیں,Sour grapes,sour grapes,1.0,yes,"After losing the competition, Jake dismissed the winner's talent as mere luck, but his friends could tell it was just sour grapes.","'انگور کھٹے ہیں' means 'sour grapes'. Given the above knowledge translate the following sentence to Urdu: 'After losing the competition, Jake dismissed the winner's talent as mere luck, but his friends could tell it was just sour grapes.'",ہارنے کے بعد، جیک نے برتری حاصل کرنے والے کی صلاحیت کو صرف بخت قرار دیا، لیکن اس کے دوستوں نے اسے بس انگور کھٹے ہیں سمجھا۔,مقابلہ ہارنے کے بعد، جیک نے فاتح کی صلاحیت کو محض قسمت کہہ کر ٹال دیا، لیکن اس کے دوست سمجھ گئے کہ یہ صرف انگور کھٹے ہیں۔,3.0,2.0,3.0,2.0
بندر کیا جانے ادرک کا سواد,Casting pearls before swine,cast pearls before swine,0.9252103567123412,yes,Sharing your intricate poetry with them is like casting pearls before swine.,'بندر کیا جانے ادرک کا سواد' means 'cast pearls before swine'. Given the above knowledge translate the following sentence to Urdu: 'Sharing your intricate poetry with them is like casting pearls before swine.',ان کے ساتھ اپنی پیچیدہ شاعری کا اشتراک کرنا بندر کیا جانے ادرک کا سواد ہے۔,ان کے ساتھ اپنی پیچیدہ شاعری بانٹنا بندر کیا جانے ادرک کا سواد کے مترادف ہے۔,1.0,1.0,1.0,3.0
آگے کنواں پیچھے کھائی,Between the devil and the deep-sea,between the devil and the deep blue sea,0.928279459476471,yes,"Facing the decision to either betray his friend's trust or lose his job, John felt like he was caught between the devil and the deep blue sea.","'آگے کنواں پیچھے کھائی' means 'between the devil and the deep blue sea'. Given the above knowledge translate the following sentence to Urdu: 'Facing the decision to either betray his friend's trust or lose his job, John felt like he was caught between the devil and the deep blue sea.'",جان کو اپنے دوست کی اعتماد کو خیانت کرنے یا اپنی نوکری کھونے کا فیصلہ کرنا ہے، وہ محسور کی طرح محسوس کرتا ہے کہ وہ آگے کنواں پیچھے کھائی میں پھنسا ہوا ہے۔,دوست کے اعتماد کو دھوکہ دینے یا اپنی نوکری کھونے کے فیصلے کا سامنا کرتے ہوئے، جان کو لگا کہ وہ آگے کنواں پیچھے کھائی میں پھنس گیا ہے۔,3.0,3.0,3.0,3.0
ناچ نہ جانے آنگھن ٹیڑھا,A poor worker blames his tools,it is a poor workman who blames his tools,0.881331205368042,yes,"Despite his constant complaints about the outdated software, his colleagues reminded him that it is a poor workman who blames his tools.","'ناچ نہ جانے آنگھن ٹیڑھا' means 'it is a poor workman who blames his tools'. Given the above knowledge translate the following sentence to Urdu: 'Despite his constant complaints about the outdated software, his colleagues reminded him that it is a poor workman who blames his tools.'",ان کے ساتھیوں نے انہیں یاد دلایا کہ وہ جو کام کرنے والے کو آلات کا الزام دیتا ہے وہ بہترین نہیں ہوتا۔,باوجود اس کے کہ وہ مسلسل پرانے سافٹ ویئر کی شکایت کرتا رہتا تھا، اس کے ساتھیوں نے اسے یاد دلایا کہ ناچ نہ جانے آنگھن ٹیڑھا۔,2.0,2.0,1.0,3.0
اب پچھتائے کیا، جب چڑیاں چگ گئیں کھیت,No use crying over spilled milk,don't cry over spilt milk,0.767909049987793,yes,"Even though the project didn't turn out as planned, there's no use crying over spilt milk; let's focus on how to fix it.","'اب پچھتائے کیا، جب چڑیاں چگ گئیں کھیت' means 'don't cry over spilt milk'. Given the above knowledge translate the following sentence to Urdu: 'Even though the project didn't turn out as planned, there's no use crying over spilt milk; let's focus on how to fix it.'",جیسا کہ منصوبہ منصوبہ تھا، اس کی تعمیل میں ناکام رہے، اب پچھتائے کیا، جب چڑیاں چگ گئیں کھیت۔ ہمیں اسے کیسے درست کرنے پر توجہ دینی چاہئے۔,اگرچہ منصوبہ توقع کے مطابق نہیں ہوا، اب پچھتائے کیا، جب چڑیاں چگ گئیں کھیت؛ آئیے اس کو ٹھیک کرنے پر توجہ دیں۔,3.0,3.0,3.0,3.0
جتنی چادر ہو اتنا پیر پھیلاو,Cut your coat according to your cloth,cut your coat according to your cloth,1.0,yes,"Given the tight budget this month, we'll have to cut our coat according to our cloth and limit our expenses.","'جتنی چادر ہو اتنا پیر پھیلاو' means 'cut your coat according to your cloth'. Given the above knowledge translate the following sentence to Urdu: 'Given the tight budget this month, we'll have to cut our coat according to our cloth and limit our expenses.'",اس مہینے میں تنگ بجٹ کے مواقع پر، ہمیں اپنی چادر کو اپنے کپڑے کے مطابق کاٹنا ہوگا اور اپنے اخراجات محدود رکھنے ہوں گے۔,اس مہینے کے محدود بجٹ کو دیکھتے ہوئے، ہمیں جتنی چادر ہو اتنا پیر پھیلانا ہوگا اور اپنے اخراجات محدود کرنا ہوں گے۔,2.0,3.0,3.0,3.0
دودھ کا جلا چھاچھ بھی پھونک کر پیتا ہے,Once bitten twice shy,"once bitten, twice shy",0.9836795330047609,no,"He expects everyone to do the work on his behalf , once bitten twice shy .","'دودھ کا جلا چھاچھ بھی پھونک کر پیتا ہے' means 'once bitten, twice shy'. Given the above knowledge translate the following sentence to Urdu: 'He expects everyone to do the work on his behalf , once bitten twice shy .'",وہ ہر کسی سے اپنی جگہ پر کام کروانے کی توقع رکھتا ہے، دودھ کا جلا چھاچھ بھی پھونک کر پیتا ہے۔,وہ توقع کرتا ہے کہ ہر کوئی اس کے کام اس کی طرف سے کرے، دودھ کا جلا چھاچھ بھی پھونک کر پیتا ہے۔,3.0,3.0,3.0,3.0
جیسا دیس ویسا بھیس,In Rome do as the Romans do,"when in Rome, do as the Romans",0.930048942565918,no,"My mother always told us that when in Rome , do as the Romans .","'جیسا دیس ویسا بھیس' means 'when in Rome, do as the Romans'. Given the above knowledge translate the following sentence to Urdu: 'My mother always told us that when in Rome , do as the Romans .'",میری ماں ہمیشہ ہمیں کہتی تھیں کہ جب روم میں ہو، تو جیسے روم ویسے بھیس کر۔,میری ماں ہمیشہ ہمیں کہتی تھیں کہ جیسا دیس ویسا بھیس۔,3.0,3.0,3.0,3.0
چور چور مسیرے بھائی,Birds of the same feather flock together,birds of a feather flock together,0.9608385562896729,no,The team is divided into people of the same region batting against the others and birds of a feather flock together .,'چور چور مسیرے بھائی' means 'birds of a feather flock together'. Given the above knowledge translate the following sentence to Urdu: 'The team is divided into people of the same region batting against the others and birds of a feather flock together .',ٹیم وہ لوگوں میں تقسیم ہوئی ہے جو ایک ہی علاقے کے خلاف بیٹنگ کرتے ہیں اور چور چور مسیرے بھائی۔,ٹیم ان لوگوں میں تقسیم ہے جو ایک ہی علاقے کے ہیں اور باقیوں کے خلاف بیٹنگ کر رہے ہیں اور چور چور مسیرے بھائی ۔,3.0,2.0,1.0,1.0
لوہے کے چنے چبانا,Hard nut to crack,a sledgehammer to crack a nut,0.7406041622161865,yes,"Using a sledgehammer to crack a nut, the company implemented an overly complex system to solve a simple problem.","'لوہے کے چنے چبانا' means 'a sledgehammer to crack a nut'. Given the above knowledge translate the following sentence to Urdu: 'Using a sledgehammer to crack a nut, the company implemented an overly complex system to solve a simple problem.'",لوہے کے چنے چبانے کے ذریعے، کمپنی نے ایک آسان مسئلے کا حل کرنے کے لیے ایک بے ضرورت پیچیدہ نظام لاگو کیا۔,کمپنی نے ایک سیدھے مسئلے کو حل کرنے کے لئے لوہے کے چنے چبانے کی طرح ایک انتہائی پیچیدہ نظام نافذ کیا۔,2.0,2.0,1.0,1.0
بھینس کے آگے بین بجانا,Crying in the wilderness,a voice crying in the wilderness,0.857506513595581,no,The tales are interesting if you are into that kind of thing but for me it is like listening to a voice crying in the wilderness .,'بھینس کے آگے بین بجانا' means 'a voice crying in the wilderness'. Given the above knowledge translate the following sentence to Urdu: 'The tales are interesting if you are into that kind of thing but for me it is like listening to a voice crying in the wilderness .',کہانیاں دلچسپ ہیں اگر آپ اس قسم کی چیزوں میں دلچسپی رکھتے ہیں مگر میرے لیے یہ بھینس کے آگے بین بجانا سننے جیسا ہے۔,کہانیاں دلچسپ ہیں اگر آپ کو ایسی چیزوں میں دلچسپی ہے لیکن میرے لئے یہ بھینس کے آگے بین بجانے کے مترادف ہے۔,2.0,2.0,1.0,1.0
اونٹ کے منہ میں زیرا,A drop in the Ocean,a drop in the bucket (or ocean),0.7384982109069824,yes,"Donating a few dollars to the cause felt like a drop in the bucket, but every little bit helps.","'اونٹ کے منہ میں زیرا' means 'a drop in the bucket (or ocean)'. Given the above knowledge translate the following sentence to Urdu: 'Donating a few dollars to the cause felt like a drop in the bucket, but every little bit helps.'",قضیہ کے لئے چند ڈالر دینا اونٹ کے منہ میں زیرا محسوس ہوا، لیکن ہر چھوٹی چیز مدد کرتی ہے۔,چند ڈالر عطیہ کرنا اونٹ کے منہ میں زیرا محسوس ہوا، لیکن ہر چھوٹی مدد اہم ہے۔,2.0,2.0,2.0,2.0
بخل میں چھری منہ پے رام رام,A wolf in lamb’s clothing,a wolf in sheep's clothing,0.9749449491500854,yes,"Despite his friendly demeanor, many suspected he was a wolf in sheep's clothing, hiding his true intentions.","'بخل میں چھری منہ پے رام رام' means 'a wolf in sheep's clothing'. Given the above knowledge translate the following sentence to Urdu: 'Despite his friendly demeanor, many suspected he was a wolf in sheep's clothing, hiding his true intentions.'",ان کے دوستانہ سلوک کے باوجود، بہت سے لوگوں نے شک کیا کہ وہ ایک بخل میں چھری منہ پے رام رام ہے، اپنی اصل مقاصد چھپا کر۔,اُس کے دوستانہ انداز کے باوجود، بہت سے لوگوں کو شک تھا کہ وہ بخل میں چھری منہ پے رام رام ہے، اپنی اصلی نیتیں چھپائے ہوئے۔,1.0,1.0,1.0,1.0
نیم حکیم خطرہ جان,A little Knowledge is a dangerous thing,a little learning is a dangerous thing,0.7769099473953247,yes,"When John tried to fix the electrical wiring in his house after watching a few online tutorials, he quickly discovered that a little learning is a dangerous thing.","'نیم حکیم خطرہ جان' means 'a little learning is a dangerous thing'. Given the above knowledge translate the following sentence to Urdu: 'When John tried to fix the electrical wiring in his house after watching a few online tutorials, he quickly discovered that a little learning is a dangerous thing.'",جب جان نے کچھ آن لائن ٹیوٹوریل دیکھ کر اپنے گھر کی بجلی کی تاروں کو ٹھیک کرنے کی کوشش کی، اس نے جلد ہی محسوس کیا کہ تھوڑی سی تعلیم خطرناک ہوتی ہے۔,جب جان نے چند آن لائن ٹیوٹوریلز دیکھنے کے بعد اپنے گھر کی برقی وائرنگ ٹھیک کرنے کی کوشش کی، تو اس نے جلد ہی دریافت کیا کہ نیم حکیم خطرہ جان ہوتا ہے۔,3.0,3.0,3.0,3.0
ضرورت ایجاد کی ماں ہے,Necessity is a mother of invention,necessity is the mother of invention,0.9837034940719604,yes,"When the power went out, we cooked our dinner on a makeshift grill, proving once again that necessity is the mother of invention.","'ضرورت ایجاد کی ماں ہے' means 'necessity is the mother of invention'. Given the above knowledge translate the following sentence to Urdu: 'When the power went out, we cooked our dinner on a makeshift grill, proving once again that necessity is the mother of invention.'",جب بجلی چلی گئی، ہم نے اپنی رات کا کھانا ایک جگہ جلانے والے گرل پر پکایا، ایک بار پھر ثابت ہوا کہ ضرورت ایجاد کی ماں ہے۔,جب بجلی چلی گئی، تو ہم نے ایک عارضی گرل پر اپنا کھانا پکایا، جس سے ایک بار پھر ثابت ہوا کہ ضرورت ایجاد کی ماں ہے۔,3.0,3.0,3.0,3.0
سیوا بن میوا کہاں,No pains no gains,"no pain, no gain",0.8317018747329712,yes,"If you want to build muscle, remember that no pain, no gain.","'سیوا بن میوا کہاں' means 'no pain, no gain'. Given the above knowledge translate the following sentence to Urdu: 'If you want to build muscle, remember that no pain, no gain.'",اگر آپ عضلے بنانا چاہتے ہیں، تو یاد رکھیں کہ 'سیوا بن میوا کہاں'۔,اگر آپ پٹھے بنانا چاہتے ہیں تو یاد رکھیں کہ سیوا بن میوا کہاں۔,1.0,1.0,1.0,1.0
سارے انڈے ایک ہی ٹوکری میں مت رکھو,Do not put all your eggs in one basket,don't put all your eggs in one basket,0.9629383087158204,no,It would be better if you applied to several companies instead of just one ; do n't put all your eggs in one basket .,'سارے انڈے ایک ہی ٹوکری میں مت رکھو' means 'don't put all your eggs in one basket'. Given the above knowledge translate the following sentence to Urdu: 'It would be better if you applied to several companies instead of just one ; do n't put all your eggs in one basket .',ایسا بہتر ہوگا کہ آپ صرف ایک ہی کمپنی کی بجائے کئی کمپنیوں میں درخواست دیں؛ ایک ہی ٹوکری میں سارے انڈے نہ رکھیں۔,یہ بہتر ہوگا کہ آپ صرف ایک کے بجائے کئی کمپنیوں میں درخواست دیں؛ سارے انڈے ایک ہی ٹوکری میں مت رکھو۔,3.0,3.0,3.0,3.0
آسمان سے گرا کھجور میں اٹکا,Out of the frying pan into the fire,out of the frying pan into the fire,1.0,no,"In a bid to gain independence , she agreed to get married early , not knowing she was jumping out of the frying pan into the fire .","'آسمان سے گرا کھجور میں اٹکا' means 'out of the frying pan into the fire'. Given the above knowledge translate the following sentence to Urdu: 'In a bid to gain independence , she agreed to get married early , not knowing she was jumping out of the frying pan into the fire .'",خود مختاری حاصل کرنے کی کوشش میں، اس نے جلد شادی کرنے کے لئے رضاکاری کی، جانتی ہوئی نہیں کہ وہ آسمان سے گرا کھجور میں اٹکی ہوئی تھی۔,آزادی حاصل کرنے کی کوشش میں، اس نے جلدی شادی کرنے پر رضامندی ظاہر کی، یہ جانے بغیر کہ وہ آسمان سے گرا کھجور میں اٹک رہی ہے۔,2.0,2.0,3.0,3.0
اپنے منہ میاں مٹھو,To blow one's own trumpet.,blow your own trumpet,0.9450893998146056,no,The crew tried to blow their own trumpet but the manager did not buy their story .,'اپنے منہ میاں مٹھو' means 'blow your own trumpet'. Given the above knowledge translate the following sentence to Urdu: 'The crew tried to blow their own trumpet but the manager did not buy their story .',طاقتوری کو اپنے منہ میاں مٹھو کرنے کی کوشش کی، لیکن مینیجر نے ان کی کہانی کو نہیں مانا.,عملے نے اپنے منہ میاں مٹھو بننے کی کوشش کی لیکن منیجر نے ان کی کہانی نہیں مانی۔,3.0,3.0,2.0,3.0
