Idiomatic_Sent,Original_Idiom,Original_Meaning,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
The corrupt official escaped punishment because he has been scratching the minister 's back .,scratch back,To do a favor for someone in the hopes of receiving a favor in return,Translate this sentence to Chinese: 'The corrupt official escaped punishment because he has been scratching the minister 's back .',腐败的官员因为一直在讨好部长，逃过了惩罚。,那个贪官逃脱了惩罚，因为他一直在给部长挠痒痒。,3,2.0,3,1
The prisoner has been awarded the death penalty is cooling his heels until the President evaluates if mercy can be sanctioned .,cool heels,to be made to wait or be kept waiting,Translate this sentence to Chinese: 'The prisoner has been awarded the death penalty is cooling his heels until the President evaluates if mercy can be sanctioned .',这名被判处死刑的囚犯将在总统评估是否可以赦免之前等待。,那个被判死刑的囚犯正在等待总统决定是否可以赦免。,2,2.0,1,1
"No man is an island you know , you will need to call me back to work for you !",no man is an island,Everyone is connected to others and cannot thrive or survive in isolation.,"Translate this sentence to Chinese: 'No man is an island you know , you will need to call me back to work for you !'",没有人是孤岛，你知道的，你需要打电话让我回去为你工作！,没有人是孤岛，你知道的，你还是会需要我回来为你工作的！,3,3.0,3,3
The paintings by this artist are a must have for any good collection to be complete . ',must have,widely believed or accepted to be true; highly probable or certain,Translate this sentence to Chinese: 'The paintings by this artist are a must have for any good collection to be complete . '',这位艺术家的画作是任何优秀收藏品中必不可少的一部分。,这位艺术家的画作是任何优秀收藏必不可少的。,3,3.0,3,3
The employees were up in arms over the management 's plan to discontinue five-day week policy . '',up in arms,"to be angry, upset, or outraged about something",Translate this sentence to Chinese: 'The employees were up in arms over the management 's plan to discontinue five-day week policy . ''',员工们对管理层打算取消五天工作制计划大为震怒。,员工们对管理层计划取消五天工作制的决定非常愤怒。,3,3.0,3,3
I am sure that work to develop a one stop shop will be discussed extensively in this afternoons breakout session .,one stop shop,a place or service that provides all the necessary items or services in one location or from one source,Translate this sentence to Chinese: 'I am sure that work to develop a one stop shop will be discussed extensively in this afternoons breakout session .',我确信今天下午的分组讨论中会广泛讨论建立一站式购物的工作。,我确信在今天下午的小组讨论中，将会广泛讨论建立一站式服务的工作。,3,3.0,1,3
The taxi showed up on the dot .,on the dot,exactly at a specified time; punctual,Translate this sentence to Chinese: 'The taxi showed up on the dot .',出租车准时到达。,出租车准时出现了。,3,3.0,3,3
She is doing quite well in her organisation and is very much in the ascendant to getting the promotion .,in the ascendant,rising or becoming more powerful or influential,Translate this sentence to Chinese: 'She is doing quite well in her organisation and is very much in the ascendant to getting the promotion .',她在她的组织中做得相当不错，并且非常有可能获得晋升。,她在她的组织中表现得很好，并且获得晋升的机会越来越大。,3,3.0,2,2
Raising your children alone without any support would have been so hard and I just think about it and it gives me a chill to the marrow .,chill to the marrow,to be extremely cold or frightened,Translate this sentence to Chinese: 'Raising your children alone without any support would have been so hard and I just think about it and it gives me a chill to the marrow .',没有任何支持独自抚养孩子会非常艰难，我一想到就觉得寒毛竖立。,独自抚养孩子没有任何支持会非常困难，我一想到这就不寒而栗。,2,2.0,1,3
I believed that she was my friend and I ca n't believe that she stabbed me in the back .,stab in the back,"to betray or deceive someone, especially in a sneaky or underhanded way",Translate this sentence to Chinese: 'I believed that she was my friend and I ca n't believe that she stabbed me in the back .',我相信她是我的朋友，无法相信她背后捅了我。,我以为她是我的朋友，真不敢相信她会在背后捅我一刀。,3,3.0,2,3
"Stuart and Harry had been friends once , but after they had a big fallout a few years back , now there is little love lost between them .",no love lost,to have a mutual dislike or animosity towards each other,"Translate this sentence to Chinese: 'Stuart and Harry had been friends once , but after they had a big fallout a few years back , now there is little love lost between them .'",斯图尔特和哈里曾经是朋友，但几年前发生了一次大的矛盾，现在他们之间几乎没有多少爱情了。,斯图尔特和哈里曾经是朋友，但几年前他们发生了一次大的争吵，现在他们之间已经没有什么感情了。,2,2.0,1,3
"If you want to be head and shoulders above the rest , you must work very hard .",head and shoulders above,far superior; much better than,"Translate this sentence to Chinese: 'If you want to be head and shoulders above the rest , you must work very hard .'",如果你想要胜人一筹，就必须努力工作。,如果你想鹤立鸡群，你必须非常努力。,3,3.0,3,3
At the end of a very busy term the teachers will finally be able to see the light of day .,see the light,to finally understand something; to gain insight or realization,Translate this sentence to Chinese: 'At the end of a very busy term the teachers will finally be able to see the light of day .',在一个非常忙碌的学期结束时，老师们终于能够看到阳光。,在一个非常忙碌的学期结束时，老师们终于能够看到曙光。,2,3.0,2,3
The business proposal has taken a quantum leap from when I saw it the last time .,quantum leap,a significant and often sudden advancement or improvement,Translate this sentence to Chinese: 'The business proposal has taken a quantum leap from when I saw it the last time .',这个商业提案从我上次看到它时已经有了质的飞跃。 (Zhège shāngyè tí'ān cóng wǒ shàngcì kàn dào tā shí yǐjīng yǒuliǎo zhì de fēiyuè.),这份商业提案相比我上次看到时有了飞跃性的进步。,3,3.0,3,3
The guest became an absolute pain for the hosts and they were really pleased to see the back of them .,to see the back of,to be glad when someone or something leaves or departs,Translate this sentence to Chinese: 'The guest became an absolute pain for the hosts and they were really pleased to see the back of them .',客人给主人们带来了极大的麻烦，他们真的很高兴看到他们离开了。,这个客人变得让主人非常头疼，他们对他离开感到非常高兴。,3,3.0,2,3
"Girl , do n't ride so high already !",ride high,"to be successful, triumphant, or in a position of power or advantage","Translate this sentence to Chinese: 'Girl , do n't ride so high already !'",女孩，不要那么高骑！,女孩，别骑那么高了！,1,1.0,1,1
"With no clear directions in place , the crowd ran amok at the show .",run amok (amuck),"to behave uncontrollably and with wild, unrestrained behavior","Translate this sentence to Chinese: 'With no clear directions in place , the crowd ran amok at the show .'",没有明确的方向引导，人群在表演中乱了套。,由于没有明确的指示，人群在演出中乱作一团。,3,3.0,3,3
I think you need to cut your children some slack on this .,cut some slack,"to be lenient or forgiving, to give someone a break or relax expectations",Translate this sentence to Chinese: 'I think you need to cut your children some slack on this .',我觉得你需要在这件事上给你的孩子们一些宽容。,我觉得在这件事上你应该对你的孩子们放松一些要求。,3,3.0,3,3
They had fewer people turn out for their party than they anticipated,turn out,to happen or develop in a particular way; to result in a certain outcome,Translate this sentence to Chinese: 'They had fewer people turn out for their party than they anticipated',他们的派对人数比他们预期的要少。,他们的聚会出席人数比预期的要少。,3,3.0,3,3
"Ever since his family found out of his theft , he has been under a cloud .",under a cloud,under suspicion or in disfavor; in a state of disgrace or disrepute,"Translate this sentence to Chinese: 'Ever since his family found out of his theft , he has been under a cloud .'",自从他的家人发现他偷窃后，他就一直背负着阴影。,自从他的家人发现他偷窃以来，他一直忧心忡忡。,2,2.0,2,2
The politician run out of steam to take any action as soon as the elections get over and I have seen it happen over and over again .,run out of steam,"to lose energy, motivation, or momentum; to tire or exhaust",Translate this sentence to Chinese: 'The politician run out of steam to take any action as soon as the elections get over and I have seen it happen over and over again .',这位政治人物在选举结束后立刻失去了行动力，我已经见过这种情况发生多次了。,选举一结束，这位政客就失去了采取行动的动力，而这种情况我已经见过不止一次了。,3,3.0,3,3
I like when things are clearly spelt out instead of being left in a situation with various shades of grey .,shades of grey,refers to a situation or topic that is not clearly defined or is ambiguous,Translate this sentence to Chinese: 'I like when things are clearly spelt out instead of being left in a situation with various shades of grey .',我喜欢事情被清晰地表达出来，而不是让它们被留在一种多种灰色的状况中。,我喜欢事情被清楚地说明，而不是被留在一个模棱两可的状态。,2,3.0,1,3
You 'd better get your act together if you want a raise this year .,get act together,"to organize oneself, get organized, or get one's affairs in order; to start behaving or performing better; to make improvements or show progress",Translate this sentence to Chinese: 'You 'd better get your act together if you want a raise this year .',你最好在想要今年涨工资的话，把自己搞好。,如果你今年想要加薪，你最好做好准备。,2,2.0,1,2
If my boss does n't employ someone to help me soon I do n't know what I am going to do and I ca n't keep my head above water with all of the new orders .,head above water,"to manage to stay out of debt or other trouble, especially in difficult financial or personal circumstances",Translate this sentence to Chinese: 'If my boss does n't employ someone to help me soon I do n't know what I am going to do and I ca n't keep my head above water with all of the new orders .',如果我的老板不尽快雇人来帮助我，我不知道我该怎么办，而且我无法随着新订单的增加保持头脑清醒。,如果我的老板不尽快雇人来帮我，我不知道该怎么办，我无法应付所有的新订单。,2,2.0,1,1
"After having a heated argument the previous night , the young couple kissed and made up and decided to settle their differences amicably .",kiss and make up,to reconcile or resolve a disagreement or conflict,"Translate this sentence to Chinese: 'After having a heated argument the previous night , the young couple kissed and made up and decided to settle their differences amicably .'",昨晚激烈争吵后，年轻夫妇亲吻并决定友好解决分歧。,在前一晚激烈争吵之后，这对年轻情侣亲吻和好，决定友好地解决他们的分歧。,2,3.0,2,3
"Wait , her name is on the tip of my tongue .",on the tip of one’s tongue,,"Translate this sentence to Chinese: 'Wait , her name is on the tip of my tongue .'",等一下，她的名字快要说出口了。,等一下，她的名字就在我嘴边。,2,3.0,2,3
"The person depends on you for his bread and butter , how can you be so thoughtless ?",bread and butter,a person's main source of income or livelihood,"Translate this sentence to Chinese: 'The person depends on you for his bread and butter , how can you be so thoughtless ?'",那个人依赖你生存，你怎么可以这么无心呢？,那个人靠你谋生，你怎么能这么不顾及他呢？,2,3.0,1,3
You shall plan from now because after you retire you 'll have nothing much to do & will feel dissatisfied and So keep yourself consumed in something that is of value & shall keep you occupied during the vale of years .,vale of years,an old age; the later years of a person's life,Translate this sentence to Chinese: 'You shall plan from now because after you retire you 'll have nothing much to do & will feel dissatisfied and So keep yourself consumed in something that is of value & shall keep you occupied during the vale of years .',你应该现在就开始规划，因为退休后你将没什么事可做，会感到不满。所以要把自己投入到有价值的事情中，并使自己在晚年保持忙碌。,你应该从现在开始计划，因为退休后你不会有太多事情做，会感到不满，所以要让自己投入一些有价值的事情，使你在晚年时期保持忙碌。,3,3.0,2,2
His first public show as a musician went down like a lead balloon .,go down like a lead balloon,"to be poorly received or unsuccessful, typically due to being unpopular or uninteresting",Translate this sentence to Chinese: 'His first public show as a musician went down like a lead balloon .',他作为音乐家的第一次公开表演像吹了一个铅球。,他作为音乐家的首次公开演出彻底失败了。,2,3.0,1,3
This moment which has come to pass shall remain the most memorable for me in my life time .,come to pass,to happen or occur,Translate this sentence to Chinese: 'This moment which has come to pass shall remain the most memorable for me in my life time .',这一刻将始终是我一生中最难忘的。,这个已经过去的时刻将成为我一生中最难忘的。,3,3.0,3,3
He was toiling hard in the hot sun when a good Samaritan came along and offered him a bottle of water .,good Samaritan,"someone who helps others, especially strangers, without expecting anything in return",Translate this sentence to Chinese: 'He was toiling hard in the hot sun when a good Samaritan came along and offered him a bottle of water .',他在炎热的太阳下辛勤劳作，当一个好心人走过来给了他一瓶水。,他在烈日下辛苦劳作时，一位好心人走过来递给他一瓶水。,3,3.0,2,2
Could we possibly get a head start on planning mom 's birthday party ?,head start,an advantage or lead in a competition or situation; a head start allows one to begin before others and therefore have a better chance of success,Translate this sentence to Chinese: 'Could we possibly get a head start on planning mom 's birthday party ?',我们可不可以提前开始策划妈妈的生日派对？,我们能不能提前开始计划妈妈的生日派对？,3,3.0,3,3
Janet quitting her job because her ex started working there is a classic example of throwing out the baby with the bathwater .,throw the baby out with the bathwater,to get rid of something valuable or important while trying to eliminate something undesirable,Translate this sentence to Chinese: 'Janet quitting her job because her ex started working there is a classic example of throwing out the baby with the bathwater .',简内特因为前男友开始在那里工作而辞去工作是肤浅地一棍子打翻一船人的经典例子。,珍妮特因为她的前任开始在那里工作而辞职，这是一个典型的因噎废食的例子。,1,2.0,1,3
He lost his sight in an accident and is as blind as a bat .,blind as a bat,having extremely poor or no vision,Translate this sentence to Chinese: 'He lost his sight in an accident and is as blind as a bat .',他在一次事故中失去了视力，就像没有眼睛一样。,他在一次事故中失明，像蝙蝠一样瞎。,2,3.0,1,1
Their decade long marriage was on the rocks because of one act of indiscretion by him .,on the rocks,in a state of difficulty or trouble; experiencing problems or challenges,Translate this sentence to Chinese: 'Their decade long marriage was on the rocks because of one act of indiscretion by him .',他们十年的婚姻因他的一次过失而岌岌可危。,他们十年的婚姻因为他的一次不检点行为而濒临破裂。,3,3.0,3,3
John is known for running from pillar to post any time he finds himself in an unpleasant situation .,from pillar to post,to be constantly moving or shifting from one place or situation to another without making any progress,Translate this sentence to Chinese: 'John is known for running from pillar to post any time he finds himself in an unpleasant situation .',约翰以在不愉快的情况下四处奔波而闻名。,约翰一遇到不愉快的情况就东奔西跑。,3,3.0,2,3
The battle between the two factions of the city 's leading sport club came to a head today .,come to a head,to reach a crisis point or to reach a point where a situation becomes very serious and intense,Translate this sentence to Chinese: 'The battle between the two factions of the city 's leading sport club came to a head today .',这个城市领先的体育俱乐部两派之间的战斗在今天达到了高潮。,该城市主要运动俱乐部的两个派系之间的斗争在今天达到了高潮。,3,3.0,3,3
He thinks he is a famous designer just because he uses buzz words when he is giving interviews .,buzz word,"a trendy or popular term or phrase that is used frequently, especially in a particular field or industry",Translate this sentence to Chinese: 'He thinks he is a famous designer just because he uses buzz words when he is giving interviews .',他认为自己是一名著名的设计师，只是因为在接受采访时会使用一些时髦词汇。,他以为自己是个著名的设计师，仅仅因为他在接受采访时使用流行词。,3,3.0,3,2
The reason I failed my project is because my partner had her head in the clouds the whole time .,head in the clouds,to be daydreaming or not paying attention to reality,Translate this sentence to Chinese: 'The reason I failed my project is because my partner had her head in the clouds the whole time .',我失敗的原因是因為我的搭檔整天都在發呆。,我项目失败的原因是我的伙伴整天都在胡思乱想。,2,3.0,2,2
"Since early fifties , the trade fair has been a major showcase for the avant-grade .",avant-garde,ahead of current trends or styles; innovative or experimental,"Translate this sentence to Chinese: 'Since early fifties , the trade fair has been a major showcase for the avant-grade .'",'自五十年代初以来，这个贸易展览已经成为前卫的主要展示平台。',自五十年代初以来，贸易展览会一直是展示前卫艺术的重要平台。,3,3.0,3,3
The presentation will be followed by high tea and snacks for all the employees present .,follow by,to happen or come after something else,Translate this sentence to Chinese: 'The presentation will be followed by high tea and snacks for all the employees present .',这次演示结束后，所有在场的员工都会有茶点和点心。,"""演讲结束后，将为所有在场的员工提供下午茶和点心。""",3,3.0,1,3
The deal was finally in the bag after a few rounds of tough negotiations .,in the bag,guaranteed or certain to happen; secured,Translate this sentence to Chinese: 'The deal was finally in the bag after a few rounds of tough negotiations .',经过几轮艰难的谈判后，交易最终达成。,经过几轮艰难的谈判，交易终于搞定了。,3,3.0,1,2
`` She was asked to button her lip . '',button your lip,to keep quiet or stop talking,Translate this sentence to Chinese: '`` She was asked to button her lip . ''',她被要求闭上嘴。,“有人叫她闭嘴。”,3,3.0,3,3
"I lost my laptop in an accident where we had collided with the curb and the car turned turtle and Luckily , that was all we lost .",turn turtle,"to overturn or capsize, especially in reference to a vehicle or vessel","Translate this sentence to Chinese: 'I lost my laptop in an accident where we had collided with the curb and the car turned turtle and Luckily , that was all we lost .'",我在一次事故中丢失了我的笔记本电脑，我们与路边相撞，汽车翻车了，幸运的是，这也是我们丢失的全部。,在一次事故中，我们的车撞上了路缘石，翻了个底朝天，我的笔记本电脑丢了，幸运的是，我们只损失了这些。,3,3.0,2,3
He was one of the richest men in the region but it all got over in a trice when his father was arrested .,in a trice,very quickly or suddenly,Translate this sentence to Chinese: 'He was one of the richest men in the region but it all got over in a trice when his father was arrested .',他是该地区最富有的人之一，但当他的父亲被捕时，一切都瞬间结束了。,他曾是该地区最富有的人之一，但当他的父亲被捕时，一切都在瞬间结束了。,3,3.0,3,3
After my daughter 's interview I waited with bated breath for the results to be announced .,bated breath,"to be in a state of anxious anticipation, holding one's breath in excitement or suspense",Translate this sentence to Chinese: 'After my daughter 's interview I waited with bated breath for the results to be announced .',在我女儿的面试后，我急切地等待着宣布结果。,在我女儿面试之后，我屏息以待结果的公布。,2,3.0,2,3
The boss was foaming at the mouth when the team could not deliver the work on time .,foam at the mouth,"to express extreme anger, rage, or excitement",Translate this sentence to Chinese: 'The boss was foaming at the mouth when the team could not deliver the work on time .',当团队未能按时交付工作时，老板勃然大怒。,当团队未能按时完成工作时，老板气得直冒泡。,3,3.0,3,1
"Since my brother took over my parents ' company , it is going down the drain .",down the drain,wasted or lost; irrecoverable or pointless expenditure or effort,"Translate this sentence to Chinese: 'Since my brother took over my parents ' company , it is going down the drain .'",自从我的弟弟接管了我父母的公司，它走下坡路了。,自从我哥哥接管了我父母的公司后，公司就每况愈下了。,3,3.0,2,3
My blood sugar dropped so low during the meeting that I blacked out and woke up on the floor .,black out,lose consciousness or memory,Translate this sentence to Chinese: 'My blood sugar dropped so low during the meeting that I blacked out and woke up on the floor .',我的血糖在会议期间降到了非常低的水平，以至于我突然昏倒在地上，醒来时发现自己躺在地板上。,会议期间我的血糖降得太低，以至于我昏倒在地上。,3,3.0,3,2
It does not matter that we take the bridge or the road ; we will reach on time because it is six of one and half a dozen of the other .,"six of one, half a dozen of the other",two options that are essentially the same; no real difference between two choices,Translate this sentence to Chinese: 'It does not matter that we take the bridge or the road ; we will reach on time because it is six of one and half a dozen of the other .',无论我们走桥还是路，都没关系；我们会准时赶到，因为这没什么区别。,我们走桥还是走路都无所谓；我们会准时到，因为这是半斤八两。,3,3.0,3,3
My niece only talks to me when I buy her ice cream or toys so it 's definitely cupboard love .,cupboard love,"Fake or insincere expressions of affection or love, usually motivated by the desire to gain something",Translate this sentence to Chinese: 'My niece only talks to me when I buy her ice cream or toys so it 's definitely cupboard love .',我侄女只有在我给她买冰淇淋或玩具时才跟我说话，所以这肯定是谄媚。,我的侄女只有在我给她买冰淇淋或玩具时才跟我说话，所以这显然是利益之交。,1,3.0,1,2
His homework for the holidays is in the can although I can not guarantee he will get the best grade this time .,in the can,completed or finished,Translate this sentence to Chinese: 'His homework for the holidays is in the can although I can not guarantee he will get the best grade this time .',他假期的作业已经完成了，虽然我不能保证他这次会取得最好的成绩。,他的假期作业已经完成了，尽管我不能保证这次他会拿到最好的成绩。,3,3.0,3,3
We were working very well together until she decided to take over the meeting .,take over,to assume control or responsibility for something or someone; to dominate or overpower someone or something,Translate this sentence to Chinese: 'We were working very well together until she decided to take over the meeting .',我们在一起工作得很顺利，直到她决定接管会议。,我们合作得很好，直到她决定接管会议。,3,3.0,1,3
"In order to clear the air about the recent media reports about the company , the chairman decided to address the employees himself .",clear the air,To resolve or clarify a tense or confusing situation; to address and eliminate any misunderstandings or conflicts,"Translate this sentence to Chinese: 'In order to clear the air about the recent media reports about the company , the chairman decided to address the employees himself .'",为了澄清近期有关公司的媒体报道，董事长决定亲自向员工发表讲话。,为了澄清最近媒体关于公司的报道，董事长决定亲自向员工说明情况。,3,3.0,3,2
When his dog died he cried for many days in the memory of his only best friend .,man's best friend,"a dog, as dogs are often considered to be loyal and trustworthy companions to humans",Translate this sentence to Chinese: 'When his dog died he cried for many days in the memory of his only best friend .',当他的狗死后，他哭了很多天，怀念他唯一的最好朋友。,当他的狗去世时，他为了纪念自己唯一的好朋友哭了好几天。,3,3.0,2,3
No one had expected such `` a dramatic fall from grace '' of highly reputed company .,fall from grace,to lose favor or position of power and respect due to a moral or ethical failure,Translate this sentence to Chinese: 'No one had expected such `` a dramatic fall from grace '' of highly reputed company .',没有人预料到这家广受好评的公司竟然会经历这么突然的名誉受损。,没有人预料到这家备受好评的公司会有如此“声名狼藉”的大跌。,3,3.0,3,2
I have sold my company and I just have to wind up a few things before handing it over to the new owners . ',wind up,"to finish or conclude something, often unexpectedly or in a way that was not planned",Translate this sentence to Chinese: 'I have sold my company and I just have to wind up a few things before handing it over to the new owners . '',我已经卖掉了我的公司，现在只需把一些事情处理好，然后将其交给新的所有者。,我已经卖掉了公司，现在只需要处理一些事情，然后交给新老板。,3,3.0,2,1
It is not nice to pour cold water on someone 's plan when you do not want to be a part of it in the first place .,pour cold water on,to discourage or dampen enthusiasm for something,Translate this sentence to Chinese: 'It is not nice to pour cold water on someone 's plan when you do not want to be a part of it in the first place .',当你一开始就不想参与时，向某人的计划泼冷水是不好的。,在你本来就不想参与的情况下，泼冷水在别人的计划上是不好的。,3,3.0,3,2
It came to pass that the respect that I hold for my parents shall never decrease .,come to pass,to happen or occur,Translate this sentence to Chinese: 'It came to pass that the respect that I hold for my parents shall never decrease .',我对父母的尊重永远不会减少。,事情变成了这样：我对父母的尊敬永远不会减少。,3,3.0,1,3
My children always come clean about making the mess in the house .,come clean,"to confess or admit the truth, typically after a period of dishonesty or deception",Translate this sentence to Chinese: 'My children always come clean about making the mess in the house .',我孩子们总是坦白承认在房子里弄脏了。,我的孩子们总是坦白他们在家里制造的混乱。,3,3.0,1,3
"Its awkward going out with Sue and Rob and They keep getting all lovey-dovey ignoring everything else , and you end up feeling embarrassed .",lovey-dovey,expressing or showing exaggerated affection or sentimentality,"Translate this sentence to Chinese: 'Its awkward going out with Sue and Rob and They keep getting all lovey-dovey ignoring everything else , and you end up feeling embarrassed .'",与苏和罗布一起出去真是尴尬，他们总是亲昵甜蜜地，完全忽略其他人，让你感到尴尬。,和苏及罗伯外出很尴尬，他们总是卿卿我我，忽略其他一切，让你感到很难为情。,3,3.0,2,3
United States pulled the plug of financial support to Pakistan . ',pull the plug,"to stop or discontinue something, especially suddenly or abruptly",Translate this sentence to Chinese: 'United States pulled the plug of financial support to Pakistan . '',美国中止对巴基斯坦的财政援助。,美国切断了对巴基斯坦的财政支持。,3,3.0,2,3
"Gian has been a bully guy since childhood he is not going to give up his habit at this stage of the age because , you ca n't teach an old dog new tricks .",you can't teach an old dog new tricks,"it is difficult to teach or change someone's habits or behaviors, especially if they are set in their ways or resistant to change","Translate this sentence to Chinese: 'Gian has been a bully guy since childhood he is not going to give up his habit at this stage of the age because , you ca n't teach an old dog new tricks .'",吉恩从小就是个恶霸，他在这个年纪不会放弃自己的习惯，因为老狗改不了新把戏。,技安从小就一直是个恶霸，他不可能在这个年纪放弃他的习惯，因为老狗学不会新把戏。,3,3.0,3,3
You better keep your comments to yourself and mind your own beeswax .,mind your own beeswax,to mind your own business; to not interfere in other people's affairs,Translate this sentence to Chinese: 'You better keep your comments to yourself and mind your own beeswax .',你最好把你的评论自己留着，管好你自己的事。,你最好把你的意见放在心里，管好你自己的事。,3,3.0,3,3
"To not come across as being a talkative , Amanda decided to button her lip .",button your lip,to keep quiet or stop talking,"Translate this sentence to Chinese: 'To not come across as being a talkative , Amanda decided to button her lip .'",为了避免显得太健谈，阿曼达决定闭紧嘴巴。,为了不显得话多，阿曼达决定闭嘴。,3,3.0,2,2
He has been losing his head over the missed opportunity since the past few days .,lose head,"to become overwhelmed with emotion or panic, and lose control of one's thoughts or actions",Translate this sentence to Chinese: 'He has been losing his head over the missed opportunity since the past few days .',他最近几天一直为错过的机会而心烦意乱。,他这几天一直为错失的机会而失去理智。,3,3.0,3,3
"Populations of wild game ran for cover , and were subsequently replaced by domesticated livestock",run for cover,to seek protection or shelter in anticipation of danger or trouble,"Translate this sentence to Chinese: 'Populations of wild game ran for cover , and were subsequently replaced by domesticated livestock'",野生动物群体跑入掩体，后来被家养家畜取代。,野生动物群落纷纷逃避，随后被家畜取代。,3,3.0,1,2
"I thought they would turn up for the event , but no dice , they were nowhere to be seen .",no dice,"to indicate refusal or rejection, often in response to a proposition or request","Translate this sentence to Chinese: 'I thought they would turn up for the event , but no dice , they were nowhere to be seen .'",我以为他们会出现在活动中，但是没戏，他们不见了。,我以为他们会出席活动，但没有运气，他们根本没出现。,2,2.0,3,1
Little kids are always as keen as mustard to learn new things around them .,keen as mustard,to be very eager or enthusiastic about something,Translate this sentence to Chinese: 'Little kids are always as keen as mustard to learn new things around them .',小孩子总是渴望学习他们周围的新事物。,小孩子们总是对周围的新事物充满了极大的兴趣。,2,3.0,1,2
"Off the record , he let me on to the secret strategy that his company was using to hook customers to their products .",off the record,not for publication or public knowledge; unofficial or confidential,"Translate this sentence to Chinese: 'Off the record , he let me on to the secret strategy that his company was using to hook customers to their products .'",非正式的情况下，他告诉我一个关于他的公司正在使用的秘密策略来吸引顾客购买他们的产品。,非正式地，他向我透露了他们公司用来吸引顾客的秘密策略。,3,3.0,2,3
"I know he has fallen for that girl , but I do n't think she would be much interested in him - she likes men with intellect and he is not up to the mark . ''",fall for,"to be deceived, tricked, or fooled by someone or something; to become infatuated or enamored with someone or something","Translate this sentence to Chinese: 'I know he has fallen for that girl , but I do n't think she would be much interested in him - she likes men with intellect and he is not up to the mark . '''",我知道他已经爱上了那个女孩，但我不认为她会对他感兴趣 - 她喜欢有智慧的男人，而他不够格。,我知道他已经爱上了那个女孩，但我不认为她会对他很感兴趣——她喜欢有才智的男人，而他达不到那个标准。,3,3.0,3,3
One of Shoe Carnival 's aims is to provide a one stop shop for the entire family .,one stop shop,a place or service that provides all the necessary items or services in one location or from one source,Translate this sentence to Chinese: 'One of Shoe Carnival 's aims is to provide a one stop shop for the entire family .',Shoe Carnival 的目标之一是为整个家庭提供一站式购物服务。,Shoe Carnival的目标之一是为整个家庭提供一站式购物服务。,3,3.0,3,3
I think they are barking up the wrong tree by focusing on the problems they have .,bark up the wrong tree,to pursue a mistaken or misguided course of action or to blame the wrong person or thing,Translate this sentence to Chinese: 'I think they are barking up the wrong tree by focusing on the problems they have .',我认为他们抓错了重点，专注于他们所面临的问题。,我认为他们把注意力集中在他们的问题上是在找错了方向。,3,3.0,2,2
John was so tired of trying to fix the stove that he decided to give up and phone an electrician .,give up,to surrender or stop trying; to abandon or renounce an activity or pursuit,Translate this sentence to Chinese: 'John was so tired of trying to fix the stove that he decided to give up and phone an electrician .',约翰尝试修理炉子太累了，他决定放弃，打电话叫来电工。,约翰修理炉子修得太累了，决定放弃并打电话给电工。,3,3.0,3,1
"First things first , let 's take a stroll to talk about your business before we talk about the capital investment with the bank .",first things first,prioritizing or addressing the most important or essential matters before anything else,"Translate this sentence to Chinese: 'First things first , let 's take a stroll to talk about your business before we talk about the capital investment with the bank .'",首要事情是，让我们先散步谈谈你的生意，然后再和银行谈论资本投资。,首先，让我们散步聊聊你的业务，然后再谈银行的资本投资。,3,3.0,3,2
The sad music describes my mood bang on .,bang on,to be exactly right or accurate,Translate this sentence to Chinese: 'The sad music describes my mood bang on .',这首悲伤的音乐准确地描述了我的心情。,悲伤的音乐完全描述了我的心情。,3,3.0,2,1
The rich business man 's daughter had carte blanche when it came to choosing which groom she wanted to marry with .,carte blanche,complete freedom or authority to act as one wishes,Translate this sentence to Chinese: 'The rich business man 's daughter had carte blanche when it came to choosing which groom she wanted to marry with .',这位富裕商人的女儿在选择自己想要嫁给的新郎时有完全自由。,富商的女儿在选择想要嫁的对象时有完全的自由。,3,3.0,3,3
He has a chip on his shoulder for not being invited to the party .,chip on shoulder,to have a grudge or a sense of resentment,Translate this sentence to Chinese: 'He has a chip on his shoulder for not being invited to the party .',他因为没有被邀请去参加聚会而心怀不满。,他因为没有被邀请参加聚会而心怀不满。,3,3.0,3,3
My heels are worn out so I can not walk with you at this speed .,wear out,"to become exhausted or tired, usually as a result of physical or mental exertion",Translate this sentence to Chinese: 'My heels are worn out so I can not walk with you at this speed .',我的高跟鞋已经磨损了，所以我走不了那么快跟上您。,我的鞋跟磨损了，所以我不能跟你以这个速度走。,3,3.0,1,1
The third time 's a charm for me .,third time's a charm,"after two unsuccessful attempts, the third will be successful",Translate this sentence to Chinese: 'The third time 's a charm for me .',第三次对我来说是个奇迹。,第三次对我来说是幸运的。,2,2.0,1,2
"The directors pay me only for the work that I do and trust me , there is no such thing as a free lunch .",there's no such thing as a free lunch,Nothing is truly free; everything comes with a cost or strings attached.,"Translate this sentence to Chinese: 'The directors pay me only for the work that I do and trust me , there is no such thing as a free lunch .'",董事们只为我所做的工作支付薪水，相信我，没有免费的午餐。,导演们只为我做的工作付钱，相信我，天下没有免费的午餐。,3,3.0,3,3
