Idiomatic_Sent,Original_Idiom,Original_Meaning,high_similarity_chinese_idioms,Chinese_Idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,Evaluation_KB_4,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
I had my back to the wall when I was forced to take such a difficult decision .,back to the wall,to be in a difficult or desperate situation with no easy way out,"上不着天，下不着地 (0.74), 上无片瓦，下无插针之地 (0.71), 势成骑虎 (0.76), 坐困愁城 (0.79), 左支右绌 (0.76), 捉襟见肘 (0.81), 步履维艰 (0.73), 瓮中之鳖 (0.71), 釜底游鱼 (0.84), 骑虎难下 (0.82), 难分难舍 (0.71), 网漏吞舟 (0.81), 置之死地 (0.74), 碧落黄泉 (0.71), 寒蝉凄切 (0.75)",置之死地,"'back to the wall' means '置之死地'. Given the above knowledge, translate this sentence to Chinese: 'I had my back to the wall when I was forced to take such a difficult decision .'.",当我被迫做出如此困难的决定时，我置之死地。,当我被迫做出如此艰难的决定时，我被置之死地。,,2.0,3,1,2
I have found that drinking a cool glass of water helps to beat the heat in summer .,beat the heat,To endure or cope with hot weather or a difficult situation,,,"beat the heat' means 'To endure or cope with hot weather or a difficult situation'. Given the above knowledge, translate this sentence to Chinese: 'I have found that drinking a cool glass of water helps to beat the heat in summer .'.",我发现在夏天喝一杯凉水有助于应对炎热。,我发现喝一杯冰水有助于在夏天消暑。,,3.0,3,3,3
A lot of actors turned out for the audition,turn out,to happen or develop in a particular way; to result in a certain outcome,,,"turn out' means 'to happen or develop in a particular way; to result in a certain outcome'. Given the above knowledge, translate this sentence to Chinese: 'A lot of actors turned out for the audition'.",很多演员参加了试镜。,很多演员参加了试镜。,,3.0,3,3,3
It had been so long since we went on a vacation but this last month we decided to spend quality time with the family regardless .,quality time,to spend meaningful and valuable time with someone,,,"quality time' means 'to spend meaningful and valuable time with someone'. Given the above knowledge, translate this sentence to Chinese: 'It had been so long since we went on a vacation but this last month we decided to spend quality time with the family regardless .'.",我们很久没有去度假了，但上个月我们决定无论如何要和家人共度美好时光。,已经很久没有去度假了，但上个月我们决定无论如何都要和家人一起度过有意义的时光。,,3.0,3,3,3
He has seen lots of ups and downs in his career but finally became richest person in the town . ',ups and downs,"variations in fortune or circumstance, particularly involving both successes and failures",,,"ups and downs' means 'variations in fortune or circumstance, particularly involving both successes and failures'. Given the above knowledge, translate this sentence to Chinese: 'He has seen lots of ups and downs in his career but finally became richest person in the town . ''.",他的职业生涯中经历了许多起起落落，但最终成为了镇上最富有的人。,在他的职业生涯中，他经历了许多起起落落，但最终成为了镇上最富有的人。,,3.0,3,3,3
Getting caught up in a good book is fun .,catch up,to reach or achieve the same level or position as someone or something that was previously ahead; to meet with someone to get updated or to socialize,,,"catch up' means 'to reach or achieve the same level or position as someone or something that was previously ahead; to meet with someone to get updated or to socialize'. Given the above knowledge, translate this sentence to Chinese: 'Getting caught up in a good book is fun .'.",沉浸在一本好书中是很有趣的。,沉浸在一本好书中很有趣。,,3.0,3,3,3
I have been living in this house since the year dot and know everyone in the vicinity by their first names .,year dot,"an extremely long time ago, often referring to the distant past",,,"year dot' means 'an extremely long time ago, often referring to the distant past'. Given the above knowledge, translate this sentence to Chinese: 'I have been living in this house since the year dot and know everyone in the vicinity by their first names .'.",我自从年代久远就住在这所房子里，认识附近每个人的名字。,我从很久以前就住在这栋房子里，附近所有人我都知道他们的名字。,,2.0,2,1,1
"When I saw the image , I had a strange feeling of deja vu .",deja vu,a feeling of having already experienced the present situation,,,"deja vu' means 'a feeling of having already experienced the present situation'. Given the above knowledge, translate this sentence to Chinese: 'When I saw the image , I had a strange feeling of deja vu .'.",当我看到这张图片时，我有一种奇怪的似曾相识的感觉。,当我看到这张图片时，我有一种奇怪的似曾相识的感觉。,,3.0,3,3,3
It is a rat race at my work place .,rat race,a competitive and demanding world or situation in which people are constantly striving to get ahead,,,"rat race' means 'a competitive and demanding world or situation in which people are constantly striving to get ahead'. Given the above knowledge, translate this sentence to Chinese: 'It is a rat race at my work place .'.",在我的工作场所是一场激烈的竞争。,我的工作场所就像一场激烈的竞争。,,3.0,3,2,2
"The music band comprising engineering students is currently on the crest of a wave , with a launch of new album it has planned for next year .",on the crest of a wave,experiencing a period of great success or happiness,"大功告成 (0.76), 大有作为 (0.72), 得天独厚 (0.71), 心满意足 (0.70), 盛极一时 (0.87), 丰功伟绩 (0.70), 建功立业 (0.71), 乐在其中 (0.71), 一世龙门 (0.74), 蓬荜生辉 (0.72), 春花秋实 (0.70), 苦尽甜来 (0.71), 耳顺之年 (0.73), 心悦神怡 (0.76), 意得志满 (0.78)",盛极一时,"'on the crest of a wave' means '盛极一时'. Given the above knowledge, translate this sentence to Chinese: 'The music band comprising engineering students is currently on the crest of a wave , with a launch of new album it has planned for next year .'.",这支由工科学生组成的乐队目前正盛极一时，他们计划明年推出新专辑。,由工程学学生组成的乐队目前正盛极一时，他们计划明年推出的新专辑。,,3.0,3,3,3
I know that you wanted to know just in case the bike was available but you have to realize that you can not afford it .,just in case,as a precaution or in anticipation of a future event or circumstance,以防万一 (0.76),以防万一,"'just in case' means '以防万一'. Given the above knowledge, translate this sentence to Chinese: 'I know that you wanted to know just in case the bike was available but you have to realize that you can not afford it .'.",我知道你想知道自行车是否可用，但你必须意识到你买不起。,我知道你是想以防万一看看自行车是否有空，但你必须意识到你买不起。,,2.0,3,3,3
"John was a really deserving candidate , so he got the lion 's share of credit for the social service contest .",lion's share,the largest or greatest portion or part of something,,,"lion's share' means 'the largest or greatest portion or part of something'. Given the above knowledge, translate this sentence to Chinese: 'John was a really deserving candidate , so he got the lion 's share of credit for the social service contest .'.",约翰是一个非常值得的候选人，所以他在社会服务比赛中得到了最大的赞扬。,约翰是一个非常值得的人选，所以他在社会服务比赛中得到了最大的荣誉。,,3.0,3,2,2
"My little brother always cries wolf to my parents about getting hurt , I am scared they wo n't believe if he actually gets in trouble .",cry wolf,"to give a false alarm or exaggerate a situation, making it difficult for others to believe you in the future",,,"cry wolf' means 'to give a false alarm or exaggerate a situation, making it difficult for others to believe you in the future'. Given the above knowledge, translate this sentence to Chinese: 'My little brother always cries wolf to my parents about getting hurt , I am scared they wo n't believe if he actually gets in trouble .'.",我弟弟总是向父母哭狼，说自己受伤了，我担心他真的遇到麻烦时他们不会相信。,我弟弟总是向父母谎称自己受伤，我担心如果他真的遇到麻烦，他们不会相信。,,2.0,3,3,3
"Drastic times call for drastic measures , and drastic changes are needed to prevent the crisis turning into a disaster .",drastic times call for drastic measures,Extreme or difficult situations require extreme or drastic actions or solutions,"水深火热 (0.70), 凄风苦雨 (0.73), 逼上梁山 (0.72), 荆棘丛生 (0.70), 荆天棘地 (0.71)",逼上梁山,"'drastic times call for drastic measures' means '逼上梁山'. Given the above knowledge, translate this sentence to Chinese: 'Drastic times call for drastic measures , and drastic changes are needed to prevent the crisis turning into a disaster .'.",逼上梁山需要采取激烈措施，必须做出激烈改变以防止危机演变成灾难。,非常时期需用非常手段，必须进行大幅度的变革，才能防止危机演变成灾难。,,3.0,3,2,3
My mom 's narrow attitude about gender equality really gets under my skin .,get under skin,to deeply irritate or bother someone,,,"get under skin' means 'to deeply irritate or bother someone'. Given the above knowledge, translate this sentence to Chinese: 'My mom 's narrow attitude about gender equality really gets under my skin .'.",我妈妈对性别平等的狭隘态度真的让我很恼火。,我妈妈对性别平等的狭隘态度真的让我很恼火。,,3.0,3,3,3
I was so caught up in the beauty of the art work that I failed to notice her .,catch up,to reach or achieve the same level or position as someone or something that was previously ahead; to meet with someone to get updated or to socialize,,,"catch up' means 'to reach or achieve the same level or position as someone or something that was previously ahead; to meet with someone to get updated or to socialize'. Given the above knowledge, translate this sentence to Chinese: 'I was so caught up in the beauty of the art work that I failed to notice her .'.",我被艺术作品的美丽所吸引，没注意到她。,我完全沉浸在艺术作品的美丽中，以至于没有注意到她。,,3.0,3,2,3
I guess you need a pep talk to finish the work .,pep talk,an inspirational or motivational speech or conversation aimed at boosting someone's morale or confidence,振奋人心 (0.73),振奋人心,"'pep talk' means '振奋人心'. Given the above knowledge, translate this sentence to Chinese: 'I guess you need a pep talk to finish the work .'.",我猜你需要一次振奋人心的谈话来完成工作。,我猜你需要振奋人心的话来完成这项工作。,,3.0,3,3,3
"After studying for six years , I can finally see the light at the end of the tunnel .",see the light,to finally understand something; to gain insight or realization,"顿开茅塞 (0.75), 大彻大悟 (0.71)",顿开茅塞,"'see the light' means '顿开茅塞'. Given the above knowledge, translate this sentence to Chinese: 'After studying for six years , I can finally see the light at the end of the tunnel .'.",经过六年的学习，我终于看到了隧道尽头的光明。,经过六年的学习，我终于看到了隧道尽头的光明。,,3.0,3,3,3
The company took a beat in the financial crisis .,take a beating,to suffer a significant loss or defeat; to endure a harsh criticism or punishment,伐性之斧 (0.77),伐性之斧,"'take a beating' means '伐性之斧'. Given the above knowledge, translate this sentence to Chinese: 'The company took a beat in the financial crisis .'.",公司在金融危机中受到了伐性之斧。,公司在金融危机中遭受了重创。,,1.0,3,1,3
"The couple did not see eye to eye on most things and had blazing rows every now and then , but when it came to their child 's education , they usually agreed on what was best for him .",blazing row,an intense and heated argument or fight,"唇枪舌剑 (0.89), 舌剑唇枪 (0.78)",唇枪舌剑,"'blazing row' means '唇枪舌剑'. Given the above knowledge, translate this sentence to Chinese: 'The couple did not see eye to eye on most things and had blazing rows every now and then , but when it came to their child 's education , they usually agreed on what was best for him .'.",这对夫妇在大多数事情上意见不合，偶尔会唇枪舌剑，但是在孩子的教育问题上，他们通常对孩子最好的选择达成一致。,这对夫妻在大多数事情上意见不合，时不时会唇枪舌剑，但在孩子的教育问题上，他们通常会达成一致，认为什么对孩子最好。,,3.0,3,3,3
She goes through hell with that man every single day and I am not even sure why she is still with him .,give hell,"to criticize, scold, or confront someone with great intensity or aggression","刺刺不休 (0.80), 含血喷人 (0.79), 忠言逆耳 (0.73), 蜀犬吠日 (0.72), 针锋相对 (0.80), 避其锐气 (0.71)",针锋相对,"'give hell' means '针锋相对'. Given the above knowledge, translate this sentence to Chinese: 'She goes through hell with that man every single day and I am not even sure why she is still with him .'.",她每天都和那个男人针锋相对，我甚至不确定为什么她还和他在一起。,她每天都和那个男人过着地狱般的生活，我甚至不知道她为什么还和他在一起。,,2.0,3,1,3
My dream has always been to settle in Australia and But I know it 's like a trip to the sun and I just have to make peace with this place .,a trip to the sun,"There is no widely recognized English idiom ""a trip to the sun.""",,,"a trip to the sun' means 'There is no widely recognized English idiom ""a trip to the sun.""'. Given the above knowledge, translate this sentence to Chinese: 'My dream has always been to settle in Australia and But I know it 's like a trip to the sun and I just have to make peace with this place .'.",我的梦想一直是在澳大利亚定居，但我知道这就像是去太阳旅行一样，我只能接受这个事实。,我的梦想一直是定居在澳大利亚，但我知道这就像去太阳旅行，我只能与这个地方和解。,,3.0,3,2,1
John accidentally elbowed me smack dab on my nose .,smack dab,directly or precisely in the middle or center of something,,,"smack dab' means 'directly or precisely in the middle or center of something'. Given the above knowledge, translate this sentence to Chinese: 'John accidentally elbowed me smack dab on my nose .'.",约翰无意中用手肘猛击在我鼻子正中。,约翰不小心用胳膊肘正好撞到了我的鼻子。,,3.0,3,3,3
The guy has rubbed me in such a wrong way that I do not even want to look at him ever again .,rub the wrong way,to irritate or annoy someone,,,"rub the wrong way' means 'to irritate or annoy someone'. Given the above knowledge, translate this sentence to Chinese: 'The guy has rubbed me in such a wrong way that I do not even want to look at him ever again .'.",那个人搞得我很不舒服，我甚至再也不想看到他了。,那个人让我非常恼火，我再也不想看见他了。,,3.0,2,2,2
"Time after time you bring up this issue , and the answer will always be no .",time after time,repeatedly or consistently; happening over and over again,"一而再，再而三 (0.80), 三番五次 (0.88), 再三再四 (0.81), 前前后后 (0.77), 周而复始 (0.71), 屡次三番 (0.88), 几次三番 (0.84), 循环往复 (0.71), 一来二去 (0.78), 首尾相继 (0.71), 三番两次 (0.81)",屡次三番,"'time after time' means '屡次三番'. Given the above knowledge, translate this sentence to Chinese: 'Time after time you bring up this issue , and the answer will always be no .'.",你一次又一次提起这个问题，而答案总是不会变。,屡次三番你提起这个问题，答案永远都是不行。,,3.0,3,3,3
Do you know someone who is a self-made man ? You really need an inspiration .,self-made man,"someone who has achieved success, wealth, or prominence on their own, without any help or support from others",,,"self-made man' means 'someone who has achieved success, wealth, or prominence on their own, without any help or support from others'. Given the above knowledge, translate this sentence to Chinese: 'Do you know someone who is a self-made man ? You really need an inspiration .'.",你认识有自力更生的人吗？你真的需要一些灵感。,你认识一个白手起家的人吗？你真的需要一个灵感。,,3.0,3,3,3
That corner store is a one stop shop for anyone looking for video games .,one stop shop,a place or service that provides all the necessary items or services in one location or from one source,,,"one stop shop' means 'a place or service that provides all the necessary items or services in one location or from one source'. Given the above knowledge, translate this sentence to Chinese: 'That corner store is a one stop shop for anyone looking for video games .'.",那家角落店是为寻找电子游戏的人提供一站式购物服务的地方。,那家街角商店是寻找电子游戏的一站式商店。,,3.0,3,3,3
The system has resulted in new blood coming into the television industry .,new blood,new members or fresh ideas that bring new energy or vitality to a group or organization,,,"new blood' means 'new members or fresh ideas that bring new energy or vitality to a group or organization'. Given the above knowledge, translate this sentence to Chinese: 'The system has resulted in new blood coming into the television industry .'.",这个系统导致新鲜血液进入了电视行业。,这个系统使电视行业注入了新鲜血液。,,3.0,3,3,3
Did you really get tickets to the Ed Sheeran concert or are you winding me up ?,wind up,"to finish or conclude something, often unexpectedly or in a way that was not planned",,,"wind up' means 'to finish or conclude something, often unexpectedly or in a way that was not planned'. Given the above knowledge, translate this sentence to Chinese: 'Did you really get tickets to the Ed Sheeran concert or are you winding me up ?'.",你真的拿到了艾德·希兰的演唱会门票吗，还是在开我玩笑？,你真的拿到了艾德·希兰演唱会的票，还是在耍我？,,3.0,3,3,3
The trip could be finalized only after his parents gave their seal of approval .,seal of approval,"an indication or acknowledgment of acceptance, endorsement, or approval",,,"seal of approval' means 'an indication or acknowledgment of acceptance, endorsement, or approval'. Given the above knowledge, translate this sentence to Chinese: 'The trip could be finalized only after his parents gave their seal of approval .'.",这次旅行只有在他父母的认可之后才能最终确定。,只有在他父母给予认可之后，这次旅行才能敲定。,,3.0,3,2,3
"All politicians blame each other and tell themselves good , it 's like pot calling the kettle black .",pot calling the kettle black,hypocritical reproach; accusing someone of a fault or action that one is guilty of themselves,"自怨自艾 (0.70), 引咎自责 (0.71)",引咎自责,"'pot calling the kettle black' means '引咎自责'. Given the above knowledge, translate this sentence to Chinese: 'All politicians blame each other and tell themselves good , it 's like pot calling the kettle black .'.",所有政客互相指责，自吹自擂，就像锅 calling the kettle black。,所有的政客互相指责，自我感觉良好，这就像是五十步笑百步。,,1.0,2,1,3
"It is a celebration of love , happiness and the free spirit .",free spirit,"someone who is independent, spontaneous, and not confined by societal norms or expectations","自成一家 (0.74), 不羁之才 (0.75)",不羁之才,"'free spirit' means '不羁之才'. Given the above knowledge, translate this sentence to Chinese: 'It is a celebration of love , happiness and the free spirit .'.",这是对爱、幸福和不羁之才的庆祝。,这是对爱、幸福和不羁之才的庆祝。,,2.0,2,1,1
The corrupt official escaped punishment because he has been scratching the minister 's back .,scratch back,To do a favor for someone in the hopes of receiving a favor in return,投桃报李 (0.77),投桃报李,"'scratch back' means '投桃报李'. Given the above knowledge, translate this sentence to Chinese: 'The corrupt official escaped punishment because he has been scratching the minister 's back .'.",贪污官员逃脱惩罚是因为他一直在投桃报李。,那个腐败官员逃脱了惩罚，因为他一直在给部长投桃报李。,,2.0,3,3,3
The prisoner has been awarded the death penalty is cooling his heels until the President evaluates if mercy can be sanctioned .,cool heels,to be made to wait or be kept waiting,"坐以待旦 (0.73), 放长线，钓大鱼 (0.73), 等因奉此 (0.70), 倚马可待 (0.75)",等因奉此,"'cool heels' means '等因奉此'. Given the above knowledge, translate this sentence to Chinese: 'The prisoner has been awarded the death penalty is cooling his heels until the President evaluates if mercy can be sanctioned .'.",囚犯被判死刑，正在等待总统评估是否可以赦免。,被判处死刑的囚犯正在等因奉此，直到总统评估是否可以宽恕。,,2.0,1,1,1
"No man is an island you know , you will need to call me back to work for you !",no man is an island,Everyone is connected to others and cannot thrive or survive in isolation.,,,"no man is an island' means 'Everyone is connected to others and cannot thrive or survive in isolation.'. Given the above knowledge, translate this sentence to Chinese: 'No man is an island you know , you will need to call me back to work for you !'.",没有人是一座孤岛，你知道的，你会需要叫我回来为你工作！,没有人是孤岛，你知道的，你需要叫我回来为你工作！,,3.0,3,3,3
The paintings by this artist are a must have for any good collection to be complete . ',must have,widely believed or accepted to be true; highly probable or certain,,,"must have' means 'widely believed or accepted to be true; highly probable or certain'. Given the above knowledge, translate this sentence to Chinese: 'The paintings by this artist are a must have for any good collection to be complete . ''.",这位艺术家的画作是任何一位收藏家必备的作品，才能称得上是完整的。,这位艺术家的画作是任何优秀收藏中必备的。,,3.0,3,3,3
The employees were up in arms over the management 's plan to discontinue five-day week policy . '',up in arms,"to be angry, upset, or outraged about something","厝火积薪 (0.73), 心烦意乱 (0.74), 怒发冲冠 (0.70), 怒火中烧 (0.73), 怒形于色 (0.72), 气急败坏 (0.72), 火冒三丈 (0.70), 怒气冲冲 (0.82), 怒火冲天 (0.70), 大动肝火 (0.74), 破罐破摔 (0.73), 裂眦嚼齿 (0.82), 气冲霄汉 (0.79), 赫然而怒 (0.71), 心花怒发 (0.82), 藏怒宿怨 (0.71), 勃然大怒 (0.71), 横眉冷目 (0.70)",勃然大怒,"'up in arms' means '勃然大怒'. Given the above knowledge, translate this sentence to Chinese: 'The employees were up in arms over the management 's plan to discontinue five-day week policy . '''.",员工们对管理层取消五天工作制的计划勃然大怒。,员工们对管理层计划取消五天工作制的政策勃然大怒。,,3.0,3,3,3
I am sure that work to develop a one stop shop will be discussed extensively in this afternoons breakout session .,one stop shop,a place or service that provides all the necessary items or services in one location or from one source,,,"one stop shop' means 'a place or service that provides all the necessary items or services in one location or from one source'. Given the above knowledge, translate this sentence to Chinese: 'I am sure that work to develop a one stop shop will be discussed extensively in this afternoons breakout session .'.","我相信在今天下午的分组讨论中将会广泛讨论开发""一站式购物""的工作。",我相信，在今天下午的小组讨论中，开发一站式服务的工作将会被广泛讨论。,,3.0,3,3,3
The taxi showed up on the dot .,on the dot,exactly at a specified time; punctual,,,"on the dot' means 'exactly at a specified time; punctual'. Given the above knowledge, translate this sentence to Chinese: 'The taxi showed up on the dot .'.",出租车准时到达。,出租车准时到了。,,3.0,3,3,3
She is doing quite well in her organisation and is very much in the ascendant to getting the promotion .,in the ascendant,rising or becoming more powerful or influential,,,"in the ascendant' means 'rising or becoming more powerful or influential'. Given the above knowledge, translate this sentence to Chinese: 'She is doing quite well in her organisation and is very much in the ascendant to getting the promotion .'.",她在组织中表现得很出色，非常有望得到晋升。,她在她的组织中表现得非常出色，并且很有可能升职。,,3.0,3,2,1
Raising your children alone without any support would have been so hard and I just think about it and it gives me a chill to the marrow .,chill to the marrow,to be extremely cold or frightened,"不寒而栗 (0.81), 冷若冰霜 (0.78), 心胆俱裂 (0.75), 胆战心惊 (0.77), 谈虎色变 (0.74), 风声鹤唳 (0.71), 魂不守舍 (0.71), 屁滚尿流 (0.81), 心惊胆寒 (0.79), 惊慌失色 (0.81)",不寒而栗,"'chill to the marrow' means '不寒而栗'. Given the above knowledge, translate this sentence to Chinese: 'Raising your children alone without any support would have been so hard and I just think about it and it gives me a chill to the marrow .'.",独自抚养孩子，没有任何支持，那一定很艰难，一想起来我就不寒而栗。,独自抚养孩子，没有任何支持，这会非常困难，我只是想想就不寒而栗。,,3.0,2,3,3
I believed that she was my friend and I ca n't believe that she stabbed me in the back .,stab in the back,"to betray or deceive someone, especially in a sneaky or underhanded way","偷梁换柱 (0.73), 招摇撞骗 (0.74), 欺人太甚 (0.75), 坑绷拐骗 (0.78), 吃里爬外 (0.72), 坑蒙拐骗 (0.71), 系风捕影 (0.71)",吃里爬外,"'stab in the back' means '吃里爬外'. Given the above knowledge, translate this sentence to Chinese: 'I believed that she was my friend and I ca n't believe that she stabbed me in the back .'.",我相信她是我的朋友，我不敢相信她吃里爬外。,我相信她是我的朋友，我无法相信她吃里爬外。,,2.0,2,1,1
"Stuart and Harry had been friends once , but after they had a big fallout a few years back , now there is little love lost between them .",no love lost,to have a mutual dislike or animosity towards each other,切齿痛恨 (0.72),切齿痛恨,"'no love lost' means '切齿痛恨'. Given the above knowledge, translate this sentence to Chinese: 'Stuart and Harry had been friends once , but after they had a big fallout a few years back , now there is little love lost between them .'.",Stuart和Harry曾经是朋友，但几年前发生了一次严重争执，现在他们之间的切齿痛恨。,斯图尔特和哈里曾经是朋友，但几年前他们闹了一次大矛盾，现在他们之间切齿痛恨。,,2.0,2,2,3
"If you want to be head and shoulders above the rest , you must work very hard .",head and shoulders above,far superior; much better than,,,"head and shoulders above' means 'far superior; much better than'. Given the above knowledge, translate this sentence to Chinese: 'If you want to be head and shoulders above the rest , you must work very hard .'.",如果你想要在众人中脱颖而出，你必须努力工作。,如果你想要鹤立鸡群，你必须非常努力。,,3.0,3,3,3
At the end of a very busy term the teachers will finally be able to see the light of day .,see the light,to finally understand something; to gain insight or realization,"顿开茅塞 (0.75), 大彻大悟 (0.71)",顿开茅塞,"'see the light' means '顿开茅塞'. Given the above knowledge, translate this sentence to Chinese: 'At the end of a very busy term the teachers will finally be able to see the light of day .'.",在一个非常忙碌的学期结束时，老师们最终能够顿开茅塞。,在一个非常忙碌的学期结束时，老师们终于能看到曙光。,,2.0,3,1,3
The business proposal has taken a quantum leap from when I saw it the last time .,quantum leap,a significant and often sudden advancement or improvement,翻然改进 (0.79),翻然改进,"'quantum leap' means '翻然改进'. Given the above knowledge, translate this sentence to Chinese: 'The business proposal has taken a quantum leap from when I saw it the last time .'.",这份商业提案从我上次看到它时已经翻然改进。,这个商业提案自从我上次看到以来已经有了翻然改进。,,3.0,3,2,2
The guest became an absolute pain for the hosts and they were really pleased to see the back of them .,to see the back of,to be glad when someone or something leaves or departs,,,"to see the back of' means 'to be glad when someone or something leaves or departs'. Given the above knowledge, translate this sentence to Chinese: 'The guest became an absolute pain for the hosts and they were really pleased to see the back of them .'.",客人给主人造成了很大的麻烦，他们真的很高兴看到客人离开。,这位客人让主人们感到非常头疼，他们非常高兴他终于离开了。,,2.0,3,2,2
"Girl , do n't ride so high already !",ride high,"to be successful, triumphant, or in a position of power or advantage","一步登天 (0.74), 大功告成 (0.72), 大有作为 (0.71), 好大喜功 (0.70), 更上一层楼 (0.74), 瓜熟蒂落 (0.70), 飞黄腾达 (0.72), 春风得意 (0.73), 大获全胜 (0.71), 决胜千里 (0.73), 奋发有为 (0.71), 鱼跃龙门 (0.71)",春风得意,"'ride high' means '春风得意'. Given the above knowledge, translate this sentence to Chinese: 'Girl , do n't ride so high already !'.",女孩，别那么得意！,女孩，别那么春风得意了！,,2.0,2,3,3
"With no clear directions in place , the crowd ran amok at the show .",run amok (amuck),"to behave uncontrollably and with wild, unrestrained behavior",,,"run amok (amuck)' means 'to behave uncontrollably and with wild, unrestrained behavior'. Given the above knowledge, translate this sentence to Chinese: 'With no clear directions in place , the crowd ran amok at the show .'.",在演出现场没有明确的指示，人群变得疯狂不受控制。,由于没有明确的指示，人群在演出中失控了。,,3.0,3,2,2
I think you need to cut your children some slack on this .,cut some slack,"to be lenient or forgiving, to give someone a break or relax expectations",宽大为怀 (0.72),宽大为怀,"'cut some slack' means '宽大为怀'. Given the above knowledge, translate this sentence to Chinese: 'I think you need to cut your children some slack on this .'.",我认为你需要在这件事上宽大为怀对待你的孩子们。,我觉得你需要在这件事上对你的孩子宽大为怀。,,3.0,3,3,3
They had fewer people turn out for their party than they anticipated,turn out,to happen or develop in a particular way; to result in a certain outcome,,,"turn out' means 'to happen or develop in a particular way; to result in a certain outcome'. Given the above knowledge, translate this sentence to Chinese: 'They had fewer people turn out for their party than they anticipated'.",他们的派对出席人数比他们预期的要少。,他们的聚会出席人数比预期的要少。,,3.0,3,3,3
"Ever since his family found out of his theft , he has been under a cloud .",under a cloud,under suspicion or in disfavor; in a state of disgrace or disrepute,,,"under a cloud' means 'under suspicion or in disfavor; in a state of disgrace or disrepute'. Given the above knowledge, translate this sentence to Chinese: 'Ever since his family found out of his theft , he has been under a cloud .'.",自从他的家人发现了他的偷窃行为，他一直在受到质疑。,自从他的家人发现他偷窃以来，他一直声名狼藉。,,2.0,3,2,3
The politician run out of steam to take any action as soon as the elections get over and I have seen it happen over and over again .,run out of steam,"to lose energy, motivation, or momentum; to tire or exhaust",,,"run out of steam' means 'to lose energy, motivation, or momentum; to tire or exhaust'. Given the above knowledge, translate this sentence to Chinese: 'The politician run out of steam to take any action as soon as the elections get over and I have seen it happen over and over again .'.",那位政治家在选举结束后就失去了斗志，再也无法采取任何行动，我见过这种情况发生多次。,选举一结束，这位政治家就失去了采取任何行动的动力，我已经多次见过这种情况了。,,3.0,3,2,3
I like when things are clearly spelt out instead of being left in a situation with various shades of grey .,shades of grey,refers to a situation or topic that is not clearly defined or is ambiguous,暧昧不明 (0.76),暧昧不明,"'shades of grey' means '暧昧不明'. Given the above knowledge, translate this sentence to Chinese: 'I like when things are clearly spelt out instead of being left in a situation with various shades of grey .'.",我喜欢事情明明白白地表达，而不是让我处在各种暧昧不明的情况中。,我喜欢事情被明确地说明，而不是处于暧昧不明的状态。,,3.0,3,3,3
You 'd better get your act together if you want a raise this year .,get act together,"to organize oneself, get organized, or get one's affairs in order; to start behaving or performing better; to make improvements or show progress",,,"get act together' means 'to organize oneself, get organized, or get one's affairs in order; to start behaving or performing better; to make improvements or show progress'. Given the above knowledge, translate this sentence to Chinese: 'You 'd better get your act together if you want a raise this year .'.",如果你想今年加薪，最好把自己的事情安排好。,如果你今年想加薪，最好把自己整理好。,,3.0,3,2,1
If my boss does n't employ someone to help me soon I do n't know what I am going to do and I ca n't keep my head above water with all of the new orders .,head above water,"to manage to stay out of debt or other trouble, especially in difficult financial or personal circumstances",,,"head above water' means 'to manage to stay out of debt or other trouble, especially in difficult financial or personal circumstances'. Given the above knowledge, translate this sentence to Chinese: 'If my boss does n't employ someone to help me soon I do n't know what I am going to do and I ca n't keep my head above water with all of the new orders .'.",如果我的老板不尽快雇人来帮助我，我不知道我该怎么办，我无法应付所有的新订单，无法维持生计。,如果我的老板不尽快雇人来帮我，我不知道该怎么办，我无法在所有的新订单中保持不陷入困境。,,2.0,3,1,2
"After having a heated argument the previous night , the young couple kissed and made up and decided to settle their differences amicably .",kiss and make up,to reconcile or resolve a disagreement or conflict,"息事宁人 (0.75), 排难解纷 (0.77), 涣然冰释 (0.76), 言归于好 (0.82), 冰消雪释 (0.89), 调和鼎鼐 (0.70)",言归于好,"'kiss and make up' means '言归于好'. Given the above knowledge, translate this sentence to Chinese: 'After having a heated argument the previous night , the young couple kissed and made up and decided to settle their differences amicably .'.",昨晚他们激烈争吵后，年轻夫妇亲吻和好，决定友好解决分歧。,在前一晚激烈争吵之后，这对年轻情侣言归于好，决定友好地解决他们的分歧。,,3.0,3,3,3
"Wait , her name is on the tip of my tongue .",on the tip of one’s tongue,,,,"on the tip of one’s tongue' means ''. Given the above knowledge, translate this sentence to Chinese: 'Wait , her name is on the tip of my tongue .'.",等一下，她的名字就在我嘴边。,等一下，她的名字就在我嘴边。,,3.0,3,3,3
"The person depends on you for his bread and butter , how can you be so thoughtless ?",bread and butter,a person's main source of income or livelihood,,,"bread and butter' means 'a person's main source of income or livelihood'. Given the above knowledge, translate this sentence to Chinese: 'The person depends on you for his bread and butter , how can you be so thoughtless ?'.",这个人的生计都靠你，你怎么能这么没心没肺呢？,那个人靠你维持生计，你怎么能这么不顾及呢？,,3.0,3,3,3
