Idiomatic_Sent,Original_Idiom,Original_Meaning,ai_generated_idioms,chinese_idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
He needs to understand that his daughters are now teenagers and He ca n't just harp on about rules now .,harp on,"to persistently dwell on or discuss a particular subject, often in a critical or complaining manner","{
  ""English idiom"": ""harp on"",
  ""English definition"": ""To talk or complain about something repeatedly in an annoying way."",
  ""Chinese idiom 1"": ""喋喋不休"",
  ""Chinese idiom 2"": ""唠唠叨叨"",
  ""Chinese idiom 3"": """"
}",喋喋不休,"'harp on' means '喋喋不休'. Given the above knowledge, translate the following sentence to Chinese: 'He needs to understand that his daughters are now teenagers and He ca n't just harp on about rules now .'",他需要明白，他的女儿们现在已经是十几岁的青少年了，他不可以只是喋喋不休地谈论规则。,他需要明白他的女儿们现在是青少年了，他不能再喋喋不休地讲规则了。,3,3,3,3
I had my back to the wall when I was forced to take such a difficult decision .,back to the wall,to be in a difficult or desperate situation with no easy way out,"```json
{
  ""English idiom"": ""back to the wall"",
  ""English definition"": ""In a desperate situation with limited options for escape or recourse"",
  ""Chinese idiom 1"": ""困兽犹斗"",
  ""Chinese idiom 2"": ""背水一战"",
  ""Chinese idiom 3"": ""穷途末路""
}
```",困兽犹斗,"'back to the wall' means '困兽犹斗'. Given the above knowledge, translate the following sentence to Chinese: 'I had my back to the wall when I was forced to take such a difficult decision .'",在我被迫做出这样艰难的决定时，我已经陷入绝境。,当我被迫做出如此艰难的决定时，我已经是困兽犹斗。,3,3,3,3
I have found that drinking a cool glass of water helps to beat the heat in summer .,beat the heat,To endure or cope with hot weather or a difficult situation,"```json
{
  ""English idiom"": ""beat the heat"",
  ""English definition"": ""To find ways to stay cool in hot weather."",
  ""Chinese idiom 1"": """",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}
```",To find ways to stay cool in hot weather.,"'beat the heat' means 'To find ways to stay cool in hot weather.'. Given the above knowledge, translate the following sentence to Chinese: 'I have found that drinking a cool glass of water helps to beat the heat in summer .'",我发现在夏天喝一杯凉水有助于消暑。,我发现喝一杯凉水有助于在夏天消暑。,3,3,3,3
A lot of actors turned out for the audition,turn out,to happen or develop in a particular way; to result in a certain outcome,"```json
{
  ""English idiom"": ""turn out"",
  ""English definition"": ""To result or end up in a particular way; to be found or discovered to be."",
  ""Chinese idiom 1"": ""事与愿违"",
  ""Chinese idiom 2"": ""水落石出"",
  ""Chinese idiom 3"": ""真相大白""
}
```",水落石出,"'turn out' means '水落石出'. Given the above knowledge, translate the following sentence to Chinese: 'A lot of actors turned out for the audition'",很多演员参加了试镜。,很多演员参加了试镜。,3,3,3,1
It had been so long since we went on a vacation but this last month we decided to spend quality time with the family regardless .,quality time,to spend meaningful and valuable time with someone,"{
  ""English idiom"": ""quality time"",
  ""English definition"": ""Time spent in giving someone one's undivided attention in order to strengthen a relationship, especially time spent with family or loved ones."",
  ""Chinese idiom 1"": ""天伦之乐"",
  ""Chinese idiom 2"": ""相亲相爱"",
  ""Chinese idiom 3"": """"
}",天伦之乐,"'quality time' means '天伦之乐'. Given the above knowledge, translate the following sentence to Chinese: 'It had been so long since we went on a vacation but this last month we decided to spend quality time with the family regardless .'",很久没有去度假了，但上个月我们决定无论如何要和家人共享天伦之乐。,我们已经很久没有去度假了，不过上个月我们决定无论如何都要和家人一起享受天伦之乐。,3,3,3,3
He has seen lots of ups and downs in his career but finally became richest person in the town . ',ups and downs,"variations in fortune or circumstance, particularly involving both successes and failures","```json
{
  ""English idiom"": ""ups and downs"",
  ""English definition"": ""the mixture of good and bad things that happen in life or any situation"",
  ""Chinese idiom 1"": ""大起大落"",
  ""Chinese idiom 2"": ""风风雨雨"",
  ""Chinese idiom 3"": """"
}
```",风风雨雨,"'ups and downs' means '风风雨雨'. Given the above knowledge, translate the following sentence to Chinese: 'He has seen lots of ups and downs in his career but finally became richest person in the town . ''",他的职业生涯经历了很多风风雨雨，但最终成为了镇上最富有的人。,他在事业中经历了许多风风雨雨，但最终成为了镇上最富有的人。,3,3,3,3
Getting caught up in a good book is fun .,catch up,to reach or achieve the same level or position as someone or something that was previously ahead; to meet with someone to get updated or to socialize,"```json
{
  ""English idiom"": ""catch up"",
  ""English definition"": ""To reach the same standard, stage, or level as others who are ahead; to make up for lost time."",
  ""Chinese idiom 1"": ""迎头赶上"",
  ""Chinese idiom 2"": ""亡羊补牢"",
  ""Chinese idiom 3"": ""后来居上""
}
```",迎头赶上,"'catch up' means '迎头赶上'. Given the above knowledge, translate the following sentence to Chinese: 'Getting caught up in a good book is fun .'",沉浸在一本好书中是一种乐趣。,沉浸在一本好书里是很有趣的。,3,3,3,3
I have been living in this house since the year dot and know everyone in the vicinity by their first names .,year dot,"an extremely long time ago, often referring to the distant past","```json
{
  ""English idiom"": ""year dot"",
  ""English definition"": ""A very long time ago; used to refer to something that happened a long time in the past."",
  ""Chinese idiom 1"": ""自古以来"",
  ""Chinese idiom 2"": ""远古时代"",
  ""Chinese idiom 3"": ""自古而然""
}
```",自古以来,"'year dot' means '自古以来'. Given the above knowledge, translate the following sentence to Chinese: 'I have been living in this house since the year dot and know everyone in the vicinity by their first names .'",自古以来，我一直住在这所房子里，认识附近所有人的名字。,我从自古以来就住在这栋房子里，附近的人我都知道他们的名字。,2,2,1,1
"When I saw the image , I had a strange feeling of deja vu .",deja vu,a feeling of having already experienced the present situation,"```json
{
  ""English idiom"": ""deja vu"",
  ""English definition"": ""A feeling of having already experienced the present situation."",
  ""Chinese idiom 1"": """",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}
```",A feeling of having already experienced the present situation.,"'deja vu' means 'A feeling of having already experienced the present situation.'. Given the above knowledge, translate the following sentence to Chinese: 'When I saw the image , I had a strange feeling of deja vu .'",当我看到那张照片时，我有一种奇怪的似曾相识的感觉。,当我看到那张图片时，我有一种奇怪的似曾相识的感觉。,3,3,3,3
It is a rat race at my work place .,rat race,a competitive and demanding world or situation in which people are constantly striving to get ahead,"{
    ""English idiom"": ""rat race"",
    ""English definition"": ""A way of life in which people are caught up in a fiercely competitive struggle for wealth or power, often leading to a stressful and exhausting lifestyle."",
    ""Chinese idiom 1"": ""勾心斗角"",
    ""Chinese idiom 2"": ""争名夺利"",
    ""Chinese idiom 3"": ""为五斗米折腰""
}",勾心斗角,"'rat race' means '勾心斗角'. Given the above knowledge, translate the following sentence to Chinese: 'It is a rat race at my work place .'",我的工作场所是一个充满勾心斗角的地方。,我的工作场所充满了勾心斗角。,3,2,3,3
"The music band comprising engineering students is currently on the crest of a wave , with a launch of new album it has planned for next year .",on the crest of a wave,experiencing a period of great success or happiness,"```json
{
  ""English idiom"": ""on the crest of a wave"",
  ""English definition"": ""experiencing a period of success, popularity, or prosperity"",
  ""Chinese idiom 1"": ""如日中天"",
  ""Chinese idiom 2"": ""春风得意"",
  ""Chinese idiom 3"": ""一帆风顺""
}
```",如日中天,"'on the crest of a wave' means '如日中天'. Given the above knowledge, translate the following sentence to Chinese: 'The music band comprising engineering students is currently on the crest of a wave , with a launch of new album it has planned for next year .'",这支由工科学生组成的乐队目前正如日中天，计划明年推出新专辑。,由工程专业学生组成的乐队目前如日中天，他们计划在明年推出新专辑。,3,3,3,3
I know that you wanted to know just in case the bike was available but you have to realize that you can not afford it .,just in case,as a precaution or in anticipation of a future event or circumstance,"```json
{
  ""English idiom"": ""just in case"",
  ""English definition"": ""As a precaution; to prepare for a possible future need or problem."",
  ""Chinese idiom 1"": ""未雨绸缪"",
  ""Chinese idiom 2"": ""防患未然"",
  ""Chinese idiom 3"": """"
}
```",未雨绸缪,"'just in case' means '未雨绸缪'. Given the above knowledge, translate the following sentence to Chinese: 'I know that you wanted to know just in case the bike was available but you have to realize that you can not afford it .'",我知道你想知道自行车是否可用，但你必须意识到你买不起。,我知道你想知道以防万一自行车有现货，但你必须意识到你买不起。,3,3,3,3
"John was a really deserving candidate , so he got the lion 's share of credit for the social service contest .",lion's share,the largest or greatest portion or part of something,"```json
{
  ""English idiom"": ""lion's share"",
  ""English definition"": ""The largest part or portion of something."",
  ""Chinese idiom 1"": ""大部分"",
  ""Chinese idiom 2"": ""主要部分"",
  ""Chinese idiom 3"": ""绝大多数""
}
```",绝大多数,"'lion's share' means '绝大多数'. Given the above knowledge, translate the following sentence to Chinese: 'John was a really deserving candidate , so he got the lion 's share of credit for the social service contest .'",约翰是一个真正值得的候选人，所以他在社会服务比赛中得到了绝大多数的赞誉。,约翰是一位非常值得的候选人，所以他在社会服务竞赛中获得了绝大多数的荣誉。,3,3,3,3
"My little brother always cries wolf to my parents about getting hurt , I am scared they wo n't believe if he actually gets in trouble .",cry wolf,"to give a false alarm or exaggerate a situation, making it difficult for others to believe you in the future","```json
{
  ""English idiom"": ""cry wolf"",
  ""English definition"": ""To raise a false alarm or exaggerate a danger, resulting in the dismissal of legitimate alarms or concerns later."",
  ""Chinese idiom 1"": ""狼来了"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}
```",狼来了,"'cry wolf' means '狼来了'. Given the above knowledge, translate the following sentence to Chinese: 'My little brother always cries wolf to my parents about getting hurt , I am scared they wo n't believe if he actually gets in trouble .'",我弟弟总是向爸爸妈妈哭狼来了， 我担心如果他真的遇到麻烦，他们不会相信。,我弟弟总是对父母喊“狼来了”说自己受伤了，我担心如果他真的遇到麻烦的时候，父母不会相信。,3,3,2,3
"Drastic times call for drastic measures , and drastic changes are needed to prevent the crisis turning into a disaster .",drastic times call for drastic measures,Extreme or difficult situations require extreme or drastic actions or solutions,"```json
{
  ""English idiom"": ""drastic times call for drastic measures"",
  ""English definition"": ""Extreme and severe circumstances require equally extreme actions."",
  ""Chinese idiom 1"": ""非常时期, 非常措施"",
  ""Chinese idiom 2"": ""釜底抽薪"",
  ""Chinese idiom 3"": ""置之死地而后生""
}
```","非常时期, 非常措施","'drastic times call for drastic measures' means '非常时期, 非常措施'. Given the above knowledge, translate the following sentence to Chinese: 'Drastic times call for drastic measures , and drastic changes are needed to prevent the crisis turning into a disaster .'",非常时期， 非常措施， 需要采取极端措施来防止危机变为灾难。,"非常时期, 非常措施，而且需要采取重大变革以防止危机变成灾难。",3,3,1,3
My mom 's narrow attitude about gender equality really gets under my skin .,get under skin,to deeply irritate or bother someone,"```json
{
  ""English idiom"": ""get under skin"",
  ""English definition"": ""To irritate or bother someone persistently"",
  ""Chinese idiom 1"": ""触怒龙颜"",
  ""Chinese idiom 2"": ""惹恼"",
  ""Chinese idiom 3"": """"
}
```",触怒龙颜,"'get under skin' means '触怒龙颜'. Given the above knowledge, translate the following sentence to Chinese: 'My mom 's narrow attitude about gender equality really gets under my skin .'",我妈妈对性别平等持狭隘态度，真的触怒了我的龙颜。,我妈妈对性别平等的狭隘态度真的让我很触怒龙颜。,2,2,1,1
I was so caught up in the beauty of the art work that I failed to notice her .,catch up,to reach or achieve the same level or position as someone or something that was previously ahead; to meet with someone to get updated or to socialize,"```json
{
  ""English idiom"": ""catch up"",
  ""English definition"": ""To reach the same standard, stage, or level as others who are ahead; to make up for lost time."",
  ""Chinese idiom 1"": ""迎头赶上"",
  ""Chinese idiom 2"": ""亡羊补牢"",
  ""Chinese idiom 3"": ""后来居上""
}
```",迎头赶上,"'catch up' means '迎头赶上'. Given the above knowledge, translate the following sentence to Chinese: 'I was so caught up in the beauty of the art work that I failed to notice her .'",我被艺术品的美丽深深吸引，以至于没有注意到她。,我完全沉浸在艺术作品的美中，没注意到她的存在。,3,3,3,3
I guess you need a pep talk to finish the work .,pep talk,an inspirational or motivational speech or conversation aimed at boosting someone's morale or confidence,"```json
{
  ""English idiom"": ""pep talk"",
  ""English definition"": ""A speech intended to motivate or encourage someone to perform better or with more enthusiasm."",
  ""Chinese idiom 1"": ""振奋人心"",
  ""Chinese idiom 2"": ""鼓舞士气"",
  ""Chinese idiom 3"": ""激励人心""
}
```",振奋人心,"'pep talk' means '振奋人心'. Given the above knowledge, translate the following sentence to Chinese: 'I guess you need a pep talk to finish the work .'",我猜你需要一次振奋人心的谈话来完成工作。,我猜你需要一个振奋人心的话来完成工作。,3,3,3,2
"After studying for six years , I can finally see the light at the end of the tunnel .",see the light,to finally understand something; to gain insight or realization,"```json
{
  ""English idiom"": ""see the light"",
  ""English definition"": ""To understand or realize something after a period of ignorance or misunderstanding."",
  ""Chinese idiom 1"": ""恍然大悟"",
  ""Chinese idiom 2"": ""豁然开朗"",
  ""Chinese idiom 3"": """"
}
```",恍然大悟,"'see the light' means '恍然大悟'. Given the above knowledge, translate the following sentence to Chinese: 'After studying for six years , I can finally see the light at the end of the tunnel .'",学习了六年后，我终于看到了曙光。,经过六年的学习，我终于看到了隧道尽头的光亮。,3,3,3,3
The company took a beat in the financial crisis .,take a beating,to suffer a significant loss or defeat; to endure a harsh criticism or punishment,"```json
{
  ""English idiom"": ""take a beating"",
  ""English definition"": ""To suffer a setback or defeat, often involving significant damage or loss."",
  ""Chinese idiom 1"": ""惨败而归"",
  ""Chinese idiom 2"": ""打落牙齿和血吞"",
  ""Chinese idiom 3"": ""身败名裂""
}
```",惨败而归,"'take a beating' means '惨败而归'. Given the above knowledge, translate the following sentence to Chinese: 'The company took a beat in the financial crisis .'",公司在金融危机中惨败而归。,公司在金融危机中惨败而归。,3,3,3,3
"The couple did not see eye to eye on most things and had blazing rows every now and then , but when it came to their child 's education , they usually agreed on what was best for him .",blazing row,an intense and heated argument or fight,"{
  ""English idiom"": ""blazing row"",
  ""English definition"": ""A very intense and heated argument typically characterized by yelling and strong emotions."",
  ""Chinese idiom 1"": ""大动干戈"",
  ""Chinese idiom 2"": ""争吵不休"",
  ""Chinese idiom 3"": ""剑拔弩张""
}",大动干戈,"'blazing row' means '大动干戈'. Given the above knowledge, translate the following sentence to Chinese: 'The couple did not see eye to eye on most things and had blazing rows every now and then , but when it came to their child 's education , they usually agreed on what was best for him .'",这对夫妇在大多数事情上意见不合，偶尔会发生大动干戈的争吵，但在孩子的教育问题上，他们通常会就如何对他做最好达成一致。,这对夫妻在大多数事情上都意见不合，时不时会大动干戈，但在孩子的教育问题上，他们通常都能达成共识。,3,3,3,3
She goes through hell with that man every single day and I am not even sure why she is still with him .,give hell,"to criticize, scold, or confront someone with great intensity or aggression","```json
{
  ""English idiom"": ""give hell"",
  ""English definition"": ""To severely criticize, reprimand, or punish someone."",
  ""Chinese idiom 1"": ""严加责备"",
  ""Chinese idiom 2"": ""劈头盖脸"",
  ""Chinese idiom 3"": null
}
```",严加责备,"'give hell' means '严加责备'. Given the above knowledge, translate the following sentence to Chinese: 'She goes through hell with that man every single day and I am not even sure why she is still with him .'",她每天都跟那个男人受尽磨难，我甚至都不确定她为什么还跟他在一起。,她每天都在那个男人身边经历着地狱，我真不知道她为什么还跟他在一起。,3,3,3,3
My dream has always been to settle in Australia and But I know it 's like a trip to the sun and I just have to make peace with this place .,a trip to the sun,"There is no widely recognized English idiom ""a trip to the sun.""","{
  ""English idiom"": ""a trip to the sun"",
  ""English definition"": ""An impossible or extremely challenging task."",
  ""Chinese idiom 1"": ""缘木求鱼"",
  ""Chinese idiom 2"": ""水中捞月"",
  ""Chinese idiom 3"": ""海底捞针""
}",水中捞月,"'a trip to the sun' means '水中捞月'. Given the above knowledge, translate the following sentence to Chinese: 'My dream has always been to settle in Australia and But I know it 's like a trip to the sun and I just have to make peace with this place .'",我的梦想一直是定居在澳大利亚，但我知道那就像是水中捞月一样，我得和这个地方和平相处。,我的梦想一直是定居澳大利亚，但我知道这就像水中捞月，我必须与这个地方和解。,2,2,3,2
John accidentally elbowed me smack dab on my nose .,smack dab,directly or precisely in the middle or center of something,"{
    ""English idiom"": ""smack dab"",
    ""English definition"": ""Exactly in a specified spot or place."",
    ""Chinese idiom 1"": ""正中下怀"",
    ""Chinese idiom 2"": ""恰到好处"",
    ""Chinese idiom 3"": ""不偏不倚""
}",正中下怀,"'smack dab' means '正中下怀'. Given the above knowledge, translate the following sentence to Chinese: 'John accidentally elbowed me smack dab on my nose .'",约翰不小心用肘部猛击了我的鼻子。,约翰不小心正好用胳膊肘撞到了我的鼻子。,2,3,1,2
The guy has rubbed me in such a wrong way that I do not even want to look at him ever again .,rub the wrong way,to irritate or annoy someone,"```json
{
  ""English idiom"": ""rub the wrong way"",
  ""English definition"": ""To irritate or annoy someone."",
  ""Chinese idiom 1"": ""触怒"",
  ""Chinese idiom 2"": ""惹恼"",
  ""Chinese idiom 3"": """"
}
```",触怒,"'rub the wrong way' means '触怒'. Given the above knowledge, translate the following sentence to Chinese: 'The guy has rubbed me in such a wrong way that I do not even want to look at him ever again .'",这个家伙触怒了我，以至于我再也不想看到他。,那个人把我惹火了，我再也不想看他一眼。,3,3,2,2
"Time after time you bring up this issue , and the answer will always be no .",time after time,repeatedly or consistently; happening over and over again,"```json
{
  ""English idiom"": ""time after time"",
  ""English definition"": ""Repeatedly or on multiple occasions"",
  ""Chinese idiom 1"": ""三番五次"",
  ""Chinese idiom 2"": ""屡次三番"",
  ""Chinese idiom 3"": ""反复无常""
}
```",三番五次,"'time after time' means '三番五次'. Given the above knowledge, translate the following sentence to Chinese: 'Time after time you bring up this issue , and the answer will always be no .'",三番五次你提起这个问题，答案总是不。,你三番五次提起这个问题，但答案永远是不会改变的。,3,3,3,3
Do you know someone who is a self-made man ? You really need an inspiration .,self-made man,"someone who has achieved success, wealth, or prominence on their own, without any help or support from others","```json
{
    ""English idiom"": ""self-made man"",
    ""English definition"": ""A person who has achieved success or prominence by their own efforts, rather than by relying on help from others."",
    ""Chinese idiom 1"": ""白手起家"",
    ""Chinese idiom 2"": ""自力更生"",
    ""Chinese idiom 3"": ""奋发图强""
}
```",白手起家,"'self-made man' means '白手起家'. Given the above knowledge, translate the following sentence to Chinese: 'Do you know someone who is a self-made man ? You really need an inspiration .'",你知道有白手起家的人吗？你真的需要一些灵感。,你认识白手起家的人吗？你真的需要一个灵感。,3,3,3,3
That corner store is a one stop shop for anyone looking for video games .,one stop shop,a place or service that provides all the necessary items or services in one location or from one source,"```json
{
  ""English idiom"": ""one stop shop"", 
  ""English definition"": ""A place where a variety of services or products are all offered under one roof, providing convenience and completing multiple tasks in one location."",
  ""Chinese idiom 1"": ""包罗万象"",
  ""Chinese idiom 2"": ""应有尽有"",
  ""Chinese idiom 3"": ""一应俱全""
}
```",包罗万象,"'one stop shop' means '包罗万象'. Given the above knowledge, translate the following sentence to Chinese: 'That corner store is a one stop shop for anyone looking for video games .'",那家角落商店对于寻找电子游戏的人来说是一个包罗万象的选择。,那家角落商店是所有寻找电子游戏的人的包罗万象商店。,2,3,2,1
The system has resulted in new blood coming into the television industry .,new blood,new members or fresh ideas that bring new energy or vitality to a group or organization,"```json
{
  ""English idiom"": ""new blood"",
  ""English definition"": ""New people brought into an organization to introduce fresh ideas and energy."",
  ""Chinese idiom 1"": ""注入新鲜血液"",
  ""Chinese idiom 2"": ""后继有人"",
  ""Chinese idiom 3"": """"
}
```",注入新鲜血液,"'new blood' means '注入新鲜血液'. Given the above knowledge, translate the following sentence to Chinese: 'The system has resulted in new blood coming into the television industry .'",这一制度导致了新鲜血液注入电视行业。,这个制度为电视行业带来了注入新鲜血液。,3,3,3,1
Did you really get tickets to the Ed Sheeran concert or are you winding me up ?,wind up,"to finish or conclude something, often unexpectedly or in a way that was not planned","```json
{
  ""English idiom"": ""wind up"",
  ""English definition"": ""To bring something to an end or to be in a particular situation; to conclude."",
  ""Chinese idiom 1"": ""结束语"",
  ""Chinese idiom 2"": ""收尾"",
  ""Chinese idiom 3"": """"
}
```",收尾,"'wind up' means '收尾'. Given the above knowledge, translate the following sentence to Chinese: 'Did you really get tickets to the Ed Sheeran concert or are you winding me up ?'","""你真的買到艾德·希倫演唱會的門票了嗎，還是在開玩笑？""",你们真的拿到了艾德·希兰演唱会的票，还是在耍我？,3,3,3,3
The trip could be finalized only after his parents gave their seal of approval .,seal of approval,"an indication or acknowledgment of acceptance, endorsement, or approval","```json
{
  ""English idiom"": ""seal of approval"",
  ""English definition"": ""A sign or mark indicating that someone has been given permission or approval by an authoritative figure or body."",
  ""Chinese idiom 1"": ""盖戳认证"",
  ""Chinese idiom 2"": ""金玉良言"",
  ""Chinese idiom 3"": ""权威认证""
}
```",盖戳认证,"'seal of approval' means '盖戳认证'. Given the above knowledge, translate the following sentence to Chinese: 'The trip could be finalized only after his parents gave their seal of approval .'",这次旅行只有在他父母给出盖戳认证后才能最终确定。,只有在他父母盖戳认证之后，这次旅行才能敲定。,2,3,1,2
"All politicians blame each other and tell themselves good , it 's like pot calling the kettle black .",pot calling the kettle black,hypocritical reproach; accusing someone of a fault or action that one is guilty of themselves,"```json
{
  ""English idiom"": ""pot calling the kettle black"",
  ""English definition"": ""This idiom is used to point out hypocrisy, where someone criticizes another person for a fault that they themselves possess."",
  ""Chinese idiom 1"": ""五十步笑百步"",
  ""Chinese idiom 2"": ""猫哭耗子假慈悲"",
  ""Chinese idiom 3"": """"
}
```",五十步笑百步,"'pot calling the kettle black' means '五十步笑百步'. Given the above knowledge, translate the following sentence to Chinese: 'All politicians blame each other and tell themselves good , it 's like pot calling the kettle black .'",所有政客彼此指责对方，自夸自己，就像五十步笑百步一样。,所有的政客互相指责并自我感觉良好，这就像五十步笑百步。,2,2,3,3
"It is a celebration of love , happiness and the free spirit .",free spirit,"someone who is independent, spontaneous, and not confined by societal norms or expectations","{
  ""English idiom"": ""free spirit"",
  ""English definition"": ""A person who thinks and acts in an uninhibited way without worrying about societal norms or conventions, often embracing a sense of freedom and spontaneity."",
  ""Chinese idiom 1"": ""我行我素"",
  ""Chinese idiom 2"": ""放荡不羁"",
  ""Chinese idiom 3"": """"
}",放荡不羁,"'free spirit' means '放荡不羁'. Given the above knowledge, translate the following sentence to Chinese: 'It is a celebration of love , happiness and the free spirit .'",这是对爱、幸福和放荡不羁的庆祝。,这是一场对爱情、幸福和放荡不羁的庆祝。,3,3,1,1
The corrupt official escaped punishment because he has been scratching the minister 's back .,scratch back,To do a favor for someone in the hopes of receiving a favor in return,"{
    ""English idiom"": ""scratch back"",
    ""English definition"": ""To provide someone with a favor or service in expectation of a return favor, based on mutual benefit."",
    ""Chinese idiom 1"": ""礼尚往来"",
    ""Chinese idiom 2"": ""投桃报李"",
    ""Chinese idiom 3"": ""滴水之恩，涌泉相报""
}",礼尚往来,"'scratch back' means '礼尚往来'. Given the above knowledge, translate the following sentence to Chinese: 'The corrupt official escaped punishment because he has been scratching the minister 's back .'",这个贪污官员逃避惩罚是因为他一直在拍马屁。,那个腐败官员逃脱了惩罚，因为他一直在给部长礼尚往来。,3,3,2,1
The prisoner has been awarded the death penalty is cooling his heels until the President evaluates if mercy can be sanctioned .,cool heels,to be made to wait or be kept waiting,"```json
{
  ""English idiom"": ""cool heels"",
  ""English definition"": ""To wait or pass time, often impatiently, until something one is expecting takes place."",
  ""Chinese idiom 1"": ""翘首以待"",
  ""Chinese idiom 2"": ""耐心等待"",
  ""Chinese idiom 3"": ""望眼欲穿""
}
```",翘首以待,"'cool heels' means '翘首以待'. Given the above knowledge, translate the following sentence to Chinese: 'The prisoner has been awarded the death penalty is cooling his heels until the President evaluates if mercy can be sanctioned .'",囚犯被判死刑，正在翘首以待，直到总统评估是否可以释放慈悲。,那名获死刑的囚犯正翘首以待，直到总统评估是否可以给予宽恕。,2,2,1,1
"No man is an island you know , you will need to call me back to work for you !",no man is an island,Everyone is connected to others and cannot thrive or survive in isolation.,"```json
{
  ""English idiom"": ""no man is an island"",
  ""English definition"": ""This idiom means that no one is completely self-sufficient; everyone must rely on the company and comfort of others for support."",
  ""Chinese idiom 1"": ""众人拾柴火焰高"",
  ""Chinese idiom 2"": ""人心齐，泰山移"",
  ""Chinese idiom 3"": ""单丝不成线，独木不成林""
}
```",单丝不成线，独木不成林,"'no man is an island' means '单丝不成线，独木不成林'. Given the above knowledge, translate the following sentence to Chinese: 'No man is an island you know , you will need to call me back to work for you !'",你知道，没有人是一座孤岛，你需要叫我回来为你工作！,你知道的，单丝不成线，独木不成林，你需要叫我回来帮你工作！,3,3,3,3
The paintings by this artist are a must have for any good collection to be complete . ',must have,widely believed or accepted to be true; highly probable or certain,"{
  ""English idiom"": ""must have"",
  ""English definition"": ""Something that is essential or indispensable."",
  ""Chinese idiom 1"": ""必不可少"",
  ""Chinese idiom 2"": ""不可或缺"",
  ""Chinese idiom 3"": ""必需品""
}",必不可少,"'must have' means '必不可少'. Given the above knowledge, translate the following sentence to Chinese: 'The paintings by this artist are a must have for any good collection to be complete . ''",这位艺术家的画作是任何优秀收藏必不可少的一部分。,这位艺术家的画作是任何完整的优秀收藏中必不可少的。,3,3,3,3
The employees were up in arms over the management 's plan to discontinue five-day week policy . '',up in arms,"to be angry, upset, or outraged about something","```json
{
  ""English idiom"": ""up in arms"",
  ""English definition"": ""Very angry or upset about something, ready to protest or fight."",
  ""Chinese idiom 1"": ""群情激愤"",
  ""Chinese idiom 2"": ""义愤填膺"",
  ""Chinese idiom 3"": """"
}
```",群情激愤,"'up in arms' means '群情激愤'. Given the above knowledge, translate the following sentence to Chinese: 'The employees were up in arms over the management 's plan to discontinue five-day week policy . '''",员工们对管理层停止实行五天工作制的计划感到群情激愤。,员工们对管理层计划取消五天工作制的决定群情激愤。,3,3,3,3
I am sure that work to develop a one stop shop will be discussed extensively in this afternoons breakout session .,one stop shop,a place or service that provides all the necessary items or services in one location or from one source,"```json
{
  ""English idiom"": ""one stop shop"", 
  ""English definition"": ""A place where a variety of services or products are all offered under one roof, providing convenience and completing multiple tasks in one location."",
  ""Chinese idiom 1"": ""包罗万象"",
  ""Chinese idiom 2"": ""应有尽有"",
  ""Chinese idiom 3"": ""一应俱全""
}
```",一应俱全,"'one stop shop' means '一应俱全'. Given the above knowledge, translate the following sentence to Chinese: 'I am sure that work to develop a one stop shop will be discussed extensively in this afternoons breakout session .'",我相信在今天下午的分组讨论中，一定会广泛讨论开发一应俱全服务的工作。,我相信在今天下午的小组讨论会上，关于开发一应俱全的服务将会被广泛讨论。,3,3,2,2
The taxi showed up on the dot .,on the dot,exactly at a specified time; punctual,"```json
{
    ""English idiom"": ""on the dot"",
    ""English definition"": ""Exactly at the specified time"",
    ""Chinese idiom 1"": ""分秒不差"",
    ""Chinese idiom 2"": ""准时到达"",
    ""Chinese idiom 3"": """"
}
```",分秒不差,"'on the dot' means '分秒不差'. Given the above knowledge, translate the following sentence to Chinese: 'The taxi showed up on the dot .'",出租车分秒不差地出现了。,出租车分秒不差地出现了。,3,3,3,3
She is doing quite well in her organisation and is very much in the ascendant to getting the promotion .,in the ascendant,rising or becoming more powerful or influential,"```json
{
  ""English idiom"": ""in the ascendant"",
  ""English definition"": ""Gaining power or influence; on the rise."",
  ""Chinese idiom 1"": ""蒸蒸日上"",
  ""Chinese idiom 2"": ""扶摇直上"",
  ""Chinese idiom 3"": ""如日中天""
}
```",蒸蒸日上,"'in the ascendant' means '蒸蒸日上'. Given the above knowledge, translate the following sentence to Chinese: 'She is doing quite well in her organisation and is very much in the ascendant to getting the promotion .'",她在组织中表现得很出色，非常有望晋升。,她在她的公司表现得非常出色，并且蒸蒸日上，很有希望得到晋升。,3,3,2,3
