Idiomatic_Sent,Original_Idiom,en_meaning,high_similarity_english_idioms,Most_Relevant_English_Idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,"3,5_Evaluation_4o",4o_Evaluation_4o
那个人声名狼藉，妳还想跟他交朋友？,声名狼藉,"having a bad reputation, widely known for negative reasons",your name is mud (0.74),your name is mud,'声名狼藉' means 'your name is mud'. Given the above knowledge translate this sentence to English: 那个人声名狼藉，妳还想跟他交朋友？.,"That person's name is mud, and you still want to be friends with him?","That person’s name is mud, and you still want to be friends with him?",3,3,3.0,3
大名鼎鼎的曹操曹孟德千里迢迢、风尘仆仆地来到京城，口口声声说是来保护皇帝的，引得大家议论纷纷。,大名鼎鼎,well-known and famous,,,'大名鼎鼎' means 'well-known and famous'. Given the above knowledge translate this sentence to English: 大名鼎鼎的曹操曹孟德千里迢迢、风尘仆仆地来到京城，口口声声说是来保护皇帝的，引得大家议论纷纷。.,"The well-known Cao Cao, also known as Cao Mengde, traveled a long and arduous journey to the capital city, claiming to be there to protect the emperor, sparking widespread discussion.","The well-known and famous Cao Cao, styled Mengde, traveled a great distance, arrived in the capital city covered in dust, claiming repeatedly that he was there to protect the Emperor, which led to widespread discussion among the people.",3,3,2.0,2
草坪片片染黄，草木也显出了成熟坚硬，像一队尖兵披着铠甲，在风雨中挺立。树木穿上了五彩缤纷的花衣，红黄绿紫……犹如一位位美丽的少女站立在秋风中，美不胜收。落叶翩翩起舞，像蝴蝶一般，美丽极了。,美不胜收,"breathtakingly beautiful, to the point that it is beyond words",,,"'美不胜收' means 'breathtakingly beautiful, to the point that it is beyond words'. Given the above knowledge translate this sentence to English: 草坪片片染黄，草木也显出了成熟坚硬，像一队尖兵披着铠甲，在风雨中挺立。树木穿上了五彩缤纷的花衣，红黄绿紫……犹如一位位美丽的少女站立在秋风中，美不胜收。落叶翩翩起舞，像蝴蝶一般，美丽极了。.","The grassland is dyed yellow piece by piece, and the plants also show maturity and hardness, like a squad of sharpshooters wearing armor, standing tall in the wind and rain. The trees are dressed in colorful floral clothes, red, yellow, green, purple... like beautiful girls standing in the autumn wind, breathtakingly beautiful. The falling leaves dance gracefully, like butterflies, incredibly beautiful.","The lawns are tinged with yellow patches, the grass and trees also appear mature and tough, like a squad of vanguards clad in armor, standing tall amidst the wind and rain. The trees are dressed in colorful garments, red, yellow, green, purple... like beautiful maidens standing in the autumn breeze, breathtakingly beautiful. The fallen leaves dance gracefully, like butterflies, incredibly beautiful.",3,3,2.0,3
只要你怀着一颗坦然的心去面对，成功了要淡然视之，失败了要泰然处之。那么，悬挂在你人生背景上的永远是幸福亮丽的画卷！,泰然处之,remain calm and composed in the face of difficulties or challenges,"cool as a cucumber (0.82), cool as cucumber (0.92), keep _ cool (0.86), keep your cool (0.91), keep your hair on (0.84), keep your head (0.82), play it cool (0.87), sit tight (0.74), stiff upper lip (0.91), take a deep breath (0.76)",cool as a cucumber,'泰然处之' means 'cool as a cucumber'. Given the above knowledge translate this sentence to English: 只要你怀着一颗坦然的心去面对，成功了要淡然视之，失败了要泰然处之。那么，悬挂在你人生背景上的永远是幸福亮丽的画卷！.,"As long as you face things with a calm heart, treat success lightly and handle failure calmly, then a happy and bright picture will always hang in the background of your life!","As long as you face it with a calm heart, treat success with indifference and failure with composure, then, a beautiful and happy painting will always hang in the backdrop of your life!",3,3,2.0,2
霜降的天气，双份的关心，祝你好事连连，成双成对，爱情美满，比翼双飞，完美达人，才貌双全，幸福财富，一箭双雕！,比翼双飞,"""fly wing to wing"" or ""fly together""",,,"'比翼双飞' means '""fly wing to wing"" or ""fly together""'. Given the above knowledge translate this sentence to English: 霜降的天气，双份的关心，祝你好事连连，成双成对，爱情美满，比翼双飞，完美达人，才貌双全，幸福财富，一箭双雕！.","In the frosty weather, double the caring, wishing you good fortune, being in pairs, experiencing perfect love, flying wing to wing, being a perfect individual, possessing both talent and beauty, and enjoying both happiness and wealth; hitting two targets with one arrow!","In frosty weather, double the care, wishing you continuous good fortune, pairs and couples, perfect love, flying together wing to wing, a perfect person, both talented and beautiful, happiness and wealth, hitting two targets with one arrow!",3,3,3.0,3
水，那么灵动清丽，令人神往遐思；水，那么雄浑澎湃，充满了无限激情。有时人称柔情似水，有时又说咆哮奔腾，这就是水的个性。瀑布的壮丽，波涛的汹涌，泉水的叮咚，小河的潺潺，全都日夜永恒。,令人神往,highly appealing or enchanting; makes people feel excited and fascinated,,,'令人神往' means 'highly appealing or enchanting; makes people feel excited and fascinated'. Given the above knowledge translate this sentence to English: 水，那么灵动清丽，令人神往遐思；水，那么雄浑澎湃，充满了无限激情。有时人称柔情似水，有时又说咆哮奔腾，这就是水的个性。瀑布的壮丽，波涛的汹涌，泉水的叮咚，小河的潺潺，全都日夜永恒。.,"Water, so agile and beautiful, highly appealing and enchanting, makes people feel excited and fascinated; water, so mighty and surging, full of infinite passion. Sometimes referred to as gentle as water, sometimes roaring and rushing, that is the personality of water. The magnificent waterfall, the turbulent waves, the bubbling spring water, the murmuring stream, all eternal day and night.","The water is so graceful and clear, highly appealing and enchanting; it is so majestic and surging, full of boundless passion. Sometimes it is described as gentle as water, and sometimes as roaring and tumultuous—that is the nature of water. The magnificence of waterfalls, the tumult of waves, the tinkling of springs, and the murmuring of small rivers, all remain eternal day and night.",3,3,2.0,2
生活富裕人心畅，祖国处处是舞台。男女老幼都能演，吹拉弹唱样样能。情节故事自己编，雅俗共赏展风采。掌声雷动人喝彩，美满幸福笑开怀。世界戏剧日，祝你生活越过越精彩！,雅俗共赏,appreciating both refined and popular tastes together,,,'雅俗共赏' means 'appreciating both refined and popular tastes together'. Given the above knowledge translate this sentence to English: 生活富裕人心畅，祖国处处是舞台。男女老幼都能演，吹拉弹唱样样能。情节故事自己编，雅俗共赏展风采。掌声雷动人喝彩，美满幸福笑开怀。世界戏剧日，祝你生活越过越精彩！.,"Life is rich, hearts are joyful, the whole country is a stage. Men and women, old and young, can all perform, and everyone can sing and dance. We can create our own plots and stories, appreciating both refined and popular tastes together to show our charm. Applause and cheers, happiness and laughter, may your life become increasingly brilliant on World Theatre Day!","With prosperous lives and joyful hearts, the entire country becomes a stage. Men and women, young and old, can all perform, playing various instruments and singing. They create their own stories and plotlines, showcasing their talents in a way that delights both refined and popular tastes. Thunderous applause and cheers follow, filling hearts with happiness and smiles. On World Theatre Day, may your life become increasingly wonderful!",3,3,2.0,3
有很多原因导致人们成为口吃：在学校里受到恐吓；家长过分严厉；由于某件事情受到剧烈的休克反应比如车祸；或者是家庭成员中有口吃者的遗传因素。口吃一般形成于童年时期，并且十之八九多为男性。,十之八九,most likely; in all probability; almost certainly,on the cards (0.75),on the cards,'十之八九' means 'on the cards'. Given the above knowledge translate this sentence to English: 有很多原因导致人们成为口吃：在学校里受到恐吓；家长过分严厉；由于某件事情受到剧烈的休克反应比如车祸；或者是家庭成员中有口吃者的遗传因素。口吃一般形成于童年时期，并且十之八九多为男性。.,There are many reasons that lead people to develop a stutter: being bullied in school; overly strict parents; experiencing a severe shock reaction due to an event such as a car accident; or genetic factors from a family member who stutters. Stuttering usually develops in childhood and is on the cards mostly for males.,"There are many reasons why people develop stuttering: being bullied at school; overly strict parents; intense shock reactions to certain events such as car accidents; or genetic factors if there are family members who stutter. Stuttering typically develops in childhood, and it is on the cards that it affects males more often than not.",2,2,1.0,1
"在背后，大家都叫徐菁为""现代版王熙凤""，认为她算计人的招数层出不穷：如何嫁祸于人，如何左右逢源，如何口蜜腹剑。",左右逢源,"benefiting from both sides, finding advantages in all directions",the best of both worlds (0.75),the best of both worlds,"'左右逢源' means 'the best of both worlds'. Given the above knowledge translate this sentence to English: 在背后，大家都叫徐菁为""现代版王熙凤""，认为她算计人的招数层出不穷：如何嫁祸于人，如何左右逢源，如何口蜜腹剑。.","Behind her back, everyone calls Xu Jing the ""modern version of Wang Xifeng"", believing that she is constantly coming up with tactics to scheme against others, how to have the best of both worlds, and how to be sweet-tongued but treacherous.","Behind her back, everyone called Xu Jing the ""modern-day Wang Xifeng,"" believing her schemes to be endless: how to shift blame onto others, how to have the best of both worlds, and how to have a honeyed mouth with a daggered heart.",3,3,3.0,3
一贯温文尔雅，图穷匕见时，竟如此生猛？,温文尔雅,gentle and refined,,,'温文尔雅' means 'gentle and refined'. Given the above knowledge translate this sentence to English: 一贯温文尔雅，图穷匕见时，竟如此生猛？.,"Always gentle and refined, why act so fiercely when cornered?","Always gentle and refined, yet so fierce when the truth is revealed?",2,2,1.0,2
一语道破，一针见血，言必有中，入木三分，鞭辟入里。,入木三分,"penetrate deeply into the subject matter, having a profound understanding",,,"'入木三分' means 'penetrate deeply into the subject matter, having a profound understanding'. Given the above knowledge translate this sentence to English: 一语道破，一针见血，言必有中，入木三分，鞭辟入里。.","A word to the wise, hits the nail on the head, always hitting the mark, penetrate deeply into the subject matter, and cut to the heart of the matter.","A single remark reveals the truth, piercing to the heart of the matter, always striking the mark, with deep insight and thorough analysis.",3,3,2.0,3
造物主赋予野外的走兽以本能，一遇到突如起来的危险威胁就逃之夭夭。,逃之夭夭,to escape and never be found again,,,'逃之夭夭' means 'to escape and never be found again'. Given the above knowledge translate this sentence to English: 造物主赋予野外的走兽以本能，一遇到突如起来的危险威胁就逃之夭夭。.,"The creator endowed wild animals with instinct, so they will escape and never be found again when faced with sudden dangers.","The Creator has endowed wild beasts with instinct, so that when faced with sudden threats, they escape and are never found again.",3,3,1.0,1
1939年春夏，三十三集团军总部驻防宜城县赤土坡，尽管当时张自忠总司令戎马倥偬，战事频繁，仍不时深入驻地农村，调查社情民意，关心百姓疾苦。,戎马倥偬,to be busy and working tirelessly,"as busy as a bee (0.86), work your fingers to the bone (0.80)",as busy as a bee,'戎马倥偬' means 'as busy as a bee'. Given the above knowledge translate this sentence to English: 1939年春夏，三十三集团军总部驻防宜城县赤土坡，尽管当时张自忠总司令戎马倥偬，战事频繁，仍不时深入驻地农村，调查社情民意，关心百姓疾苦。.,"In the spring and summer of 1939, the headquarters of the 33rd Group Army was stationed at Chitupo, Yicheng County, despite the busy schedule of General Zhang Zizhong, they frequently delved into the local rural areas to investigate public sentiment and care for the hardships of the people.","In the spring and summer of 1939, the headquarters of the 33rd Group Army was stationed at Chitupo in Yicheng County. Despite the fact that Commander-in-Chief Zhang Zizhong was as busy as a bee and that battles were frequent, he still frequently went deep into the local rural areas to investigate social conditions, understand public opinion, and care about the people's hardships.",2,2,1.0,2
两兄弟从未经历过这种欢迎场面，只能面面相觑，在前呼后拥下穿过人墙。,前呼后拥,crowd around and follow closely,,,'前呼后拥' means 'crowd around and follow closely'. Given the above knowledge translate this sentence to English: 两兄弟从未经历过这种欢迎场面，只能面面相觑，在前呼后拥下穿过人墙。.,"The two brothers had never experienced such a welcoming scene before, and could only look at each other in bewilderment as they passed through the crowd around and followed closely.","The two brothers had never experienced such a welcoming scene before, and could only exchange glances as they passed through the crowd in a sea of people.",2,3,1.0,1
他毛遂自荐来完成这个行动计划。,毛遂自荐,volunteering oneself for a task or position without being asked,,,'毛遂自荐' means 'volunteering oneself for a task or position without being asked'. Given the above knowledge translate this sentence to English: 他毛遂自荐来完成这个行动计划。.,He volunteered himself to complete this action plan.,He volunteered himself to complete this action plan.,3,3,1.0,1
要为之努力，脚踏实地的朝着自己的目标一步一步向前走，每天都实现一点，每天都进步一点。,脚踏实地,down-to-earth; be steadfast and practical in attitude and approach,,,'脚踏实地' means 'down-to-earth; be steadfast and practical in attitude and approach'. Given the above knowledge translate this sentence to English: 要为之努力，脚踏实地的朝着自己的目标一步一步向前走，每天都实现一点，每天都进步一点。.,"To make efforts, steadfastly and practically move towards personal goals step by step, achieving a little every day and making progress every day.","Strive for it, take steady steps toward your goal one step at a time, achieve a little each day, and make a little progress every day.",3,3,2.0,3
在一阵捧腹大笑中，老师严厉一声“安静”，全班同学立刻成了木头人。,捧腹大笑,"laughing heartily, to the point of holding one's stomach",,,"'捧腹大笑' means 'laughing heartily, to the point of holding one's stomach'. Given the above knowledge translate this sentence to English: 在一阵捧腹大笑中，老师严厉一声“安静”，全班同学立刻成了木头人。.","In a burst of hearty laughter, the teacher sternly said ""Quiet,"" and the entire class immediately turned into wooden figures.","Amid hearty laughter, the teacher sharply commanded ""Quiet,"" and the whole class instantly turned into statues.",3,3,2.0,3
每个人的刻骨铭心，在其他人的眼里，不过是茶余饭后的一段寻常八卦，三言两语即可道尽人的一生。 #舒仪#,刻骨铭心,deeply engraved in one's heart,,,'刻骨铭心' means 'deeply engraved in one's heart'. Given the above knowledge translate this sentence to English: 每个人的刻骨铭心，在其他人的眼里，不过是茶余饭后的一段寻常八卦，三言两语即可道尽人的一生。 #舒仪#.,"Everyone's deeply engraved moments, in the eyes of others, are just trivial gossip after a meal, easily summed up in a few words. #ShuYi#.","Everyone's deeply engraved experiences, in the eyes of others, are nothing more than ordinary gossip over tea and meals, summarized in a few words that can describe an entire life. #Shu Yi#",3,3,2.0,2
便宜行事耳听八方眼观六路，耳听八方见机行事机变如神临机处置灵机一动明察秋毫眉头一皱，计上心来巧发奇中情急智生随机应变手急眼快通权达变。,手急眼快,quick and nimble in reacting or seizing opportunities,,,'手急眼快' means 'quick and nimble in reacting or seizing opportunities'. Given the above knowledge translate this sentence to English: 便宜行事耳听八方眼观六路，耳听八方见机行事机变如神临机处置灵机一动明察秋毫眉头一皱，计上心来巧发奇中情急智生随机应变手急眼快通权达变。.,"Acting cheaply and listening to all directions, watching six routes with one's eyes, listening to all directions and acting swiftly, changing like a god at critical moments, dealing with situations with cleverness and perceptiveness, frowning at the slightest eyebrow, planning carefully and seizing opportunities skillfully, creating miracles out of difficult situations, showing quick wit in emergencies, adapting quickly to changing circumstances with quick reflexes and clear eyes.","Act according to circumstances, be alert and aware of all directions, seize opportunities swiftly and with divine insight, adapt to situations with quick wit, meticulously observe minor details, and upon a furrowed brow, devise a clever plan, skillfully execute it, respond wisely under pressure, adapt flexibly, and act with quickness and agility.",2,3,1.0,2
对待犯错误的人应当采取治病救人的方针，而不应该不教而杀。,不教而杀,killing someone without giving them a chance to learn or improve,,,'不教而杀' means 'killing someone without giving them a chance to learn or improve'. Given the above knowledge translate this sentence to English: 对待犯错误的人应当采取治病救人的方针，而不应该不教而杀。.,"When dealing with someone who has made a mistake, we should adopt the policy of curing the illness and saving the person, rather than killing them without giving them a chance to learn.","When dealing with people who make mistakes, we should adopt the policy of treating the illness to save the patient, rather than killing them without giving them a chance to learn.",3,3,2.0,3
朕自涿郡与卿等之父结异姓之交，亲如骨肉;今汝二人亦是昆仲之分，正当同心协力，共报父仇;奈何自相争竞，失其大义!父丧未远而犹如此，况日后乎?,亲如骨肉,"as close as kin, like brothers and sisters",,,"'亲如骨肉' means 'as close as kin, like brothers and sisters'. Given the above knowledge translate this sentence to English: 朕自涿郡与卿等之父结异姓之交，亲如骨肉;今汝二人亦是昆仲之分，正当同心协力，共报父仇;奈何自相争竞，失其大义!父丧未远而犹如此，况日后乎?.","I, from Zhuojun, have formed a bond with you all, as close as kin; now you two are also like brothers, and should work together to avenge our fathers; why then do you compete against each other, losing sight of righteousness! Our fathers are not far gone and yet it is like this, what about in the future?","From Zhuojun, I have formed a bond with your fathers, as close as kin; now you both are brothers and should unite and work together to avenge your fathers' deaths. How can you compete against each other, losing the greater righteousness? Your fathers' deaths are still recent, and yet you act like this; what will happen in the future?",3,3,2.0,2
经过一番半推半就，他还是收下礼物。,半推半就,"being hesitant or reluctant to do something, but eventually agreeing to it",fight shy of (0.73),fight shy of,'半推半就' means 'fight shy of'. Given the above knowledge translate this sentence to English: 经过一番半推半就，他还是收下礼物。.,"After some hesitation, he finally accepted the gift.","After some initial hesitation, he still accepted the gift.",2,2,1.0,2
那两个好朋友竟然在小人的挑拨下，竟然反目成仇，大打出手！,大打出手,to have a big fight,,,'大打出手' means 'to have a big fight'. Given the above knowledge translate this sentence to English: 那两个好朋友竟然在小人的挑拨下，竟然反目成仇，大打出手！.,Those two good friends actually turned against each other and had a big fight under the instigation of a malicious person!,"Those two good friends, incited by a villain, unexpectedly turned against each other and broke into a big fight!",3,3,2.0,2
对于山海关的雄奇险要，历代文人墨客留下了无数直抒胸臆、荡气回肠的优美诗篇。,文人墨客,scholars and literati,,,'文人墨客' means 'scholars and literati'. Given the above knowledge translate this sentence to English: 对于山海关的雄奇险要，历代文人墨客留下了无数直抒胸臆、荡气回肠的优美诗篇。.,"Throughout the ages, scholars and literati have left countless beautiful poems expressing their emotions and moving the hearts of all at the majestic and perilous Shanhaiguan.","Regarding the magnificent and dangerous Shanhaiguan Pass, scholars and literati from various dynasties have left countless beautiful poems that express their heartfelt emotions and stir the soul.",3,3,2.0,3
千锤百炼心已熟，大业终成梦已铸。苦心人儿天不负，有朝一日得眷顾。羽翼渐丰化鸿鹄，腾翔苍穹展宏图。做人中翘楚，惹注目，当公仆，声名遍五湖。成风流人物，引瞩目，载史书，功德贯千古。,千锤百炼,go through extensive trials and hardships to achieve perfection,,,'千锤百炼' means 'go through extensive trials and hardships to achieve perfection'. Given the above knowledge translate this sentence to English: 千锤百炼心已熟，大业终成梦已铸。苦心人儿天不负，有朝一日得眷顾。羽翼渐丰化鸿鹄，腾翔苍穹展宏图。做人中翘楚，惹注目，当公仆，声名遍五湖。成风流人物，引瞩目，载史书，功德贯千古。.,"After going through extensive trials and hardships, the heart has matured, and the great ambition has finally become a reality. The diligent and hardworking person will be rewarded by the heavens one day. With wings gradually strengthening like a soaring swan, they will strive for greatness in the vast sky. Standing out among others, attracting attention, serving the public, and gaining fame across the country. Becoming a distinguished figure, capturing attention, making history, and leaving a legacy of eternal merit.","Forged by countless trials, the heart grows adept; the grand endeavor succeeds, as dreams become forged. Heaven does not forsake the diligent; one day, they will be favored. As wings mature, they transform into a majestic bird, soaring into the sky, unfolding grand plans. Becoming a standout among people, attracting attention, serving in public office, and letting their reputation spread across five lakes. Becoming a renowned figure, drawing admiration, recorded in history, with merits lasting through the ages.",3,3,2.0,2
战场上，一位战士气息奄奄的向他的同伴说了一声，我们一定要胜利后，他闭上了眼睛。,气息奄奄,on the verge of death or exhaustion,,,'气息奄奄' means 'on the verge of death or exhaustion'. Given the above knowledge translate this sentence to English: 战场上，一位战士气息奄奄的向他的同伴说了一声，我们一定要胜利后，他闭上了眼睛。.,"On the battlefield, a soldier who was on the verge of death whispered to his comrade, ""We must win,"" before closing his eyes.","On the battlefield, a soldier, on the verge of death, said to his comrade, ""We must achieve victory,"" then he closed his eyes.",3,3,3.0,2
老王经常冷嘲热讽地批评初学者，完全忘了他曾经也一窍不通。,冷嘲热讽,mocking and ridiculing with sarcasm and irony,,,'冷嘲热讽' means 'mocking and ridiculing with sarcasm and irony'. Given the above knowledge translate this sentence to English: 老王经常冷嘲热讽地批评初学者，完全忘了他曾经也一窍不通。.,"Old Wang often criticizes beginners with mocking and ridiculing sarcasm and irony, completely forgetting that he was once clueless too.","Old Wang often mocks and ridicules beginners with sarcasm and irony, completely forgetting that he was once clueless too.",3,3,1.0,2
春，你来了！带来了万紫千红，带来了新希望！,万紫千红,an abundance of colors and variety; a scene of great diversity,,,'万紫千红' means 'an abundance of colors and variety; a scene of great diversity'. Given the above knowledge translate this sentence to English: 春，你来了！带来了万紫千红，带来了新希望！.,"Spring, you have arrived! Bringing an abundance of colors and variety, bringing new hope!","Spring, you have arrived! You bring an abundance of colors and variety, you bring new hope!",3,3,2.0,2
反正，基础若是不牢，即便是万丈高楼平地起，也有大厦将倾的一天。,大厦将倾,The building is about to collapse,,,'大厦将倾' means 'The building is about to collapse'. Given the above knowledge translate this sentence to English: 反正，基础若是不牢，即便是万丈高楼平地起，也有大厦将倾的一天。.,"Anyway, if the foundation is not solid, even a skyscraper could collapse one day.","Anyway, if the foundation is not solid, even if a skyscraper rises from the ground, there will be a day when the building is about to collapse.",3,3,1.0,2
在这种应酬场合，我真是如坐针毡，一刻都待不住。,如坐针毡,"feel extremely uneasy and uncomfortable, as if sitting on pins and needles",,,"'如坐针毡' means 'feel extremely uneasy and uncomfortable, as if sitting on pins and needles'. Given the above knowledge translate this sentence to English: 在这种应酬场合，我真是如坐针毡，一刻都待不住。.","In this social occasion, I feel extremely uneasy and uncomfortable, as if sitting on pins and needles, and can't wait to leave for even a moment.","In this social situation, I truly feel like I'm sitting on pins and needles and can't stand it for even a moment.",3,3,3.0,3
越是卑鄙无耻、自私自利的人，一旦得势，越是横行霸道。,横行霸道,behaving in a domineering and tyrannical manner,,,'横行霸道' means 'behaving in a domineering and tyrannical manner'. Given the above knowledge translate this sentence to English: 越是卑鄙无耻、自私自利的人，一旦得势，越是横行霸道。.,"The more despicable, selfish and shameless a person is, the more they behave in a domineering and tyrannical manner once in power.","The more despicable and selfish a person is, the more they behave in a domineering and tyrannical manner once they gain power.",3,3,3.0,3
程颐诗中表现出的披坚执锐的气势与程颢诗歌从容和平的风格迥然不同，而这种诗风的分野根源于二人在精神气质和学术性格上的差异。,迥然不同,completely different; entirely distinct,night and day (0.84),night and day,'迥然不同' means 'night and day'. Given the above knowledge translate this sentence to English: 程颐诗中表现出的披坚执锐的气势与程颢诗歌从容和平的风格迥然不同，而这种诗风的分野根源于二人在精神气质和学术性格上的差异。.,"The resolute and sharp demeanor expressed in Cheng Yi's poetry is night and day different from Cheng Hao's calm and peaceful style, and the origin of this poetic difference lies in the two individuals' differences in spiritual temperament and scholarly character.","The imposing and militant spirit expressed in Cheng Yi's poetry is night and day compared to the calm and peaceful style of Cheng Hao's poems, and this divergence in poetic style stems from their differences in mental disposition and academic character.",3,3,1.0,1
最佳营养是康宝莱令人难以置信的成功健康减肥计划的关键。,难以置信,hard to believe,,,'难以置信' means 'hard to believe'. Given the above knowledge translate this sentence to English: 最佳营养是康宝莱令人难以置信的成功健康减肥计划的关键。.,The key to Herbalife's incredibly successful healthy weight loss program is the best nutrition.,The best nutrition is the key to the incredible success of Herbalife's healthy weight loss program.,3,3,1.0,1
为了一点私利，他竟然做出伤天害理的事情，他的父亲让他闭门思过。,伤天害理,"unreasonably and outrageously harmful, going against morality and justice",,,"'伤天害理' means 'unreasonably and outrageously harmful, going against morality and justice'. Given the above knowledge translate this sentence to English: 为了一点私利，他竟然做出伤天害理的事情，他的父亲让他闭门思过。.","For the sake of a little personal gain, he actually did something unreasonably and outrageously harmful, going against morality and justice; his father told him to reflect on his actions.","For a little personal gain, he actually did something unreasonably and outrageously harmful; his father made him reflect on his actions behind closed doors.",3,3,2.0,3
这一次，那块神通广大的手绢居然不灵验了.,神通广大,having great supernatural powers or abilities,,,'神通广大' means 'having great supernatural powers or abilities'. Given the above knowledge translate this sentence to English: 这一次，那块神通广大的手绢居然不灵验了..,"This time, that handkerchief with great supernatural powers surprisingly did not work.","This time, that magical handkerchief didn't work.",2,3,2.0,2
飘无踪听出他说得闪烁其辞、遮遮掩掩，估摸着应该有难言之隐。,闪烁其辞,"to evade and dodge the question, to speak ambiguously",,,"'闪烁其辞' means 'to evade and dodge the question, to speak ambiguously'. Given the above knowledge translate this sentence to English: 飘无踪听出他说得闪烁其辞、遮遮掩掩，估摸着应该有难言之隐。.",It is hard to tell what he's hiding from his evasive and ambiguous answers.,"Piao Wuzong heard him speak evasively and ambiguously, guessing that he probably had some hidden difficulty.",2,3,1.0,2
但是这三位却比蒋介石棋高一着.,棋高一着,a strategic move that surpasses the opponent's and gains an advantage,jockey for position (0.73),jockey for position,'棋高一着' means 'jockey for position'. Given the above knowledge translate this sentence to English: 但是这三位却比蒋介石棋高一着..,But these three are one step ahead of Chiang Kai-shek in jockeying for position.,"However, these three individuals were able to jockey for position ahead of Chiang Kai-shek.",3,2,2.0,1
后来呢?这个丧心病狂的狂徒后来怎么样了?死了没有?如果是我，定然要将他千刀万剐，剥皮抽筋!,剥皮抽筋,to punish severely or torture someone,"come down on somebody like a ton of bricks (0.75), skin someone alive (0.76), slap on the wrist (0.78), throw the book at (0.83), walk the plank (0.77)",come down on somebody like a ton of bricks,'剥皮抽筋' means 'come down on somebody like a ton of bricks'. Given the above knowledge translate this sentence to English: 后来呢?这个丧心病狂的狂徒后来怎么样了?死了没有?如果是我，定然要将他千刀万剐，剥皮抽筋!.,"What happened later? What happened to this crazy lunatic? Did he die? If it were me, I would definitely skin him alive and come down on him like a ton of bricks!","So what happened next? Did that maniac die? If it were up to me, I would have cut him into a thousand pieces and come down on him like a ton of bricks!",2,2,1.0,1
洒脱会把坎坷的路途当作目标的一部分，而不是把成功看成无依无靠的空中楼阁；洒脱，让微笑穿透漫漫人生，让热泪温暖寂寞的命运，在千万次受伤之后，仍然柔韧如初。,无依无靠,without any support or someone to rely on,,,'无依无靠' means 'without any support or someone to rely on'. Given the above knowledge translate this sentence to English: 洒脱会把坎坷的路途当作目标的一部分，而不是把成功看成无依无靠的空中楼阁；洒脱，让微笑穿透漫漫人生，让热泪温暖寂寞的命运，在千万次受伤之后，仍然柔韧如初。.,"Being carefree means treating the bumpy road as part of the journey and not seeing success as a precarious castle in the air; being carefree allows smiles to penetrate through life's challenges, and warm tears to comfort lonely destinies. After countless injuries, one remains resilient as ever.","Free-spirited people view the challenging journey as part of their goal, rather than seeing success as an unattainable castle in the air; being free-spirited allows smiles to penetrate the long course of life, lets warm tears soothe a lonely fate, and keeps one resilient as ever after countless wounds.",3,3,2.0,3
复活节，愿你厄运霉运坏运气通通消失不见；好运财运好福气通通来报道；亲情爱情朋友情情情身边绕；亲人爱人友人人人把你放心上。愿眉飞色舞、喜笑颜开。,喜笑颜开,"wearing a big smile on one's face, extremely happy",grin like a Cheshire cat (0.75),grin like a Cheshire cat,'喜笑颜开' means 'grin like a Cheshire cat'. Given the above knowledge translate this sentence to English: 复活节，愿你厄运霉运坏运气通通消失不见；好运财运好福气通通来报道；亲情爱情朋友情情情身边绕；亲人爱人友人人人把你放心上。愿眉飞色舞、喜笑颜开。.,"On Easter, may all your bad luck, misfortune, and ill luck disappear; may good luck, fortune, and blessings come your way; may love, friendship, and family surround you; may your loved ones care for you. May you be elated and grin from ear to ear.","On Easter, may all your bad luck, misfortune, and ill fate disappear; may good luck, fortune, and blessings come your way; may love from family, friends, and relationships surround you; may your loved ones, friends, and everyone keep you in their hearts. Wishing you happiness and joy, grinning like a Cheshire cat.",3,2,2.0,1
不了解事情的前因后果，总是去猜测，就像盲人摸象，解决不了问题。,前因后果,cause and effect; the relationship between an action or event and its consequences,an act of God (0.73),an act of God,'前因后果' means 'an act of God'. Given the above knowledge translate this sentence to English: 不了解事情的前因后果，总是去猜测，就像盲人摸象，解决不了问题。.,"Not understanding the cause and effect of a situation and constantly speculating is like a blind person feeling an elephant, unable to solve the problem.","Not understanding the causes and effects of things, always guessing blindly, is like a blind person feeling an elephant; it won't solve the problem.",3,3,2.0,2
，才五谷丰登；十年寒窗，挑灯夜读，才金榜题名；可见勤奋是成功的基石，是成功的源泉。世界勤俭日，祝你携勤闯天下，顺风顺水顺到家！,金榜题名,to pass a major examination and have one's name listed on the golden list,,,'金榜题名' means 'to pass a major examination and have one's name listed on the golden list'. Given the above knowledge translate this sentence to English: ，才五谷丰登；十年寒窗，挑灯夜读，才金榜题名；可见勤奋是成功的基石，是成功的源泉。世界勤俭日，祝你携勤闯天下，顺风顺水顺到家！.,"After ten years of hard work and burning the midnight oil, finally passed the major examination and had their name listed on the golden list; it can be seen that diligence is the cornerstone of success and the source of success. On World Thrift Day, I wish you to work hard and succeed smoothly!","Only with diligent effort comes a bountiful harvest, and only with ten years of hard study by lamplight comes success in major examinations; it is evident that hard work is the cornerstone and fountain of success. On World Thrift Day, I wish you to conquer the world with diligence, and may everything go smoothly for you!",3,3,2.0,3
