Idiomatic_Sent,Original_Idiom,en_meaning,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
朕自涿郡与卿等之父结异姓之交，亲如骨肉;今汝二人亦是昆仲之分，正当同心协力，共报父仇;奈何自相争竞，失其大义!父丧未远而犹如此，况日后乎?,亲如骨肉,"as close as kin, like brothers and sisters",Translate this sentence to English: '朕自涿郡与卿等之父结异姓之交，亲如骨肉;今汝二人亦是昆仲之分，正当同心协力，共报父仇;奈何自相争竞，失其大义!父丧未远而犹如此，况日后乎?',"I formed a bond of sworn brothers with your father from Zhuojun, treating him like kin; now you two are like brothers and should unite to avenge our fathers. Yet you are competing against each other, betraying our righteous cause! If you act like this so soon after our fathers' deaths, what will happen in the future?","""I formed a bond of sworn brotherhood with your fathers in Zhuo County, as close as kin; now you two are also brothers, and should unite to avenge your fathers' deaths. How can you compete against each other, losing sight of the greater cause? Your fathers have not been gone long, and yet you act this way—how will it be in the future?""",3,3,2,3
经过一番半推半就，他还是收下礼物。,半推半就,"being hesitant or reluctant to do something, but eventually agreeing to it",Translate this sentence to English: '经过一番半推半就，他还是收下礼物。',"After some hesitation, he finally accepted the gift.","After some initial reluctance, he eventually accepted the gift.",2,3,1,3
那两个好朋友竟然在小人的挑拨下，竟然反目成仇，大打出手！,大打出手,to have a big fight,Translate this sentence to English: '那两个好朋友竟然在小人的挑拨下，竟然反目成仇，大打出手！',"Those two good friends unexpectedly turned against each other and became enemies under the instigation of a villain, ending up fighting each other!","Those two good friends, provoked by a troublemaker, turned against each other and started fighting!",3,3,2,2
对于山海关的雄奇险要，历代文人墨客留下了无数直抒胸臆、荡气回肠的优美诗篇。,文人墨客,scholars and literati,Translate this sentence to English: '对于山海关的雄奇险要，历代文人墨客留下了无数直抒胸臆、荡气回肠的优美诗篇。',"Throughout the ages, countless beautiful poems expressing deep emotions and stirring the heart have been left behind by literati and ink painters in admiration of the majestic and treacherous nature of Shanhaiguan.","Regarding the majestic and perilous Shanhaiguan, countless poets and scholars throughout the ages have left behind beautiful poems that express their heartfelt emotions and stir the soul.",3,3,3,3
千锤百炼心已熟，大业终成梦已铸。苦心人儿天不负，有朝一日得眷顾。羽翼渐丰化鸿鹄，腾翔苍穹展宏图。做人中翘楚，惹注目，当公仆，声名遍五湖。成风流人物，引瞩目，载史书，功德贯千古。,千锤百炼,go through extensive trials and hardships to achieve perfection,Translate this sentence to English: '千锤百炼心已熟，大业终成梦已铸。苦心人儿天不负，有朝一日得眷顾。羽翼渐丰化鸿鹄，腾翔苍穹展宏图。做人中翘楚，惹注目，当公仆，声名遍五湖。成风流人物，引瞩目，载史书，功德贯千古。',"After enduring a thousand trials and tribulations, the heart is now mature, and the grand dream has been realized. The hardworking individual will not be let down by the heavens, and one day will receive favor. Gradually growing wings like a swan, soaring high in the sky to reveal a grand vision. Standing out among others, attracting attention, serving the public, and gaining fame across the Five Lakes. Becoming a charismatic figure, drawing admiration, being recorded in history books, and leaving a legacy of great deeds for eternity.","""Through countless trials, the heart becomes seasoned; a grand endeavor turns into a forged dream. The diligent are not forsaken by the heavens, and one day they will be favored. Gradually, wings grow strong and transform into a swan, soaring through the skies and unfolding great plans. Become outstanding among people, attract attention, serve the public, and let your fame spread across the land. Become a person of distinction, draw admiration, be recorded in history, and let your virtues endure through the ages.""",3,3,2,2
战场上，一位战士气息奄奄的向他的同伴说了一声，我们一定要胜利后，他闭上了眼睛。,气息奄奄,on the verge of death or exhaustion,Translate this sentence to English: '战场上，一位战士气息奄奄的向他的同伴说了一声，我们一定要胜利后，他闭上了眼睛。',"On the battlefield, a soldier, struggling for breath, said to his comrades, ""We must win,"" before closing his eyes.","""On the battlefield, a soldier, barely breathing, said to his comrade, 'We must win,' and then he closed his eyes.""",3,3,1,2
老王经常冷嘲热讽地批评初学者，完全忘了他曾经也一窍不通。,冷嘲热讽,mocking and ridiculing with sarcasm and irony,Translate this sentence to English: '老王经常冷嘲热讽地批评初学者，完全忘了他曾经也一窍不通。',"Old Wang often criticizes beginners sarcastically, completely forgetting that he was once clueless too.","""Old Wang often criticizes beginners with biting sarcasm, completely forgetting that he was once clueless too.""",3,3,2,3
春，你来了！带来了万紫千红，带来了新希望！,万紫千红,an abundance of colors and variety; a scene of great diversity,Translate this sentence to English: '春，你来了！带来了万紫千红，带来了新希望！',"Spring, you have arrived! Bringing with you myriad colors, bringing with you new hope!","Spring, you have arrived! You bring a riot of colors and new hope!",3,3,3,3
反正，基础若是不牢，即便是万丈高楼平地起，也有大厦将倾的一天。,大厦将倾,The building is about to collapse,Translate this sentence to English: '反正，基础若是不牢，即便是万丈高楼平地起，也有大厦将倾的一天。',"Anyway, if the foundation is not solid, even a skyscraper will collapse one day, despite being built on flat ground.","""In any case, if the foundation is not solid, even if a skyscraper rises from the ground, there will come a day when the great building will topple.""",3,3,2,3
在这种应酬场合，我真是如坐针毡，一刻都待不住。,如坐针毡,"feel extremely uneasy and uncomfortable, as if sitting on pins and needles",Translate this sentence to English: '在这种应酬场合，我真是如坐针毡，一刻都待不住。',"In such social situations, I feel extremely uncomfortable and can't wait to leave.","""In this social setting, I feel like I'm sitting on pins and needles and can't stay a moment longer.""",3,3,2,3
越是卑鄙无耻、自私自利的人，一旦得势，越是横行霸道。,横行霸道,behaving in a domineering and tyrannical manner,Translate this sentence to English: '越是卑鄙无耻、自私自利的人，一旦得势，越是横行霸道。',"The more despicable, shameless, selfish and self-serving a person is, the more arrogant and domineering they become once in power.","""The more despicable, shameless, and selfish a person is, the more tyrannical they become once they gain power.""",3,3,3,3
程颐诗中表现出的披坚执锐的气势与程颢诗歌从容和平的风格迥然不同，而这种诗风的分野根源于二人在精神气质和学术性格上的差异。,迥然不同,completely different; entirely distinct,Translate this sentence to English: '程颐诗中表现出的披坚执锐的气势与程颢诗歌从容和平的风格迥然不同，而这种诗风的分野根源于二人在精神气质和学术性格上的差异。',"The resolute and determined demeanor expressed in Cheng Yi's poetry is distinctly different from the calm and peaceful style of Cheng Hao's poetry, and this difference in poetic style stems from the differences in their spiritual temperament and academic character.","The imposing and militant spirit expressed in Cheng Yi's poetry is vastly different from the calm and peaceful style of Cheng Hao's poems, and this divergence in poetic style stems from their differences in temperament and academic disposition.",3,3,2,2
最佳营养是康宝莱令人难以置信的成功健康减肥计划的关键。,难以置信,hard to believe,Translate this sentence to English: '最佳营养是康宝莱令人难以置信的成功健康减肥计划的关键。',The key to Herbalife's incredible success in health and weight loss is the optimal nutrition.,"""The best nutrition is the key to Herbalife's incredibly successful health and weight loss plan.""",3,3,1,1
为了一点私利，他竟然做出伤天害理的事情，他的父亲让他闭门思过。,伤天害理,"unreasonably and outrageously harmful, going against morality and justice",Translate this sentence to English: '为了一点私利，他竟然做出伤天害理的事情，他的父亲让他闭门思过。',"For a little personal gain, he actually did something outrageous, causing his father to make him reflect in seclusion.","""For a bit of personal gain, he actually committed a heinous act; his father made him stay home to reflect on his actions.""",3,3,2,3
这一次，那块神通广大的手绢居然不灵验了.,神通广大,having great supernatural powers or abilities,Translate this sentence to English: '这一次，那块神通广大的手绢居然不灵验了.',"This time, that powerful handkerchief surprisingly did not work.","This time, that magical handkerchief didn't work.",2,2,1,2
飘无踪听出他说得闪烁其辞、遮遮掩掩，估摸着应该有难言之隐。,闪烁其辞,"to evade and dodge the question, to speak ambiguously",Translate this sentence to English: '飘无踪听出他说得闪烁其辞、遮遮掩掩，估摸着应该有难言之隐。',"He spoke evasively and ambiguously, giving the impression that there was something he was trying to hide.","""Floating without a trace, I could tell he was being evasive and covering up, guessing that he probably had some unspeakable difficulty.""",3,2,3,2
但是这三位却比蒋介石棋高一着.,棋高一着,a strategic move that surpasses the opponent's and gains an advantage,Translate this sentence to English: '但是这三位却比蒋介石棋高一着.',But these three are one step ahead of Chiang Kai-shek.,"However, these three were one move ahead of Chiang Kai-shek.",3,3,2,3
后来呢?这个丧心病狂的狂徒后来怎么样了?死了没有?如果是我，定然要将他千刀万剐，剥皮抽筋!,剥皮抽筋,to punish severely or torture someone,Translate this sentence to English: '后来呢?这个丧心病狂的狂徒后来怎么样了?死了没有?如果是我，定然要将他千刀万剐，剥皮抽筋!',"What happened later? What happened to this insane madman? Is he dead? If it were me, I would definitely want to torture him cruelly and skin him alive!","""What happened next? What happened to that maniacal villain? Did he die? If it were me, I would have had him cut into pieces, skinned, and dismembered!""",2,3,1,2
洒脱会把坎坷的路途当作目标的一部分，而不是把成功看成无依无靠的空中楼阁；洒脱，让微笑穿透漫漫人生，让热泪温暖寂寞的命运，在千万次受伤之后，仍然柔韧如初。,无依无靠,without any support or someone to rely on,Translate this sentence to English: '洒脱会把坎坷的路途当作目标的一部分，而不是把成功看成无依无靠的空中楼阁；洒脱，让微笑穿透漫漫人生，让热泪温暖寂寞的命运，在千万次受伤之后，仍然柔韧如初。',"Being carefree means treating the rough road as part of the journey, rather than seeing success as a precarious castle in the air; being carefree allows smiles to penetrate through life's challenges, and warm tears to comfort a lonely fate, remaining resilient even after countless injuries.","""Free-spiritedness considers the rough journey as part of the goal, rather than seeing success as an unsupported castle in the air; free-spiritedness allows a smile to penetrate the long course of life, lets warm tears embrace a lonely fate, and remains resilient as ever after countless wounds.""",3,3,2,3
复活节，愿你厄运霉运坏运气通通消失不见；好运财运好福气通通来报道；亲情爱情朋友情情情身边绕；亲人爱人友人人人把你放心上。愿眉飞色舞、喜笑颜开。,喜笑颜开,"wearing a big smile on one's face, extremely happy",Translate this sentence to English: '复活节，愿你厄运霉运坏运气通通消失不见；好运财运好福气通通来报道；亲情爱情朋友情情情身边绕；亲人爱人友人人人把你放心上。愿眉飞色舞、喜笑颜开。',"On Easter, may all your bad luck, misfortune, and bad vibes disappear; may good luck, wealth, and blessings come to you; may family, love, and friends surround you; may your loved ones, lovers, and friends all care for you. May you be ecstatic and joyful.","""Easter, may all your bad luck, misfortune, and ill fate disappear completely; may good luck, wealth, and blessings all come to you; may family affection, love, and friendship surround you; may your relatives, loved ones, and friends all keep you in their hearts. Wishing you joy and laughter.""",3,3,2,2
不了解事情的前因后果，总是去猜测，就像盲人摸象，解决不了问题。,前因后果,cause and effect; the relationship between an action or event and its consequences,Translate this sentence to English: '不了解事情的前因后果，总是去猜测，就像盲人摸象，解决不了问题。',"Not understanding the causes and consequences of a situation, always speculating like a blind person touching an elephant, will not solve the problem.",'Not understanding the whole story and always guessing is like a blind man touching an elephant; it won't solve the problem.',3,3,1,2
，才五谷丰登；十年寒窗，挑灯夜读，才金榜题名；可见勤奋是成功的基石，是成功的源泉。世界勤俭日，祝你携勤闯天下，顺风顺水顺到家！,金榜题名,to pass a major examination and have one's name listed on the golden list,Translate this sentence to English: '，才五谷丰登；十年寒窗，挑灯夜读，才金榜题名；可见勤奋是成功的基石，是成功的源泉。世界勤俭日，祝你携勤闯天下，顺风顺水顺到家！',"Only after ten years of hard work and burning the midnight oil can one achieve success; diligence is the cornerstone and source of success. On World Thrift Day, I wish you success in all your endeavors!","""Only through diligent farming will there be a bountiful harvest; only through ten years of hard study by the lamp will one achieve top honors; thus, it is evident that diligence is the cornerstone of success and the source of achievement. On World Thrift Day, I wish you to carry diligence with you as you conquer the world, with everything going smoothly all the way home!""",3,3,2,3
近半个世纪，这可能是苏联宣传机构所有的弥天大谎中，最罪恶昭彰的谎言了，长期以来，其宣传机构都声称该指责纳粹德国。,弥天大谎,a big lie that is completely unfounded or fabricated,Translate this sentence to English: '近半个世纪，这可能是苏联宣传机构所有的弥天大谎中，最罪恶昭彰的谎言了，长期以来，其宣传机构都声称该指责纳粹德国。',"For nearly half a century, this may have been the most glaring lie among all the blatant lies of the Soviet propaganda machine, which has long claimed that the blame lies with Nazi Germany.","""For nearly half a century, this may have been the most egregious lie among all the outrageous lies told by the Soviet propaganda apparatus, which has long claimed it was the fault of Nazi Germany.""",3,3,3,3
对于一个活在冷战年代的，确实真知灼见，无独有偶，今天HP女当家也提到信息量管理。,真知灼见,profound understanding and insightful viewpoint,Translate this sentence to English: '对于一个活在冷战年代的，确实真知灼见，无独有偶，今天HP女当家也提到信息量管理。',"For someone who lived in the Cold War era, he indeed has profound insights. Coincidentally, today the female head of HP also mentioned information management.","For someone living in the Cold War era, it is indeed insightful; coincidentally, today the female head of HP also mentioned information management.",3,2,2,1
在切除乳房后，我知道重整旗鼓的办法就是再次开始锻炼身体，所以我去了当地游泳池。,重整旗鼓,regroup and start afresh; reorganize and make a comeback,Translate this sentence to English: '在切除乳房后，我知道重整旗鼓的办法就是再次开始锻炼身体，所以我去了当地游泳池。',"After the removal of my breast, I knew the best way to start afresh was to begin exercising again, so I went to the local swimming pool.","After the mastectomy, I knew the way to bounce back was to start exercising again, so I went to the local swimming pool.",3,3,2,3
今天因为有求于他，只好对他的倨傲无礼忍气吞声。,忍气吞声,swallow one's anger and remain silent,Translate this sentence to English: '今天因为有求于他，只好对他的倨傲无礼忍气吞声。',"Today, because I needed something from him, I had to tolerate his arrogance and rudeness.","""Today, because I need his help, I have no choice but to endure his arrogance and rudeness in silence.""",3,3,1,3
万圣节到了：我祝你生意一本万利，爱情万紫千红，做事万无一失，前途万里鹏程，智慧万人难抵，最后祝你万圣节万事亨通！,万事亨通,smooth sailing in all matters,Translate this sentence to English: '万圣节到了：我祝你生意一本万利，爱情万紫千红，做事万无一失，前途万里鹏程，智慧万人难抵，最后祝你万圣节万事亨通！',"Happy Halloween: I wish you great success in business, a love life filled with joy, flawless decision-making, a bright future ahead, unmatched wisdom, and may everything go smoothly this Halloween!","Halloween is here: I wish you a business that is immensely profitable, love that is vibrant and colorful, work that is flawless, a future of great prospects, wisdom that is unmatched, and finally, may everything go smoothly for you this Halloween!",3,3,2,3
"这样，就使得这里的居民，既不用对着水景""望梅止渴""，也不必""望河兴叹""。",望梅止渴,to alleviate one's thirst by imagining oneself near a plum tree,"Translate this sentence to English: '这样，就使得这里的居民，既不用对着水景""望梅止渴""，也不必""望河兴叹""。'","This way, the residents here don't have to ""long for plums to quench thirst"" while facing the water view, nor do they have to ""sigh at the river"" in longing.","""This way, the residents here neither have to 'look at the plum trees to quench their thirst' nor 'sigh at the river'.""",2,2,1,1
像这种恶意中伤、罔顾道义的作为，真是大逆不道！,大逆不道,to act extremely contrary to what is right and proper,Translate this sentence to English: '像这种恶意中伤、罔顾道义的作为，真是大逆不道！',"Actions like this, which are malicious and disregard righteousness, are truly outrageous!","""Such malicious slander and disregard for morality is truly outrageous!""",2,3,1,2
恭祝阖家吉运到，金龙送福人欢笑，年年有余五谷丰，奋发有为立新功，福大外加人勤快，大财小财搂满怀。连读每句第二字有惊喜！祝你财神日快乐！,奋发有为,make great efforts and be determined to achieve success,Translate this sentence to English: '恭祝阖家吉运到，金龙送福人欢笑，年年有余五谷丰，奋发有为立新功，福大外加人勤快，大财小财搂满怀。连读每句第二字有惊喜！祝你财神日快乐！',"Wishing your whole family good luck, with the golden dragon bringing happiness, abundant harvest every year, achieving new successes with diligence, great fortune and small fortune filling your arms. There is a surprise in each sentence when the second word is read together! Wishing you a happy God of Wealth Day!","Happy God of Wealth Day! Wishing your entire family good fortune, the golden dragon brings blessings and joy, abundant years with plentiful grains, achieving new accomplishments through hard work, great fortune added to diligent efforts, and wealth of all sizes filling your embrace. Read the second character of each sentence for a surprise!",3,3,2,2
这件案子要团体行动，切忌匹夫之勇，弄乱了部署。,匹夫之勇,bravery of a common man,Translate this sentence to English: '这件案子要团体行动，切忌匹夫之勇，弄乱了部署。',"This case requires teamwork, avoiding lone heroics that could disrupt the plan.","""This case requires teamwork; reckless bravery must be avoided to prevent disrupting the plan.""",3,3,3,3
本来朱丽叶打算用假死骗过所有人，从此以后改名换姓就可以和罗密欧远走高飞双宿双栖。,远走高飞,to leave and pursue a better life elsewhere,Translate this sentence to English: '本来朱丽叶打算用假死骗过所有人，从此以后改名换姓就可以和罗密欧远走高飞双宿双栖。',"Originally, Juliet planned to fake her own death to deceive everyone, and from then on she could change her name and identity and elope with Romeo.","Originally, Juliet planned to feign death to deceive everyone, so that she and Romeo could elope and live together under new identities.",3,3,1,2
群众和社会各界的意见，自上而下、健康有序地进行，不能各行其是，法出多门。,各行其是,each doing their own thing; each following their own course of action,Translate this sentence to English: '群众和社会各界的意见，自上而下、健康有序地进行，不能各行其是，法出多门。',"The opinions of the masses and various sectors of society should be conducted in a healthy and orderly manner from top to bottom, and should not be done arbitrarily, with multiple conflicting laws.","""The opinions of the public and various sectors of society should be carried out in a top-down, healthy, and orderly manner, and cannot each go their own way, leading to multiple conflicting directives.""",2,3,1,3
谈起这次虎口余生的经历，他仍心有余悸。,心有余悸,to still feel fearful and nervous after a scary or dangerous experience,Translate this sentence to English: '谈起这次虎口余生的经历，他仍心有余悸。',"When talking about the experience of narrowly escaping death, he still feels a lingering fear.","""When talking about this narrow escape from death, he still feels lingering fear.""",3,3,3,3
别看他说得头头是道，其实什么也不懂，只是虚有其表罢了。,虚有其表,having a superficial appearance that is not supported by substance,Translate this sentence to English: '别看他说得头头是道，其实什么也不懂，只是虚有其表罢了。',"Don't be fooled by his articulate speech, he actually doesn't know anything and is just putting on a show.",Don't be fooled by how convincingly he speaks; he actually understands nothing and is just a superficial show.,3,3,3,3
世人致目虚幻，无不叩头焚香，顶礼膜拜，枯坐禅定，日烧干锅，至死不悟，可悲可叹矣。,至死不悟,refusing to change or learn from mistakes even until death,Translate this sentence to English: '世人致目虚幻，无不叩头焚香，顶礼膜拜，枯坐禅定，日烧干锅，至死不悟，可悲可叹矣。',"People in this world are so deluded that they all bow and burn incense, pay respects and worship, sit in meditation for days, and even burn their pots dry, yet still do not awaken until death. It is truly pitiful and lamentable.","""People are fixated on illusions, all bowing their heads, burning incense, worshipping with utmost reverence, sitting in meditation, burning dry pots daily, yet never awakening until death; it is truly lamentable and pitiable.""",3,3,2,3
很独立，具有非常强有力的个性，你是人所共知的是冲动，粗心，鲁莽，有勇无谋，皮疹和大胆。,有勇无谋,having courage but lacking strategy or foresight,Translate this sentence to English: '很独立，具有非常强有力的个性，你是人所共知的是冲动，粗心，鲁莽，有勇无谋，皮疹和大胆。',"Very independent, possessing a very strong personality, you are known to be impulsive, careless, reckless, bold but lacking in strategy, rash and daring.","Very independent and with a very strong personality, you are widely known for being impulsive, careless, reckless, courageous but lacking strategy, rash, and bold.",3,3,2,2
光君对父母百依百顺，真是个孝顺儿子。,百依百顺,"extremely obedient or compliant, willing to follow someone's every instruction",Translate this sentence to English: '光君对父母百依百顺，真是个孝顺儿子。',"Guangjun is extremely obedient and respectful to his parents, truly a filial son.",Guangjun is completely obedient to his parents; he truly is a filial son.,3,3,3,2
坚持原则，以法服人；掌权为公，以廉服人；身体力行，以德服人；苦口婆心，以理服人。,苦口婆心,giving sincere advice or heartfelt persuasion,Translate this sentence to English: '坚持原则，以法服人；掌权为公，以廉服人；身体力行，以德服人；苦口婆心，以理服人。',"Adhere to principles, serve people through laws; govern for the public, serve people with integrity; lead by example, serve people with virtue; persuade with reason, serve people with care.","""Adhere to principles, convince people with law; hold power for the public, convince people with integrity; lead by example, convince people with virtue; speak earnestly and sincerely, convince people with reason.""",3,3,2,3
这伙亡命之徒，作恶多端，今天被绳之以法，是罪有应得。,罪有应得,"deserving of punishment, getting what one deserves",Translate this sentence to English: '这伙亡命之徒，作恶多端，今天被绳之以法，是罪有应得。',"""These outlaws, who have committed numerous evil deeds, were rightfully brought to justice today.""","""This gang of desperadoes, who have committed numerous evil deeds, were brought to justice today and got what they deserved.""",3,3,3,3
今天3月4号，别对女人讲三重四德，别对感情来朝三暮四，别来妄想要三妻四妾；别对领导装低三下四，别让疏漏是接三连四，别对工作总推三阻四，只要不对生活“说三道四”，相信“不三不四”日，您一定爱情美好，工作快乐，人生幸福！,三妻四妾,having multiple wives and concubines,Translate this sentence to English: '今天3月4号，别对女人讲三重四德，别对感情来朝三暮四，别来妄想要三妻四妾；别对领导装低三下四，别让疏漏是接三连四，别对工作总推三阻四，只要不对生活“说三道四”，相信“不三不四”日，您一定爱情美好，工作快乐，人生幸福！',"Today is March 4th, don't talk about the virtues of women, don't play with emotions, don't fantasize about having multiple wives and concubines; don't act subservient to leaders, don't let mistakes pile up, don't procrastinate at work, as long as you don't gossip about life, believe in a stable and happy life, you will surely have a beautiful love, happy work, and a fulfilling life!","Today is March 4th. Don't talk to women about the ""Three Obediences and Four Virtues,"" don't be fickle in love, don't dream of having multiple wives and concubines; don't act subservient to your boss, don't let mistakes happen repeatedly, don't be evasive at work. As long as you don't criticize life unnecessarily, I believe that on an ""upright and proper"" day, you will surely have beautiful love, joyful work, and a happy life!",2,3,1,2
生活中因为有了沟通，才出现了冰释前嫌、和睦相处、门庭若市……等四字词语，我们的生活才更美好。生活中不能没有了沟通，就像傲视苍穹的红杉不能没有了坚固的根基，芳香四溢的鲜花不能没有给予它自信的阳光。,和睦相处,living in harmony and getting along well with each other,Translate this sentence to English: '生活中因为有了沟通，才出现了冰释前嫌、和睦相处、门庭若市……等四字词语，我们的生活才更美好。生活中不能没有了沟通，就像傲视苍穹的红杉不能没有了坚固的根基，芳香四溢的鲜花不能没有给予它自信的阳光。',"In life, with communication, words such as ""reconciliation"", ""harmonious coexistence"", ""busy and bustling"", etc. appear, making our lives better. Life cannot exist without communication, just like a towering redwood cannot exist without a strong foundation, and fragrant flowers cannot thrive without the confidence of sunlight.","In life, because of communication, idioms like ""reconciliation,"" ""living in harmony,"" and ""a bustling scene"" have emerged, making our lives better. Life cannot be without communication, just as towering redwoods cannot exist without a solid foundation, and fragrant flowers cannot bloom without the confidence given by sunlight.",3,3,1,1
做事需要竭尽全力和锲而不舍的精神才能成功。,锲而不舍,perseverance; to keep working hard and not give up easily,Translate this sentence to English: '做事需要竭尽全力和锲而不舍的精神才能成功。',"To succeed in your endeavors, you need to exert all your effort and maintain a persevering spirit.","To succeed in doing things, one needs the spirit of giving their all and persevering without giving up.",3,3,3,3
生活的战场，战斗激烈又密集，孤军奋战难以胜利，我愿与你携手并肩矢志不移，不断输送友谊的粮草、开心的武器，永占幸福高地！祝建军节快乐！,孤军奋战,to fight alone without any support or assistance,Translate this sentence to English: '生活的战场，战斗激烈又密集，孤军奋战难以胜利，我愿与你携手并肩矢志不移，不断输送友谊的粮草、开心的武器，永占幸福高地！祝建军节快乐！',"Life is a battlefield, with intense and frequent battles. It is difficult to win alone, but I am willing to stand by your side, unwavering, constantly supplying friendship and happiness as weapons, to forever hold the high ground of happiness! Happy Armed Forces Day!","In the battlefield of life, where the fights are intense and frequent, it's hard to win alone. I am willing to join hands with you with unwavering determination, continuously supplying the provisions of friendship and the weapons of joy, to always hold the high ground of happiness! Happy Army Day!",3,3,3,3
‘万宝阁’一听就是买卖奇珍异宝的，陈家庄里的人也都基本上用不着，如果不到这里来卖毛货，陈大柱可能永远也不会跟这里的胡掌柜打交道的。,奇珍异宝,exotic and rare treasures,Translate this sentence to English: '‘万宝阁’一听就是买卖奇珍异宝的，陈家庄里的人也都基本上用不着，如果不到这里来卖毛货，陈大柱可能永远也不会跟这里的胡掌柜打交道的。',"""Wanbaoge' is known for buying and selling rare treasures and exotic goods. The people in Chenjiazhuang do not really need it. If it weren't for selling fur here, Chen Dazhu might never have dealt with the Hu boss here.""","""'Wanbao Pavilion' sounds like a place that deals in rare treasures, which the people in Chenjiazhuang basically don't need. If it weren't for coming here to sell fur goods, Chen Dazhu might never have had dealings with Manager Hu here.""",3,3,1,2
现在只有破釜沉舟地奋力一搏，才有机会扭转目前的局势。,破釜沉舟,to burn one's bridges,Translate this sentence to English: '现在只有破釜沉舟地奋力一搏，才有机会扭转目前的局势。',Only by burning the bridges behind us and making a desperate effort can we have a chance to turn the current situation around.,"""Now, only by burning our bridges and making a desperate effort do we have a chance to turn the current situation around.""",3,3,2,3
“我却想不到，你怎么会在这里？”，“历遍苦海，挣出轮回。”，“你扪心自问，真的还有挣出轮回的一天？”，“我历遍苦海，他挣出轮回。”，“为什么……”，“为换回他双目清明，身无瑕垢。”。 #狐离#,扪心自问,To examine one's conscience,Translate this sentence to English: '“我却想不到，你怎么会在这里？”，“历遍苦海，挣出轮回。”，“你扪心自问，真的还有挣出轮回的一天？”，“我历遍苦海，他挣出轮回。”，“为什么……”，“为换回他双目清明，身无瑕垢。”。 #狐离#',"""I couldn't imagine how you ended up here,"" ""Having endured the hardships, he broke free from the cycle of reincarnation,"" ""Do you truly believe you can break free from the cycle of reincarnation one day?"" ""I endured the hardships, he broke free from the cycle of reincarnation,"" ""Why...,"" ""To exchange for his clear eyes and flawless body."" #FoxLeaves#","""I never expected to find you here?"" ""Traversing the sea of suffering, breaking free from the cycle of reincarnation."" ""Ask yourself, is there really a day when you can break free from the cycle of reincarnation?"" ""I have traversed the sea of suffering, and he has broken free from the cycle of reincarnation."" ""Why..."" ""To restore his clear sight and unblemished body."" #FoxDeparture#",3,3,2,2
反动统治阶级巧立名目，在治水、导淮等等幌子下横征暴敛，中饱私囊。,巧立名目,to come up with various excuses or pretexts,Translate this sentence to English: '反动统治阶级巧立名目，在治水、导淮等等幌子下横征暴敛，中饱私囊。',"The reactionary ruling class sets up various pretexts, such as water management and Huai River control, to extort and line their own pockets.","""The reactionary ruling class invented various pretexts and, under the guise of projects like flood control and river management, imposed heavy taxes and levies to fill their own pockets.""",3,3,3,3
小义护亲，父为子隐，子为父隐，亦是美德;大义灭亲，杀忤逆之子，族人认可。,大义灭亲,to prioritize and uphold righteousness over family ties or personal relationships,Translate this sentence to English: '小义护亲，父为子隐，子为父隐，亦是美德;大义灭亲，杀忤逆之子，族人认可。',Protecting one's family members is a virtue; killing a disobedient child is considered acceptable by the clan.,"""Protecting one's relatives for minor righteousness, a father conceals for his son, and a son conceals for his father, is also a virtue; but in the case of major righteousness, eradicating one's own kin and killing a rebellious son is acknowledged by the clan.""",1,3,1,2
可是，专案组的软硬兼施，并没有得到他们想得到的东西，便认定张光年的“顶牛儿”是态度恶劣、顽固不化，他自然受到了更粗暴的对待。,顽固不化,being stubborn and unwilling to change,Translate this sentence to English: '可是，专案组的软硬兼施，并没有得到他们想得到的东西，便认定张光年的“顶牛儿”是态度恶劣、顽固不化，他自然受到了更粗暴的对待。',"However, the special task force's use of both soft and hard tactics did not yield the results they were hoping for, so they concluded that Zhang Guangnian's ""stubbornness"" was due to his bad attitude and stubbornness, leading to him receiving even more brutal treatment.","However, the task force's use of both soft and hard tactics did not yield the desired results, so they concluded that Zhang Guangnian's ""fighting back"" was an extremely bad and obstinate attitude, and he naturally received even rougher treatment.",2,3,1,2
这次文艺汇演是多剧种、多流派，百花齐放，各显身手。,百花齐放,"diversity and inclusiveness, referring to a situation where various talents and ideas flourish together",Translate this sentence to English: '这次文艺汇演是多剧种、多流派，百花齐放，各显身手。',"This cultural performance includes multiple genres and styles, showcasing a variety of talents.","""This cultural and artistic performance showcases multiple genres and styles, with a hundred flowers blooming and each displaying their own talents.""",2,3,1,3
由于刚愎自用、偏听偏信而误大事者，历史不乏其例，我们可以以古为鉴，吸取一些有益的教训。,以古为鉴,"""Taking ancient wisdom as a lesson"" or ""learning from history""",Translate this sentence to English: '由于刚愎自用、偏听偏信而误大事者，历史不乏其例，我们可以以古为鉴，吸取一些有益的教训。',"There are plenty of examples in history of people who have caused great harm due to their stubbornness, partiality, and blind faith. We can learn from the past and draw some useful lessons.","""Throughout history, there have been many instances where stubborn self-will and biased listening have led to major mistakes; we can learn valuable lessons from these past examples.""",3,3,2,2
