Idiomatic_Sent,Original_Idiom,en_meaning,ai_generated_idioms,english_idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
华北大平原上捷报频传，几个大油田相继建成。,捷报频传,receiving frequent and rapid good news,"```json
{
  ""Chinese idiom"": ""捷报频传"",
  ""English definition"": ""Good news keeps pouring in"",
  ""English idiom 1"": ""Good news travels fast"",
  ""English idiom 2"": ""No news is good news"",
  ""English idiom 3"": ""Riding a wave of success""
}
```",Good news travels fast,'捷报频传' means 'Good news travels fast'. Given the above knowledge translate this sentence to English: '华北大平原上捷报频传，几个大油田相继建成。',"On the vast North China Plain, good news travels fast as several major oilfields are successively completed.","""Good news travels fast across the North China Plain, with several large oil fields being completed one after another.""",2,3,2,3
人说情歌总是老的好，走遍天涯忘不了。我说情人却是老的好，曾经沧海桑田分不了。 #吕方#,沧海桑田,drastic changes over time; a completely different situation or environment,"```json
{
    ""Chinese idiom"": ""沧海桑田"",
    ""English definition"": ""This idiom describes the great changes that occur over time, often referring to natural transformations or significant shifts in circumstances."",
    ""English idiom 1"": ""A sea change"",
    ""English idiom 2"": ""The sands of time"",
    ""English idiom 3"": ""Times are changing""
}
```",A sea change,'沧海桑田' means 'A sea change'. Given the above knowledge translate this sentence to English: '人说情歌总是老的好，走遍天涯忘不了。我说情人却是老的好，曾经沧海桑田分不了。 #吕方#',"People say that old love songs are the best, traveling the world but never forgetting. I say that old lovers are the best, having experienced a sea change that can't be separated. #LüFang#","""People say old love songs are always the best, traveling to the ends of the earth they can't be forgotten. I say old lovers are the best, having experienced a sea change, they can't be separated. #LuFang#""",3,3,2,2
群臣们当然一片赞美之词，什么经天纬地，旷世奇才，德才兼备，空前绝后。,空前绝后,unprecedented and unparalleled,"{
    ""Chinese idiom"": ""空前绝后"",
    ""English definition"": ""Unprecedented and unrepeatable; something so extraordinary that it has never happened before and will never happen again."",
    ""English idiom 1"": ""One of a kind"",
    ""English idiom 2"": ""Once in a lifetime"",
    ""English idiom 3"": ""In a league of its own""
}",One of a kind,'空前绝后' means 'One of a kind'. Given the above knowledge translate this sentence to English: '群臣们当然一片赞美之词，什么经天纬地，旷世奇才，德才兼备，空前绝后。',"The courtiers naturally showered praises, calling him a talent unparalleled in history, a unique genius with both virtue and talent, truly one of a kind.","""Of course, the courtiers offered their praises, calling him things like a man of exceptional talent, unequaled in the world, possessing both virtue and talent, one of a kind.""",3,3,2,2
别总是埋怨自己生不逢时，你能不能认真地想一想，过去自己的工作到底干得怎么样?,生不逢时,being born in the wrong era; refers to feeling out of place or unlucky due to unfavorable circumstances,"```json
{
    ""Chinese idiom"": ""生不逢时"",
    ""English definition"": ""Born at the wrong time; to be unlucky with one's timing in life and to not have opportunities due to external circumstances."",
    ""English idiom 1"": ""A day late and a dollar short"",
    ""English idiom 2"": ""In the wrong place at the wrong time"",
    ""English idiom 3"": ""Missed the boat""
}
```",Missed the boat,'生不逢时' means 'Missed the boat'. Given the above knowledge translate this sentence to English: '别总是埋怨自己生不逢时，你能不能认真地想一想，过去自己的工作到底干得怎么样?',"Stop blaming yourself for missing the boat, can you seriously think about how well you did your job in the past?","""Stop always complaining that you missed the boat; can't you seriously think about how you’ve actually performed in your past work?""",3,3,2,3
你是个妙不可言的女人，雷蒙娜。,妙不可言,indescribably wonderful; too marvelous to put into words,"```json
{
  ""Chinese idiom"": ""妙不可言"",
  ""English definition"": ""Indescribably wonderful; too marvelous for words"",
  ""English idiom 1"": ""Beyond words"",
  ""English idiom 2"": ""Out of this world"",
  ""English idiom 3"": ""Too good to be true""
}
```",Beyond words,'妙不可言' means 'Beyond words'. Given the above knowledge translate this sentence to English: '你是个妙不可言的女人，雷蒙娜。',"You are a beyond words woman, Ramona.","""You are a beyond words woman, Ramona.""",2,2,1,1
1914至1915年，北洋军阀气焰万丈，腐恶的政治势力好象安如泰山了。,安如泰山,as safe and secure as Mount Tai,"{
  ""Chinese idiom"": ""安如泰山"",
  ""English definition"": ""As steady and unshakable as Mount Tai"",
  ""English idiom 1"": ""As solid as a rock"",
  ""English idiom 2"": ""Sturdy as an oak"",
  ""English idiom 3"": ""Rock solid""
}",Rock solid,'安如泰山' means 'Rock solid'. Given the above knowledge translate this sentence to English: '1914至1915年，北洋军阀气焰万丈，腐恶的政治势力好象安如泰山了。',"From 1914 to 1915, the Beiyang warlords were arrogant and corrupt political forces seemed rock solid.","""From 1914 to 1915, the arrogance of the Beiyang warlords was towering, and the corrupt political forces seemed rock solid.""",3,3,2,2
多年来，我始终奉行严以律己、宽以待人的工作作风，与领导与同事和睦相处，热心服务集体、服务他人，在群众中有较高的威信，工作成绩也因此而较为出色。,和睦相处,living in harmony and getting along well with each other,"```json
{
  ""Chinese idiom"": ""和睦相处"",
  ""English definition"": ""to live together in peace and harmony"",
  ""English idiom 1"": ""get along like a house on fire"",
  ""English idiom 2"": ""live in harmony"",
  ""English idiom 3"": ""rub along""
}
```",get along like a house on fire,'和睦相处' means 'get along like a house on fire'. Given the above knowledge translate this sentence to English: '多年来，我始终奉行严以律己、宽以待人的工作作风，与领导与同事和睦相处，热心服务集体、服务他人，在群众中有较高的威信，工作成绩也因此而较为出色。',"Over the years, I have always adhered to strict self-discipline, been kind to others in my work style, and got along well with leaders and colleagues. I am enthusiastic about serving the collective and others, enjoy a high reputation among the masses, and as a result, my work performance is outstanding.","""For many years, I have consistently followed a work ethic of being strict with myself and lenient with others, getting along like a house on fire with both leaders and colleagues, enthusiastically serving the community and others, earning a high level of respect among the masses, and therefore achieving outstanding work performance.""",3,2,2,1
我要与你携手共度人生，相亲相爱白头偕老。,相亲相爱,mutually loving and caring,"```json
{
  ""Chinese idiom"": ""相亲相爱"",
  ""English definition"": ""To love and care for each other; to be on intimate terms and treat each other with deep affection."",
  ""English idiom 1"": ""Love each other dearly"",
  ""English idiom 2"": ""Thick as thieves"",
  ""English idiom 3"": ""Birds of a feather""
}
```",Love each other dearly,'相亲相爱' means 'Love each other dearly'. Given the above knowledge translate this sentence to English: '我要与你携手共度人生，相亲相爱白头偕老。',"I want to hold your hand and spend our lives together, loving each other dearly until we grow old together.","""I want to walk hand in hand through life with you, loving each other dearly and growing old together.""",3,3,3,3
为了人民的利益，我赴汤蹈火在所不辞！,在所不辞,willing to undertake any task without hesitation,"```json
{
  ""Chinese idiom"": ""在所不辞"",
  ""English definition"": ""To undertake without hesitation; to be willing to take on any task regardless of the difficulty or danger."",
  ""English idiom 1"": ""No pain, no gain"",
  ""English idiom 2"": ""Bite the bullet"",
  ""English idiom 3"": ""Go the extra mile""
}
```",Go the extra mile,'在所不辞' means 'Go the extra mile'. Given the above knowledge translate this sentence to English: '为了人民的利益，我赴汤蹈火在所不辞！',I will not hesitate to go the extra mile for the benefit of the people!,"""For the people's benefit, I will go through fire and water and go the extra mile!""",2,3,1,2
栋梁本着继承和发扬相结合，古为今用，兼收并蓄的精神。,古为今用,to apply ancient principles in contemporary situations,"```json
{
    ""Chinese idiom"": ""古为今用"",
    ""English definition"": ""Make the past serve the present; utilizing ancient wisdom for contemporary purposes."",
    ""English idiom 1"": ""Learn from the past"",
    ""English idiom 2"": ""Old wine in new bottles"",
    ""English idiom 3"": ""Everything old is new again""
}
```",Learn from the past,'古为今用' means 'Learn from the past'. Given the above knowledge translate this sentence to English: '栋梁本着继承和发扬相结合，古为今用，兼收并蓄的精神。',"""The pillars adhere to the spirit of combining inheritance and promotion, learning from the past, and embracing a wide range of ideas.""","Dongliang embodies the spirit of inheriting and promoting tradition, learning from the past, and embracing both old and new ideas.",3,3,2,3
在保密部门工作一定要谨言慎行，避免瓜田李下之嫌。,谨言慎行,"be cautious in words and actions, be careful in what you say and do","```json
{
  ""Chinese idiom"": ""谨言慎行"",
  ""English definition"": ""Be cautious in speech and actions"",
  ""English idiom 1"": ""Think before you speak"",
  ""English idiom 2"": ""Look before you leap"",
  ""English idiom 3"": ""Watch your step""
}
```",Think before you speak,'谨言慎行' means 'Think before you speak'. Given the above knowledge translate this sentence to English: '在保密部门工作一定要谨言慎行，避免瓜田李下之嫌。',"When working in a confidential department, one must ""think before you speak"" to avoid suspicion.","""Working in a confidential department requires thinking before you speak to avoid any suspicion of misconduct.""",2,3,1,1
甭管出自于什么原因，枉费心机是谋吗?阿弄觉得，每一个反思这个问题的人心里很快就会闪现一个正确的答案。,枉费心机,wasting one's effort and scheming in vain,"```json
{
  ""Chinese idiom"": ""枉费心机"",
  ""English definition"": ""To waste one's effort and ingenuity; to make painstaking efforts in vain."",
  ""English idiom 1"": ""A wild goose chase"",
  ""English idiom 2"": ""Barking up the wrong tree"",
  ""English idiom 3"": ""Spinning one's wheels""
}
```",A wild goose chase,'枉费心机' means 'A wild goose chase'. Given the above knowledge translate this sentence to English: '甭管出自于什么原因，枉费心机是谋吗?阿弄觉得，每一个反思这个问题的人心里很快就会闪现一个正确的答案。',"No matter what the reason is, is a wild goose chase really necessary? Anlong thinks that every person who reflects on this question will quickly come up with the right answer in their heart.","""No matter the reason, is a wild goose chase a scheme? Arong believes that anyone who reflects on this question will quickly have the correct answer flash in their mind.""",2,2,2,1
这是侯外老未竟的事业，想必这一定是他的在天之灵热切地期待我们去努力实现的。,在天之灵,in the presence of the departed soul,"```json
{
  ""Chinese idiom"": ""在天之灵"",
  ""English definition"": ""The spirit of a deceased person in heaven, often invoked to show respect or to indicate that the deceased would be watching over from above"",
  ""English idiom 1"": ""Rest in peace"",
  ""English idiom 2"": ""Turn over in one's grave"",
  ""English idiom 3"": null
}
```",Rest in peace,'在天之灵' means 'Rest in peace'. Given the above knowledge translate this sentence to English: '这是侯外老未竟的事业，想必这一定是他的在天之灵热切地期待我们去努力实现的。',"This is Mr. Hou Wai's unfinished business, surely it is his spirit in heaven eagerly awaiting us to strive to achieve.","This is the unfinished work of the late Mr. Hou Wai, and it must be something his spirit in heaven eagerly anticipates us to strive to accomplish.",3,3,2,3
然而，渐渐地，对方竟要得寸进尺了，厕所不许我们用，使她的水要另花钱，稍微用多了一点便指桑骂槐地申斥着她的孩子。,得寸进尺,"take advantage of a small gain to pursue further gain, being greedy and never satisfied","```json
{
  ""Chinese idiom"": ""得寸进尺"",
  ""English definition"": ""To be given an inch and take a mile; to be insatiable and never satisfied with what one has, always wanting more."",
  ""English idiom 1"": ""Give an inch and they’ll take a mile"",
  ""English idiom 2"": ""If you give them a finger, they’ll take the whole hand"",
  ""English idiom 3"": ""Take liberties""
}
```",Give an inch and they’ll take a mile,'得寸进尺' means 'Give an inch and they’ll take a mile'. Given the above knowledge translate this sentence to English: '然而，渐渐地，对方竟要得寸进尺了，厕所不许我们用，使她的水要另花钱，稍微用多了一点便指桑骂槐地申斥着她的孩子。',"However, slowly but surely, the other party began to take advantage, not allowing us to use the restroom, making us pay for her water, and even scolding her child for using a little bit more.","""However, gradually, the other side began to get greedy, not allowing us to use the bathroom, charging extra for her water, and scolding her child indirectly for using a bit more.""",2,3,1,2
在奥斯特敦克尔克城很多人不愿谈论艾尔玛案件，说到他，他们心有余悸，因为他们心里清楚自己的家庭很可能也有不可外扬的纳粹丑闻。,心有余悸,to still feel fearful and nervous after a scary or dangerous experience,"```json
{
  ""Chinese idiom"": ""心有余悸"",
  ""English definition"": ""To still feel fearful after the event; a lingering sense of fear or dread from a past experience."",
  ""English idiom 1"": ""Once bitten, twice shy"",
  ""English idiom 2"": ""A lingering fear"",
  ""English idiom 3"": """"
}
```","Once bitten, twice shy","'心有余悸' means 'Once bitten, twice shy'. Given the above knowledge translate this sentence to English: '在奥斯特敦克尔克城很多人不愿谈论艾尔玛案件，说到他，他们心有余悸，因为他们心里清楚自己的家庭很可能也有不可外扬的纳粹丑闻。'","In Dunkirk, many people are reluctant to discuss the Elma case, mentioning him brings back painful memories because they know deep down that their own families may have Nazi scandals that cannot be revealed.","'In Ost-Dunkirk, many people are reluctant to talk about the Elmer case; mentioning him makes them once bitten, twice shy because they know their own families might also have Nazi scandals they cannot afford to reveal.'",3,2,1,1
别埋怨生不逢时，珍惜自己正适逢其会吧。,适逢其会,occurring at the opportune moment; happening to coincide with a suitable opportunity,"```json
{
    ""Chinese idiom"": ""适逢其会"",
    ""English definition"": ""To be at the right place at the right time"",
    ""English idiom 1"": ""In the right place at the right time"",
    ""English idiom 2"": ""Strike while the iron is hot"",
    ""English idiom 3"": ""Make hay while the sun shines""
}
```",In the right place at the right time,'适逢其会' means 'In the right place at the right time'. Given the above knowledge translate this sentence to English: '别埋怨生不逢时，珍惜自己正适逢其会吧。',"Don't complain about being born at the wrong time, cherish the fact that you are in the right place at the right time.","""Don't complain about being born at the wrong time; cherish the fact that you are in the right place at the right time.""",3,3,3,3
妻：想当年我的身材和体形正面山清水秀，侧面悬崖峭壁，背面柳暗花明，是吧？夫：是呀，可惜水土保持的太差了。,悬崖峭壁,steep cliff or precipice,"```json
{
  ""Chinese idiom"": ""悬崖峭壁"",
  ""English definition"": ""A sheer precipice or cliff, often used to describe a situation that is extremely dangerous or difficult."",
  ""English idiom 1"": ""On the edge of a precipice"",
  ""English idiom 2"": ""Between a rock and a hard place"",
  ""English idiom 3"": ""Walking on thin ice""
}
```",On the edge of a precipice,'悬崖峭壁' means 'On the edge of a precipice'. Given the above knowledge translate this sentence to English: '妻：想当年我的身材和体形正面山清水秀，侧面悬崖峭壁，背面柳暗花明，是吧？夫：是呀，可惜水土保持的太差了。',"Wife: In the past, my figure was slim and graceful from the front, like a clear mountain stream, with a precipice on the side, and a bright and beautiful back, right? Husband: That's right, but unfortunately the soil conservation was poor.","""Wife: Back in the day, my figure was picturesque from the front, precipitous from the side, and full of surprises from the back, right? Husband: Yes, but unfortunately, the soil and water conservation has been poor.""",2,2,1,2
有谁敢说自己真的知道那是什么滋味？那种绝望的即将降临又悄悄抱着一丝希望的滋味？那种恐怖的，狼狈的，令人丑态百出的滋味？,丑态百出,making a fool of oneself in various ways,"```json
{
  ""Chinese idiom"": ""丑态百出"",
  ""English definition"": ""Making a fool of oneself in various ways; showing one's clumsiness or foolishness repeatedly."",
  ""English idiom 1"": ""Make a spectacle of oneself"",
  ""English idiom 2"": ""Show one's true colors"",
  ""English idiom 3"": """"
}
```",Make a spectacle of oneself,'丑态百出' means 'Make a spectacle of oneself'. Given the above knowledge translate this sentence to English: '有谁敢说自己真的知道那是什么滋味？那种绝望的即将降临又悄悄抱着一丝希望的滋味？那种恐怖的，狼狈的，令人丑态百出的滋味？',"Who dares to say they truly know what that taste is like? The taste of despair looming yet quietly holding onto a glimmer of hope? The taste of terror, of disgrace, of making a spectacle of oneself?","""Who dares to say that they truly know what that feeling is? That feeling of impending despair mixed with a sliver of hope? That terrifying, embarrassing, and spectacle-making feeling?""",3,3,2,3
但在政策执行上不能打折扣，更不能各行其是，要确保政令畅通，维护中央权威。,各行其是,each doing their own thing; each following their own course of action,"```json
{
  ""Chinese idiom"": ""各行其是"",
  ""English definition"": ""Each goes his own way; everyone does as they see fit, without coordination or cooperation."",
  ""English idiom 1"": ""To each his own"",
  ""English idiom 2"": ""Every man for himself"",
  ""English idiom 3"": ""Do your own thing""
}
```",To each his own,'各行其是' means 'To each his own'. Given the above knowledge translate this sentence to English: '但在政策执行上不能打折扣，更不能各行其是，要确保政令畅通，维护中央权威。',"However, when it comes to policy implementation, we cannot cut corners or each do as we see fit - we must ensure smooth execution of policies and uphold central authority.","However, policy implementation must not be compromised, and we must not each go our own way. We must ensure smooth execution of directives and uphold central authority.",3,3,3,3
文章是写给别人看的，讲究文从字顺，如果佶屈聱牙，没人看得懂，便失了作文的意义。,文从字顺,to follow a strict order and be meticulous in writing,"{
    ""Chinese idiom"": ""文从字顺"",
    ""English definition"": ""A phrase used to describe writing that is coherent, well-structured, and flows smoothly."",
    ""English idiom 1"": ""Clear as a bell"",
    ""English idiom 2"": ""Make perfect sense"",
    ""English idiom 3"": ""Reads like a book""
}",Clear as a bell,'文从字顺' means 'Clear as a bell'. Given the above knowledge translate this sentence to English: '文章是写给别人看的，讲究文从字顺，如果佶屈聱牙，没人看得懂，便失了作文的意义。',"Writing is meant to be read by others, emphasizing clarity and coherence in language. If it is convoluted and unclear, no one will understand it, thus losing the significance of the composition.","""Articles are meant to be read by others and should be clear as a bell; if they are convoluted and hard to understand, no one will comprehend them, and the purpose of writing is lost.""",3,3,2,3
对国家民族的大业，我一定沥胆披肝，就是舍弃生命也在所不惜。,在所不惜,willing to do anything regardless of the cost or sacrifice,"{
  ""Chinese idiom"": ""在所不惜"",
  ""English definition"": ""To be willing to do whatever it takes; not to mind the cost or effort for achieving something"",
  ""English idiom 1"": ""By any means necessary"",
  ""English idiom 2"": ""No matter the cost"",
  ""English idiom 3"": ""Whatever it takes""
}",By any means necessary,'在所不惜' means 'By any means necessary'. Given the above knowledge translate this sentence to English: '对国家民族的大业，我一定沥胆披肝，就是舍弃生命也在所不惜。',"For the great cause of the nation and the people, I will spare no effort, even if it means sacrificing my life by any means necessary.","""For the great cause of my country and nation, I will dedicate myself wholeheartedly, and I am even willing to sacrifice my life if necessary.""",3,3,1,3
然而，汉、唐、新三国总是念念不忘夏、商、周侵占本国土地的事情，元气恢复之后，各国不约而同地秣马厉兵，准备收复失地。,不约而同,simultaneously and without prior arrangement,"```json
{
  ""Chinese idiom"": ""不约而同"",
  ""English definition"": ""Without prior consultation, actions or thoughts coincide."",
  ""English idiom 1"": ""Great minds think alike"",
  ""English idiom 2"": ""On the same wavelength"",
  ""English idiom 3"": ""In sync""
}
```",Great minds think alike,'不约而同' means 'Great minds think alike'. Given the above knowledge translate this sentence to English: '然而，汉、唐、新三国总是念念不忘夏、商、周侵占本国土地的事情，元气恢复之后，各国不约而同地秣马厉兵，准备收复失地。',"However, the three kingdoms of Han, Tang, and Xin always remembered the invasions of their homeland by the Xia, Shang, and Zhou dynasties, and once their strength was restored, all nations simultaneously mobilized their forces, preparing to reclaim lost territory.","However, the Han, Tang, and New Three Kingdoms always remembered the invasions of their lands by the Xia, Shang, and Zhou. Once their strength was restored, each nation, as if through great minds thinking alike, prepared their armies and polished their weapons, ready to reclaim their lost territories.",3,3,2,1
大敌当前，你一个人盲目行动，岂不等于飞蛾投火。,大敌当前,"having a formidable enemy at present, facing a major threat","{
    ""Chinese idiom"": ""大敌当前"",
    ""English definition"": ""When facing a formidable enemy"",
    ""English idiom 1"": ""On the brink of battle"",
    ""English idiom 2"": ""In the face of danger"",
    ""English idiom 3"": ""At the gates""
}",At the gates,'大敌当前' means 'At the gates'. Given the above knowledge translate this sentence to English: '大敌当前，你一个人盲目行动，岂不等于飞蛾投火。',"At the gates, acting blindly by yourself would be like a moth flying into a flame.","""With the enemy at the gates, acting blindly alone is like a moth to a flame.""",3,3,3,3
在我想起我们都有的一种唯我论趋向时，有一个故事经常让我忍俊不禁。,忍俊不禁,unable to hold back laughter,"{
  ""Chinese idiom"": ""忍俊不禁"",
  ""English definition"": ""Unable to hold back one's laughter"",
  ""English idiom 1"": ""Burst out laughing"",
  ""English idiom 2"": ""Crack up"",
  ""English idiom 3"": ""Laugh out loud""
}",Crack up,'忍俊不禁' means 'Crack up'. Given the above knowledge translate this sentence to English: '在我想起我们都有的一种唯我论趋向时，有一个故事经常让我忍俊不禁。',"When I think of the tendency we all have towards solipsism, there is one story that never fails to crack me up.","When I think about the solipsistic tendencies that we all have, there's a story that often makes me crack up.",3,3,3,3
朋友是什么？他是在你感到天寒地冻之时想起心中有一丝丝暖意的人。,天寒地冻,extremely cold weather,"```json
{
  ""Chinese idiom"": ""天寒地冻"",
  ""English definition"": ""A severe cold weather condition, where the sky and earth seem to be frozen."",
  ""English idiom 1"": ""Bitterly cold"",
  ""English idiom 2"": ""Cold enough to freeze the balls off a brass monkey"",
  ""English idiom 3"": ""Bone-chilling cold""
}
```",Bitterly cold,'天寒地冻' means 'Bitterly cold'. Given the above knowledge translate this sentence to English: '朋友是什么？他是在你感到天寒地冻之时想起心中有一丝丝暖意的人。','What is a friend? A person who brings a hint of warmth to your bitterly cold heart.',"""What is a friend? A friend is someone who comes to mind and brings a trace of warmth to your heart when you feel bitterly cold.""",3,3,2,3
真是暴力冲突的一天啊，什叶派真主党的拥护者与逊尼派在贝鲁特的大街上大打出手。,大打出手,to have a big fight,"```json
{
  ""Chinese idiom"": ""大打出手"",
  ""English definition"": ""Engage in a physical fight"",
  ""English idiom 1"": ""Come to blows"",
  ""English idiom 2"": ""Fight like cats and dogs"",
  ""English idiom 3"": """"
}
```",Come to blows,'大打出手' means 'Come to blows'. Given the above knowledge translate this sentence to English: '真是暴力冲突的一天啊，什叶派真主党的拥护者与逊尼派在贝鲁特的大街上大打出手。',It was a day of violent conflict as supporters of Hezbollah and Sunnis came to blows in the streets of Beirut.,"It was truly a day of violent conflict, as Hezbollah supporters and Sunnis came to blows on the streets of Beirut.",3,3,3,3
软弱者永远进不了爱情的王国，爱情的王国是无情和吝啬的，女人们只肯委身于那些敢作敢为的男子汉，因为这样的男子汉能使他们得到她们所渴望的安全感，使她们能正视生活。 #马尔克斯#,敢作敢为,to dare to do and take action without fear or hesitation,"```json
{
  ""Chinese idiom"": ""敢作敢为"",
  ""English definition"": ""To act boldly and resolutely, daring to take responsibility for one's actions."",
  ""English idiom 1"": ""Fortune favors the bold"",
  ""English idiom 2"": ""Take the bull by the horns"",
  ""English idiom 3"": ""He who dares, wins""
}
```",Take the bull by the horns,'敢作敢为' means 'Take the bull by the horns'. Given the above knowledge translate this sentence to English: '软弱者永远进不了爱情的王国，爱情的王国是无情和吝啬的，女人们只肯委身于那些敢作敢为的男子汉，因为这样的男子汉能使他们得到她们所渴望的安全感，使她们能正视生活。 #马尔克斯#',"The weak can never enter the kingdom of love, which is cruel and stingy. Women only surrender themselves to those who take the bull by the horns, because such men provide them with the sense of security they desire and allow them to face life head-on. #Marquez#","""The weak will never enter the kingdom of love, the kingdom of love is ruthless and stingy, women will only commit themselves to those men who take the bull by the horns, because such men can provide them the sense of security they long for and enable them to face life directly."" #Márquez#",3,3,3,3
从地裂缝一天天扩大的测报来看，叶落知秋，这块地方很快就要有一次较大规模的滑坡了。,叶落知秋,Being able to deduce a situation by observing subtle signs.,"```json
{
  ""Chinese idiom"": ""叶落知秋"",
  ""English definition"": ""The falling leaves indicate the coming of autumn; it means that small signs can indicate a larger trend or change."",
  ""English idiom 1"": ""The writing is on the wall"",
  ""English idiom 2"": ""Red sky at night, shepherd's delight"",
  ""English idiom 3"": ""A stitch in time saves nine""
}
```",The writing is on the wall,'叶落知秋' means 'The writing is on the wall'. Given the above knowledge translate this sentence to English: '从地裂缝一天天扩大的测报来看，叶落知秋，这块地方很快就要有一次较大规模的滑坡了。',"From the gradual widening of the cracks in the ground, it is evident that the writing is on the wall and there will soon be a large-scale landslide in this area.","""From the daily monitoring of the widening cracks in the ground, the writing is on the wall: there will soon be a large-scale landslide in this area.""",3,3,3,3
猪吃完食乖乖地走到圈里，懒洋洋地躺下了，还不时地哼哼两声，好一副心满意足的样子。这匹马，全身皮毛黑发红，红中透亮，油光水滑，像刚从油缸里跳出来似的。,心满意足,content and satisfied; feeling fully satisfied or content with what one has achieved or obtained,"```json
{
  ""Chinese idiom"": ""心满意足"",
  ""English definition"": ""To be perfectly content and satisfied"",
  ""English idiom 1"": ""Happy as a clam"",
  ""English idiom 2"": ""On cloud nine"",
  ""English idiom 3"": ""Over the moon""
}
```",On cloud nine,'心满意足' means 'On cloud nine'. Given the above knowledge translate this sentence to English: '猪吃完食乖乖地走到圈里，懒洋洋地躺下了，还不时地哼哼两声，好一副心满意足的样子。这匹马，全身皮毛黑发红，红中透亮，油光水滑，像刚从油缸里跳出来似的。',"The pig finished eating and obediently walked back to the pen, lazily lying down and occasionally humming a tune, looking completely on cloud nine.","""After eating its fill, the pig obediently walked back to its pen, lazily lay down, and occasionally grunted, looking quite on cloud nine. The horse, with fur all over its body black and red, gleamed with a glossy sheen as if it had just jumped out of an oil vat.""",2,3,1,2
这狗官把这里搞得有死无二，乌烟瘴气，老百姓恨不得将他食肉寝皮。,乌烟瘴气,"a place filled with smoke and toxic substances, referring to a chaotic and unhealthy environment","{
  ""Chinese idiom"": ""乌烟瘴气"",
  ""English definition"": ""A situation or environment that is chaotic, filled with foul air, and morally corrupt."",
  ""English idiom 1"": ""A den of iniquity"",
  ""English idiom 2"": ""A snake pit"",
  ""English idiom 3"": ""A hellhole""
}",A den of iniquity,'乌烟瘴气' means 'A den of iniquity'. Given the above knowledge translate this sentence to English: '这狗官把这里搞得有死无二，乌烟瘴气，老百姓恨不得将他食肉寝皮。',"This corrupt official has turned this place into a place of chaos and corruption, a den of iniquity, the people would like to kill him.","""This corrupt official has turned this place into a living hell and a den of iniquity; the common people wish to tear him apart.""",2,3,1,3
一马当先送祝福，万马奔腾小康路。快马加鞭事业创，马不停蹄奔前途。青梅竹马爱情路，天马行空风浪突。人强马壮吉祥安，马年幸福家和睦。祝健康快乐！,马不停蹄,"non-stop or continuously, without any pause or rest","```json
{
  ""Chinese idiom"": ""马不停蹄"",
  ""English definition"": ""To keep on going without stopping; to press forward without rest"",
  ""English idiom 1"": ""No rest for the weary"",
  ""English idiom 2"": ""Around the clock"",
  ""English idiom 3"": ""Burning the candle at both ends""
}
```",No rest for the weary,'马不停蹄' means 'No rest for the weary'. Given the above knowledge translate this sentence to English: '一马当先送祝福，万马奔腾小康路。快马加鞭事业创，马不停蹄奔前途。青梅竹马爱情路，天马行空风浪突。人强马壮吉祥安，马年幸福家和睦。祝健康快乐！',"One horse leads the way to send blessings, thousands of horses gallop on the road to prosperity. Speed up the career with a whip, no rest for the weary on the journey ahead. Childhood sweethearts on the path of love, soaring through the wind and waves like a heavenly horse. When people are strong and horses are powerful, there is good fortune and peace. Wishing a healthy and happy Year of the Horse!","One horse leads with blessings, ten thousand horses gallop towards a moderately prosperous path. Spurring the horse forward to create a career, nonstop advancing towards the future. Childhood sweethearts on the path of love, with bold and unrestrained imagination, overcoming storms. People strong, horses sturdy, bringing auspiciousness and peace. Happiness and harmony in the Year of the Horse. Wishing you health and joy!",2,3,2,2
大雨劈头盖脸的浇下来，顺着脖子灌进去。,劈头盖脸,"a fierce attack in speech or action, without any consideration for the other party","{
  ""Chinese idiom"": ""劈头盖脸"",
  ""English definition"": ""To attack someone verbally in a sudden and overwhelming manner, often without giving them a chance to respond."",
  ""English idiom 1"": ""To tear into someone"",
  ""English idiom 2"": ""To rip someone a new one"",
  ""English idiom 3"": ""To give someone a tongue-lashing""
}",To give someone a tongue-lashing,'劈头盖脸' means 'To give someone a tongue-lashing'. Given the above knowledge translate this sentence to English: '大雨劈头盖脸的浇下来，顺着脖子灌进去。',"The heavy rain poured down on me, drenching me from head to toe.","""The heavy rain poured down, drenching from head to toe and running down the neck.""",3,3,1,2
福尔摩斯在办案中十分细心，能够明察秋毫，不放过一点蛛丝马迹。,明察秋毫,being extremely discerning and having keen eyesight,"```json
{
  ""Chinese idiom"": ""明察秋毫"",
  ""English definition"": ""To be able to see the smallest details; to have sharp insight"",
  ""English idiom 1"": ""Needle in a haystack"",
  ""English idiom 2"": ""Eagle eye"",
  ""English idiom 3"": ""See a fly on the wall""
}
```",Needle in a haystack,'明察秋毫' means 'Needle in a haystack'. Given the above knowledge translate this sentence to English: '福尔摩斯在办案中十分细心，能够明察秋毫，不放过一点蛛丝马迹。',"Holmes is very careful in handling cases, able to find a needle in a haystack and not miss any clues.","""Holmes is very meticulous in handling cases, able to find a needle in a haystack and never misses the slightest clue.""",2,3,1,1
