Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,high_similarity_english_idioms,Most_Relevant_English_Idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
मुँह की कहना,अपने दिल की बात कहना,To speak one's mind,उसने मुँह की कह डाली और सबने ध्यान से सुनी।,,,"'मुँह की कहना' means 'To speak one's mind'. Given the above knowledge, translate this sentence to English: 'उसने मुँह की कह डाली और सबने ध्यान से सुनी।'",He spoke his mind and everyone listened attentively.,"""He spoke his mind and everyone listened attentively.""",3,2,3,2
मुँह मसलना,किसी से मिलकर आनंदित होना,To be embarrassed,लंबे समय बाद उसे देखकर वह मुँह मसलने लगा।,have egg on one's face (0.73),have egg on one's face,"'मुँह मसलना' means 'have egg on one's face'. Given the above knowledge, translate this sentence to English: 'लंबे समय बाद उसे देखकर वह मुँह मसलने लगा।'","After a long time, he started to have egg on his face when he saw her.","""After seeing him after a long time, he had egg on his face.""",1,1,1,1
मुँह में बात रखना,गोपनीयता बनाए रखना,To keep a secret,उसने सारे राज़ मुँह में बात रख कर छुपा लिए।,"keep a lid on (0.75), keep mum (0.74), let the cat out of the bag (0.82), mum's the word (0.85), mums the word (0.87), mum's the word (0.81), spill _ beans (0.76), spill the beans (0.74), under the rose (0.74), zip oneâ€™s lip (0.79)",keep a lid on,"'मुँह में बात रखना' means 'keep a lid on'. Given the above knowledge, translate this sentence to English: 'उसने सारे राज़ मुँह में बात रख कर छुपा लिए।'",He kept all the secrets by keeping a lid on them.,"""He kept all the secrets by keeping a lid on them.""",2,3,2,2
मुँह की बोली बंद करना,कुछ भी न कहना,To silence someone,उसने आलोचना के डर से मुँह की बोली बंद कर ली।,button (up) one's lip (0.74),button,"'मुँह की बोली बंद करना' means 'button'. Given the above knowledge, translate this sentence to English: 'उसने आलोचना के डर से मुँह की बोली बंद कर ली।'",He buttoned his lips out of fear of criticism.,He buttoned up for fear of criticism.,3,3,2,3
मुँह पर मिठाई मलना,अत्यधिक प्रसन्न करना,To flatter someone insincerely.,उसकी सफलता ने मेरे मुँह पर मिठाई मल दी।,,,"'मुँह पर मिठाई मलना' means 'To flatter someone insincerely.'. Given the above knowledge, translate this sentence to English: 'उसकी सफलता ने मेरे मुँह पर मिठाई मल दी।'",His success has made me insincerely flatter him.,"""His success flattered me insincerely.""",1,1,1,1
मुँह चुराना,नजरअंदाज करना,Avoiding someone,उसने अपने पुराने दोस्तों से मुँह चुराना शुरू कर दिया।,steer clear of (0.78),steer clear of,"'मुँह चुराना' means 'steer clear of'. Given the above knowledge, translate this sentence to English: 'उसने अपने पुराने दोस्तों से मुँह चुराना शुरू कर दिया।'",He started steering clear of his old friends.,He started to steer clear of his old friends.,3,3,2,2
मुँह पर हँसी छा जाना,बहुत खुशी होना,A smile spreading across the face,उसकी सफलता की खबर सुनकर मेरे मुँह पर हँसी छा गई।,grin like a Cheshire cat (0.78),grin like a Cheshire cat,"'मुँह पर हँसी छा जाना' means 'grin like a Cheshire cat'. Given the above knowledge, translate this sentence to English: 'उसकी सफलता की खबर सुनकर मेरे मुँह पर हँसी छा गई।'","Upon hearing about his success, I grinned like a Cheshire cat.","""Hearing the news of his success, I grinned like a Cheshire cat.""",3,3,3,3
माँ का लाल,साहसी व्यक्ति,Mother's beloved son,"वह माँ का लाल है, किसी से डरता नहीं।",,,"'माँ का लाल' means 'Mother's beloved son'. Given the above knowledge, translate this sentence to English: 'वह माँ का लाल है, किसी से डरता नहीं।'","He is his mother's beloved son, not afraid of anyone.","He is his mother's beloved son, afraid of no one.",2,1,2,1
मूल्य समझना,किसी चीज की कीमत या महत्व जानना,Understand the value,हमें अपने जीवन के हर क्षण का मूल्य समझना चाहिए।,,,"'मूल्य समझना' means 'Understand the value'. Given the above knowledge, translate this sentence to English: 'हमें अपने जीवन के हर क्षण का मूल्य समझना चाहिए।'",We should understand the value of every moment in our lives.,We should understand the value of every moment of our life.,3,3,3,3
बात पक्की करना,किसी निर्णय को अंतिम रूप देना,To finalize something,शादी की बात पक्की हो गई है।,,,"'बात पक्की करना' means 'To finalize something'. Given the above knowledge, translate this sentence to English: 'शादी की बात पक्की हो गई है।'",The wedding has been finalized.,"""The marriage is finalized.""",3,1,3,1
मुँह पर रुमाल रखना,बहुत शर्मिंदा होना,To keep a secret.,उसकी गलती से सबके सामने उसने मुँह पर रुमाल रख लिया।,"let the cat out of the bag (0.78), mum's the word (0.83), mums the word (0.84), mum's the word (0.76), zip oneâ€™s lip (0.77)",let the cat out of the bag,"'मुँह पर रुमाल रखना' means 'let the cat out of the bag'. Given the above knowledge, translate this sentence to English: 'उसकी गलती से सबके सामने उसने मुँह पर रुमाल रख लिया।'",He accidentally let the cat out of the bag in front of everyone.,"""Because of his mistake, he let the cat out of the bag in front of everyone.""",3,1,3,1
बेसुध होना,होश खो बैठना,To be unconscious,दुर्घटना के बाद वह बेसुध हो गया।,zonk out (0.74),zonk out,"'बेसुध होना' means 'zonk out'. Given the above knowledge, translate this sentence to English: 'दुर्घटना के बाद वह बेसुध हो गया।'","After the accident, he zonked out.","After the accident, he zonked out.",1,1,1,1
मुँह पिचकाना,नापसंदगी जाहिर करना,To pout,खाने में नमक कम होने पर उसने मुँह पिचका लिया।,,,"'मुँह पिचकाना' means 'To pout'. Given the above knowledge, translate this sentence to English: 'खाने में नमक कम होने पर उसने मुँह पिचका लिया।'","When there was less salt in the food, he pouted.","""He pouted because there was less salt in the food.""",2,2,2,3
मुँह का बंदर,कोई व्यक्ति जो हमेशा दूसरों का अनुकरण करता है,Monkey mouth,वह अपने दोस्तों का मुँह का बंदर बन गया है।,,,"'मुँह का बंदर' means 'Monkey mouth'. Given the above knowledge, translate this sentence to English: 'वह अपने दोस्तों का मुँह का बंदर बन गया है।'",He has become the monkey mouth of his friends.,He has become a puppet of his friends.,1,1,3,3
मुँह दिखाना,सामने आना,Show one's face,परीक्षा में असफल होने के बाद उसने घर पर मुँह दिखाना उचित नहीं समझा।,,,"'मुँह दिखाना' means 'Show one's face'. Given the above knowledge, translate this sentence to English: 'परीक्षा में असफल होने के बाद उसने घर पर मुँह दिखाना उचित नहीं समझा।'","After failing the exam, he did not think it was appropriate to show his face at home.","After failing the exam, he didn't think it was appropriate to show his face at home.",3,3,3,3
मुँह जला लेना,जल्दबाजी में नुकसान उठाना,Burn one's mouth,गरम चाय पीते वक्त उसने मुँह जला लिया।,,,"'मुँह जला लेना' means 'Burn one's mouth'. Given the above knowledge, translate this sentence to English: 'गरम चाय पीते वक्त उसने मुँह जला लिया।'",He burned his mouth while drinking hot tea.,"""He burned his mouth while drinking hot tea.""",3,3,3,1
मुँह खराब करना,बदनाम करना,To spoil one's mood.,झूठी अफवाहों से उसका मुँह खराब हो गया।,"queer someone's pitch (0.78), rain on someone's parade (0.81)",queer someone's pitch,"'मुँह खराब करना' means 'queer someone's pitch'. Given the above knowledge, translate this sentence to English: 'झूठी अफवाहों से उसका मुँह खराब हो गया।'",He got his pitch queered by false rumors.,'His pitch was queered by false rumors.',2,3,2,3
मुँह बिगाड़ना,किसी चीज का स्वाद बिगड़ना,To sulk,खराब खाना खाकर उसका मुँह बिगड़ गया।,,,"'मुँह बिगाड़ना' means 'To sulk'. Given the above knowledge, translate this sentence to English: 'खराब खाना खाकर उसका मुँह बिगड़ गया।'","After eating the bad food, he sulked.","After eating bad food, he sulked.",2,1,1,1
मुँह की बात निकलना,छुपी हुई बात का खुलना,To let the cat out of the bag.,मुँह की बात निकलते ही सब सन्न रह गए।,,,"'मुँह की बात निकलना' means 'To let the cat out of the bag.'. Given the above knowledge, translate this sentence to English: 'मुँह की बात निकलते ही सब सन्न रह गए।'","As soon as the cat was out of the bag, everyone fell silent.","As soon as the cat was let out of the bag, everyone was stunned.",3,3,3,3
मुँह की हवा निकलना,डर जाना,To be deflated,उसकी धमकी सुनकर सबकी मुँह की हवा निकल गई।,,,"'मुँह की हवा निकलना' means 'To be deflated'. Given the above knowledge, translate this sentence to English: 'उसकी धमकी सुनकर सबकी मुँह की हवा निकल गई।'","After hearing his threat, everyone was deflated.",Everyone was deflated upon hearing his threat.,3,3,3,3
मायाजाल,भ्रम या धोखा,Illusion,धन-दौलत का मायाजाल छोड़कर उसने साधु जीवन अपनाया।,,,"'मायाजाल' means 'Illusion'. Given the above knowledge, translate this sentence to English: 'धन-दौलत का मायाजाल छोड़कर उसने साधु जीवन अपनाया।'","Leaving behind the illusion of wealth and riches, he adopted a life of austerity.","""He abandoned the illusion of wealth and adopted a saintly life.""",3,3,3,2
मूँछों पर ताव देना,गर्वित होना,Twirl one's mustache,अपनी उपलब्धियों पर वह मूँछों पर ताव दे रहा था।,,,"'मूँछों पर ताव देना' means 'Twirl one's mustache'. Given the above knowledge, translate this sentence to English: 'अपनी उपलब्धियों पर वह मूँछों पर ताव दे रहा था।'",He was twirling his mustache over his achievements.,"""He was twirling his mustache over his achievements.""",2,2,2,2
मुँह का मीठा,प्रिय या प्यारा व्यक्ति,Sweet-talker,उसकी बेटी उसके मुँह का मीठा है।,,,"'मुँह का मीठा' means 'Sweet-talker'. Given the above knowledge, translate this sentence to English: 'उसकी बेटी उसके मुँह का मीठा है।'",His daughter is a sweet-talker.,"""His daughter is his sweet-talker.""",1,1,1,1
मुँह से बात कहना,साफ तौर पर कुछ कहना,To speak out.,उसने मुँह से बात कही और सबको समझ आ गया।,,,"'मुँह से बात कहना' means 'To speak out.'. Given the above knowledge, translate this sentence to English: 'उसने मुँह से बात कही और सबको समझ आ गया।'",He spoke out and everyone understood.,He spoke out and everyone understood.,3,1,3,1
मुँह पर पानी फेरना,पूरी तरह से निराश करना,To ruin something.,उसकी बुरी खबर ने सबके मुँह पर पानी फेर दिया।,"cook someone's goose (0.79), screw up (0.74)",cook someone's goose,"'मुँह पर पानी फेरना' means 'cook someone's goose'. Given the above knowledge, translate this sentence to English: 'उसकी बुरी खबर ने सबके मुँह पर पानी फेर दिया।'",His bad news cooked everyone's goose.,"""His bad news cooked everyone's goose.""",2,1,1,1
मुँह में पानी आना,किसी चीज़ की इच्छा होना,Mouth-watering,स्वादिष्ट भोजन देखकर उसके मुँह में पानी आ गया।,,,"'मुँह में पानी आना' means 'Mouth-watering'. Given the above knowledge, translate this sentence to English: 'स्वादिष्ट भोजन देखकर उसके मुँह में पानी आ गया।'",Seeing the delicious food made his mouth water.,"""His mouth watered at the sight of the delicious food.""",3,3,3,3
मुँह दिखाने के काबिल न रहना,शर्मिंदा होना,Not be able to show one's face.,"उसने जो किया, उसके बाद वह मुँह दिखाने के काबिल न रहा।",,,"'मुँह दिखाने के काबिल न रहना' means 'Not be able to show one's face.'. Given the above knowledge, translate this sentence to English: 'उसने जो किया, उसके बाद वह मुँह दिखाने के काबिल न रहा।'","After what he did, he was not able to show his face.","After what he did, he was not able to show his face.",3,2,3,3
मुँह में राम बगल में छुरी,बाहर से अच्छा और अंदर से बुरा,A sweet tongue but a sharp dagger.,वह आदमी मुँह में राम बगल में छुरी जैसा है।,,,"'मुँह में राम बगल में छुरी' means 'A sweet tongue but a sharp dagger.'. Given the above knowledge, translate this sentence to English: 'वह आदमी मुँह में राम बगल में छुरी जैसा है।'",That man is like a sweet tongue but a sharp dagger.,"""That man has a sweet tongue but a sharp dagger.""",3,1,3,2
मूँछ पर ताव देना,गर्व महसूस करना,To show off.,अपने बेटे की सफलता पर वह मूँछ पर ताव दे रहा था।,,,"'मूँछ पर ताव देना' means 'To show off.'. Given the above knowledge, translate this sentence to English: 'अपने बेटे की सफलता पर वह मूँछ पर ताव दे रहा था।'",He was showing off on his son's success.,He was showing off his son's success.,2,1,3,1
मुँह में मारना,अपमान करना,To insult someone directly,उसकी हरकतों ने मेरे मुँह में मारा है।,"bite someone's head off (0.73), call _ names (0.76), call names (0.78), call someone names (0.86), snap someone's head off (0.74)",bite someone's head off,"'मुँह में मारना' means 'bite someone's head off'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों ने मेरे मुँह में मारा है।'",His actions have bitten my head off.,"""His actions have bitten my head off.""",1,1,1,1
मुँह की सूरत बिगाड़ना,गुस्से से दिखना,To make a face.,उसकी हरकतों पर उसने मुँह की सूरत बिगाड़ ली।,pull a face (0.75),pull a face,"'मुँह की सूरत बिगाड़ना' means 'pull a face'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों पर उसने मुँह की सूरत बिगाड़ ली।'",He pulled a face at her actions.,"""She pulled a face at his antics.""",2,3,3,3
मुँह बनाना,नाखुश होना,To sulk,खराब खाने को देखकर उसने मुँह बना लिया।,,,"'मुँह बनाना' means 'To sulk'. Given the above knowledge, translate this sentence to English: 'खराब खाने को देखकर उसने मुँह बना लिया।'",He sulked after seeing the bad food.,He sulked at the sight of the bad food.,2,1,2,2
मुँह में उंगली देना,किसी की गलती दिखाना,To deceive someone.,उसने अपनी चतुराई से सबके मुँह में उंगली डाल दी।,"con artist (0.75), fall for it (0.83), lead someone up the garden path (0.86), lie like a rug (0.80), mince pies (0.78), pull _ wool over _ eyes (0.80), pull a fast one (0.79), pull the wool over eyes (0.86), pull the wool over someone's eyes (0.80), pull the wool over someones eyes (0.80), stab in the back (0.75), take for a ride (0.74), take someone for a ride (0.73), throw a curve (0.80), wipe someone's eye (0.88)",con artist,"'मुँह में उंगली देना' means 'con artist'. Given the above knowledge, translate this sentence to English: 'उसने अपनी चतुराई से सबके मुँह में उंगली डाल दी।'",He conned everyone with his cleverness.,"With his cleverness, he conned everyone.",2,2,2,2
मुँह में उंगली डालना,किसी को किसी कार्य के लिए मजबूर करना,To deceive someone,उसने मुँह में उंगली डालकर मुझे यह काम करने पर मजबूर कर दिया।,"con artist (0.75), fall for it (0.84), lead someone up the garden path (0.87), lie like a rug (0.80), mince pies (0.79), pull _ wool over _ eyes (0.80), pull a fast one (0.80), pull the wool over eyes (0.87), pull the wool over someone's eyes (0.80), pull the wool over someones eyes (0.80), stab in the back (0.75), take for a ride (0.74), take someone for a ride (0.74), throw a curve (0.80), wipe someone's eye (0.89)",con artist,"'मुँह में उंगली डालना' means 'con artist'. Given the above knowledge, translate this sentence to English: 'उसने मुँह में उंगली डालकर मुझे यह काम करने पर मजबूर कर दिया।'","By putting words in my mouth, he forced me to do this work.","""He forced me to do this work by conning me.""",1,1,2,1
बड़े मन से देना,उदारता से देना,To give generously,उसने गरीबों को बड़े मन से दान दिया।,,,"'बड़े मन से देना' means 'To give generously'. Given the above knowledge, translate this sentence to English: 'उसने गरीबों को बड़े मन से दान दिया।'",He donated generously to the poor.,He gave generously to the poor.,3,3,3,3
मुँह में मिठाई देना,किसी को खुश करना,To give a sweet in the mouth.,परीक्षा में अच्छे अंक लाने पर माँ ने मुझे मुँह में मिठाई दी।,,,"'मुँह में मिठाई देना' means 'To give a sweet in the mouth.'. Given the above knowledge, translate this sentence to English: 'परीक्षा में अच्छे अंक लाने पर माँ ने मुझे मुँह में मिठाई दी।'",My mother gave me a sweet in the mouth for getting good marks in the exam.,"""Mother gave me a sweet in the mouth for getting good marks in the exam.""",2,1,1,1
मुँह में बैंगन ठूँसना,कुछ न बोल पाना,To be tongue-tied.,जब टीचर ने सवाल पूछा तो वह मुँह में बैंगन ठूँस कर खड़ा रहा।,,,"'मुँह में बैंगन ठूँसना' means 'To be tongue-tied.'. Given the above knowledge, translate this sentence to English: 'जब टीचर ने सवाल पूछा तो वह मुँह में बैंगन ठूँस कर खड़ा रहा।'","When the teacher asked a question, he was tongue-tied.","When the teacher asked the question, he stood there tongue-tied.",3,3,3,3
मुँह का स्वाद बदलना,मन बदलने के लिए कुछ करना,To change the taste in the mouth,उदासी को दूर करने के लिए उसने मुँह का स्वाद बदला।,,,"'मुँह का स्वाद बदलना' means 'To change the taste in the mouth'. Given the above knowledge, translate this sentence to English: 'उदासी को दूर करने के लिए उसने मुँह का स्वाद बदला।'",He changed the taste in his mouth to dispel his gloom.,"""To drive away the sadness, she changed the taste in her mouth.""",2,1,2,1
मुँह का स्वाद बिगाड़ना,किसी बात से नाराज होना,To spoil the mood.,गलत खबर सुनकर सबका मुँह का स्वाद बिगड़ गया।,rain on someone's parade (0.77),rain on someone's parade,"'मुँह का स्वाद बिगाड़ना' means 'rain on someone's parade'. Given the above knowledge, translate this sentence to English: 'गलत खबर सुनकर सबका मुँह का स्वाद बिगड़ गया।'",Everyone's mood was spoiled after hearing the wrong news.,"""Hearing the bad news rained on everyone's parade.""",2,2,2,1
मुँह से झाग निकालना,अत्यधिक गुस्से में होना,Foaming at the mouth,गुस्से में उसके मुँह से झाग निकलने लगे।,,,"'मुँह से झाग निकालना' means 'Foaming at the mouth'. Given the above knowledge, translate this sentence to English: 'गुस्से में उसके मुँह से झाग निकलने लगे।'",He started foaming at the mouth in anger.,"""In anger, he started foaming at the mouth.""",3,3,3,3
मुँह दिखाना,पहली बार किसी के सामने जाना,Show one's face,नवविवाहित जोड़ा सबको मुँह दिखाने गया।,,,"'मुँह दिखाना' means 'Show one's face'. Given the above knowledge, translate this sentence to English: 'नवविवाहित जोड़ा सबको मुँह दिखाने गया।'",The newlywed couple went to show their faces to everyone.,"""The newlywed couple went to show their faces to everyone.""",3,1,2,1
मुँह में हड्डी होना,लालची होना,To be tight-lipped,उसकी हरकतों से साफ था कि वह मुँह में हड्डी वाला व्यक्ति है।,,,"'मुँह में हड्डी होना' means 'To be tight-lipped'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों से साफ था कि वह मुँह में हड्डी वाला व्यक्ति है।'",It was clear from his actions that he is a tight-lipped person.,"""His actions clearly showed that he was a tight-lipped person.""",3,2,3,1
मुँह में न आया,कोई बात करने की इच्छा न होना,Couldn't say a word,उसके व्यवहार से मेरा मुँह में न आया।,,,"'मुँह में न आया' means 'Couldn't say a word'. Given the above knowledge, translate this sentence to English: 'उसके व्यवहार से मेरा मुँह में न आया।'",'I couldn't say a word because of his behavior.','His/her behavior left me speechless.',1,1,3,2
मूँछ मुड़वाना,अपमानित होना,To be humiliated,हार के बाद उसे मूँछ मुड़वानी पड़ी।,"lose face (0.79), save face (0.74)",lose face,"'मूँछ मुड़वाना' means 'lose face'. Given the above knowledge, translate this sentence to English: 'हार के बाद उसे मूँछ मुड़वानी पड़ी।'","After losing, he had to lose face.","""After the defeat, he had to lose face.""",3,1,3,2
मुँह खोलना,अपनी राय देना,To speak up,"सभी चुप थे, उसने सबसे पहले मुँह खोला।",,,"'मुँह खोलना' means 'To speak up'. Given the above knowledge, translate this sentence to English: 'सभी चुप थे, उसने सबसे पहले मुँह खोला।'","Everyone was silent, he spoke up first.","""Everyone was silent, he was the first to speak up.""",3,3,3,3
मुँह बिचकाना,नापसंदगी जाहिर करना,To make a face,उसने बासी खाने को देखकर मुँह बिचका लिया।,pull a face (0.75),pull a face,"'मुँह बिचकाना' means 'pull a face'. Given the above knowledge, translate this sentence to English: 'उसने बासी खाने को देखकर मुँह बिचका लिया।'",He pulled a face upon seeing the stale food.,He pulled a face at the sight of the stale food.,3,3,3,3
मूँछों की इज्जत रखना,प्रतिष्ठा की रक्षा करना,To uphold one's honor.,उसने अपनी मूँछों की इज्जत रखने के लिए बहुत मेहनत की।,,,"'मूँछों की इज्जत रखना' means 'To uphold one's honor.'. Given the above knowledge, translate this sentence to English: 'उसने अपनी मूँछों की इज्जत रखने के लिए बहुत मेहनत की।'",He worked very hard to uphold his honor.,"""He worked very hard to uphold his honor.""",3,1,3,1
मिट्टी पलीत करना,बुरी तरह से पराजित करना,To disgrace or ruin.,विपक्ष ने चुनाव में उसकी मिट्टी पलीत कर दी।,"down the tubes (0.74), go to the wall (0.79)",down the tubes,"'मिट्टी पलीत करना' means 'down the tubes'. Given the above knowledge, translate this sentence to English: 'विपक्ष ने चुनाव में उसकी मिट्टी पलीत कर दी।'",The opposition sent his campaign down the tubes.,'The opposition has sent him down the tubes in the election.',3,3,3,2
मुँह में पानी भरना,बहुत लालच करना,Mouth-watering,स्वादिष्ट खाना देखकर उसके मुँह में पानी भर आया।,,,"'मुँह में पानी भरना' means 'Mouth-watering'. Given the above knowledge, translate this sentence to English: 'स्वादिष्ट खाना देखकर उसके मुँह में पानी भर आया।'","Upon seeing the delicious food, her mouth started watering.",His mouth watered at the sight of the delicious food.,3,3,3,3
मुँह उठाकर चलना,बेशर्मी से चलना,To walk with one's head held high,उसकी हरकतों के बावजूद वह मुँह उठाकर चलता है।,,,"'मुँह उठाकर चलना' means 'To walk with one's head held high'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों के बावजूद वह मुँह उठाकर चलता है।'","Despite his actions, he walks with his head held high.","Despite his actions, he walks with his head held high.",3,3,3,3
मुँह न खुलना,कुछ न बोलना,Not to speak,सजा के डर से उसकी मुँह नहीं खुल रही थी।,"button (up) one's lip (0.75), cat got your tongue? (0.78), hold tongue (0.74)",button,"'मुँह न खुलना' means 'button'. Given the above knowledge, translate this sentence to English: 'सजा के डर से उसकी मुँह नहीं खुल रही थी।'",She was too scared to speak.,"Afraid of the punishment, she wasn't opening her mouth.",3,2,3,2
मुलाकात करना,किसी से मिलना,To meet,हमें पुराने दोस्तों से मुलाकात करनी चाहिए।,,,"'मुलाकात करना' means 'To meet'. Given the above knowledge, translate this sentence to English: 'हमें पुराने दोस्तों से मुलाकात करनी चाहिए।'",We should meet old friends.,"""We should meet old friends.""",3,1,3,1
मुँह से कौर निकालना,किसी की चीज छीन लेना,To snatch away someone's livelihood,उसके मुँह से कौर निकालने का कोई फायदा नहीं होगा।,,,"'मुँह से कौर निकालना' means 'To snatch away someone's livelihood'. Given the above knowledge, translate this sentence to English: 'उसके मुँह से कौर निकालने का कोई फायदा नहीं होगा।'",There will be no benefit in snatching away his livelihood.,'There will be no benefit in snatching away his livelihood.',2,1,1,2
मुँह से आग उगलना,बहुत क्रोध में होना,Spitting fire,उसकी बातों ने मुझे इतना गुस्सा दिलाया कि मैं मुँह से आग उगलने लगा।,,,"'मुँह से आग उगलना' means 'Spitting fire'. Given the above knowledge, translate this sentence to English: 'उसकी बातों ने मुझे इतना गुस्सा दिलाया कि मैं मुँह से आग उगलने लगा।'",His words made me so angry that I started spitting fire.,"""His words made me so angry that I started spitting fire.""",3,3,3,3
मुँह पर कालिख लगाना,बदनाम करना,To disgrace oneself,उसकी झूठी बातों ने मेरे मुँह पर कालिख लगा दी।,,,"'मुँह पर कालिख लगाना' means 'To disgrace oneself'. Given the above knowledge, translate this sentence to English: 'उसकी झूठी बातों ने मेरे मुँह पर कालिख लगा दी।'",His lies have disgraced me.,"""His false statements have disgraced me.""",3,2,3,2
मुँह पर लगाम देना,बोलने पर नियंत्रण करना,Hold one's tongue,उसे अपने मुँह पर लगाम देना सीखना चाहिए।,,,"'मुँह पर लगाम देना' means 'Hold one's tongue'. Given the above knowledge, translate this sentence to English: 'उसे अपने मुँह पर लगाम देना सीखना चाहिए।'",He should learn to hold his tongue.,'He should learn to hold his tongue.',3,3,3,3
मुँह पर ताला लगाना,कुछ भी न कहना,To keep one's mouth shut,उसकी कड़ी फटकार सुनकर उसने मुँह पर ताला लगा लिया।,,,"'मुँह पर ताला लगाना' means 'To keep one's mouth shut'. Given the above knowledge, translate this sentence to English: 'उसकी कड़ी फटकार सुनकर उसने मुँह पर ताला लगा लिया।'","After hearing her harsh criticism, he decided to keep his mouth shut.","""After hearing his stern scolding, he kept his mouth shut.""",3,3,3,3
मुँह में राम बगल में छुरी,ऊपर से अच्छा दिखना लेकिन अंदर से बुरा होना,A sweet tongue but a sharp dagger.,उसके मुँह में राम बगल में छुरी वाली प्रवृत्ति ने सबको धोखा दिया।,,,"'मुँह में राम बगल में छुरी' means 'A sweet tongue but a sharp dagger.'. Given the above knowledge, translate this sentence to English: 'उसके मुँह में राम बगल में छुरी वाली प्रवृत्ति ने सबको धोखा दिया।'",His sweet tongue but sharp dagger nature deceived everyone.,"""Her sweet tongue but sharp dagger tendency deceived everyone.""",2,2,2,2
मुँह से बात छीन लेना,किसी की कही बात को दोहरा देना,To take the words right out of someone's mouth.,उसने मेरे मुँह से बात छीन ली।,,,"'मुँह से बात छीन लेना' means 'To take the words right out of someone's mouth.'. Given the above knowledge, translate this sentence to English: 'उसने मेरे मुँह से बात छीन ली।'",He took the words right out of my mouth.,She took the words right out of my mouth.,3,3,3,3
मुँह से कड़वे बोल बोलना,अप्रिय बातें कहना,To speak harsh words.,गुस्से में उसने मुँह से कड़वे बोल बोल दिए।,bite someone's head off (0.75),bite someone's head off,"'मुँह से कड़वे बोल बोलना' means 'bite someone's head off'. Given the above knowledge, translate this sentence to English: 'गुस्से में उसने मुँह से कड़वे बोल बोल दिए।'",He spoke bitterly in anger.,"""In anger, he bit someone's head off.""",3,1,2,3
मुँह की आग,तीखी वाणी,The fire of the mouth,उसकी मुँह की आग ने सबको डरा दिया।,,,"'मुँह की आग' means 'The fire of the mouth'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह की आग ने सबको डरा दिया।'",His fiery words scared everyone.,"""His harsh words scared everyone.""",3,3,3,2
मुँह की बात सुनना,किसी की बात ध्यान से सुनना,To listen attentively,उसने मेरी मुँह की बात सुनी और समझी।,"all ears (0.73), be all ears (0.84), lend an ear (0.92), lend me your ear (1.00), prick ears up (0.83)",all ears,"'मुँह की बात सुनना' means 'all ears'. Given the above knowledge, translate this sentence to English: 'उसने मेरी मुँह की बात सुनी और समझी।'",He listened to what I said and understood it.,"""He listened to me attentively and understood.""",3,1,3,1
मुँह में उंगली डालकर हँसाना,जबरदस्ती हँसाना,To make someone laugh by putting a finger in their mouth.,उसने हमें मुँह में उंगली डालकर हँसाया।,keep somebody in stitches (0.75),keep somebody in stitches,"'मुँह में उंगली डालकर हँसाना' means 'keep somebody in stitches'. Given the above knowledge, translate this sentence to English: 'उसने हमें मुँह में उंगली डालकर हँसाया।'",He kept us in stitches.,He kept us in stitches.,2,3,3,3
मुँह का जाल बिछाना,झूठ बोलना,To flatter someone.,उसकी मुँह का जाल बिछाने की आदत ने उसे मुश्किल में डाल दिया।,,,"'मुँह का जाल बिछाना' means 'To flatter someone.'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह का जाल बिछाने की आदत ने उसे मुश्किल में डाल दिया।'",His habit of flattering people has put him in trouble.,"""His habit of flattering people got him into trouble.""",3,1,3,2
मुँह लटकाना,निराश होना,To look disappointed,परीक्षा में असफल होने पर उसने मुँह लटका लिया।,sick as a parrot (0.75),sick as a parrot,"'मुँह लटकाना' means 'sick as a parrot'. Given the above knowledge, translate this sentence to English: 'परीक्षा में असफल होने पर उसने मुँह लटका लिया।'",He was sick as a parrot after failing the exam.,He was sick as a parrot after failing the exam.,2,3,3,1
मुँह मीठा करना,खुशखबरी सुनाकर मिठाई खिलाना,To celebrate.,उसने नौकरी मिलने की खुशी में सबका मुँह मीठा कराया।,"dance on someone's grave (0.74), kill the fatted calf (0.77), whoop it up (0.74)",dance on someone's grave,"'मुँह मीठा करना' means 'dance on someone's grave'. Given the above knowledge, translate this sentence to English: 'उसने नौकरी मिलने की खुशी में सबका मुँह मीठा कराया।'",He made everyone dance on their graves in joy of getting the job.,He made everyone dance on his grave to celebrate getting the job.,1,1,1,1
मुँह का काला,बदनाम,Disgraced,उसकी हरकतों ने उसे मुँह का काला बना दिया।,,,"'मुँह का काला' means 'Disgraced'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों ने उसे मुँह का काला बना दिया।'",His actions have disgraced him.,His actions disgraced him.,3,2,3,2
