id,idiom,en_meaning,zh_meaning,ja_meaning
863,励兵秣马,care for soldiers and horses,形容鼓励士兵，练兵备战,軍隊を訓練し、馬を養い、戦争に備えること。
864,去粗取精,to extract the essence and discard the dross,去除多余的、不重要的部分，保留精华部分,重要なものや有益なものを取り出して、不要なものを取り除くこと
865,去伪存真,"discard the false, preserve the true",将虚假的去掉，留下真实的部分,真実を保ち、偽りを排除する
866,参差不齐,varying in quality or standard; uneven,形容各种事物或人的水平、质量不一，不平衡，不统一,参加者のレベルや能力がバラバラで、一様ではない
867,又惊又喜,a mixture of surprise and joy,既惊又喜，形容非常高兴但又有些吃惊的心情。,驚きと喜びが同時に起こる
868,又要马儿跑得好，又要马儿不吃草,"Want the horse to run well, but also want the horse not to eat grass",要求同时得到两个相互矛盾的东西；也形容要求过高，不切实际,物事を同時に二つの相反する要求を満たすこと
869,及锋而试,putting to the test when facing a challenge,试探对手的实力或能力,実力を試し、実績を積み上げる
870,反复无常,being unpredictable or changing one's mind frequently,变化无常，始终没有稳定的态度或主张,変わりやすく、不安定で一貫性がない
871,反戈一击,launch a counterattack,指被人攻击时，突然回击，变被动为主动,敵の攻撃に対して、守りから攻めに転じること
872,反攻倒算,to counterattack and turn the situation around,甩掉原先的劣势，反过来获得优势或成功；倒算：计算得过之而不及,相手の攻撃を逆手に取って、自分の利益に転じること
873,反躬自省,self-reflect and examine one's own actions and thoughts,指自己检查自己，反思自己的过错,自らを省みて反省する
874,反躬自问,"""introspect oneself"" or ""reflect on one's own actions""",自己向自己质疑和反思,自分自身に対して自問自答すること
875,反客为主,reversing the roles of host and guest,指本来是接受服务的人反而对服务方起统治作用，地位逆转,客を招き入れて主人として扱う
876,反其道而行之,to do the opposite of what is expected or conventional,采取与一般方法相反的行动或做法,逆の道を進み、予想外の方法で行動する
877,反求诸己,reflecting on oneself and examining one's own faults or mistakes,反省自己，寻找自己的问题和原因。,他人や状況の責任ではなく、自分自身に原因や解決策を求めること。
878,反唇相讥,responding with sarcasm or mocking remarks in return,指被人揭露或嘲笑，反而加以回击或讽刺,言葉で言わず、行動で反論する
879,取之不尽，用之不竭,"inexhaustible, endless supply",无论取出多少，仍然不会耗尽，可不断使用,取り尽くすことができず、使い果たすことができない。
880,取长补短,Learn from others' strengths to offset one's own weaknesses,互相取长补短,相手の長所を取り入れ、自身の短所を補うこと
881,取而代之,to replace or succeed; to take over,指把原来的取代掉。,その場所や役割を引き継いで代わる
882,受苦受难,to endure hardships and sufferings,经历痛苦和困难,苦難を受ける
883,受宠若惊,feeling surprised and flattered by someone's excessive favor or attention,感到非常惊讶和高兴，因为受到特别的关注和宠爱,特別な扱いを受け、驚きを感じる
884,口蜜腹剑,speaking sweetly but harboring evil intentions; someone who appears friendly but is actually treacherous or deceitful,形容表面和气，内心阴险狠毒,表面的には甘言を齎し、実際には相手を裏切るような態度や行動をとる
885,口口声声,repeatedly emphasizing or insisting on something,反复不停地说，嘴上总是挂着同样的话,何度も何度も言うことで、言葉だけで実際の行動が伴わないこと
886,口惠而实不至,promising but not delivering; all talk and no action,口头上表示好处或帮助，但实际上却没有真正实施或达到效果,言葉で好意を示すが、実際には行動に移さない
887,口诛笔伐,"to criticize vehemently, both verbally and in writing",公开批评和攻击，通过口头和书面的方式表达对某人的不满或反对,口で非難し、筆で攻撃する
888,口是心非,saying one thing but meaning another; being hypocritical or insincere in speech,说的与想的不一致，心里怀着别的意思。,言行不一致
889,口说无凭,words alone are not enough to prove something,不能仅仅依靠口头的说辞做为依据，需要有确凿的证据,口先だけでは信頼できない
890,口若悬河,to speak fluently and eloquently,形容能言善辩，口才非常好,非常に話が上手で、滔々と話すこと。
891,古今中外,"throughout history, both at home and abroad",形容事物包括古代和现代、中国和外国的各个方面,古今の内外すべての事柄を含む
892,古色古香,having an ancient and classical charm,形容事物具有古老的风貌和古代的韵味,古くて風情がある
893,古为今用,to apply ancient principles in contemporary situations,指旧事物或办法重新被应用于新的环境或现实，以显示其时代的价值和意义,過去のものを現代にうまく適用する
894,古往今来,from ancient times to the present; throughout history,多指很长的时间，从很远的过去到现在,古今の時代を通じて
895,另起炉灶,start afresh (in a new field or venture),开设新的工作或事业，离开原来的环境或组织,新しい場所で再出発する
896,另请高明,to seek someone more competent or skilled to handle a particular task,表示请求别人提出更好的办法或请别人高人指点,他の人に助けや助言を頼むこと。他人に遠慮せず、得意分野で専門家に相談する
897,另有企图,having ulterior motives; having a hidden agenda,有别的动机或目的,別の意図がある
898,另眼相看,"to view someone with a different perspective, often with admiration or respect",以不同的眼光看待，对待某人或某事物有新的认识和评价,他人から一緒にいて違った視点で見られるようになる
899,只可意会，不可言传,possible to understand but not possible to explain verbally,无法用言语表达，只能靠自己领悟理解,言葉にはできないが、心で理解することができる。
900,只见树木，不见森林,"Only see the trees, but not the forest",只看到局部，而不看到整体。形容人只注意表面现象，不从全面掌握事物。,個々の細かい事象に目を奪われて全体の視点を見失う
901,只许州官放火，不许百姓点灯,It's a case of the pot calling the kettle black,指大权在握的人可以肆意妄为，而普通民众却无权进行任何反对或抗议的行动,政府や権力者は自由に悪いことをしてもいいが、一般人には同じことをすることは許されない。
902,只争朝夕,"striving for success day and night, making every effort",形容十分急迫，毫不懈怠,一日も早く成功を目指して努力する
903,只此一家，别无分店,"the only one of its kind, with no other branches",形容特指这一个，别无其他,他に分店のない唯一の店
904,只要功夫深，铁杵磨成针,"With enough time and effort, even a solid iron pestle can be ground down into a needle.",只要付出足够的努力和时间，就可以达到目标；比喻只要肯下功夫，不怕事情艰难，就一定能够成功,努力すれば何でも可能である
905,叫苦不迭,complain incessantly,形容为了解决困难而大声哭诉或抱怨，希望得到别人的援助或同情。,不平を連発する
906,叫苦连天,complain endlessly or grumble nonstop,形容抱怨、埋怨连连，压抑不能得到解脱,非常に苦しみや困難を感じている状況で、連続して嘆き言を言う。
907,可歌可泣,worthy of praise and lamentation,形容事物非常可佩，使人既感动又悲哀,称賛や感動の価値があるほど立派で美しい。讃えること、そして涙を流すことができるほど感動的である。
908,可乘之机,an opportunity that can be taken advantage of,指可以利用的机会,利用できる機会
909,可望而不可及,Within reach but out of grasp,非常希望得到却无法实现或达到的。,手の届かないほど遠く、実現不可能なこと
910,可遇而不可求,something that can be encountered but cannot be asked for; something that can be stumbled upon but not actively sought after,形容机会、条件等可以碰到，但不能强求或指望得到,偶然に出会うことはあっても、わざと求めることはできない
911,叱咤风云,to dominate the scene; to be in control of the situation,在社会上有一定影响力或地位。形容风头很盛。,社会や世間に大きな影響を与えること
912,史无前例,unprecedented; never seen or heard of before,无任何先例可循的事情,前例のないこと
913,司马昭之心，路人皆知,Everyone knows the hidden intentions or motives behind someone's actions.,指心思、想法等是非常显而易见的，所有人都能看出来,策士（さくし）の意図が明らかであり、通りすがりの人でも知っていること。
914,司空见惯,"commonplace or ordinary, to the point of being seen as normal",经常见到，再普通不过,日常的に見られる普通のこと
915,吃里扒外,taking advantage of others' kindness; being ungrateful,对内坑害，对外欺骗，指人心狡诈，行径不正,内部で利益を得ながら、外部に対しては逆に協力せず、利用している
916,吃苦耐劳,to be able to endure hardships and work hard,愿意承受困难、勤奋努力的精神态度,辛い仕事や困難な状況に耐え、努力する
917,吃喝玩乐,"eating, drinking, having fun",过于陶醉于享受生活的乐趣，而忽略其他重要事情,楽しむこと、贅沢をすること
918,吃软不吃硬,yield to kindness but not to force,指对软弱的、温柔的慰求，会接受；对强硬、有压力的，会拒绝。,強かな態度や行動には屈しないが、柔和な態度や説得力のあるアプローチには応じる
919,吃一堑，长一智,Learn from one's mistakes and gain wisdom from the experience,从错误中学到教训，从经验中增长智慧,一度失敗や苦労を経験することで、物事の理解が深まり、知恵が増す
920,各奔前程,Each go their separate ways and pursue their respective goals,每个人各自朝着不同的方向去追求自己的前程,個々がそれぞれの道を進む
921,各得其所,Each person gets what they deserve,每个人都得到了他们应得的东西，安顿好了自己的处境,それぞれが得るべきものを得る
922,各个击破,"attacking each one separately, taking them down one by one",将对方一一击破，分别处理。比喻对付敌人时采用势力分散、分别攻击的战术,一つずつ攻撃して敵を打ち破ること
923,各行其是,each doing their own thing; each following their own course of action,每个人都按照自己的方式做事，不受别人的干扰或影响,各自が自分のやり方で行動すること。それぞれが独自の方法で進むこと。
924,各执一词,each insisting on their own argument,形容双方各自坚持自己的说法，无法达成一致,意見や立場がそれぞれ異なること。
925,固执己见,being stubborn and insisting on one's own opinions,执着坚持自己的意见，不愿接受别人的建议或意见,自分の意見や立場に固執し、他の意見や考えを受け入れないこと。
926,各抒己见,expressing one's own opinions,每个人都发表自己的意见,それぞれ自分の意見を述べる
927,各人自扫门前雪，莫管他人瓦上霜,Everyone should focus on their own problems and not meddle in others' affairs,每个人应该先关注自己的问题，不要去干涉别人的事情,自分のことに集中し、他人のことに介入しないこと。自分の問題や責任をきちんと処理することが重要である。
928,各自为政,each goes their own way; act independently; do things according to one's own will,各按自己的意见和计划去做事，不合作，不协调。,各自が個々に自分の思うように行動し、自己中心的な態度をとること。
929,各有千秋,each has its own merits,比喻各有特点，各有优长,個々に独自の長所がある
930,吉光片羽,"""Having lost one's army and having only a few remaining soldiers"" or ""having suffered a great loss and being left with only a few resources""",形容一个人只剩下些微的力量，或者一个军队士兵都败了散了，便是形容人或军队一败涂地。,わずかな光明や可能性しかなく、他の手立てはない
931,同病相怜,feeling empathy for someone who is going through the same difficult situation as oneself,形容因受到类似的困扰或苦恼而感同身受，互相同情,同じ病気・苦しみを共有しているため、互いに同情し励まし合う
932,同流合污,to associate oneself with corrupt or immoral people,形容与坏人混在一起，一起做坏事,悪事や不正行為に加担し、他の悪者たちと共犯する
933,同甘共苦,sharing joys and sorrows together,共同分享好坏，共度患难,共に苦しい状況を共有し、団結して乗り越える
934,同归于尽,all end in the same way; all perish together,形容两人或多人一同毁灭、消亡。,共に滅びること。
935,同心同德,united in purpose or goal,形容人们的思想、意志、力量等完全一致，齐心协力地做一件事情,心が一つで、志や目標に対して団結していること。
936,同心协力,working together with one heart and one mind; united in purpose and effort,形容大家齐心合力，共同努力，达到共同目标,一心同体で協力する
937,同舟共济,"unite in a common cause, especially during difficult times",形容在困难或危险时期，大家齐心协力，共同努力解决问题,共に困難を乗り越えるために協力し合う
938,同仇敌忾,"united in a common cause, despite personal differences or conflicts",指为了共同的目标，抱着同样的愤懑和敌意,共通の敵に対して一致団結し、仲間同士で争いをやめる
939,同床异梦,Having different dreams while sharing the same bed; also refers to having different goals or intentions despite being in a close relationship or working towards a common goal,指夫妻同睡一床，却各心自己的梦，比喻两个人或几个人对同一件事有不同的看法、打算或理解,同じベッドで寝ていても、夢が全く違う
940,同室操戈,"turning on each other, fighting or arguing within the same group or family",指在家庭、组织、团体中内部互相争斗或内讧,同じ場所で戦うこと。特に、親しい関係にある人々が争いをすること。
941,同声相应，同气相求,to share the same voice and have the same goal,指思想、观点、心情等一致，互相协作或相互吸引,声と気が合わせ、志を同じくする。
942,同恶相求,"joining forces with someone bad to achieve a common goal, often referring to unethical or immoral actions",善于与坏人结交做伴,悪事や悪徳を共有し、同じくららんになる
943,名不副实,"not living up to one's reputation, being less impressive than expected",指事物的实际情况与其名字或称谓不相称，不符合实际情况的现象,名前が本当の実力に見合っていない
944,名不虚传,well-deserved reputation; someone's reputation matches their actual abilities or achievements,形容某人或某事所得到的评价完全符合实际,名が伊達でない
945,名副其实,truly deserving of the name,指名字、称号、地位符合实际情况，不是虚构的,その名にふさわしく、実際に相応する
946,名利双收,achieving both fame and fortune,形容同时得到名声和财物,名声と利益の両方を手に入れること
947,名列前茅,to be among the top ranked or listed in the forefront,在某一群体、组织或竞赛中名次排在前面,上位に名を連ねる
948,名落孙山,not able to pass the exam and be admitted to a higher institution or get a job,未能成功或获得所渴望的地位或成就,試験において名前が欠けてしまったこと。試験に失敗してしまい、自分の期待や希望を達成できなかったことを指す。
949,名缰利锁,a person in a high position who has the power to control and influence others,指拥有名誉、地位、财富等来束缚住自己，无法自拔,有名な人物や権力に縛られて自由を奪われる
950,名正言顺,"legitimate and reasonable, conforming to the rules and principles",公正合理，无可指责,正当な理由があり、言っていることも正しいこと
951,名垂青史,"to make a name for oneself in history, to leave a lasting reputation",被后人广泛记载，千古流传并且受人尊崇的名誉,偉大な業績や功績を残し、後世に名をとどめる。
952,名噪一时,to be famous or well-known for a short period of time,形容某人或某事物在一段时间内声名鹊起,一時的に有名になる
953,名存实亡,"existing in name only, but not in reality",形容名义上还存在，但实际上已经不存在了,名ばかりで実態がない
954,吐故纳新,Letting go of the old and accepting the new,"摈弃陈旧落后的东西, 吸收新的事物",古い知識や考えを捨て、新しい知識や考えを受け入れる
955,向壁虚造,fabricating stories and deceiving oneself,指虚构不切实际的理论、方案等，没有任何实际意义,無意味なことを言って、事実ではない情報を作り上げる
956,向隅而泣,"crying in a corner, feeling hopeless or defeated",形容非常悲伤，像被逼到墙角哭泣一样,一人で悩み苦しみながら、他人に相談することもできず、絶望的な状況に立ち向かうこと
957,吞吞吐吐,hesitant and faltering in speech or behavior,形容说话时结巴、含糊不清，缺乏自信,遠慮がちで言葉を濁し、はっきりと意見や感情を述べない
958,吞云吐雾,exhaling smoke and swallowing clouds,形容说话愿吐若干事或意思，善于夸大，混淆视听,誇張した話をする
959,吟风弄月,"Indulging in romantic fantasies, such as admiring the moon and enjoying nature's beauty",形容人把琴音随风弹奏、月光反射在琴上，表示独自欣赏琴音和月光，意味着艺术修养高，举止文雅。,詩を吟じ、月を楽しむ
960,吠影吠声,barking at shadows and making a fuss over nothing,形容无中生有，胡乱攻击,影を吠え声を吠える
961,否极泰来,turning from adversity to prosperity,比喻坏的情况到了极点，就会好转,逆境から好転する。苦難や不運から成功や幸福に至ること。
962,含垢忍辱,to bear humiliation and endure disgrace,忍受污秽、委屈和屈辱，同时保持内心高尚的品质,恥を忍んで屈辱を受け入れる
963,含糊其辞,to be evasive or ambiguous in speech,说话或表达不清楚，故意模棱两可不明确,あいまいな言葉遣いをする
964,含辛茹苦,enduring hardships and suffering,形容艰苦努力、吃尽苦头,辛い苦しい経験や困難を辛抱強く忍耐すること。
965,含血喷人,using extremely harsh or critical words to attack someone verbally,用犧牲自己的利益來傷害別人,他人に対して過度に攻撃的で非難的な言葉や行動をとること
966,含沙射影,suggesting or insinuating something without directly addressing it,比喻暗藏刻薄恶意地说话或做事，借机把自己的意见、观点或怀疑加以表露,曖昧な言葉を使って暗に批判すること
967,吮痈舐痔,Seeking pleasure from others' misfortune,形容人卑鄙无耻，无论什么事都会做,他人の傷をなめるように自分の欠点、困難を受け入れる。
968,吹毛求疵,finding fault unnecessarily and nitpicking,对别人的工作、话语等，苛求过分，寻找微小的缺点和错误,細かい欠点や問題を見つけようとする
969,呆若木鸡,to be stunned or dumbfounded,形容十分茫然、木讷，没有反应或表情。,驚くほど鈍感で、愚かな様子
970,周而复始,"repetitive or cyclical, starting over and over again",形容事物或情况不断循环重复，没有改变,繰り返される
971,味同嚼蜡,"tasteless, having no substance or meaning",形容雪上加霜，更加不好吃或不好受,何も感じず、味わいのないもの。
972,呼风唤雨,"to have great power and influence, able to command the wind and summon the rain",形容有权势的人可以随意支配事物，操纵一切,権限を行使して、思い通りのことをする
973,呼之即来，挥之即去,"responsive and quick to come, but also quick to go away",形容某人随時隨地，只要叫一声就能来，叫一声就能走。多用于刻薄地讥諷某人追随潮流，随时变换主意,呼んだらすぐ来て、振ったらすぐ去る
974,呼之欲出,to call and have someone or something come out immediately; also refers to something being very vivid or lifelike,形容形势即将出现或人即将出现,出てきそうなくらいに鮮明に感じる
975,命中注定,predestined; fate is predetermined,注定要发生的，无法改变的,運命によって決められている
976,命在旦夕,life at stake; in a critical condition,形容情况非常危急，生命随时都可能丧失,命がすぐにでも危険にさらされている
977,咄咄逼人,being domineering and aggressive; behaving in a forceful and intimidating manner,形容人的气势或语言态度咄咄逼人，令人感到压力和不适,傲慢で押しの強い態度を持つ
978,咄咄怪事,strange and bizarre things happening,形容奇怪、离奇的事情,奇妙な出来事や珍しい話、または不可解な出来事
979,咆哮如雷,roar like thunder,形容说话声音大而有力,非常に大きな声で怒りや怒りを表現する
980,和盘托出,fully and honestly disclose or reveal,将事情全部摆在明面上，不隐瞒任何细节,事実や感情を正直に話し、隠さずに述べる
981,和睦相处,living in harmony and getting along well with each other,和谐友好地相处，关系融洽,平和に共存すること
982,和风细雨,a gentle and mild manner; a peaceful and harmonious atmosphere,温柔而细致的方式或态度,穏やかな雰囲気や態度で他人に接すること。また、柔和な方法や手段を用いて問題を解決すること。
983,和衷共济,"unity and cooperation, working together for a common goal",形容众志成城，共同努力，团结一致,協力して共通の目標を達成する
984,和颜悦色,wearing a friendly and smiling face,态度和蔼，容颜愉快,笑顔や愛想を備え、優しく接する
985,咎由自取,one deserves the blame for one's own actions,自己犯了错误，应该受到责备或惩罚,自業自得
986,咎有应得,deserving of blame; getting what one deserves,形容遭受到应有的惩罚或责备，是罪有应得的意思,罪悪に対しては罪に対応する
987,咫尺天涯,being far apart despite being close; a vast distance despite being just a stone's throw away,形容距离虽然很近，但感觉却像天涯一样遥远。,自分の居場所や現実世界とはまったく異なる遥か遠い場所。
988,咬牙切齿,gritting one's teeth in anger or resentment,形容愤恨、愤怒到极点的样子,歯を食いしばり、憤慨や怒りを抑える
989,咬文嚼字,"""nitpicking"", ""overly pedantic"", or ""obsessed with details""",形容对文字的纠缠细究，吹毛求疵，过分讲究字句的正确和熟练,細かい字句にこだわり、あらぬ解釈をする
990,哀兵必胜,An army that fights in desperation will surely win,比喻士气低落的军队容易失败，但一旦拼死战斗，往往能够获得胜利,悲しむ兵士は必ず勝利することができる
991,哀鸿遍野,a scene of widespread suffering and misery,形容哀伤的声音、景象遍布在野外，无处不在,あちこちで悲しい事が起こる
992,哀而不伤,to feel sorry or sympathetic without being overly emotional or affected,形容对悲伤的事物或人感到心痛，但并不表现出来或加重他们的痛苦,悲しみを感じるが同情しない
993,哄堂大笑,"burst into laughter, causing the whole audience to laugh",形容全场人一齐发笑，并且笑声很大。,大勢の人が大笑いし、騒動になること。
994,唉声叹气,sighing and lamenting,形容因为失意、痛苦或不满而发出叹息声,悲しい出来事や失望によって深いため息をついたり、嘆息したりする
995,唯命是从,to blindly obey someone's orders without question,形容人对上级的命令绝对服从，毫不违背。也用来比喻对某人言听计从，无原则地顺从。,絶対に従うこと。他の命令や指示に従って行動すること。
996,唯利是图,only interested in personal gain,只追求个人利益，不顾及其他因素,利益のみを追求する
997,唯我独尊,"arrogant and self-centered, considering oneself as superior to others",自以为是，独自傲视他人,自分だけが特別で他人を軽視する態度を持つ
998,唯唯诺诺,"being excessively compliant and obedient, without expressing one's own opinions or objections",盲从他人，不敢有异议,おとなしい、素直な態度であり、主張もなく、順応して他人の意見や要求に従う
999,唱独角戏,performing a monologue; referring to someone who is stubbornly doing things their own way without considering others,形容一个人自己一个人说话、做事，不管别人的感受和看法,一人で話しを進めること。他人の意見や助力がなく、一人で全てを行うこと。
1000,唱对台戏,"""to sing in harmony,"" meaning to be in sync or in coordination with someone or something",指演员在舞台上表演戏剧时，按照剧本中规定的情节和对方演员的行为作出反应和表演。引申为配合别人的做作和表演。,役割分担や計画の協力など、組織やグループ内でのうまく協力し合うこと。
1001,唾手可得,easily obtainable,形容某物非常容易获取,手を伸ばすだけで手に入るほど容易で簡単なこと
1002,问道于盲,seeking knowledge from someone who is as ignorant as oneself,比喻去向不懂行的人请教，取不得什么实际的答案,盲人に道を尋ねる
1003,问寒问暖,showing concern and care for someone's wellbeing; asking about their health and daily life,关心别人的情况，询问他们是否舒服或者需要帮助,相手の体調や状況を気遣って世話をすること
1004,问心有愧,to have a guilty conscience,指对自己的行为有愧疚感,自己の行いに対して罪悪感や後ろめたさを感じる
1005,问心无愧,to have a clear conscience; to have no guilt or shame in one's actions,内心没有愧疚感，因为自己的行为正确合理,心に何の罪悪感もなく、自己の行動や選択に誇りを持っていること。また、自分の良心に従って行動すること。
1006,问长问短,asking a lot of questions without hesitation,形容问问题时不厌其烦，问很多的问题，并追问细节,詳しく聞き出す
1007,哑口无言,"""speechless"" or ""unable to speak""",无法开口回答；被说服到无话可说,言葉を失って黙る。何も言い返せない。
1008,哑然失笑,"burst into laughter uncontrollably, without making any sound",不由自主地笑出声音,言葉に詰まって笑うこと。ぼけ笑いすること。
1009,啼饥号寒,loudly crying out in hunger and cold; also refers to expressing extreme suffering and hardship,形容极度饥饿和寒冷，非常痛苦的样子,飢えて泣き、寒さに号泣する。困難な状況や苦境にあることを表現する。
1010,啼笑皆非,both crying and laughing are inappropriate; a situation where one is torn between laughter and tears,形容情节荒诞，使人既哭又笑,泣いても笑っても正しくない
1011,喃喃自语,muttering to oneself,自己不知不觉地低声说话,ぶつぶつと独り言を言う
1012,善罢甘休,to accept a compromise or settle for less than desired,愿意接受挫折或失败后的现实，不再追求或争取,難しい状況から抜け出すために、一時的な解決策で満足する
1013,善始善终,start well and finish well,指做事情从头到尾都做得很好，不半途而废,始まりも終わりも丁寧に行う
1014,善自为谋,to plan and take care of oneself well,自己善于设计计划和谋划，不依赖他人的帮助或指导,自分自身の利益を考え、計画を立てること。
1015,善有善报，恶有恶报,"Good deeds will be rewarded, and evil deeds will be punished.",好事会得到好报应，坏事会得到坏报应,善行をすれば善い報いがあり、悪事をすれば悪い報いがある
1016,喊冤叫屈,to loudly protest one's innocence or unjust treatment,形容因受到冤枉或不公正对待而愤怒地大声抗议,冤罪を受けて不当な待遇を受けたことに対して、不満や不平を叫ぶ
1017,喋喋不休,"constantly talking without a break, often in a tedious or annoying manner",形容说个没完，没有停下来的意思,おしゃべりで、やむことのない
1018,喜怒无常,having unpredictable mood swings,情绪变化无常，喜欢和生气的心情不稳定,喜びや怒りの感情が不安定で、一貫性がないこと
1019,喜气洋洋,radiating happiness and joy,形容人心情非常喜悦，充满喜气,とても喜んでいるさま。非常に幸せそうな様子。
1020,喜笑颜开,"wearing a big smile on one's face, extremely happy",形容非常开心的样子，脸上露出笑容,嬉しくて笑顔が広がる
1021,喜新厌旧,"easily bored, always seeking new things and losing interest in old ones",不喜欢过去的，喜欢新的。形容人爱变动，不满足现状。,新しいものが好きで、古いものに飽きっぽい
1022,喜形于色,to be visibly happy and delighted,形容人因喜悦而面带喜色,嬉しさや喜びを表情や態度で明らかに表す
1023,喜出望外,pleasantly surprised beyond expectations,感到非常惊喜、大为高兴，超出了预期的期望,予想以上に喜ばしいことが起こること。予想外の喜びに驚くこと。
1024,喜从天降,Joy comes unexpectedly from heaven,喜事（坏事）突然降临，出乎意料地得到好消息（或遭到坏事）,思いがけない喜びや幸運が突然起こる
1025,喜闻乐见,delighted to see and hear something,形容大家都喜欢看或听，感到高兴和愉快的事物或情况,非常に楽しく、喜んで見ること
1026,喧宾夺主,to overshadow or take over someone else's position or role,指在别人主持会议、招待客人的场合，插手、抢先、霸占着主持人的地位。形容不给别人留余地，全占为己有,ゲストや訪問者が重要な役割を奪い、主要な地位や権限を取ること。
1027,丧魂落魄,"completely lost and disoriented, lacking motivation and direction",形容心神恍惚，精神失常，无法自控,意気消沈し、生気を失った
1028,丧家之犬,a person who has lost everything and is in a desperate situation,比喻家庭、集体、国家遭遇重大灾难纷至沓来，一无所存,人々から見捨てられ、社会的な支援もない非常に困窮している人
1029,丧尽天良,to have lost all sense of morality or decency,指一个人毫无道德底线，尽做恶劣的事情,全く道徳心を失い、最も悪い行動をする
1030,丧权辱国,being humiliated and losing national sovereignty,指国家失去主权，受到侵犯和屈辱,国家の名誉や権益が侵害され、国の威信を失墜する
1031,丧心病狂,extremely crazy and outrageous,形容人思想或行为极度邪恶，变态凶残,狂気に満ち、非常に狂っている
1032,乔装改扮,disguising oneself; changing one's appearance,假冒他人的样子或身份进行伪装，以达到某种目的,仮装や変装をすること。特に、別の姿で行動すること。
1033,单刀直入,getting straight to the point without any deviation,直截了当地进入主题或问题，没有拐弯抹角,遠回しにせず、直接的に話すこと。また、手間を省いて行動すること。
1034,单枪匹马,standing alone and facing difficulties without any support or backup,一个人独自面对困境，没有帮助或支持,一人で単独行動すること
1035,呜呼哀哉,expressing deep sorrow or lamentation,表示惋惜、哀悼或叹息，形容情况糟糕、令人遗憾,悲しみや嘆きを表す声や言葉を発する
1036,嗜杀成性,addicted to killing; having a natural inclination towards violence,喜欢杀戮，养成杀人的习惯,殺すことに嗜み、性格や習慣として持っている
1037,嗟悔无及,regretting too late; expressing remorse when it is already too late,后悔已经来不及,後悔しても遅い
1038,嗟来之食,food obtained through begging or dependence on others (often used figuratively to describe a sense of dissatisfaction or contempt),指对生活或食品感到惋惜而又不得不接受的事物,思いがけない食べ物
1039,嗤之以鼻,to scorn or dismiss something with contempt,对某事物或某人不屑一顾，嘲笑不以为然,あざ笑ってスナフキンをする。
1040,嗷嗷待哺,eagerly awaiting to be fed,形容非常饥饿，迫切需要被满足的状态,空腹で待っている様子
1041,嘉言懿行,"a person who not only speaks kind words, but also carries out righteous actions",言语美好，行为优良,言葉で褒めたり称えたりするだけでなく、実際に行動する
1042,呕心沥血,"putting in great effort and work, going to great lengths",形容辛勤努力、付出心血,心血を注ぎ込む
1043,啧有烦言,constantly complaining about trivial matters,对别人的事情表示不满，评价很多。形容容易嘀咕、唠叨、抱怨,うるさいことを言う
1044,嘘寒问暖,showing concern and care by asking about one's well-being in a considerate way,关心问候寒冷和温暖。形容关心体恤。,相手の状況や気持ちに配慮して気遣うこと
1045,嘻嘻哈哈,"to laugh heartily, in a carefree and cheerful manner",形容开心愉快的笑声或态度,楽しそうまたは幸せそうな笑い声を出す
1046,噤若寒蝉,"""to remain silent or quiet like a cicada in the cold"", meaning to stay quiet or silent, especially in a tense, nervous or fearful situation.",形容因害怕而不敢发声，或形容无法开口说话或沉默不语。,口数が少なく、何も言わないこと
1047,噬脐莫及,Being self-centered and not caring about the greater good; only concerned with one's own interests and not contributing to the welfare of others,自相残害，不可互相怎么样都比不上自己和親戚关系亲近的人,自分自身の問題がまだ解決されていないため、他人の問題に干渉することはできない
1048,喷薄而出,gushing forth in great volume,形容言辞极为充分、激烈或喜怒形于色,激しく噴き出る
1049,嚎啕大哭,sobbing loudly,非常悲伤或悲痛地哭泣,大声で泣くこと。特に、悲しみや苦痛から大声で泣くこと。
1050,严刑峻法,harsh and severe punishment and law enforcement,施以严厉的刑法来惩治犯罪,厳しい刑罰や法律の執行。
1051,严阵以待,being prepared and ready for a battle or incoming challenge,准备就绪，严密布置防卫或防范措施,厳重な布陣を敷いて待機する
1052,严惩不贷,severely punish without mercy,惩罚严厉，不宽恕。,厳正な罰を加える
1053,严于律己,being strict with oneself,形容对自己要求严格，自我约束严密,厳しく自己を律する
1054,嘤鸣求友,Seeking friendship through a sincere and plaintive cry,指呼吁与自己结交友情，以寻求帮助或支持,助けや友情を求めて鳥が鳴くように、助けや友情を求めること。
1055,囊空如洗,having no money left; being completely broke,没有任何钱财或财物，一文不值,全くお金がない
1056,囚首垢面,have a dirty and disheveled appearance due to being imprisoned,形容外表脏污、卑鄙恶劣的样子,罪を犯して有罪とされ、恥じ入る姿
1057,四平八稳,steady and stable in all aspects,稳定、平稳的样子,安定していて、安心感のある
1058,四面八方,from all sides; from every direction,形容事物分布广泛或来自各个方向,あらゆる方向から
1059,四面楚歌,"being besieged on all sides, surrounded by difficulties or enemies",形容被敌人围困，四面受敌,孤立無援の状況である
1060,四分五裂,broken into pieces,形容事物或组织破碎、分裂成几部分,完全に分かれ離れ、ばらばらになること。
1061,四体不勤，五谷不分,neglecting physical exercise while having a careless attitude towards learning,身体不勤劳，食物不分析,体を動かさずに怠けることが多く、また五穀を正しく区別できない
1062,四通八达,accessible from all directions or well-connected,形容交通、联络方便畅通无阻,あらゆる方向に繋がっていて、交通が便利である
