id,idiom,en_meaning,zh_meaning,ja_meaning
333,batten down the hatches,to prepare for a coming storm or difficult situation,做好准备，迎接困难或危险的到来,準備を整える、固く閉じる、備える
334,be a barrel of laughs,to be humorous or entertaining,令人开心或有趣的人或事物,とても楽しい; 笑いの種となる
335,be a chicken,to be afraid or cowardly,胆小如鸡,臆病者である、勇気がない
336,be a cold fish,to be emotionally unresponsive or aloof; to show little or no enthusiasm or warmth,不友好或冷淡的人,感情を表に出さない、冷淡な人である
337,be a sport,"to be cooperative, helpful, or willing to participate in something",做一个合作的人，接受一些不太愉快或困难的事情,協力する、快く引き受ける、協力的である
338,be all ears,to be fully attentive and ready to listen to something,全神贯注地倾听,熱心に聞く
339,be an item,to be in a romantic relationship with someone or considered as a couple,成为情侣或恋人,二人の人が恋愛関係にあること。また、二つの物がセットや組み合わせとともに使用されること。
340,be better than sex,"to be extremely enjoyable, satisfying, or pleasurable",胜过性爱,性行為よりも素晴らしいだけの価値がある
341,be dead in the water,to be stuck or without progress; to be unable to move forward or be successful,陷入停滞无法继续的困境,進展がなく、行き詰まっていること
342,be dead in the water,to be stuck or unable to make progress; to be in a situation where there is no chance of success,陷入困境，无法继续进行或取得进展,進展がなく、停滞している状態である
343,be dead to _ world,to be completely unaware or unaffected by a particular situation or set of circumstances,对_世界漠不关心或无感,〜の世界に無関心である、または無視している
344,be dead to the world,to be sound asleep or completely unaware and unresponsive to one's surroundings,陷入非常深入的睡眠状态，对外界刺激没有反应,ぐっすり眠っていて、周囲の出来事にまったく気づかないこと。完全に眠っていて目覚めることができない状態であること。
345,be full of beans,to have a lot of energy or be very lively,精力充沛，充满活力,元気いっぱいで活気がある
346,be glad to see the back of,to be happy or relieved when someone or something leaves or is gone,庆幸某人离开或离开某个烦人的事情,うれしいと感じる、その人や物が去っていくのを見ること
347,be glad to see the back of someone,To be pleased when someone leaves because you did not like them,对某人的离开感到高兴,ある人の後ろ姿が見えなくなって良かったと感じる
348,be in black and white,to be clearly and definitively stated or documented,以黑白方式表达或记录，即以书面或正式的方式表达,黒と白で表現されている; 明確で証拠を示す
349,be in deep water,be in a difficult or dangerous situation,陷入困境或棘手的情况中,困難な状況に陥っている
350,be in hot water,to be in trouble or facing negative consequences,陷入麻烦或困境,困った状況にある、トラブルに巻き込まれている
351,be in somebody's shoes,to imagine oneself in someone else's situation or circumstances in order to understand and empathize with them,身临其境，理解某人的感受或处境,誰かの立場や状況を理解する
352,be in the land of the living,to be alive; to be present or accounted for,仍然活着的状态,まだ生きている、存命である
353,be in the same boat,to be in the same situation or facing the same problems as someone else,面临相同困境或问题,同じ状況や問題を経験している、同じ船に乗っている
354,be joined at the hip,"to be extremely close or inseparable, often referring to two people who spend a lot of time together and do everything together",彼此紧密地联系在一起，无法分开,ぴったりくっついている、互いに離れられない
355,be left holding the baby,"to be left with the responsibility or consequences of something, especially when it is undesired or burdensome",承担责任或后果，通常是因为其他人拒绝或无法承担,責任をもたされる
356,be like a fish out of water,to feel uncomfortable or awkward in a particular situation or environment,不适应或不习惯于某种环境，感到尴尬或不自在,場違いな感じをする; まるで場になじんでいない
357,be my guest,to give someone permission or encouragement to do something,尽管去做，毫不客气,どうぞお好きにどうぞ
358,be new to the game,To be inexperienced or unfamiliar with a particular activity or situation,对某事物或领域不熟悉或缺乏经验,まだ経験の浅いことや、まだ慣れていないこと
359,be no oil painting,to not be physically attractive,长得不好看,容姿があまり魅力的でない
360,be on _ ball,"to be attentive, alert, or focused; to be quick or efficient in handling a task or situation",保持警觉或敏捷；主动解决问题或采取行动,非常に準備されて、ある局面に対応した能力や知識を持っていること。
361,be on cloud nine,to be extremely happy or joyful,极度兴奋或快乐，感觉像在云层中一样高飞,無上の喜びや幸福感を感じる
362,be on the ball,"to be alert, attentive, and well-prepared; to be quick to understand and react",机智、聪明或反应敏捷,敏速であり、常に注意を払っている、または能力や知識に秀でている
363,be part of the furniture,"to have been in a place for so long that one is considered a permanent fixture, often overlooked or ignored",成为家具的一部分；变得无足轻重或习以为常,その場の一部となる、存在が当たり前のようになる
364,be sick and tired of,to be extremely annoyed or fed up with,对...感到厌烦；对...烦透了,〜にうんざりしている
365,be the cat's whiskers,to be exceptionally good or impressive; to be highly regarded or esteemed,自视甚高或自以为是,非常に優れている、特に他の人や物と比較して
366,be under no illusions,to have a clear understanding or realistic view of a situation; to not be deceived or mistaken by false beliefs or illusions,没有幻想,幻想を抱くことはない、甘くない現実を理解している
367,be up on,to be knowledgeable or informed about something,了解某个特定领域或话题的最新信息,～に精通している、～に詳しい
368,beach bum,"a person who spends a lot of time at the beach, often without any significant responsibilities or obligations",过着悠闲、无忧无虑、每天都在海滩上晒太阳、耗费时间、不愿负责或工作的人,ビーチでのんびり過ごし、仕事や責任を避ける人
369,bean counter,a person who is excessively concerned with financial matters or accounting details,过分关注细节和财务问题的人,細かい数字の計算や財務関係の仕事に熱心な人
370,bear fruit,To produce positive or desired results; to be successful or effective,取得成果或产生成功的结果,成果を上げる
371,bear in mind,To remember or keep something in mind; to take something into consideration,注意; 牢记,心に留めておく
372,bear one's cross,to accept and endure a difficult or burdensome situation,承担某人的负担，特别是在困难或痛苦的情况下,自分の十字架を背負う。つらい経験や困難を受け入れる。
373,bear the brunt of,"to be the one who experiences the worst or most severe part of something, especially criticism or blame",承受...的主要冲击或责任,最も直接的な影響や攻撃を受けること
374,beard the lion in his den,to confront someone in their own territory or domain,围攻并直面一个非常有权势或有影响力的人或团体,逆境に立ち向かうこと; 強敵に立ち向かうこと
375,beat _ clock,to complete a task or achieve a goal just before a deadline or before a specified time,在限定的时间内完成某事,時計に勝つ、制限時間内に〜を終える
376,beat a dead horse,to waste time or effort on something that is already finished or resolved,对已经解决了的问题或无法改变的情况再次花费时间或精力,無駄な議論を続ける
377,beat a hasty retreat,to quickly leave a place or situation in order to avoid something unpleasant or dangerous,匆忙逃离，急忙撤退,急いで退却する
378,beat a retreat,"to withdraw or leave a situation, often in a hurried or embarrassed manner",匆忙离开场地或逃避困境,急いで退却する、素早く引き返す
379,beat about the bush,to avoid getting to the point or addressing a matter directly; to speak in a roundabout or evasive manner,绕着弯子说话；含糊其辞或不直接回答问题,遠回しに話す; 直接的に言わずに話をする
380,beat around the bush,to avoid direct or honest communication; to speak indirectly or evasively,拐弯抹角地讲话或做事，不直截了当,遠回しに話す
381,beat swords into ploughshares,to shift from a state of conflict or war to a state of peace and productivity,将剑锻造成犁,刀を耒（すき）に変える
382,beat the clock,to complete a task or achieve a goal just before the time limit expires,争分夺秒地完成任务,時間に追われながら、その時間内に何かを終わらせること。
383,beat the daylights out of,to severely beat or defeat someone,狠揍; 痛打一顿,徹底的に打ちのめす
384,beat the heat,To endure or cope with hot weather or a difficult situation,躲避酷热天气，采取适当的措施来保持凉爽，通常指在炎热的天气中找到解决办法或逃离炎热的环境,暑さに打ち勝つ
385,beat the meat,to masturbate,虚度时间或浪费精力,"""肉を叩く""  （このフレーズは俗語で、性的行為を指す隠語として使われる）"
386,beat the rap,To escape punishment or avoid being blamed for something,成功逃脱惩罚或指控,犯罪から逃れるか罪を証明されないこと
387,beats me,I don't know; I have no idea,我搞不懂,わからない、理解できない、謎だ
388,beauty contest / beauty parade,"an event or situation where people are judged mainly on their physical appearance, often used metaphorically to describe situations where people are in competition based on superficial qualities rather than substance or merit",审美和外貌的比拼,容姿や外見を比較する競争や審査、特に女性の美しさを競うイベント
389,beauty is in the eye of the beholder,Perception of beauty varies from person to person,情人眼里出西施; 美是每个人眼中的事,美は見る人の目によって異なる
390,beck and call,to be at someone's immediate service or disposal; to be ready to obey someone's command or request at any time,随传随到；即刻可用,すぐに応じるために、呼び寄せられること、自由な時間や選択肢がないこと
391,bedroom eyes,seductive or alluring eyes; a flirtatious gaze,媚眼,情熱的なまなざし
392,bedroom tax,a policy or tax that reduces the amount of housing benefit available to people who have a spare bedroom,对居住在房间超过一定规定数量的人征收税款,ベッドルーム税
393,beef up,to strengthen or make something more effective or substantial,加强或增加某事物的力量、重要性或数量,強化する、増強する、パワーアップする
394,"been there, done that",having already experienced or done something and finding it uninteresting or not worth repeating,经历过，做过那种事情,経験したことがある、それをやり遂げた
395,beer and skittles,an enjoyable or pleasurable time or experience,轻松愉快的生活，没有烦恼或困难,楽しさと快適さがあることを期待しているが、実際にはがっかりすること
396,before one can say Jack Robinson,to happen very quickly or suddenly,在即秒之间,目を見張るほど早く、瞬く間に
397,before you can say Jack Robinson,something happening quickly or suddenly,转瞬间；马上,あっという間に、すぐに
398,before you can say knife,very quickly or suddenly,非常迅速地；立即；瞬间,非常に速く、瞬く間に、数秒で
399,before you know it,unexpectedly or quickly; without realizing it,没等你察觉，瞬间就发生了,気がつかないうちに
400,beg the question,to avoid answering a question by giving a response that raises further questions and does not address the original question,回避问题；没有回答问题直接引出另一个问题,議論の前提を暗黙的に仮定すること。仮定が証明される前に、要点や主張を出すこと。
401,beg to differ,to politely express disagreement or a different opinion,不同意，有异议,意見の相違を主張する
402,beggars can't be choosers,"one must be content with whatever they receive, especially when they are in a difficult or desperate situation",乞丐不能挑剔,乞食は選べない
403,behave yourself,to act in a proper or well-behaved manner,举止得体,行儀を正しくする；まともに振る舞う
404,behind _ back,to do something secretly or without someone's knowledge or approval,背着某人的后背进行某种背叛、谎言、诽谤或不道德的行为,〜の背後で陰口を叩く、〜の信頼を裏切る
405,behind bars,to be in prison or locked up,在监狱服刑或被拘留的状态。,拘束されている
406,behind bars,to be in prison or jail,被监禁在监狱中,刑務所にいる
407,behind closed doors,in secret; privately; hidden from public view,闭门造车,非公開で、人々に見られずに行われること
408,behind one's back,doing something without someone's knowledge or without them being present,背着某人做某事，尤指背着某人说坏话,背後で、密かに、内密に
409,behind someone's back,"to do something without someone's knowledge or approval, often with negative intentions",在某人背后做事或讲话，通常是背地里进行的,人の背後で、陰で、人の目を盗んで
410,behind the curve,"to be lagging behind or not up-to-date with the latest trends, developments, or information",落后或不了解最新趋势、发展或信息,遅れている、進んでいない、遅れた状態である
411,behind the eight ball,in a difficult situation; at a disadvantage; facing obstacles or challenges,处于被动或不利的位置；遇到困难或不利条件,厳しい状況にある、困難な状況にある
412,behind the scenes,"refers to the activities or actions that happen secretly or privately, typically unseen by the public",幕后操作或活动,裏方で行われる
413,believe it or not,used to introduce a statement or story that may be surprising or difficult to believe,信不信由你,信じようと信じまいと
414,bell the cat,"to undertake a dangerous or challenging task, especially one that is likely to result in personal risk or harm",勇敢地去做一件危险或困难的事情,難しい任務や危険な仕事を引き受ける
415,bells and whistles,additional features or elements that are non-essential but attractive or impressive,花哨的额外功能或装饰,余分な装飾や機能、特に必要のないもの
416,belly laugh,"a deep, hearty laugh",哈哈大笑,大いに笑うこと、心から笑うこと
417,belly up,to go out of business or to fail,失败；破产,破産または倒産する
418,below par,not up to the usual or expected standard; below average,不达标准、品质低劣或不如预期,平均または期待されるレベル以下である
419,below the belt,unfair or unethical; crossing a boundary or attacking someone in a particularly hurtful or personal way,采取不公平或不道德的手段或攻击方式；超出公平竞争的范围,公平や品位を欠いた攻撃、不正行為、または不愉快な行為を意味する
420,below the salt,"to be of lower social rank or status, or to be considered less important",在社会等级或权力结构中的较低或较低的位置或地位,社会的に地位の低い人々には配慮しない
421,belt and braces,Taking extra precautions or being overly cautious,谨慎防范措施,二重の安全策を取ること。予防のために両方の手法を採用すること
422,bend _ law,to break or violate the law,违反法律；破坏法规,法律の一部を曲げる、または遵守しない
423,bend over backwards,to make a great effort to accommodate or help someone,竭尽全力、不计较付出多少力气,相手のために全力を尽くす
424,bend someone's ear,"to talk to someone for a long time, especially about something that is not very interesting or important; to complain or nag to someone",一直向某人倾诉问题、意见或投诉,誰かに話しまくる、うるさく相手の耳にねじ込む、文句を言いまくる
425,bend the law,to break or manipulate the law in order to achieve a desired outcome,违背法律规定,法律を曲げる、法を遵守せずに行動する
426,benjamin of the family,the youngest or most spoiled member of a family,家族的宝贝,家族のお気に入り、特別扱いされる人
427,beside yourself,to be extremely upset or overwhelmed with emotions,非常生气、激动或震惊；失去了自我控制的状态,自分自身に抑制が効かず、感情的に制御できない状態である
428,best thing since sliced bread,Something that is considered to be excellent or exceptional; the best or most innovative thing,自上次面包切片以来最好的事物,特に便利または優れたものとして評価されるもの
429,bet _ bottom dollar,to be absolutely certain or confident about something,非常确信某事的结果而拿出金钱下赌注,_最後の一文に自信を持って賭ける_
430,bet your bottom dollar,to be absolutely certain or confident about something; to be willing to wager everything one has on a particular outcome,非常确信；非常相信某事,ほぼ確実に予想されることに賭ける
431,better half,refers to a person's spouse or partner,最亲爱的人；伴侣；夫妻中较好或积极的一方,パートナーまたは配偶者
432,better late than never,it is preferable to do something late than to not do it at all,迟到总比不来好,遅くてもやらないよりはマシ
433,better off,to be in a more advantageous or preferable position; to be in a better situation,处于更好的情况或境地；比较富有；更满意或幸福,より幸せで成功している; より良い状態にある
434,better safe than sorry,to take precautions or be cautious in order to avoid potential problems or regrets later on,宁愿保险一些也不要后悔,心配せずに用心すればいい
435,better the devil you know,"to choose or accept something familiar, even if it is not ideal, over something unfamiliar or unknown",宁可选择已知的困难或问题，也不愿意冒险去面对未知的情况,悪魔を知る方がいい
436,between a rock and a hard place,to be in a difficult situation where there are two equally unpleasant or unfavorable options or choices,左右为难或陷入两个坏的或困难的选择之间,二つの選択肢の間で非常に困難な状況に立たされること
437,between life and death,at a critical or perilous stage; in a state of uncertainty or danger,生死之间，处于危险境地，非常危急,生死の間にある、生死の境界にある
438,between life and death,"being in a critical or uncertain state, typically referring to a person's health or a dangerous situation where one's life may be at risk",生死关头；濒临死亡,生と死の間に
439,between the devil and the deep blue sea,being in a difficult or impossible situation with two equally undesirable choices or outcomes,进退两难，左右为难,困難な状況に直面し、どちらの選択肢も好ましくない状況に置かれる
440,between the wars,referring to the time period between two major conflicts or wars,战争之间的时期,戦争の間にある、平和な期間、特に第一次世界大戦と第二次世界大戦の間
441,betwixt and between,"being undecided or uncertain, in a state of limbo",处于两个不同状态之间；犹豫不决；左右为难,どちらにも属さない、中途半端な状態
442,beyond _ wildest dreams,exceeding one's greatest expectations or imagination,超出某人最狂野的梦想,自分の夢の範囲を超える
443,beyond a shadow of doubt,absolutely certain; without any doubt,毫无疑问；无可置疑地,疑いの余地がなく、確信的に
444,beyond price,extremely valuable or precious; priceless,无价之宝,値段よりも価値がある、買えないほど貴重なこと
445,beyond the pale,unacceptable; outside the bounds of what is considered appropriate or reasonable,超出可接受范围或行为之外,許容範囲を超える
446,beyond the veil,to go beyond what is visible or known; to delve into the unknown or mysterious,超越常人世界的神秘领域或未知领域,霊的な領域の彼方へ
447,beyond words,Unable to adequately express or describe something due to its profound impact or significance.,难以用语言表达的；无法用言语形容的,言葉では言い表せない、言葉にできないほどの
448,beyond your wildest dreams,"way more amazing, successful, etc., than you ever thought possible",超乎你最疯狂的梦想,あなたの思い描く限りの夢を超えている
449,bide time,to wait patiently for the right moment or opportunity to take action,等待时机或暂时忍耐,機会を待ちます
450,big Apple,New York City,纽约,大都市、特にニューヨークシティを指す言葉
451,big bucks,the potential to earn or make a lot of money,大笔钱,大金、多額のお金
452,big cheese,a person who is powerful or influential within a particular organization or group,重要人物或有影响力的人,重要な地位や影響力を持つ人
453,big deal,something of great importance or significance,没什么大不了的事；不值一提,重要なこと
454,big fish in a small pond,an important or influential person in a small or limited arena or group,居于小圈子的重要人物,小さなコミュニティやグループでの中でも力を持っている人
455,big frog in a small pond,"To be a prominent or important person in a small or limited setting or group, but potentially insignificant or unimportant in a larger or more competitive context",自誇自大，過於自信，但實際上只在小圈子中有影響力或表現出色,小さな社会や環境の中で偉ぶる、見下す、または自慢する人
456,big girl's blouse,"an insult suggesting that someone is weak, cowardly, or overly sensitive",一个胆小怕事、缺乏勇气的人,弱々しい男性のステレオタイプ
457,big head,an exaggerated sense of one's own importance or abilities,自大、自负、傲慢,自慢したり高慢になったりすること
458,big hitter,an influential or powerful person,有影响力或强大的人,重要な、影響力のある人
459,big mouth,a person who talks too much or reveals information that should be kept private,嘴巴大,口が大きい、うわさ話を広める、秘密を漏らす、自慢する人
460,big wheel,"a person who has a lot of power, influence, or importance",重要、有权势或有影响力的人,権力や重要な地位を持つ人
461,binge watch,To watch multiple episodes or an entire season of a TV show in one sitting or over a short period of time.,一口氣看完整個系列或季節的電視節目或電影,一気見（ひとなみ）する、連続で視聴する
462,bird of passage,someone who stays in a place for only a short time and then moves on,经过的人或暂时逗留的人,つかの間に現れ、またすぐに去る人、旅人
463,bird's-eye view,an overall or general view from a high vantage point or a comprehensive understanding or perspective,俯瞰全局的视角或观点,鳥の目線で見ること。全体像を俯瞰すること。
464,birds of a feather,"people who are similar in character, interests, or background",品位或兴趣相似的人们聚集在一起,同じ興味や好みを持つ人々、または同じ性格や特徴を持つ人々
465,birds of a feather flock together,"people of similar interests, character, or backgrounds tend to stick together",物以类聚,似た者同士はつるむ
466,birthday suit,to be naked,赤身裸体,一番自然な姿
467,bitch slap,to aggressively criticize or reprimand someone,公开或直接侮辱或制裁某人,容赦ない制裁行為、口頭での厳しい批判
468,bite _ bullet,to endure a difficult or unpleasant situation with courage and resilience,硬着头皮做某事；勉强自己做某事,困難や辛い状況に直面したり壁にぶち当たったりすることをためらわずに、勇気を持って取り組むこと
469,bite _ dust,to suffer defeat or failure,被击败、失败或死亡,「失敗する」「敗北する」
470,bite _ lip,to suppress one's emotions or refrain from speaking out,强忍住（某种情绪，如痛苦、愤怒等）,我慢をする
471,bite _ tongue,to refrain from speaking; to hold back one's words or opinions in order to avoid causing offense or conflict,忍耐或不发表某种感受或意见,自分の本音や意見を抑えたり、言葉を飲み込んだりすること
472,bite me,"an expression of defiance, challenge, or dismissiveness",與我為敵,舐められた、傷ついた、あざけられたと感じる
473,bite off more than can chew,to take on more responsibilities or tasks than one can handle,贪多嚼不烂/心有余而力不足,自分には手に負えないほどのことを引き受ける
474,bite off more than you can chew,to take on more responsibilities or tasks than one can handle or manage,承担比自己能力范围内更多的责任,やり過ぎて手に負えなくなる、自分に対して受け入れる以上の責任や課題を引き受けること
475,bite someone's head off,to speak to someone angrily or rudely,生气或恶狠狠地责备某人,怒って、誰かを非難すること
476,bite the big one,to die or fail in a significant or dramatic way,彻底失败或挫败,大きなものにかみつく
477,bite the bullet,to face a difficult or unpleasant situation with courage and determination,勇敢面对困难、压力或痛苦的现实，毫不犹豫地去做某件不情愿的事情,困難な状況に耐え忍ぶこと
478,bite the dust,to be defeated or killed,失败或死亡,失敗するまたは死ぬ
479,bite the hand that feed,to harm or betray someone who has helped or supported you,恩将仇报；忘恩负义,与えてくれる人に対して悪口を言ったり、恩を仇で返したりすること
480,bite tongue,"to refrain from speaking or expressing one's true thoughts or opinions, especially in a difficult or sensitive situation",忍住、不说出某事或不发表意见,素直に自分の意見を言わずに我慢する
481,bite your lip,"to forcibly stop oneself from speaking or expressing one's feelings, typically in a difficult or frustrating situation",克制自己的情绪或压抑一种强烈的感受,我慢する、黙って我慢する、または感情を抑える
482,bite your tongue,"to refrain from speaking, especially when wanting to say something that would be impolite or inappropriate",强忍抑制自己不说出来,黙って我慢する。何か言いたいことがあるが、我慢する。
483,bites more than he/she can chew,"to take on more responsibility, work, or obligations than one can handle",承担比自己能力范围内更多的责任,自分には処理しきれないほどのことを引き受ける
484,bits and bobs,"small, miscellaneous items; odds and ends",零散的小东西，琐碎的东西,ささいなものや細々とした物、雑多な品物
485,bits and pieces,small or miscellaneous things; various fragments or details,零碎的东西或信息,細かい部分や断片的な情報
486,bitter medicine,unpleasant or painful truth or situation that is necessary for one's well-being,苦口良药,厳しい現実や苦痛な出来事を受け入れること
487,bitter pill to swallow,something difficult or unpleasant to accept,令人不愉快但必须接受的现实或情况,辛い現実を受け入れること
488,black and blue,"covered in bruises or wounded, typically as a result of physical harm",青一块紫一块；遍体鳞伤,青と黒の色合いで、打撲や傷を負った状態
489,black hole,"a place or situation where things, especially money or resources, seem to disappear without trace",黑洞,費やされる努力やエネルギーの無駄に
490,black out,lose consciousness or memory,失去意识；昏厥,意識を失う; 黒く染まる
491,black sheep,someone who is seen as the disgrace or outcast of a group or family,败家子或败类,家族やグループ内で他のメンバーとは異なる行動、性格、または評判を持つ人
492,black-and-white,clear and straightforward; involving only two options or possibilities,非常确定或明确的事情,はっきりした状態、明確な区別、またははっきりしたルールや指示
493,blank canvas,"a situation or starting point that is empty, allowing for endless possibilities and creativity",无限的潜力或可能性,未完成なものや未来への可能性を秘めたもの
494,blank cheque,complete freedom or authority to take any action or make any decision without any limitations or restrictions,空白支票，表示无限制或不受限制的权力或自由。,無制限な権限や責任を与えること
495,blaze a trail,to be a pioneer or to lead the way in a new field or venture,开创新的道路或方法,新しい方法やアイデアを開拓する。新しい道を切り開く。
496,blazing row,an intense and heated argument or fight,激烈的争论或争吵,激しい口論
497,bleeding heart,"someone who is excessively sympathetic or compassionate towards others, especially those who are suffering or in need",心肠太软的人,非常に感傷的で他人に同情しやすい人
498,blessing in desguise,Something that initially seems bad or unfortunate but turns out to be beneficial or advantageous in the long run,一个初看起来不好的事情，但最终却变成有益的事情,困難や問題の中にあるものの、後になって幸運なこととなるもの
499,blind as a bat,having extremely poor or no vision,眼盲，指一个人非常近视或视力非常差,まったく視力がない、非常に目が悪い
500,blind date,a social engagement or romantic meeting between two people who have never met before,相亲,見知らぬ人と初対面の約束、特に恋愛の目的で
501,blood and guts,"graphic and explicit violence, or extreme bravery and courage",血腥暴力的场面或描述,非常に強力、残忍、または暴力的なもの
502,blood and thunder,"an exciting, dramatic, or sensationalized event or situation, often involving violence or conflict",激烈或战斗性的氛围,激しい、熱狂的な感情や行動を伴うもの
503,blood blister,a fluid-filled blister that forms under the skin due to a minor injury or irritation,血疱，因摩擦或撞击而导致皮肤下出血并形成的水泡,皮膚が赤く腫れ上がり、中に血がたまった身体のクモ膜による小さい袋または隆起
504,blood is thicker than water,Family bonds are stronger than other social relationships,血浓于水,血は水よりも濃い
505,blood on hands,to be responsible for someone's death or suffering,杀人罪恶，有罪或有血债的负担,罪悪感や責任の意識を持つ
506,blow a fuse,to lose one's temper or become extremely angry,生气，愤怒地摔东西。,激怒する、怒りっぽくなる
507,blow a gasket,to become extremely angry or lose control of one's temper,大发雷霆,激怒する、興奮する、怒りを爆発させる
508,blow a kiss,"to kiss one's hand and blow it towards someone as a gesture of affection, greeting, or farewell",吹飞一个吻，通常是通过嘴唇的动作和飞吻的手势来表达爱和亲切的感情,送るキス
509,blow a raspberry,"to make a rude or dismissive sound by vibrating one's lips together, often as a sign of disrespect or mockery",用舌头吹气发出嘲笑声,ぶーと笛を吹くこと
510,blow away,to impress or amaze someone greatly,使人非常惊讶或震惊,驚かせる
511,blow cover,to reveal or expose one's true identity or intentions,露出真面目、揭穿、暴露或泄露隐藏的秘密或真相,秘密を暴く
512,blow hot and cold,"to frequently change one's opinion, attitude, or behavior, often making it difficult for others to understand or predict",对某事物或某人表现出反复无常的情感或态度。,気まぐれである、一貫性がない
513,blow off steam,"to release or relieve one's anger, frustration, or stress",发泄情绪、释放压力,ストレスや感情を発散すること
514,blow one's own horn,to boast or brag about one's own achievements or abilities,吹嘘自己；自吹自擂,自慢をする、自己宣伝する
515,blow someone's cover,to reveal someone's secret or hidden identity or activities,揭露某人的身份或秘密,誰かの秘密や正体を暴露すること
516,blow someone's mind,"to greatly surprise or impress someone, often with something unexpected or mind-blowing",使某人非常震惊或兴奋,「誰かの心を驚かせる、感銘を与える」
517,blow the lid off,to reveal or expose something secret or scandalous,揭露秘密或真相,隠された真実を暴くこと、秘密を暴露すること
518,blow your own trumpet,to boast about oneself or one's achievements,自吹自擂，吹嘘自己的才能或成就,自己の能力や成功を自慢する
519,blow your top,to become extremely angry,勃然大怒、发火,激怒する
520,blow-by-blow account,"detailed or thorough narration of an event, often describing it in a step-by-step or play-by-play manner",详细的叙述或报道，逐条详细说明,詳細な報告または説明、特に事件や競技の進行のすべての細部をカバーすること
521,blowing smoke,making false or exaggerated statements; trying to deceive or impress others with empty words,故意说谎或夸耀自己，特别是为了掩盖真相或博取好感,大それた主張や自慢をすること
522,blue blood,to refer to the nobility or aristocracy; someone of high social standing or pedigree,贵族、高贵的血统,身分の高い人; 貴族
523,blue plate special,"a special offer or discounted meal served at a restaurant, typically featuring a full meal on a blue plate",特价菜,定期的に提供される特別な料理オファー
524,blue-eyed boy,a person who is favored or highly regarded by someone in a position of power or authority,受宠爱或受青睐的人,特に上司や権力者に好かれている人、特に偏見や好意を受けている人
525,blue-sky thinking,creative thinking that is not limited by conventional ideas or restrictions,空想、无限制的思维方式,大胆な発想、未来への展望を持つこと
526,boat race,"an Australian slang term for face, often used humorously to refer to someone's appearance",一种划船比赛，特别是指剑桥大学和牛津大学的年度划船比赛,ボートレース
527,bob's your uncle,everything will be fine or everything is settled,搞定了，解决了，就这么简单,簡単に解決する
528,bob's your uncle,Everything is perfect or easy; there you have it,万事俱备，轻而易举,成功するために必要なことをすれば結果が得られる
529,body blow,a powerful or damaging attack or setback,巨大的打击或冲击,衝撃的なダメージ、打撃、損害
530,body language,"nonverbal communication; the way someone's posture, facial expressions, gestures, etc., convey their feelings or thoughts without using words",身体语言。这是指通过姿势、表情、动作等方式来传达思想、情感和意图的非语言表达方式。,身振りや仕草で伝える非言語的なコミュニケーションの手法
531,bolt from the blue,an unexpected and surprising event or news,突然而来的惊喜或震惊的消息,突然起こる予期しない出来事
532,bon appetit,an expression used to wish someone an enjoyable meal,用于祝愿某人餐食愉快,ごちそうさまでした
533,bona fide,authentic or genuine,真实的，真正的，真诚的,真実の、本物の、純粋な、偽りのない
534,bone of contention,a subject or issue that causes disagreement or conflict,争议的根源或争议的焦点,議論の的となる問題、または意見の相違を引き起こす原因
535,boots and all,to fully commit or engage in something without hesitation or reservation,全力以赴、毫不犹豫,全力で取り組む、思い切ってやる
536,boots on the ground,the presence of military personnel on or near the battlefield; typically used to refer to the need for physical presence or action in a situation,面临实际问题或挑战，采取实际行动解决问题,直接的な行動、実地作業
537,born and bred,to be born and raised in a particular place or culture,生长于某个地方，从小到大在某个地方生活长大,生まれ育った
538,born to the purple,born into a privileged or high-ranking position,天生神力，或者出生于高贵的家族或阶层,高い地位、権力、または名誉に生まれた
539,born with a silver spoon in mouth,to be born into a wealthy or privileged family,生来富有，幸福的出生,生まれつき裕福な家庭で育った、特に金銭的に恵まれた状態で生まれた
540,born yesterday,"naive or gullible, lacking in experience or knowledge",很天真或很愚蠢，没有经验,世間知らずの、経験不足の
541,bottle and glass,"rhyming slang for 'arse' (Brit) or 'ass' (US), meaning bottom or buttocks",酒瓶和玻璃杯的象征，代表酒吧或酒馆,お酒
542,bottom drawer,"the place where a person keeps personal items, especially valuable ones, that are intended for future use or as an inheritance",储蓄的资金或珍贵物品的特定位置,き藏き引戸
543,bought the farm,to die or to be killed,去世，特别是因为事故或疾病,死亡する
544,bounce off the walls,"to be extremely excited, hyperactive, or restless",非常兴奋或过分兴奋,興奮していたり、エネルギッシュになっている様子を表す
545,bow and scrape,to behave in an excessively servile or submissive manner; to excessively flatter or defer to someone in a show of respect or subservience,卑躬屈膝，奴颜婢膝地对待某人；低声下气地巴结某人,へつらいやお辞儀をする
546,box clever,"to be cunning, resourceful or strategic in order to achieve success",聪明、精明或机智；善于利用策略或伎俩来获得优势,巧妙に行動する、策略を巡らす、頭の柔軟さを利用する
547,boys in blue,police officers,制服警察,制服を着た警察官たち
548,boys will be boys,"It is natural or to be expected for boys to behave in a certain way, typically mischievous or rambunctious.",男孩就是这样,男の子は男の子だから仕方がない
549,brahms and Lizst,"rhyming slang for 'pissed', meaning drunk or intoxicated",拉蒙斯和李斯特,どんちゃん騒ぎ
550,brass monkey,extremely cold weather,非常寒冷的天气,非常に寒い天候を指す
