Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,ai_generated_idioms,English_Idiom,english_idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
मुँह का जाल बिछाना,झूठ बोलना,To flatter someone.,उसकी मुँह का जाल बिछाने की आदत ने उसे मुश्किल में डाल दिया।,"```json
{
  ""Hindi idiom"": ""मुँह का जाल बिछाना"",
  ""English definition"": ""To deceive or trick someone using sweet talk or flattery."",
  ""English idiom 1"": ""To pull the wool over someone's eyes"",
  ""English idiom 2"": ""To butter someone up"",
  ""English idiom 3"": ""To lead someone down the garden path""
}
```",,To butter someone up,"'मुँह का जाल बिछाना' means 'To butter someone up'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह का जाल बिछाने की आदत ने उसे मुश्किल में डाल दिया।'",His habit of buttering people up landed him in trouble.,"""His habit of buttering people up got him into trouble.""",3,3,3,3
मुँह लटकाना,निराश होना,To look disappointed,परीक्षा में असफल होने पर उसने मुँह लटका लिया।,"```json
{
  ""Hindi idiom"": ""मुँह लटकाना"",
  ""English definition"": ""To be visibly disappointed or dejected"",
  ""English idiom 1"": ""To have a long face"",
  ""English idiom 2"": ""Down in the dumps"",
  ""English idiom 3"": ""Feeling blue""
}
```",,To have a long face,"'मुँह लटकाना' means 'To have a long face'. Given the above knowledge, translate this sentence to English: 'परीक्षा में असफल होने पर उसने मुँह लटका लिया।'",He had a long face after failing the exam.,"""He had a long face after failing the exam.""",3,3,3,3
मुँह मीठा करना,खुशखबरी सुनाकर मिठाई खिलाना,To celebrate.,उसने नौकरी मिलने की खुशी में सबका मुँह मीठा कराया।,"```json
{
  ""Hindi idiom"": ""मुँह मीठा करना"",
  ""English definition"": ""To celebrate a joyous occasion by eating something sweet"",
  ""English idiom 1"": ""Celebrate with a sweet treat"",
  ""English idiom 2"": ""Share the sweetness"",
  ""English idiom 3"": ""Spread the sweetness""
}
```",,Celebrate with a sweet treat,"'मुँह मीठा करना' means 'Celebrate with a sweet treat'. Given the above knowledge, translate this sentence to English: 'उसने नौकरी मिलने की खुशी में सबका मुँह मीठा कराया।'",He celebrated everyone's success with a sweet treat.,He celebrated getting a job by treating everyone with sweets.,2,1,3,3
मुँह का काला,बदनाम,Disgraced,उसकी हरकतों ने उसे मुँह का काला बना दिया।,"```json
{
  ""Hindi idiom"": ""मुँह का काला"",
  ""English definition"": ""To bring disgrace or dishonor upon oneself or one's family"",
  ""English idiom 1"": ""Black sheep"",
  ""English idiom 2"": ""Disgrace the family name"",
  ""English idiom 3"": ""Bring shame upon""
}
```",,Black sheep,"'मुँह का काला' means 'Black sheep'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों ने उसे मुँह का काला बना दिया।'",His actions made him the black sheep.,His actions made him the black sheep.,3,1,3,2
मुँह में अंगारे रखना,बहुत कष्ट सहना,To keep a burning coal in one's mouth.,उसके द्वारा कही गई बातों ने मुझे मुँह में अंगारे रखने पर मजबूर कर दिया।,"```json
{
  ""Hindi idiom"": ""मुँह में अंगारे रखना"",
  ""English definition"": ""To refrain from speaking despite having a lot to say, often out of fear or prudence."",
  ""English idiom 1"": ""Bite your tongue"",
  ""English idiom 2"": ""Hold your peace"",
  ""English idiom 3"": ""Keep under one's hat""
}
```",,Bite your tongue,"'मुँह में अंगारे रखना' means 'Bite your tongue'. Given the above knowledge, translate this sentence to English: 'उसके द्वारा कही गई बातों ने मुझे मुँह में अंगारे रखने पर मजबूर कर दिया।'",The things said by him have forced me to bite my tongue.,"""His words forced me to bite my tongue.""",2,1,2,3
मुँह की खाना,हार का सामना करना,To suffer defeat,अपनी ओवरकॉन्फिडेंस के कारण उसे मुँह की खानी पड़ी।,"```json
{
  ""Hindi idiom"": ""मुँह की खाना"",
  ""English definition"": ""To face defeat or humiliation, especially after boasting or being overly confident."",
  ""English idiom 1"": ""Eat humble pie"",
  ""English idiom 2"": ""Get egg on your face"",
  ""English idiom 3"": ""Bite the dust""
}
```",,Get egg on your face,"'मुँह की खाना' means 'Get egg on your face'. Given the above knowledge, translate this sentence to English: 'अपनी ओवरकॉन्फिडेंस के कारण उसे मुँह की खानी पड़ी।'","Due to his overconfidence, he got egg on his face.","""Due to his overconfidence, he got egg on his face.""",3,3,3,3
मुँह धोना,किसी के सामने शर्मिंदा होना,To wash one's face,उसकी हरकतों ने मुझे सबके सामने मुँह धो दिया।,"```json
{
  ""Hindi idiom"": ""मुँह धोना"",
  ""English definition"": ""To refresh or rejuvenate oneself, often used to indicate washing one's face to wake up or feel refreshed."",
  ""English idiom 1"": ""Freshen up"",
  ""English idiom 2"": ""Wash up"",
  ""English idiom 3"": null
}
```",,Freshen up,"'मुँह धोना' means 'Freshen up'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों ने मुझे सबके सामने मुँह धो दिया।'",His actions have embarrassed me in front of everyone.,'His actions embarrassed me in front of everyone.',3,3,3,3
"बिन माँगे मोती मिले, माँगे मिले न भीख",बिना उम्मीद के लाभ मिलना,"Without asking, you may receive pearls; but when you ask, you may not even get alms.","उसने बिना मांगे ही मदद कर दी, यह तो बिन माँगे मोती मिले, माँगे मिले न भीख जैसी बात हो गई।","```json
{
  ""Hindi idiom"": ""बिन माँगे मोती मिले, माँगे मिले न भीख"",
  ""English definition"": ""Sometimes, valuable things come to you without asking, but when you ask for something, you might not even get the smallest thing."",
  ""English idiom 1"": ""Good things come to those who wait."",
  ""English idiom 2"": ""The best things in life are free."",
  ""English idiom 3"": ""Ask and you shall not receive.""
}
```",,The best things in life are free.,"'बिन माँगे मोती मिले, माँगे मिले न भीख' means 'The best things in life are free.'. Given the above knowledge, translate this sentence to English: 'उसने बिना मांगे ही मदद कर दी, यह तो बिन माँगे मोती मिले, माँगे मिले न भीख जैसी बात हो गई।'","He helped without asking, it was like getting pearls without asking for alms.","'He helped without being asked, it was like getting pearls without asking, but not getting alms when asked.'",3,1,3,1
मुँह मियाँ मिट्ठू बनना,अपनी ही तारीफ करना,To toot one's own horn.,वह हमेशा मुँह मियाँ मिट्ठू बनता रहता है और खुद की ही तारीफ करता है।,"```json
{
  ""Hindi idiom"": ""मुँह मियाँ मिट्ठू बनना"",
  ""English definition"": ""To boast about oneself or to blow one's own trumpet."",
  ""English idiom 1"": ""Blow one's own trumpet"",
  ""English idiom 2"": ""Pat oneself on the back"",
  ""English idiom 3"": ""Sing one's own praises""
}
```",,Blow one's own trumpet,"'मुँह मियाँ मिट्ठू बनना' means 'Blow one's own trumpet'. Given the above knowledge, translate this sentence to English: 'वह हमेशा मुँह मियाँ मिट्ठू बनता रहता है और खुद की ही तारीफ करता है।'",He always blows his own trumpet and praises himself.,'He always blows his own trumpet and praises himself.',3,3,3,3
मुँह की चाल चलना,बहुत बातूनी होना,To speak insincerely,उसकी मुँह की चाल ने सभी को परेशान कर दिया।,"```json
{
  ""Hindi idiom"": ""मुँह की चाल चलना"",
  ""English definition"": ""To speak or act cunningly, often with the intention to deceive or manipulate."",
  ""English idiom 1"": ""Speak with a forked tongue"",
  ""English idiom 2"": ""Double-tongued"",
  ""English idiom 3"": ""Silver-tongued""
}
```",,Speak with a forked tongue,"'मुँह की चाल चलना' means 'Speak with a forked tongue'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह की चाल ने सभी को परेशान कर दिया।'",His double-dealing words troubled everyone.,"""His forked tongue troubled everyone.""",3,1,2,3
मूँछों की कसम में,प्रतिष्ठा की शपथ में,Swear on my mustache,उसने मूँछों की कसम में कोई झूठ नहीं बोला।,"```json
{
  ""Hindi idiom"": ""मूँछों की कसम में"",
  ""English definition"": ""To swear by one's mustache, indicating a serious promise or oath, often related to personal honor or integrity."",
  ""English idiom 1"": ""Cross my heart and hope to die"",
  ""English idiom 2"": ""Swear on my life"",
  ""English idiom 3"": ""Scout's honor""
}
```",,Cross my heart and hope to die,"'मूँछों की कसम में' means 'Cross my heart and hope to die'. Given the above knowledge, translate this sentence to English: 'उसने मूँछों की कसम में कोई झूठ नहीं बोला।'","He did not tell a lie, cross his heart and hope to die.","""He didn't lie, cross my heart and hope to die.""",2,1,2,1
मुँह पर ताला लगाना,"कुछ न बोलना, चुप रहना",To keep one's mouth shut,उसने मेरे सवालों पर मुँह पर ताला लगा लिया।,"```json
{
  ""Hindi idiom"": ""मुँह पर ताला लगाना"",
  ""English definition"": ""To keep one's mouth shut or to remain silent."",
  ""English idiom 1"": ""Zip your lip"",
  ""English idiom 2"": ""Bite your tongue"",
  ""English idiom 3"": ""Keep mum""
}
```",,Zip your lip,"'मुँह पर ताला लगाना' means 'Zip your lip'. Given the above knowledge, translate this sentence to English: 'उसने मेरे सवालों पर मुँह पर ताला लगा लिया।'",He zipped his lips in response to my questions.,He zipped his lip to my questions.,3,3,3,3
मुँह तक आना,बहुत पास आ जाना,To be on the tip of one's tongue,उसका जवाब मेरे मुँह तक आ गया लेकिन मैंने कुछ नहीं कहा।,"```json
{
  ""Hindi idiom"": ""मुँह तक आना"",
  ""English definition"": ""To be on the verge of expressing something but then holding back or stopping oneself."",
  ""English idiom 1"": ""On the tip of one's tongue"",
  ""English idiom 2"": ""Bite one's tongue"",
  ""English idiom 3"": """"
}
```",,Bite one's tongue,"'मुँह तक आना' means 'Bite one's tongue'. Given the above knowledge, translate this sentence to English: 'उसका जवाब मेरे मुँह तक आ गया लेकिन मैंने कुछ नहीं कहा।'",His response made me bite my tongue but I didn't say anything.,"""His reply was on the tip of my tongue but I didn't say anything.""",3,3,3,3
मुल्क की सेवा करना,देश की भलाई के लिए काम करना,To serve the country,सैनिक मुल्क की सेवा में अपना जीवन समर्पित करते हैं।,"```json
{
  ""Hindi idiom"": ""मुल्क की सेवा करना"",
  ""English definition"": ""To serve the country"",
  ""English idiom 1"": ""Serve one's country"",
  ""English idiom 2"": ""Answer the call of duty"",
  ""English idiom 3"": ""Patriotic duty""
}
```",,Serve one's country,"'मुल्क की सेवा करना' means 'Serve one's country'. Given the above knowledge, translate this sentence to English: 'सैनिक मुल्क की सेवा में अपना जीवन समर्पित करते हैं।'",Soldiers dedicate their lives to serving their country.,'Soldiers dedicate their lives to serving their country.',3,3,3,3
मुँह छुपाना,शर्मिंदगी के कारण सामने न आना,Hide one's face,परीक्षा में फेल होने के बाद उसने सबके सामने मुँह छुपा लिया।,"```json
{
  ""Hindi idiom"": ""मुँह छुपाना"",
  ""English definition"": ""To hide one's face or to avoid facing someone due to shame or guilt."",
  ""English idiom 1"": ""Hide one's face"",
  ""English idiom 2"": ""Bury one's head in the sand"",
  ""English idiom 3"": ""Save face""
}
```",,Hide one's face,"'मुँह छुपाना' means 'Hide one's face'. Given the above knowledge, translate this sentence to English: 'परीक्षा में फेल होने के बाद उसने सबके सामने मुँह छुपा लिया।'","After failing the exam, he hid his face in front of everyone.","""After failing the exam, he hid his face from everyone.""",3,1,3,2
मुँह पर तमाचा मारना,अपमान करना,To slap in the face,उसकी बातों ने जैसे मेरे मुँह पर तमाचा मार दिया।,"{
  ""Hindi idiom"": ""मुँह पर तमाचा मारना"",
  ""English definition"": ""To insult or humiliate someone directly or openly."",
  ""English idiom 1"": ""A slap in the face"",
  ""English idiom 2"": ""Adding insult to injury"",
  ""English idiom 3"": ""Kick in the teeth""
}",,A slap in the face,"'मुँह पर तमाचा मारना' means 'A slap in the face'. Given the above knowledge, translate this sentence to English: 'उसकी बातों ने जैसे मेरे मुँह पर तमाचा मार दिया।'",Her words felt like a slap in the face.,"""His words felt like a slap in the face.""",3,3,3,3
बांस पर चढ़ाना,झूठी प्रशंसा करना,To flatter excessively,उसके मित्र ने उसे इतना बांस पर चढ़ाया कि वह खुद को बहुत बड़ा समझने लगा।,"```json
{
  ""Hindi idiom"": ""बांस पर चढ़ाना"",
  ""English definition"": ""To excessively praise someone or put them on a pedestal."",
  ""English idiom 1"": ""Put someone on a pedestal"",
  ""English idiom 2"": ""Sing someone's praises"",
  ""English idiom 3"": ""Blow smoke up someone's skirt""
}
```",,Put someone on a pedestal,"'बांस पर चढ़ाना' means 'Put someone on a pedestal'. Given the above knowledge, translate this sentence to English: 'उसके मित्र ने उसे इतना बांस पर चढ़ाया कि वह खुद को बहुत बड़ा समझने लगा।'",His friends put him on such a pedestal that he started thinking very highly of himself.,His friend put him on such a pedestal that he began to think of himself as very great.,3,3,3,3
मुँह पर पानी फेरना,योजना या प्रयास को विफल करना,To ruin something completely.,उसकी एक गलती ने पूरी योजना पर पानी फेर दिया।,"```json
{
  ""Hindi idiom"": ""मुँह पर पानी फेरना"",
  ""English definition"": ""To ruin or spoil someone's efforts or plans"",
  ""English idiom 1"": ""Throw a wrench in the works"",
  ""English idiom 2"": ""Rain on someone's parade"",
  ""English idiom 3"": ""Spill the beans""
}
```",,Throw a wrench in the works,"'मुँह पर पानी फेरना' means 'Throw a wrench in the works'. Given the above knowledge, translate this sentence to English: 'उसकी एक गलती ने पूरी योजना पर पानी फेर दिया।'",His one mistake threw a wrench in the whole plan.,"""His one mistake threw a wrench in the whole plan.""",3,3,3,3
मूँछों को संजीवनी देना,प्रतिष्ठा को जीवित करना,To revive one's pride.,उसकी सफलता ने उसकी मूँछों को संजीवनी दे दी।,"```json
{
  ""Hindi idiom"": ""मूँछों को संजीवनी देना"",
  ""English definition"": ""Boosting someone's pride or ego"",
  ""English idiom 1"": ""Feather in one's cap"",
  ""English idiom 2"": ""Pat on the back"",
  ""English idiom 3"": """"
}
```",,Pat on the back,"'मूँछों को संजीवनी देना' means 'Pat on the back'. Given the above knowledge, translate this sentence to English: 'उसकी सफलता ने उसकी मूँछों को संजीवनी दे दी।'",His success gave him a pat on the back.,"""His success gave him a pat on the back.""",2,1,2,1
मुँह की बात छीन लेना,वही बात कहना जो दूसरे ने कहने की सोच रखी हो,To take the words right out of someone's mouth,उसने मेरी मुँह की बात छीन ली और वही बात सबके सामने कह दी।,"```json
{
  ""Hindi idiom"": ""मुँह की बात छीन लेना"",
  ""English definition"": ""To say exactly what someone else was about to say"",
  ""English idiom 1"": ""Steal someone's thunder"",
  ""English idiom 2"": ""Beat someone to the punch"",
  ""English idiom 3"": ""Take the words right out of someone's mouth""
}
```",,Take the words right out of someone's mouth,"'मुँह की बात छीन लेना' means 'Take the words right out of someone's mouth'. Given the above knowledge, translate this sentence to English: 'उसने मेरी मुँह की बात छीन ली और वही बात सबके सामने कह दी।'",He took the words right out of my mouth and said the same thing in front of everyone.,"""He took the words right out of my mouth and said the same thing in front of everyone.""",3,3,3,3
मुँह से आग निकालना,गुस्सा होना,To speak angrily,गलत आरोप लगने पर वह मुँह से आग निकालने लगा।,"```json
{
  ""Hindi idiom"": ""मुँह से आग निकालना"",
  ""English definition"": ""To speak very angrily or harshly"",
  ""English idiom 1"": ""To hit the roof"",
  ""English idiom 2"": ""To blow a fuse"",
  ""English idiom 3"": ""To fly off the handle""
}
```",,To fly off the handle,"'मुँह से आग निकालना' means 'To fly off the handle'. Given the above knowledge, translate this sentence to English: 'गलत आरोप लगने पर वह मुँह से आग निकालने लगा।'",He started to fly off the handle when falsely accused.,"""On being falsely accused, he started to fly off the handle.""",3,3,3,3
मुँह से आग निकलना,बहुत क्रोध करना,To speak angrily,उसकी मुँह से आग निकलने वाली बातें सुनकर सब हैरान रह गए।,"```json
{
  ""Hindi idiom"": ""मुँह से आग निकलना"",
  ""English definition"": ""To be extremely angry or furious"",
  ""English idiom 1"": ""Blow a fuse"",
  ""English idiom 2"": ""Hit the roof"",
  ""English idiom 3"": ""Fly off the handle""
}
```",,Hit the roof,"'मुँह से आग निकलना' means 'Hit the roof'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह से आग निकलने वाली बातें सुनकर सब हैरान रह गए।'",Everyone was surprised to hear the things coming out of his mouth.,"""Everyone was shocked to hear his explosive words.""",2,1,3,2
मुँह में कड़वाहट घोलना,बुरी बातें करना,To speak bitter words.,उसकी बकवास ने मेरे मुँह में कड़वाहट घोल दी।,"```json
{
  ""Hindi idiom"": ""मुँह में कड़वाहट घोलना"",
  ""English definition"": ""To say something bitter or harsh to someone"",
  ""English idiom 1"": ""To add insult to injury"",
  ""English idiom 2"": ""Rub salt in the wound"",
  ""English idiom 3"": ""Pour oil on the fire""
}
```",,To add insult to injury,"'मुँह में कड़वाहट घोलना' means 'To add insult to injury'. Given the above knowledge, translate this sentence to English: 'उसकी बकवास ने मेरे मुँह में कड़वाहट घोल दी।'",His nonsense added insult to injury in my mouth.,"""His nonsense added insult to injury.""",1,1,1,1
मुँह की कहना,अपनी राय देना,To speak one's mind,उसने बिना सोचे-समझे मुँह की कह दी।,"```json
{
  ""Hindi idiom"": ""मुँह की कहना"",
  ""English definition"": ""To speak one's mind or to say what is on one's mind."",
  ""English idiom 1"": ""Speak one's mind"",
  ""English idiom 2"": ""Speak out"",
  ""English idiom 3"": ""Get something off one's chest""
}
```",,Speak one's mind,"'मुँह की कहना' means 'Speak one's mind'. Given the above knowledge, translate this sentence to English: 'उसने बिना सोचे-समझे मुँह की कह दी।'",He spoke his mind without thinking.,"""He spoke his mind without thinking.""",3,1,3,2
मौज मस्ती,खुशी और आनंद का समय,Fun and frolic,गर्मी की छुट्टियों में बच्चों ने खूब मौज मस्ती की।,"```json
{
  ""Hindi idiom"": ""मौज मस्ती"",
  ""English definition"": ""To have fun and enjoy oneself without worries or responsibilities."",
  ""English idiom 1"": ""Paint the town red"",
  ""English idiom 2"": ""Live it up"",
  ""English idiom 3"": ""Have a blast""
}
```",,Paint the town red,"'मौज मस्ती' means 'Paint the town red'. Given the above knowledge, translate this sentence to English: 'गर्मी की छुट्टियों में बच्चों ने खूब मौज मस्ती की।'","During the summer holidays, the children painted the town red.","""During the summer holidays, the children painted the town red.""",2,3,2,3
मुँह पर ताला लगाना,कुछ न कहना,Put a lock on your mouth.,उसने ऐसा राज़ बताया कि सबने मुँह पर ताला लगा लिया।,"```json
{
  ""Hindi idiom"": ""मुँह पर ताला लगाना"",
  ""English definition"": ""To keep one's mouth shut or to remain silent."",
  ""English idiom 1"": ""Zip your lip"",
  ""English idiom 2"": ""Bite your tongue"",
  ""English idiom 3"": ""Keep mum""
}
```",,Zip your lip,"'मुँह पर ताला लगाना' means 'Zip your lip'. Given the above knowledge, translate this sentence to English: 'उसने ऐसा राज़ बताया कि सबने मुँह पर ताला लगा लिया।'",He revealed such a secret that everyone zipped their lips.,"""He revealed such a secret that everyone zipped their lips.""",3,3,3,3
मूँछों की कसम,प्रतिष्ठा की शपथ,Swear on my mustache,उसने मूँछों की कसम खाई कि वह झूठ नहीं बोलेगा।,"```json
{
  ""Hindi idiom"": ""मूँछों की कसम"",
  ""English definition"": ""A solemn promise or oath made by swearing on one's mustache, often implying honor and masculinity."",
  ""English idiom 1"": ""Swear on my honor"",
  ""English idiom 2"": ""Cross my heart and hope to die"",
  ""English idiom 3"": ""On my word of honor""
}
```",,Swear on my honor,"'मूँछों की कसम' means 'Swear on my honor'. Given the above knowledge, translate this sentence to English: 'उसने मूँछों की कसम खाई कि वह झूठ नहीं बोलेगा।'",He swore on his honor that he would not lie.,He swore on his honor that he would not lie.,3,2,3,2
बगलें झांकना,शर्मिंदा होना,To look sheepish,"जब शिक्षक ने उसे झूठ बोलते पकड़ा, तो वह बगलें झाँकने लगा।","{
  ""Hindi idiom"": ""बगलें झांकना"",
  ""English definition"": ""To look around awkwardly or with embarrassment, often because one does not know what to do or say."",
  ""English idiom 1"": ""Twiddle one's thumbs"",
  ""English idiom 2"": ""Twist in the wind"",
  ""English idiom 3"": ""Look sheepish""
}",,Twiddle one's thumbs,"'बगलें झांकना' means 'Twiddle one's thumbs'. Given the above knowledge, translate this sentence to English: 'जब शिक्षक ने उसे झूठ बोलते पकड़ा, तो वह बगलें झाँकने लगा।'","When the teacher caught him lying, he started twiddling his thumbs.","""When the teacher caught him lying, he started twiddling his thumbs.""",2,1,2,1
मुँह पर ताला जड़ना,बोलने से रोकना,To keep one's mouth shut,उसकी कठोर शब्दों ने सबके मुँह पर ताला जड़ दिया।,"```json
{
  ""Hindi idiom"": ""मुँह पर ताला जड़ना"",
  ""English definition"": ""To keep one's mouth shut or to remain silent."",
  ""English idiom 1"": ""Button your lip"",
  ""English idiom 2"": ""Hold your tongue"",
  ""English idiom 3"": ""Zip your lip""
}
```",,Button your lip,"'मुँह पर ताला जड़ना' means 'Button your lip'. Given the above knowledge, translate this sentence to English: 'उसकी कठोर शब्दों ने सबके मुँह पर ताला जड़ दिया।'",His harsh words made everyone button their lips.,"""His harsh words buttoned everyone's lip.""",3,3,2,3
मूर्ख बनाना,धोखा देना,To fool someone,किसी को मूर्ख बनाना अच्छी बात नहीं है।,"```json
{
  ""Hindi idiom"": ""मूर्ख बनाना"",
  ""English definition"": ""To deceive or trick someone, making them appear foolish."",
  ""English idiom 1"": ""Pull the wool over someone's eyes"",
  ""English idiom 2"": ""Make a fool out of someone"",
  ""English idiom 3"": ""Lead someone up the garden path""
}
```",,Make a fool out of someone,"'मूर्ख बनाना' means 'Make a fool out of someone'. Given the above knowledge, translate this sentence to English: 'किसी को मूर्ख बनाना अच्छी बात नहीं है।'",Making a fool out of someone is not a good thing.,'Making a fool out of someone is not a good thing.',3,3,3,3
मुँह में चाँदी का चम्मच लेकर पैदा होना,अमीर घर में जन्म लेना,To be born with a silver spoon in one's mouth,"वह मुँह में चाँदी का चम्मच लेकर पैदा हुआ है, इसलिए उसे किसी चीज की कमी नहीं है।","```json
{
  ""Hindi idiom"": ""मुँह में चाँदी का चम्मच लेकर पैदा होना"",
  ""English definition"": ""To be born into a wealthy or privileged family."",
  ""English idiom 1"": ""Born with a silver spoon in one's mouth"",
  ""English idiom 2"": ""Born under a lucky star"",
  ""English idiom 3"": ""To have the world handed to you on a silver platter""
}
```",,Born with a silver spoon in one's mouth,"'मुँह में चाँदी का चम्मच लेकर पैदा होना' means 'Born with a silver spoon in one's mouth'. Given the above knowledge, translate this sentence to English: 'वह मुँह में चाँदी का चम्मच लेकर पैदा हुआ है, इसलिए उसे किसी चीज की कमी नहीं है।'","He was born with a silver spoon in his mouth, so he lacks nothing.","""He was born with a silver spoon in his mouth, so he lacks for nothing.""",3,3,3,3
मुँह के बल गिरना,असफल होना,To fall flat on one's face,बिना तैयारी के वह परीक्षा में मुँह के बल गिर पड़ा।,"```json
{
  ""Hindi idiom"": ""मुँह के बल गिरना"",
  ""English definition"": ""To fall flat on one's face; to experience a complete failure or setback."",
  ""English idiom 1"": ""To fall flat on one's face"",
  ""English idiom 2"": ""To bite the dust"",
  ""English idiom 3"": ""To take a nosedive""
}
```",,To fall flat on one's face,"'मुँह के बल गिरना' means 'To fall flat on one's face'. Given the above knowledge, translate this sentence to English: 'बिना तैयारी के वह परीक्षा में मुँह के बल गिर पड़ा।'",He fell flat on his face in the exam without preparation.,"'Without preparation, he fell flat on his face in the exam.'",3,3,3,3
मुँह लटकाना,उदास होना,To look disappointed,परीक्षा में असफल होकर वह मुँह लटकाए बैठा था।,"```json
{
  ""Hindi idiom"": ""मुँह लटकाना"",
  ""English definition"": ""To be visibly disappointed or dejected"",
  ""English idiom 1"": ""To have a long face"",
  ""English idiom 2"": ""Down in the dumps"",
  ""English idiom 3"": ""Feeling blue""
}
```",,To have a long face,"'मुँह लटकाना' means 'To have a long face'. Given the above knowledge, translate this sentence to English: 'परीक्षा में असफल होकर वह मुँह लटकाए बैठा था।'","After failing the exam, he was sitting with a long face.","""Having failed the exam, he was sitting with a long face.""",3,3,3,3
मुँह का स्वाद बदलना,मन बदलने के लिए कुछ करना,To change the taste in the mouth.,उदासी को दूर करने के लिए उसने मुँह का स्वाद बदला।,"```json
{
    ""Hindi idiom"": ""मुँह का स्वाद बदलना"",
    ""English definition"": ""To change the mood or atmosphere, often by introducing something new or different to relieve monotony or improve the situation."",
    ""English idiom 1"": ""Change of pace"",
    ""English idiom 2"": ""Break the monotony"",
    ""English idiom 3"": """"
}
```",,Change of pace,"'मुँह का स्वाद बदलना' means 'Change of pace'. Given the above knowledge, translate this sentence to English: 'उदासी को दूर करने के लिए उसने मुँह का स्वाद बदला।'",He changed the pace to ward off the gloom.,"""To drive away the sadness, he changed the pace.""",1,1,1,1
मुँह चुराना,सामने आने से बचना,Avoiding someone,अपनी गलती के बाद वह सबसे मुँह चुरा रहा था।,"```json
{
  ""Hindi idiom"": ""मुँह चुराना"",
  ""English definition"": ""To avoid someone or something due to guilt, embarrassment, or fear"",
  ""English idiom 1"": ""Avoid like the plague"",
  ""English idiom 2"": ""Keep one's distance"",
  ""English idiom 3"": ""Turn a blind eye""
}
```",,Avoid like the plague,"'मुँह चुराना' means 'Avoid like the plague'. Given the above knowledge, translate this sentence to English: 'अपनी गलती के बाद वह सबसे मुँह चुरा रहा था।'","After his mistake, he was avoiding everyone like the plague.","After his mistake, he was avoiding everyone like the plague.",3,3,3,3
मुँह की जलन,जलन की भावना,Burning sensation in the mouth,उसकी सफलता देखकर सबको मुँह की जलन हो रही है।,"```json
{
  ""Hindi idiom"": ""मुँह की जलन"",
  ""English definition"": ""The feeling of envy or jealousy experienced when someone else achieves something or has something desirable."",
  ""English idiom 1"": ""Green with envy"",
  ""English idiom 2"": ""The grass is always greener on the other side"",
  ""English idiom 3"": ""Burning with jealousy""
}
```",,Burning with jealousy,"'मुँह की जलन' means 'Burning with jealousy'. Given the above knowledge, translate this sentence to English: 'उसकी सफलता देखकर सबको मुँह की जलन हो रही है।'",Everyone is burning with jealousy seeing his success.,"""Everyone is burning with jealousy seeing his success.""",3,3,3,3
मुँह में उंगली दबाना,आश्चर्यचकित होना,To be astonished,उसकी अद्भुत कला देखकर मैंने मुँह में उंगली दबा ली।,"```json
{
  ""Hindi idiom"": ""मुँह में उंगली दबाना"",
  ""English definition"": ""To be extremely surprised or astonished to the point of being left speechless."",
  ""English idiom 1"": ""Jaw-dropping"",
  ""English idiom 2"": ""Mind-blowing"",
  ""English idiom 3"": ""Taken aback""
}
```",,Taken aback,"'मुँह में उंगली दबाना' means 'Taken aback'. Given the above knowledge, translate this sentence to English: 'उसकी अद्भुत कला देखकर मैंने मुँह में उंगली दबा ली।'",I was taken aback by his amazing art.,"""I was taken aback by his amazing art.""",2,1,2,1
मुँह में गुलाब जल छिड़कना,अत्यधिक प्रसन्न होना,To speak sweetly,उसकी तारीफ सुनकर मेरे मुँह में गुलाब जल छिड़क गया।,"```json
{
  ""Hindi idiom"": ""मुँह में गुलाब जल छिड़कना"",
  ""English definition"": ""To speak very sweetly or politely to someone, often to flatter or please them."",
  ""English idiom 1"": ""Sugarcoat one's words"",
  ""English idiom 2"": ""Honeyed words"",
  ""English idiom 3"": ""Sweet-talk""
}
```",,Sugarcoat one's words,"'मुँह में गुलाब जल छिड़कना' means 'Sugarcoat one's words'. Given the above knowledge, translate this sentence to English: 'उसकी तारीफ सुनकर मेरे मुँह में गुलाब जल छिड़क गया।'","Listening to his praise, I sugarcoated my words.","""Hearing his praise, my mouth was sugarcoated.""",1,1,2,1
बाजी पलटना,स्थिति बदलना,Turn the tables,आखिरी ओवर में बाजी पलट गई और हमारी टीम जीत गई।,"```json
{
  ""Hindi idiom"": ""बाजी पलटना"",
  ""English definition"": ""To turn the tables; to reverse a situation to one's advantage."",
  ""English idiom 1"": ""Turn the tables"",
  ""English idiom 2"": ""Flip the script"",
  ""English idiom 3"": ""Reverse the tide""
}
```",,Turn the tables,"'बाजी पलटना' means 'Turn the tables'. Given the above knowledge, translate this sentence to English: 'आखिरी ओवर में बाजी पलट गई और हमारी टीम जीत गई।'","In the final over, the tables turned and our team won.","'In the last over, the tables turned and our team won.'",3,3,3,3
