Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
बात पक्की करना,किसी निर्णय को अंतिम रूप देना,To finalize something,शादी की बात पक्की हो गई है।,'Translate this sentence to English: 'शादी की बात पक्की हो गई है।',The marriage has been finalized.,"""The marriage has been finalized.""",3,2,3,1
मुँह पर रुमाल रखना,बहुत शर्मिंदा होना,To keep a secret.,उसकी गलती से सबके सामने उसने मुँह पर रुमाल रख लिया।,'Translate this sentence to English: 'उसकी गलती से सबके सामने उसने मुँह पर रुमाल रख लिया।',He covered his face with a handkerchief in front of everyone because of his mistake.,"Due to his mistake, he covered his face with a handkerchief in front of everyone.",1,1,1,1
बेसुध होना,होश खो बैठना,To be unconscious,दुर्घटना के बाद वह बेसुध हो गया।,'Translate this sentence to English: 'दुर्घटना के बाद वह बेसुध हो गया।',"After the accident, he became despondent.","After the accident, he became unconscious.",2,1,3,1
मुँह पिचकाना,नापसंदगी जाहिर करना,To pout,खाने में नमक कम होने पर उसने मुँह पिचका लिया।,'Translate this sentence to English: 'खाने में नमक कम होने पर उसने मुँह पिचका लिया।',He made a face when there was less salt in the food.,He puckered his mouth when there was less salt in the food.,3,3,3,2
मुँह का बंदर,कोई व्यक्ति जो हमेशा दूसरों का अनुकरण करता है,Monkey mouth,वह अपने दोस्तों का मुँह का बंदर बन गया है।,'Translate this sentence to English: 'वह अपने दोस्तों का मुँह का बंदर बन गया है।',He has become a monkey of his friends' mouths.,He has become a puppet of his friends.,1,1,3,3
मुँह दिखाना,सामने आना,Show one's face,परीक्षा में असफल होने के बाद उसने घर पर मुँह दिखाना उचित नहीं समझा।,'Translate this sentence to English: 'परीक्षा में असफल होने के बाद उसने घर पर मुँह दिखाना उचित नहीं समझा।',"After failing the exam, he did not think it was appropriate to show his face at home.","""After failing the exam, he did not consider it appropriate to show his face at home.""",3,3,3,2
मुँह जला लेना,जल्दबाजी में नुकसान उठाना,Burn one's mouth,गरम चाय पीते वक्त उसने मुँह जला लिया।,'Translate this sentence to English: 'गरम चाय पीते वक्त उसने मुँह जला लिया।',He burned his mouth while drinking hot tea.,'He burnt his mouth while drinking hot tea.',3,3,3,3
मुँह खराब करना,बदनाम करना,To spoil one's mood.,झूठी अफवाहों से उसका मुँह खराब हो गया।,'Translate this sentence to English: 'झूठी अफवाहों से उसका मुँह खराब हो गया।',Her mouth went sour with false rumors.,"""His reputation was ruined by false rumors.""",2,1,3,3
मुँह बिगाड़ना,किसी चीज का स्वाद बिगड़ना,To sulk,खराब खाना खाकर उसका मुँह बिगड़ गया।,'Translate this sentence to English: 'खराब खाना खाकर उसका मुँह बिगड़ गया।',He got indigestion after eating bad food.,'His face contorted after eating bad food.',1,1,2,1
मुँह की बात निकलना,छुपी हुई बात का खुलना,To let the cat out of the bag.,मुँह की बात निकलते ही सब सन्न रह गए।,'Translate this sentence to English: 'मुँह की बात निकलते ही सब सन्न रह गए।',"As soon as the truth came out, everyone fell silent.","As soon as the words left his mouth, everyone was stunned.",3,1,3,3
मुँह की हवा निकलना,डर जाना,To be deflated,उसकी धमकी सुनकर सबकी मुँह की हवा निकल गई।,'Translate this sentence to English: 'उसकी धमकी सुनकर सबकी मुँह की हवा निकल गई।',"After hearing his threat, everyone's mouths were left hanging open.","""Hearing his threat, everyone was left speechless.""",2,1,3,2
मायाजाल,भ्रम या धोखा,Illusion,धन-दौलत का मायाजाल छोड़कर उसने साधु जीवन अपनाया।,'Translate this sentence to English: 'धन-दौलत का मायाजाल छोड़कर उसने साधु जीवन अपनाया।',He abandoned the illusion of wealth and riches and embraced a life of asceticism.,"""Leaving behind the illusion of wealth, he adopted the life of a sage.""",3,3,3,3
मूँछों पर ताव देना,गर्वित होना,Twirl one's mustache,अपनी उपलब्धियों पर वह मूँछों पर ताव दे रहा था।,'Translate this sentence to English: 'अपनी उपलब्धियों पर वह मूँछों पर ताव दे रहा था।',He was patting himself on the back for his achievements.,'He was twirling his mustache with pride over his achievements.',3,2,3,3
मुँह का मीठा,प्रिय या प्यारा व्यक्ति,Sweet-talker,उसकी बेटी उसके मुँह का मीठा है।,'Translate this sentence to English: 'उसकी बेटी उसके मुँह का मीठा है।',His daughter is the apple of his eye.,'His/Her daughter is the apple of his/her eye.',3,3,3,3
मुँह से बात कहना,साफ तौर पर कुछ कहना,To speak out.,उसने मुँह से बात कही और सबको समझ आ गया।,'Translate this sentence to English: 'उसने मुँह से बात कही और सबको समझ आ गया।',He spoke without saying a word and everyone understood.,"""He spoke, and everyone understood.""",2,1,3,1
मुँह पर पानी फेरना,पूरी तरह से निराश करना,To ruin something.,उसकी बुरी खबर ने सबके मुँह पर पानी फेर दिया।,'Translate this sentence to English: 'उसकी बुरी खबर ने सबके मुँह पर पानी फेर दिया।',His bad news made everyone's jaws drop.,"""His bad news put a damper on everyone's spirits.""",2,1,3,3
मुँह में पानी आना,किसी चीज़ की इच्छा होना,Mouth-watering,स्वादिष्ट भोजन देखकर उसके मुँह में पानी आ गया।,'Translate this sentence to English: 'स्वादिष्ट भोजन देखकर उसके मुँह में पानी आ गया।',"Upon seeing the delicious food, his mouth started watering.",His mouth watered at the sight of the delicious food.,3,3,3,3
मुँह दिखाने के काबिल न रहना,शर्मिंदा होना,Not be able to show one's face.,"उसने जो किया, उसके बाद वह मुँह दिखाने के काबिल न रहा।","'Translate this sentence to English: 'उसने जो किया, उसके बाद वह मुँह दिखाने के काबिल न रहा।'","After what he did, he was not worthy of facing anyone.","After what he did, he was no longer able to show his face.",3,2,3,3
मुँह में राम बगल में छुरी,बाहर से अच्छा और अंदर से बुरा,A sweet tongue but a sharp dagger.,वह आदमी मुँह में राम बगल में छुरी जैसा है।,'Translate this sentence to English: 'वह आदमी मुँह में राम बगल में छुरी जैसा है।',That man is like a wolf in sheep's clothing.,"""That man is like someone who has Ram on his lips and a knife under his arm.""",3,3,2,1
मूँछ पर ताव देना,गर्व महसूस करना,To show off.,अपने बेटे की सफलता पर वह मूँछ पर ताव दे रहा था।,'Translate this sentence to English: 'अपने बेटे की सफलता पर वह मूँछ पर ताव दे रहा था।',He was stroking his mustache in satisfaction at his son's success.,"""He was twirling his mustache with pride over his son's success.""",3,3,3,3
मुँह में मारना,अपमान करना,To insult someone directly,उसकी हरकतों ने मेरे मुँह में मारा है।,'Translate this sentence to English: 'उसकी हरकतों ने मेरे मुँह में मारा है।',His actions have left me speechless.,'His actions have embarrassed me.',3,1,3,2
मुँह की सूरत बिगाड़ना,गुस्से से दिखना,To make a face.,उसकी हरकतों पर उसने मुँह की सूरत बिगाड़ ली।,'Translate this sentence to English: 'उसकी हरकतों पर उसने मुँह की सूरत बिगाड़ ली।',He spoiled his face on her every move.,'She made a face at his actions.',1,1,2,2
मुँह बनाना,नाखुश होना,To sulk,खराब खाने को देखकर उसने मुँह बना लिया।,'Translate this sentence to English: 'खराब खाने को देखकर उसने मुँह बना लिया।',"Upon seeing the bad food, he made a face.",He made a face upon seeing the bad food.,3,3,3,3
मुँह में उंगली देना,किसी की गलती दिखाना,To deceive someone.,उसने अपनी चतुराई से सबके मुँह में उंगली डाल दी।,'Translate this sentence to English: 'उसने अपनी चतुराई से सबके मुँह में उंगली डाल दी।',He outsmarted everyone.,'He outsmarted everyone.',2,1,2,1
मुँह में उंगली डालना,किसी को किसी कार्य के लिए मजबूर करना,To deceive someone,उसने मुँह में उंगली डालकर मुझे यह काम करने पर मजबूर कर दिया।,'Translate this sentence to English: 'उसने मुँह में उंगली डालकर मुझे यह काम करने पर मजबूर कर दिया।',He forced me to do this work by putting a finger in my mouth.,"""He forced me to do this work by putting a finger in his mouth.""",1,1,1,1
बड़े मन से देना,उदारता से देना,To give generously,उसने गरीबों को बड़े मन से दान दिया।,'Translate this sentence to English: 'उसने गरीबों को बड़े मन से दान दिया।',He donated to the poor wholeheartedly.,"""He generously donated to the poor.""",3,3,3,2
मुँह में मिठाई देना,किसी को खुश करना,To give a sweet in the mouth.,परीक्षा में अच्छे अंक लाने पर माँ ने मुझे मुँह में मिठाई दी।,'Translate this sentence to English: 'परीक्षा में अच्छे अंक लाने पर माँ ने मुझे मुँह में मिठाई दी।',My mother gave me sweets for scoring good marks in the exam.,"'When I scored good marks in the exam, my mother fed me sweets.'",3,1,3,1
मुँह में बैंगन ठूँसना,कुछ न बोल पाना,To be tongue-tied.,जब टीचर ने सवाल पूछा तो वह मुँह में बैंगन ठूँस कर खड़ा रहा।,'Translate this sentence to English: 'जब टीचर ने सवाल पूछा तो वह मुँह में बैंगन ठूँस कर खड़ा रहा।',"When the teacher asked a question, he stood there with a brinjal in his mouth.","When the teacher asked a question, he stood there with an eggplant stuffed in his mouth.",1,1,1,1
मुँह का स्वाद बदलना,मन बदलने के लिए कुछ करना,To change the taste in the mouth,उदासी को दूर करने के लिए उसने मुँह का स्वाद बदला।,'Translate this sentence to English: 'उदासी को दूर करने के लिए उसने मुँह का स्वाद बदला।',He changed the taste in his mouth to dispel the sadness.,"'To drive away the sadness, she changed the taste in her mouth.'",2,1,2,1
मुँह का स्वाद बिगाड़ना,किसी बात से नाराज होना,To spoil the mood.,गलत खबर सुनकर सबका मुँह का स्वाद बिगड़ गया।,'Translate this sentence to English: 'गलत खबर सुनकर सबका मुँह का स्वाद बिगड़ गया।',Everyone's taste turned bitter after hearing the wrong news.,Everyone's mood was spoiled upon hearing the bad news.,2,2,3,2
मुँह से झाग निकालना,अत्यधिक गुस्से में होना,Foaming at the mouth,गुस्से में उसके मुँह से झाग निकलने लगे।,'Translate this sentence to English: 'गुस्से में उसके मुँह से झाग निकलने लगे।',He began to spew foam from his mouth in anger.,'Foam started coming out of his mouth in anger.',2,1,1,1
मुँह दिखाना,पहली बार किसी के सामने जाना,Show one's face,नवविवाहित जोड़ा सबको मुँह दिखाने गया।,'Translate this sentence to English: 'नवविवाहित जोड़ा सबको मुँह दिखाने गया।',The newlywed couple went to meet everyone.,"""The newlywed couple went to meet everyone.""",3,1,3,1
मुँह में हड्डी होना,लालची होना,To be tight-lipped,उसकी हरकतों से साफ था कि वह मुँह में हड्डी वाला व्यक्ति है।,'Translate this sentence to English: 'उसकी हरकतों से साफ था कि वह मुँह में हड्डी वाला व्यक्ति है।',It was clear from his actions that he is a person with a bone in his mouth.,"""It was clear from his actions that he is a person who speaks ambiguously.""",1,1,1,1
मुँह में न आया,कोई बात करने की इच्छा न होना,Couldn't say a word,उसके व्यवहार से मेरा मुँह में न आया।,'Translate this sentence to English: 'उसके व्यवहार से मेरा मुँह में न आया।',His behavior left a bad taste in my mouth.,"""His behavior left a bad taste in my mouth.""",3,3,3,3
मूँछ मुड़वाना,अपमानित होना,To be humiliated,हार के बाद उसे मूँछ मुड़वानी पड़ी।,'Translate this sentence to English: 'हार के बाद उसे मूँछ मुड़वानी पड़ी।',"After losing, he had to shave his mustache.","'After the defeat, he had to shave off his mustache.'",1,1,2,1
मुँह खोलना,अपनी राय देना,To speak up,"सभी चुप थे, उसने सबसे पहले मुँह खोला।","'Translate this sentence to English: 'सभी चुप थे, उसने सबसे पहले मुँह खोला।'","Everyone was silent, he spoke up first.",Everyone was silent; he spoke up first.,3,3,3,3
मुँह बिचकाना,नापसंदगी जाहिर करना,To make a face,उसने बासी खाने को देखकर मुँह बिचका लिया।,'Translate this sentence to English: 'उसने बासी खाने को देखकर मुँह बिचका लिया।',He made a face upon seeing stale food.,He made a face after seeing the stale food.,3,3,3,3
मूँछों की इज्जत रखना,प्रतिष्ठा की रक्षा करना,To uphold one's honor.,उसने अपनी मूँछों की इज्जत रखने के लिए बहुत मेहनत की।,'Translate this sentence to English: 'उसने अपनी मूँछों की इज्जत रखने के लिए बहुत मेहनत की।',He worked very hard to maintain the respect of his mustache.,'He worked very hard to uphold the honor of his mustache.',2,1,3,1
मिट्टी पलीत करना,बुरी तरह से पराजित करना,To disgrace or ruin.,विपक्ष ने चुनाव में उसकी मिट्टी पलीत कर दी।,'Translate this sentence to English: 'विपक्ष ने चुनाव में उसकी मिट्टी पलीत कर दी।',The opposition crushed him in the election.,The opposition humiliated him in the election.,3,2,2,2
मुँह में पानी भरना,बहुत लालच करना,Mouth-watering,स्वादिष्ट खाना देखकर उसके मुँह में पानी भर आया।,'Translate this sentence to English: 'स्वादिष्ट खाना देखकर उसके मुँह में पानी भर आया।',"Upon seeing the delicious food, water filled his mouth.","Seeing the delicious food, his mouth started watering.",2,1,3,3
मुँह उठाकर चलना,बेशर्मी से चलना,To walk with one's head held high,उसकी हरकतों के बावजूद वह मुँह उठाकर चलता है।,'Translate this sentence to English: 'उसकी हरकतों के बावजूद वह मुँह उठाकर चलता है।',"Despite his actions, he walks with his head held high.","Despite his actions, he walks with his head held high.",3,3,3,3
मुँह न खुलना,कुछ न बोलना,Not to speak,सजा के डर से उसकी मुँह नहीं खुल रही थी।,'Translate this sentence to English: 'सजा के डर से उसकी मुँह नहीं खुल रही थी।',She was not opening her mouth out of fear of punishment.,'She wasn't speaking out of fear of punishment.',3,2,3,3
मुलाकात करना,किसी से मिलना,To meet,हमें पुराने दोस्तों से मुलाकात करनी चाहिए।,'Translate this sentence to English: 'हमें पुराने दोस्तों से मुलाकात करनी चाहिए।',We should meet old friends.,We should meet old friends.,3,1,3,1
मुँह से कौर निकालना,किसी की चीज छीन लेना,To snatch away someone's livelihood,उसके मुँह से कौर निकालने का कोई फायदा नहीं होगा।,'Translate this sentence to English: 'उसके मुँह से कौर निकालने का कोई फायदा नहीं होगा।',There will be no benefit in speaking nonsense from his mouth.,"""There will be no benefit in taking the morsel out of his mouth.""",1,1,1,1
मुँह से आग उगलना,बहुत क्रोध में होना,Spitting fire,उसकी बातों ने मुझे इतना गुस्सा दिलाया कि मैं मुँह से आग उगलने लगा।,'Translate this sentence to English: 'उसकी बातों ने मुझे इतना गुस्सा दिलाया कि मैं मुँह से आग उगलने लगा।',His words made me so angry that I started spitting fire from my mouth.,"""His words made me so angry that I started spitting fire.""",3,2,3,3
मुँह पर कालिख लगाना,बदनाम करना,To disgrace oneself,उसकी झूठी बातों ने मेरे मुँह पर कालिख लगा दी।,'Translate this sentence to English: 'उसकी झूठी बातों ने मेरे मुँह पर कालिख लगा दी।',His lies left a bad taste in my mouth.,"""His false statements blackened my face.""",2,1,2,1
मुँह पर लगाम देना,बोलने पर नियंत्रण करना,Hold one's tongue,उसे अपने मुँह पर लगाम देना सीखना चाहिए।,'Translate this sentence to English: 'उसे अपने मुँह पर लगाम देना सीखना चाहिए।',He should learn to put a leash on his own mouth.,"""He should learn to keep his mouth in check.""",3,3,3,3
मुँह पर ताला लगाना,कुछ भी न कहना,To keep one's mouth shut,उसकी कड़ी फटकार सुनकर उसने मुँह पर ताला लगा लिया।,'Translate this sentence to English: 'उसकी कड़ी फटकार सुनकर उसने मुँह पर ताला लगा लिया।',"After hearing his stern reprimand, he sealed his lips.","Hearing his harsh scolding, he zipped his lips.",3,3,3,3
मुँह में राम बगल में छुरी,ऊपर से अच्छा दिखना लेकिन अंदर से बुरा होना,A sweet tongue but a sharp dagger.,उसके मुँह में राम बगल में छुरी वाली प्रवृत्ति ने सबको धोखा दिया।,'Translate this sentence to English: 'उसके मुँह में राम बगल में छुरी वाली प्रवृत्ति ने सबको धोखा दिया।',He had a deceitful nature.,"""His tendency to speak sweetly but act deceitfully deceived everyone.""",1,1,3,2
मुँह से बात छीन लेना,किसी की कही बात को दोहरा देना,To take the words right out of someone's mouth.,उसने मेरे मुँह से बात छीन ली।,'Translate this sentence to English: 'उसने मेरे मुँह से बात छीन ली।',He stole the words right out of my mouth.,He took the words right out of my mouth.,3,3,3,3
मुँह से कड़वे बोल बोलना,अप्रिय बातें कहना,To speak harsh words.,गुस्से में उसने मुँह से कड़वे बोल बोल दिए।,'Translate this sentence to English: 'गुस्से में उसने मुँह से कड़वे बोल बोल दिए।',He spoke harsh words in anger.,"""In anger, he spoke harsh words.""",3,2,3,2
मुँह की आग,तीखी वाणी,The fire of the mouth,उसकी मुँह की आग ने सबको डरा दिया।,'Translate this sentence to English: 'उसकी मुँह की आग ने सबको डरा दिया।',His fiery words scared everyone.,"""His fiery words scared everyone.""",3,3,3,3
मुँह की बात सुनना,किसी की बात ध्यान से सुनना,To listen attentively,उसने मेरी मुँह की बात सुनी और समझी।,'Translate this sentence to English: 'उसने मेरी मुँह की बात सुनी और समझी।',He listened to and understood what I was saying.,"""He heard and understood what I was about to say.""",3,1,3,1
मुँह में उंगली डालकर हँसाना,जबरदस्ती हँसाना,To make someone laugh by putting a finger in their mouth.,उसने हमें मुँह में उंगली डालकर हँसाया।,'Translate this sentence to English: 'उसने हमें मुँह में उंगली डालकर हँसाया।',He made us laugh by putting a finger in his mouth.,He made us laugh by putting a finger in his mouth.,1,1,1,1
मुँह का जाल बिछाना,झूठ बोलना,To flatter someone.,उसकी मुँह का जाल बिछाने की आदत ने उसे मुश्किल में डाल दिया।,'Translate this sentence to English: 'उसकी मुँह का जाल बिछाने की आदत ने उसे मुश्किल में डाल दिया।',His habit of weaving a web of lies landed him in trouble.,"""His habit of weaving a web of lies got him into trouble.""",3,3,3,3
मुँह लटकाना,निराश होना,To look disappointed,परीक्षा में असफल होने पर उसने मुँह लटका लिया।,'Translate this sentence to English: 'परीक्षा में असफल होने पर उसने मुँह लटका लिया।',He hung his head in shame after failing the exam.,"""He became crestfallen when he failed the exam.""",3,3,3,3
मुँह मीठा करना,खुशखबरी सुनाकर मिठाई खिलाना,To celebrate.,उसने नौकरी मिलने की खुशी में सबका मुँह मीठा कराया।,'Translate this sentence to English: 'उसने नौकरी मिलने की खुशी में सबका मुँह मीठा कराया।',He made everyone's mouth sweet in the joy of getting a job.,'He treated everyone with sweets to celebrate getting the job.',1,1,3,3
मुँह का काला,बदनाम,Disgraced,उसकी हरकतों ने उसे मुँह का काला बना दिया।,'Translate this sentence to English: 'उसकी हरकतों ने उसे मुँह का काला बना दिया।',His actions have made him the laughingstock.,"""His actions have disgraced him.""",2,3,3,3
मुँह में अंगारे रखना,बहुत कष्ट सहना,To keep a burning coal in one's mouth.,उसके द्वारा कही गई बातों ने मुझे मुँह में अंगारे रखने पर मजबूर कर दिया।,'Translate this sentence to English: 'उसके द्वारा कही गई बातों ने मुझे मुँह में अंगारे रखने पर मजबूर कर दिया।',The things spoken by him forced me to hold hot coals in my mouth.,"""His words forced me to hold burning coals in my mouth.""",1,1,2,1
मुँह की खाना,हार का सामना करना,To suffer defeat,अपनी ओवरकॉन्फिडेंस के कारण उसे मुँह की खानी पड़ी।,'Translate this sentence to English: 'अपनी ओवरकॉन्फिडेंस के कारण उसे मुँह की खानी पड़ी।',"Because of his overconfidence, he had to eat his words.","Due to his overconfidence, he had to face defeat.",3,1,3,2
मुँह धोना,किसी के सामने शर्मिंदा होना,To wash one's face,उसकी हरकतों ने मुझे सबके सामने मुँह धो दिया।,'Translate this sentence to English: 'उसकी हरकतों ने मुझे सबके सामने मुँह धो दिया।',His actions embarrassed me in front of everyone.,'His actions embarrassed me in front of everyone.',3,3,3,3
"बिन माँगे मोती मिले, माँगे मिले न भीख",बिना उम्मीद के लाभ मिलना,"Without asking, you may receive pearls; but when you ask, you may not even get alms.","उसने बिना मांगे ही मदद कर दी, यह तो बिन माँगे मोती मिले, माँगे मिले न भीख जैसी बात हो गई।","'Translate this sentence to English: 'उसने बिना मांगे ही मदद कर दी, यह तो बिन माँगे मोती मिले, माँगे मिले न भीख जैसी बात हो गई।'","He helped without being asked, it was like finding a pearl without asking, as if asking had become like begging.","'He helped without being asked, it is like getting pearls without asking, but not even getting alms when asked.'",3,1,3,1
मुँह मियाँ मिट्ठू बनना,अपनी ही तारीफ करना,To toot one's own horn.,वह हमेशा मुँह मियाँ मिट्ठू बनता रहता है और खुद की ही तारीफ करता है।,'Translate this sentence to English: 'वह हमेशा मुँह मियाँ मिट्ठू बनता रहता है और खुद की ही तारीफ करता है।',He always acts like a sweet-talk and praises himself.,He always acts like a self-praiser and keeps praising himself.,2,1,3,1
मुँह की चाल चलना,बहुत बातूनी होना,To speak insincerely,उसकी मुँह की चाल ने सभी को परेशान कर दिया।,'Translate this sentence to English: 'उसकी मुँह की चाल ने सभी को परेशान कर दिया।',His behavior annoyed everyone.,"""His loose talk upset everyone.""",3,1,3,3
मूँछों की कसम में,प्रतिष्ठा की शपथ में,Swear on my mustache,उसने मूँछों की कसम में कोई झूठ नहीं बोला।,'Translate this sentence to English: 'उसने मूँछों की कसम में कोई झूठ नहीं बोला।',He did not tell a lie in the name of his mustache.,"""He did not lie under the oath of his mustache.""",2,1,2,1
मुँह पर ताला लगाना,"कुछ न बोलना, चुप रहना",To keep one's mouth shut,उसने मेरे सवालों पर मुँह पर ताला लगा लिया।,'Translate this sentence to English: 'उसने मेरे सवालों पर मुँह पर ताला लगा लिया।',He remained tight-lipped in response to my questions.,"""He clammed up at my questions.""",3,3,3,3
मुँह तक आना,बहुत पास आ जाना,To be on the tip of one's tongue,उसका जवाब मेरे मुँह तक आ गया लेकिन मैंने कुछ नहीं कहा।,'Translate this sentence to English: 'उसका जवाब मेरे मुँह तक आ गया लेकिन मैंने कुछ नहीं कहा।',His answer reached my lips but I said nothing.,"The answer was on the tip of my tongue, but I didn't say anything.",2,2,3,3
मुल्क की सेवा करना,देश की भलाई के लिए काम करना,To serve the country,सैनिक मुल्क की सेवा में अपना जीवन समर्पित करते हैं।,'Translate this sentence to English: 'सैनिक मुल्क की सेवा में अपना जीवन समर्पित करते हैं।',Soldiers dedicate their lives in service of the country.,Soldiers dedicate their lives to the service of the country.,3,3,3,3
मुँह छुपाना,शर्मिंदगी के कारण सामने न आना,Hide one's face,परीक्षा में फेल होने के बाद उसने सबके सामने मुँह छुपा लिया।,'Translate this sentence to English: 'परीक्षा में फेल होने के बाद उसने सबके सामने मुँह छुपा लिया।',"After failing the exam, he hid his face in front of everyone.","""After failing the exam, he hid his face in front of everyone.""",3,1,3,1
मुँह पर तमाचा मारना,अपमान करना,To slap in the face,उसकी बातों ने जैसे मेरे मुँह पर तमाचा मार दिया।,'Translate this sentence to English: 'उसकी बातों ने जैसे मेरे मुँह पर तमाचा मार दिया।',His words felt like a slap in the face.,"""His words felt like a slap in the face.""",3,3,3,3
बांस पर चढ़ाना,झूठी प्रशंसा करना,To flatter excessively,उसके मित्र ने उसे इतना बांस पर चढ़ाया कि वह खुद को बहुत बड़ा समझने लगा।,'Translate this sentence to English: 'उसके मित्र ने उसे इतना बांस पर चढ़ाया कि वह खुद को बहुत बड़ा समझने लगा।',His friends praised him so much that he started to think very highly of himself.,"""His friend praised him so much that he started thinking very highly of himself.""",3,2,3,2
मुँह पर पानी फेरना,योजना या प्रयास को विफल करना,To ruin something completely.,उसकी एक गलती ने पूरी योजना पर पानी फेर दिया।,'Translate this sentence to English: 'उसकी एक गलती ने पूरी योजना पर पानी फेर दिया।',One mistake of his ruined the whole plan.,"""His one mistake ruined the entire plan.""",3,1,3,2
मूँछों को संजीवनी देना,प्रतिष्ठा को जीवित करना,To revive one's pride.,उसकी सफलता ने उसकी मूँछों को संजीवनी दे दी।,'Translate this sentence to English: 'उसकी सफलता ने उसकी मूँछों को संजीवनी दे दी।',His success brought his mustache back to life.,His success revived his pride.,2,1,3,3
मुँह की बात छीन लेना,वही बात कहना जो दूसरे ने कहने की सोच रखी हो,To take the words right out of someone's mouth,उसने मेरी मुँह की बात छीन ली और वही बात सबके सामने कह दी।,'Translate this sentence to English: 'उसने मेरी मुँह की बात छीन ली और वही बात सबके सामने कह दी।',He stole my thunder and said the same thing in front of everyone.,"""He stole the words right out of my mouth and said the same thing in front of everyone.""",3,3,3,3
मुँह से आग निकालना,गुस्सा होना,To speak angrily,गलत आरोप लगने पर वह मुँह से आग निकालने लगा।,'Translate this sentence to English: 'गलत आरोप लगने पर वह मुँह से आग निकालने लगा।',"When falsely accused, he started spewing fire from his mouth.","When falsely accused, he began to breathe fire.",3,3,3,3
मुँह से आग निकलना,बहुत क्रोध करना,To speak angrily,उसकी मुँह से आग निकलने वाली बातें सुनकर सब हैरान रह गए।,'Translate this sentence to English: 'उसकी मुँह से आग निकलने वाली बातें सुनकर सब हैरान रह गए।',Everyone was amazed to hear the fiery words coming out of his mouth.,Everyone was shocked to hear the fiery words coming out of his mouth.,3,2,3,2
मुँह में कड़वाहट घोलना,बुरी बातें करना,To speak bitter words.,उसकी बकवास ने मेरे मुँह में कड़वाहट घोल दी।,'Translate this sentence to English: 'उसकी बकवास ने मेरे मुँह में कड़वाहट घोल दी।',His nonsense left a bitter taste in my mouth.,His nonsense left a bitter taste in my mouth.,3,3,3,3
मुँह की कहना,अपनी राय देना,To speak one's mind,उसने बिना सोचे-समझे मुँह की कह दी।,'Translate this sentence to English: 'उसने बिना सोचे-समझे मुँह की कह दी।',He blurted out without thinking.,"""He blurted out without thinking.""",3,2,3,3
मौज मस्ती,खुशी और आनंद का समय,Fun and frolic,गर्मी की छुट्टियों में बच्चों ने खूब मौज मस्ती की।,'Translate this sentence to English: 'गर्मी की छुट्टियों में बच्चों ने खूब मौज मस्ती की।',"During the summer vacation, the children had a great time.",The children had a lot of fun during the summer holidays.,3,3,3,3
मुँह पर ताला लगाना,कुछ न कहना,Put a lock on your mouth.,उसने ऐसा राज़ बताया कि सबने मुँह पर ताला लगा लिया।,'Translate this sentence to English: 'उसने ऐसा राज़ बताया कि सबने मुँह पर ताला लगा लिया।',He revealed such a secret that everyone was left speechless.,"""He revealed such a secret that everyone was left speechless.""",3,2,3,2
मूँछों की कसम,प्रतिष्ठा की शपथ,Swear on my mustache,उसने मूँछों की कसम खाई कि वह झूठ नहीं बोलेगा।,'Translate this sentence to English: 'उसने मूँछों की कसम खाई कि वह झूठ नहीं बोलेगा।',He swore on his mustache that he would not lie.,He swore on his mustache that he would not lie.,3,2,3,2
बगलें झांकना,शर्मिंदा होना,To look sheepish,"जब शिक्षक ने उसे झूठ बोलते पकड़ा, तो वह बगलें झाँकने लगा।","'Translate this sentence to English: 'जब शिक्षक ने उसे झूठ बोलते पकड़ा, तो वह बगलें झाँकने लगा।'","When the teacher caught him lying, he started looking around nervously.","""When the teacher caught him lying, he began to look sheepish.""",3,2,3,2
मुँह पर ताला जड़ना,बोलने से रोकना,To keep one's mouth shut,उसकी कठोर शब्दों ने सबके मुँह पर ताला जड़ दिया।,'Translate this sentence to English: 'उसकी कठोर शब्दों ने सबके मुँह पर ताला जड़ दिया।',His harsh words shut everyone's mouths.,"""His harsh words silenced everyone.""",3,3,3,3
मूर्ख बनाना,धोखा देना,To fool someone,किसी को मूर्ख बनाना अच्छी बात नहीं है।,'Translate this sentence to English: 'किसी को मूर्ख बनाना अच्छी बात नहीं है।',Making someone a fool is not a good thing.,'It is not good to make a fool of someone.',3,1,3,3
मुँह में चाँदी का चम्मच लेकर पैदा होना,अमीर घर में जन्म लेना,To be born with a silver spoon in one's mouth,"वह मुँह में चाँदी का चम्मच लेकर पैदा हुआ है, इसलिए उसे किसी चीज की कमी नहीं है।","'Translate this sentence to English: 'वह मुँह में चाँदी का चम्मच लेकर पैदा हुआ है, इसलिए उसे किसी चीज की कमी नहीं है।'","He was born with a silver spoon in his mouth, so he lacks nothing.","""He was born with a silver spoon in his mouth, so he lacks nothing.""",3,3,3,3
मुँह के बल गिरना,असफल होना,To fall flat on one's face,बिना तैयारी के वह परीक्षा में मुँह के बल गिर पड़ा।,'Translate this sentence to English: 'बिना तैयारी के वह परीक्षा में मुँह के बल गिर पड़ा।',He fell flat on his face in the exam without preparation.,"'Without preparation, he fell flat on his face in the exam.'",3,3,3,3
